batch_id,tijd_min,inlet_temp_C,exhaust_temp_C,bed_temp_C,spray_rate_gmin,pan_snelheid_RPM,exhaust_humidity_pct,drukval_mbar,gewichtstoename_pct,kern_gewicht_mg,coating_conc_pct,afwijking_temp,afwijking_spray,batch_kwaliteit
COAT-000,16,48.9,36.7,42.9,5.05,12.0,46.1,3.8,0.568,350.2,14.6,0.61,0.053,goed
COAT-000,17,48.7,37.4,42.8,4.78,11.9,43.7,3.5,0.598,350.2,14.6,0.15,0.223,goed
COAT-000,18,49.3,36.3,42.8,4.97,11.8,44.3,3.5,0.663,350.2,14.6,0.37,0.027,goed
COAT-000,19,49.3,36.5,42.4,4.94,12.3,44.6,3.8,0.696,350.2,14.6,0.08,0.062,goed
COAT-000,20,49.4,36.5,42.9,4.86,11.9,44.3,3.8,0.758,350.2,14.6,0.07,0.145,goed
COAT-000,21,49.5,37.3,42.9,5.06,12.0,44.8,3.6,0.813,350.2,14.6,0.27,0.059,goed
COAT-000,22,50.1,37.2,43.6,4.86,11.8,43.2,3.6,0.896,350.2,14.6,0.07,0.14,goed
COAT-000,23,51.1,38.4,44.9,4.87,11.8,42.6,3.7,0.923,350.2,14.6,0.8,0.134,goed
COAT-000,24,50.5,37.4,44.2,5.03,11.8,45.9,3.7,0.955,350.2,14.6,0.03,0.026,goed
COAT-000,25,51.1,37.9,44.7,4.89,11.6,45.2,3.7,0.985,350.2,14.6,0.4,0.11,goed
COAT-000,26,51.4,38.0,44.5,5.03,11.8,44.4,3.8,1.043,350.2,14.6,0.47,0.034,goed
COAT-000,27,51.1,38.0,44.0,4.93,12.2,45.6,3.6,1.1,350.2,14.6,0.02,0.067,goed
COAT-000,28,50.9,38.9,45.4,4.74,12.1,44.1,3.8,1.175,350.2,14.6,0.42,0.262,goed
COAT-000,29,51.9,38.1,44.9,4.96,11.8,44.5,3.7,1.183,350.2,14.6,0.45,0.04,goed
COAT-000,30,52.0,39.7,45.9,4.84,11.5,45.5,3.6,1.318,350.2,14.6,0.31,0.156,goed
COAT-000,31,52.5,39.1,45.9,4.87,11.9,43.3,3.7,1.369,350.2,14.6,0.67,0.132,goed
COAT-000,32,52.3,39.4,45.9,4.89,11.9,45.7,3.9,1.438,350.2,14.6,0.35,0.108,goed
COAT-000,33,52.4,39.8,46.2,4.81,12.0,42.8,3.6,1.445,350.2,14.6,0.26,0.193,goed
COAT-000,34,52.7,39.6,45.9,4.66,12.0,45.5,3.9,1.477,350.2,14.6,0.46,0.342,goed
COAT-000,35,52.5,39.8,46.1,4.78,11.8,44.3,3.9,1.534,350.2,14.6,0.11,0.216,goed
COAT-000,36,53.2,40.2,46.6,4.88,12.1,45.9,3.9,1.537,350.2,14.6,0.67,0.124,goed
COAT-000,37,53.1,39.3,46.1,5.05,12.2,44.3,3.9,1.66,350.2,14.6,0.48,0.047,goed
COAT-000,38,52.9,40.2,46.8,5.01,11.6,44.7,3.8,1.701,350.2,14.6,0.14,0.011,goed
COAT-000,39,53.4,40.1,47.0,5.01,11.9,43.8,3.9,1.758,350.2,14.6,0.54,0.014,goed
COAT-000,40,53.3,41.4,47.2,4.83,11.7,44.5,3.8,1.805,350.2,14.6,0.29,0.173,goed
COAT-000,41,53.7,40.3,47.2,4.97,12.1,42.2,3.8,1.837,350.2,14.6,0.62,0.027,goed
COAT-000,42,53.6,40.4,47.2,5.02,11.7,44.5,3.9,1.896,350.2,14.6,0.43,0.016,goed
COAT-000,43,53.7,40.9,46.9,4.95,12.1,46.2,3.9,1.938,350.2,14.6,0.46,0.047,goed
COAT-000,44,53.8,40.1,47.4,4.99,11.9,43.8,3.9,1.999,350.2,14.6,0.46,0.009,goed
COAT-000,45,54.4,41.7,48.3,4.95,11.8,45.1,3.9,2.058,350.2,14.6,0.95,0.046,goed
COAT-000,46,53.9,40.9,47.1,4.82,12.2,45.0,4.0,2.062,350.2,14.6,0.4,0.184,goed
COAT-000,47,54.0,41.4,47.8,4.9,11.9,44.9,3.9,2.145,350.2,14.6,0.42,0.096,goed
COAT-000,48,53.7,40.0,47.3,4.8,12.4,45.3,4.0,2.217,350.2,14.6,0.08,0.198,goed
COAT-000,49,54.4,41.5,48.3,4.91,11.9,43.4,4.0,2.286,350.2,14.6,0.68,0.094,goed
COAT-000,50,54.5,42.2,47.8,4.97,11.8,45.1,3.9,2.335,350.2,14.6,0.68,0.028,goed
COAT-000,51,54.6,42.4,48.1,4.92,11.9,44.9,4.1,2.374,350.2,14.6,0.75,0.083,goed
COAT-000,52,54.2,41.8,48.6,4.81,12.1,45.5,4.1,2.376,350.2,14.6,0.3,0.188,goed
COAT-000,53,54.1,40.7,47.2,4.83,11.9,43.8,4.0,2.476,350.2,14.6,0.14,0.165,goed
COAT-000,54,54.1,41.9,47.7,4.82,12.0,46.0,4.2,2.486,350.2,14.6,0.08,0.177,goed
COAT-000,55,53.8,40.9,47.8,4.9,12.1,44.3,4.0,2.551,350.2,14.6,0.25,0.103,goed
COAT-000,56,53.5,40.4,46.9,5.08,12.5,46.8,4.0,2.604,350.2,14.6,0.57,0.083,goed
COAT-000,57,54.4,41.5,47.6,4.72,12.0,45.4,4.1,2.64,350.2,14.6,0.22,0.282,goed
COAT-000,58,53.6,41.1,47.2,4.77,12.1,43.3,4.0,2.705,350.2,14.6,0.57,0.234,goed
COAT-000,59,54.3,41.9,47.5,4.85,12.1,44.1,4.0,2.782,350.2,14.6,0.13,0.146,goed
COAT-000,60,54.4,41.3,48.3,4.91,12.3,44.6,4.1,2.848,350.2,14.6,0.19,0.093,goed
COAT-000,61,54.3,41.5,47.9,4.95,12.3,44.3,4.1,2.936,350.2,14.6,0.02,0.051,goed
COAT-000,62,54.7,41.6,47.8,4.92,12.1,44.4,4.2,2.923,350.2,14.6,0.35,0.085,goed
COAT-000,63,54.4,41.4,47.6,5.1,12.1,45.7,4.1,2.979,350.2,14.6,0.01,0.1,goed
COAT-000,64,54.8,41.7,48.3,4.7,12.3,42.8,4.1,3.026,350.2,14.6,0.37,0.301,goed
COAT-000,65,54.4,41.3,48.2,4.83,12.0,44.7,4.1,3.082,350.2,14.6,0.0,0.17,goed
COAT-000,66,54.5,40.7,47.8,4.98,12.0,45.2,4.2,3.111,350.2,14.6,0.07,0.023,goed
COAT-000,67,55.0,42.4,49.0,4.88,12.1,46.0,4.2,3.249,350.2,14.6,0.52,0.121,goed
COAT-000,68,54.3,40.3,47.4,4.97,12.2,46.1,4.2,3.253,350.2,14.6,0.2,0.028,goed
COAT-000,69,54.5,40.6,47.2,4.92,12.1,43.8,4.2,3.3,350.2,14.6,0.03,0.082,goed
COAT-000,70,54.7,42.1,48.6,4.91,12.0,45.3,4.3,3.334,350.2,14.6,0.19,0.092,goed
COAT-000,71,54.9,41.4,47.8,5.06,12.3,45.0,4.1,3.382,350.2,14.6,0.31,0.057,goed
COAT-000,72,54.9,41.6,48.2,4.99,12.2,45.6,4.2,3.416,350.2,14.6,0.36,0.008,goed
COAT-000,73,54.7,42.2,48.2,4.97,11.8,44.6,4.2,3.491,350.2,14.6,0.05,0.033,goed
COAT-000,74,54.6,41.4,48.0,4.83,12.0,43.4,4.2,3.535,350.2,14.6,0.02,0.175,goed
COAT-000,75,54.8,42.7,48.8,4.84,12.1,46.0,4.4,3.582,350.2,14.6,0.14,0.161,goed
COAT-000,76,54.7,42.6,48.5,4.94,11.9,44.9,4.2,3.661,350.2,14.6,0.04,0.065,goed
COAT-000,77,54.5,42.1,48.4,4.88,11.7,44.0,4.3,3.669,350.2,14.6,0.17,0.12,goed
COAT-000,78,55.1,41.9,48.5,5.07,12.2,44.0,4.2,3.759,350.2,14.6,0.38,0.071,goed
COAT-000,79,54.9,41.9,48.6,4.85,12.0,45.3,4.5,3.805,350.2,14.6,0.16,0.148,goed
COAT-000,80,55.4,42.1,48.2,4.99,12.1,45.5,4.4,3.846,350.2,14.6,0.7,0.013,goed
COAT-000,81,55.2,43.0,49.4,4.67,11.9,43.6,4.3,3.867,350.2,14.6,0.45,0.328,goed
COAT-000,82,54.8,41.4,47.6,5.04,12.0,43.2,4.0,3.948,350.2,14.6,0.06,0.041,goed
COAT-000,83,55.4,41.7,48.3,4.91,12.0,43.6,4.3,4.005,350.2,14.6,0.66,0.09,goed
COAT-000,84,54.8,41.6,48.1,4.91,12.0,45.2,4.4,4.043,350.2,14.6,0.02,0.089,goed
COAT-000,85,55.1,42.3,48.7,4.77,12.1,45.0,4.3,4.116,350.2,14.6,0.31,0.23,goed
COAT-000,86,55.0,41.0,47.9,5.01,11.8,45.4,4.5,4.17,350.2,14.6,0.21,0.011,goed
COAT-000,87,55.2,41.5,48.4,4.96,12.1,44.5,4.3,4.198,350.2,14.6,0.37,0.044,goed
COAT-000,88,55.0,42.7,48.4,5.05,12.2,43.7,4.3,4.276,350.2,14.6,0.17,0.051,goed
COAT-000,89,54.5,41.5,47.9,4.91,12.0,43.3,4.4,4.321,350.2,14.6,0.29,0.094,goed
COAT-000,90,55.1,42.1,48.5,5.03,12.0,45.7,4.5,4.347,350.2,14.6,0.28,0.027,goed
COAT-000,91,54.9,42.5,48.5,4.77,11.8,42.8,4.4,4.442,350.2,14.6,0.03,0.226,goed
COAT-000,92,55.5,42.3,48.0,4.98,12.3,46.0,4.3,4.494,350.2,14.6,0.64,0.015,goed
COAT-000,93,54.6,41.9,48.7,5.12,12.2,45.0,4.5,4.49,350.2,14.6,0.26,0.12,goed
COAT-000,94,54.6,41.3,48.4,4.93,12.2,44.2,4.4,4.613,350.2,14.6,0.23,0.071,goed
COAT-000,95,55.2,41.4,48.4,4.89,11.9,45.3,4.3,4.646,350.2,14.6,0.37,0.11,goed
COAT-000,96,55.0,41.3,48.4,5.08,11.8,45.3,4.6,4.691,350.2,14.6,0.12,0.076,goed
COAT-000,97,55.0,43.2,48.6,4.93,12.1,45.0,4.4,4.728,350.2,14.6,0.13,0.074,goed
COAT-000,98,55.1,42.4,48.8,4.93,11.7,45.2,4.4,4.779,350.2,14.6,0.19,0.07,goed
COAT-000,99,55.1,41.8,48.1,4.81,12.2,44.3,4.7,4.816,350.2,14.6,0.24,0.191,goed
COAT-000,100,55.6,42.4,49.5,4.82,12.1,43.3,4.4,4.879,350.2,14.6,0.72,0.177,goed
COAT-000,101,54.9,41.8,48.3,4.81,12.1,44.1,4.4,4.949,350.2,14.6,0.01,0.191,goed
COAT-000,102,55.3,41.6,48.3,4.85,11.8,43.9,4.5,4.997,350.2,14.6,0.42,0.147,goed
COAT-000,103,54.7,41.2,48.0,5.04,12.1,43.9,4.6,4.998,350.2,14.6,0.2,0.044,goed
COAT-000,104,55.0,41.7,48.3,4.92,11.7,45.0,4.5,5.087,350.2,14.6,0.05,0.075,goed
COAT-000,105,55.6,42.5,48.8,4.98,12.1,45.9,4.7,5.112,350.2,14.6,0.63,0.019,goed
COAT-000,106,55.4,41.8,48.6,5.12,11.9,44.6,4.8,5.199,350.2,14.6,0.46,0.116,goed
COAT-000,107,54.8,42.6,48.0,4.81,11.7,44.0,4.6,5.272,350.2,14.6,0.13,0.188,goed
COAT-000,108,55.4,42.6,48.8,4.94,4.9,43.6,4.5,5.305,350.2,14.6,0.45,0.058,goed
COAT-000,109,55.4,41.6,49.2,4.89,4.8,45.1,4.5,5.329,350.2,14.6,0.51,0.105,goed
COAT-000,110,54.5,41.4,48.1,4.82,5.0,43.8,4.7,5.381,350.2,14.6,0.41,0.185,goed
COAT-000,111,55.7,42.5,48.7,5.0,4.7,46.8,4.7,5.424,350.2,14.6,0.79,0.001,goed
COAT-000,112,54.9,42.5,48.6,4.94,5.5,44.3,4.7,5.5,350.2,14.6,0.05,0.061,goed
COAT-000,113,55.5,42.3,49.0,5.01,5.1,44.7,4.6,5.536,350.2,14.6,0.54,0.015,goed
COAT-000,114,54.9,41.1,48.0,4.82,5.2,46.3,4.6,5.563,350.2,14.6,0.05,0.185,goed
COAT-000,115,55.4,42.6,49.0,5.08,5.3,44.6,4.7,5.618,350.2,14.6,0.45,0.079,goed
COAT-000,116,55.2,42.6,49.1,5.05,5.2,45.4,4.9,5.707,350.2,14.6,0.25,0.049,goed
COAT-000,117,54.9,42.1,48.1,4.94,4.9,44.4,4.4,5.662,350.2,14.6,0.07,0.06,goed
COAT-000,118,55.3,42.4,49.0,4.89,4.8,45.0,4.7,5.672,350.2,14.6,0.35,0.107,goed
COAT-000,119,54.5,41.5,48.4,4.96,5.2,44.4,4.5,5.676,350.2,14.6,0.46,0.041,goed
COAT-001,0,40.2,30.2,35.2,0.39,5.3,32.0,3.0,0.007,345.0,14.9,0.16,0.394,grensgeval
COAT-001,1,39.8,29.9,35.1,0.38,5.1,31.3,3.2,-0.031,345.0,14.9,0.97,0.124,grensgeval
COAT-001,2,40.7,30.6,34.9,0.75,4.9,33.0,3.1,-0.008,345.0,14.9,0.71,0.247,grensgeval
COAT-001,3,41.4,31.3,36.3,1.29,5.3,32.6,3.0,-0.022,345.0,14.9,0.73,0.213,grensgeval
COAT-001,4,41.8,32.0,37.4,1.78,4.9,34.9,3.4,0.026,345.0,14.9,0.88,0.223,grensgeval
COAT-001,5,42.5,30.6,36.4,2.29,5.1,36.5,3.2,0.066,345.0,14.9,0.85,0.207,grensgeval
COAT-001,6,42.9,30.1,36.2,2.76,12.0,37.7,3.3,0.062,345.0,14.9,0.95,0.235,grensgeval
COAT-001,7,43.9,32.3,38.0,3.23,12.1,39.8,3.5,0.098,345.0,14.9,0.53,0.274,grensgeval
COAT-001,8,44.2,33.0,38.4,3.63,11.7,41.2,3.4,0.135,345.0,14.9,0.71,0.366,grensgeval
COAT-001,9,45.0,32.1,38.7,4.21,12.1,41.1,3.7,0.188,345.0,14.9,0.41,0.295,grensgeval
COAT-001,10,45.0,32.6,39.0,4.72,11.8,42.7,3.6,0.227,345.0,14.9,0.93,0.283,grensgeval
COAT-001,11,45.6,31.5,38.8,5.42,12.3,44.7,3.8,0.302,345.0,14.9,0.75,0.418,grensgeval
COAT-001,12,46.0,32.2,38.6,5.16,11.8,45.4,3.7,0.346,345.0,14.9,0.75,0.16,grensgeval
COAT-001,13,46.3,32.4,39.7,5.2,12.3,44.9,3.7,0.359,345.0,14.9,0.85,0.203,grensgeval
COAT-001,14,46.7,33.2,40.2,5.21,12.0,44.7,3.6,0.43,345.0,14.9,0.85,0.211,grensgeval
COAT-001,15,47.9,34.3,40.4,5.41,12.0,46.8,3.8,0.488,345.0,14.9,0.02,0.406,grensgeval
COAT-001,16,47.6,34.3,41.2,5.22,12.2,47.6,3.8,0.531,345.0,14.9,0.66,0.223,grensgeval
COAT-001,17,47.8,34.0,40.7,5.35,12.3,46.1,3.8,0.573,345.0,14.9,0.76,0.351,grensgeval
COAT-001,18,48.6,35.2,42.2,5.39,12.0,45.8,3.7,0.616,345.0,14.9,0.26,0.391,grensgeval
COAT-001,19,48.7,34.8,41.5,5.23,11.9,45.6,3.7,0.708,345.0,14.9,0.49,0.23,grensgeval
COAT-001,20,49.3,35.4,42.7,5.25,12.1,44.6,3.6,0.738,345.0,14.9,0.18,0.253,grensgeval
COAT-001,21,49.2,36.6,43.0,5.14,11.9,44.9,3.9,0.822,345.0,14.9,0.55,0.143,grensgeval
COAT-001,22,49.8,36.1,43.2,5.29,11.7,46.2,3.8,0.818,345.0,14.9,0.19,0.285,grensgeval
COAT-001,23,49.5,36.5,43.1,5.17,11.7,44.4,4.0,0.917,345.0,14.9,0.72,0.175,grensgeval
COAT-001,24,49.7,36.4,43.1,5.11,11.9,46.1,3.8,0.912,345.0,14.9,0.81,0.113,grensgeval
COAT-001,25,50.4,36.9,43.6,5.38,11.9,45.0,3.7,1.0,345.0,14.9,0.28,0.377,grensgeval
COAT-001,26,50.3,36.1,43.2,5.32,12.1,47.3,3.9,1.031,345.0,14.9,0.65,0.317,grensgeval
COAT-001,27,50.3,37.2,43.4,5.27,12.0,44.9,3.6,1.12,345.0,14.9,0.77,0.274,grensgeval
COAT-001,28,51.1,38.4,44.8,5.29,12.1,46.6,3.8,1.157,345.0,14.9,0.22,0.295,grensgeval
COAT-001,29,51.2,37.8,44.4,5.17,11.9,45.4,3.6,1.172,345.0,14.9,0.26,0.172,grensgeval
COAT-001,30,50.5,37.7,43.6,5.19,12.3,44.3,3.7,1.282,345.0,14.9,1.12,0.188,grensgeval
COAT-001,31,50.9,38.0,44.3,5.26,11.8,43.9,3.9,1.286,345.0,14.9,0.97,0.259,grensgeval
COAT-001,32,51.7,38.8,45.3,5.09,12.2,46.3,3.8,1.36,345.0,14.9,0.28,0.086,grensgeval
COAT-001,33,52.1,38.9,45.8,5.26,11.7,46.9,3.9,1.415,345.0,14.9,0.02,0.264,grensgeval
COAT-001,34,51.8,38.2,44.8,5.28,11.7,45.1,3.8,1.496,345.0,14.9,0.42,0.279,grensgeval
COAT-001,35,52.2,39.7,45.8,5.18,11.7,44.8,3.7,1.486,345.0,14.9,0.15,0.182,grensgeval
COAT-001,36,51.8,38.0,45.5,5.19,11.8,44.6,3.9,1.572,345.0,14.9,0.75,0.185,grensgeval
COAT-001,37,52.0,38.3,45.0,5.22,11.4,44.7,4.0,1.631,345.0,14.9,0.66,0.217,grensgeval
COAT-001,38,52.1,39.4,46.2,5.24,11.6,46.3,4.0,1.685,345.0,14.9,0.69,0.236,grensgeval
COAT-001,39,52.8,39.0,46.6,5.39,11.8,45.4,4.1,1.711,345.0,14.9,0.07,0.39,grensgeval
COAT-001,40,52.0,39.8,45.8,5.21,12.2,46.3,4.0,1.773,345.0,14.9,0.96,0.212,grensgeval
COAT-001,41,52.7,39.6,45.8,5.3,11.8,45.5,3.8,1.852,345.0,14.9,0.34,0.298,grensgeval
COAT-001,42,52.6,39.5,46.1,5.27,12.1,49.0,4.0,1.86,345.0,14.9,0.54,0.274,grensgeval
COAT-001,43,53.2,40.3,46.4,5.32,11.8,46.3,3.8,1.924,345.0,14.9,0.04,0.323,grensgeval
COAT-001,44,53.3,41.1,46.9,5.27,12.1,47.6,4.0,1.95,345.0,14.9,0.07,0.268,grensgeval
COAT-001,45,52.7,40.0,46.2,5.22,12.3,44.6,3.9,1.978,345.0,14.9,0.73,0.217,grensgeval
COAT-001,46,53.2,40.7,46.7,5.38,12.1,43.8,4.1,2.111,345.0,14.9,0.25,0.383,grensgeval
COAT-001,47,53.4,40.7,47.2,5.02,12.1,45.5,3.8,2.115,345.0,14.9,0.12,0.023,grensgeval
COAT-001,48,53.3,39.9,46.4,5.21,12.1,45.8,4.0,2.167,345.0,14.9,0.33,0.211,grensgeval
COAT-001,49,53.6,39.7,47.1,5.24,12.2,45.9,4.1,2.196,345.0,14.9,0.14,0.241,grensgeval
COAT-001,50,53.1,39.3,46.4,5.3,12.1,45.9,4.2,2.294,345.0,14.9,0.69,0.302,grensgeval
COAT-001,51,53.5,39.5,46.5,5.33,12.0,47.5,4.0,2.32,345.0,14.9,0.37,0.331,grensgeval
COAT-001,52,53.5,39.6,46.5,5.33,11.5,46.0,4.0,2.363,345.0,14.9,0.36,0.332,grensgeval
COAT-001,53,53.9,40.9,46.8,5.08,11.6,44.9,4.1,2.416,345.0,14.9,0.04,0.082,grensgeval
COAT-001,54,53.8,41.2,47.5,5.19,11.9,45.7,4.2,2.498,345.0,14.9,0.23,0.192,grensgeval
COAT-001,55,53.4,39.5,46.7,5.26,12.0,46.6,4.1,2.494,345.0,14.9,0.62,0.261,grensgeval
COAT-001,56,53.6,40.6,47.6,5.21,12.3,45.1,4.1,2.565,345.0,14.9,0.44,0.214,grensgeval
COAT-001,57,53.9,40.0,46.6,5.16,11.5,44.8,4.0,2.652,345.0,14.9,0.2,0.16,grensgeval
COAT-001,58,53.4,40.9,47.0,5.2,11.8,47.3,4.2,2.651,345.0,14.9,0.81,0.2,grensgeval
COAT-001,59,54.2,40.8,47.8,5.29,11.9,46.5,4.2,2.739,345.0,14.9,0.01,0.288,grensgeval
COAT-001,60,53.9,41.0,47.3,5.13,11.9,45.2,4.0,2.823,345.0,14.9,0.36,0.133,grensgeval
COAT-001,61,53.8,40.1,46.7,5.16,11.6,45.5,4.0,2.855,345.0,14.9,0.49,0.159,grensgeval
COAT-001,62,53.9,39.8,47.0,5.22,12.1,44.6,4.2,2.906,345.0,14.9,0.38,0.223,grensgeval
COAT-001,63,53.8,40.5,47.2,5.3,12.1,43.6,4.1,2.935,345.0,14.9,0.56,0.304,grensgeval
COAT-001,64,54.2,41.8,48.8,5.2,11.8,47.7,4.2,3.006,345.0,14.9,0.19,0.196,grensgeval
COAT-001,65,53.4,40.6,47.1,5.07,12.1,44.5,4.1,3.019,345.0,14.9,0.97,0.073,grensgeval
COAT-001,66,53.8,40.7,47.5,5.14,11.6,46.6,4.1,3.135,345.0,14.9,0.62,0.137,grensgeval
COAT-001,67,53.9,40.5,47.4,5.2,11.8,46.2,4.3,3.153,345.0,14.9,0.58,0.205,grensgeval
COAT-001,68,53.7,40.0,47.1,5.26,12.3,45.4,4.2,3.228,345.0,14.9,0.76,0.257,grensgeval
COAT-001,69,54.1,41.2,47.5,5.17,11.9,43.7,4.1,3.192,345.0,14.9,0.38,0.167,grensgeval
COAT-001,70,54.2,40.9,47.4,5.23,12.1,44.7,4.1,3.253,345.0,14.9,0.34,0.233,grensgeval
COAT-001,71,54.3,41.7,48.3,5.14,12.1,44.4,4.3,3.344,345.0,14.9,0.3,0.135,grensgeval
COAT-001,72,54.6,41.4,48.1,5.32,12.0,44.3,4.2,3.431,345.0,14.9,0.03,0.316,grensgeval
COAT-001,73,54.4,40.9,47.7,5.23,11.8,45.2,4.2,3.412,345.0,14.9,0.16,0.235,grensgeval
COAT-001,74,54.1,42.0,47.7,5.29,12.2,45.5,4.4,3.409,345.0,14.9,0.52,0.293,grensgeval
COAT-001,75,54.2,41.7,48.1,5.37,11.6,47.3,4.4,3.482,345.0,14.9,0.42,0.371,grensgeval
COAT-001,76,54.6,41.0,47.9,5.24,11.9,45.9,4.1,3.573,345.0,14.9,0.06,0.241,grensgeval
COAT-001,77,54.9,42.8,49.1,5.22,12.0,46.9,4.4,3.643,345.0,14.9,0.21,0.224,grensgeval
COAT-001,78,54.3,41.0,48.0,5.32,12.0,47.8,4.2,3.663,345.0,14.9,0.41,0.316,grensgeval
COAT-001,79,54.4,41.3,47.8,5.2,11.9,46.0,4.3,3.722,345.0,14.9,0.36,0.199,grensgeval
COAT-001,80,54.4,41.4,47.8,5.24,12.1,48.1,4.2,3.767,345.0,14.9,0.35,0.235,grensgeval
COAT-001,81,54.7,40.3,47.4,5.19,12.2,46.8,4.4,3.834,345.0,14.9,0.0,0.194,grensgeval
COAT-001,82,54.9,40.9,48.0,5.19,11.8,44.4,4.4,3.853,345.0,14.9,0.18,0.192,grensgeval
COAT-001,83,55.1,42.3,48.8,5.31,11.7,46.5,4.4,3.923,345.0,14.9,0.38,0.306,grensgeval
COAT-001,84,54.3,40.2,46.9,5.25,11.8,47.0,4.2,3.975,345.0,14.9,0.48,0.249,grensgeval
COAT-001,85,54.7,42.7,48.9,5.11,11.8,43.6,4.3,4.072,345.0,14.9,0.13,0.114,grensgeval
COAT-001,86,54.2,41.3,47.8,5.27,12.0,47.0,4.5,4.036,345.0,14.9,0.63,0.272,grensgeval
COAT-001,87,54.7,41.1,48.0,5.29,12.2,44.4,4.4,4.104,345.0,14.9,0.13,0.292,grensgeval
COAT-001,88,54.3,40.8,47.2,5.23,12.2,44.8,4.4,4.179,345.0,14.9,0.53,0.23,grensgeval
COAT-001,89,54.2,40.7,47.5,5.23,11.9,47.7,4.3,4.237,345.0,14.9,0.6,0.233,grensgeval
COAT-001,90,53.8,40.3,47.4,5.26,12.1,46.5,4.4,4.31,345.0,14.9,0.98,0.264,grensgeval
COAT-001,91,54.5,41.0,47.6,5.18,12.0,46.1,4.4,4.322,345.0,14.9,0.3,0.185,grensgeval
COAT-001,92,55.1,42.2,48.6,5.24,12.1,46.9,4.4,4.371,345.0,14.9,0.21,0.239,grensgeval
COAT-001,93,54.7,41.3,48.0,5.1,11.9,45.4,4.5,4.431,345.0,14.9,0.18,0.098,grensgeval
COAT-001,94,55.1,41.6,48.3,5.12,12.3,47.3,4.4,4.499,345.0,14.9,0.26,0.121,grensgeval
COAT-001,95,54.4,41.9,48.2,5.27,11.7,46.3,4.4,4.497,345.0,14.9,0.5,0.269,grensgeval
COAT-001,96,54.7,42.4,48.8,5.13,12.1,45.7,4.4,4.592,345.0,14.9,0.17,0.134,grensgeval
COAT-001,97,54.5,41.8,47.8,5.18,12.2,45.2,4.5,4.623,345.0,14.9,0.4,0.182,grensgeval
COAT-001,98,54.0,40.7,47.6,5.42,12.1,46.6,4.5,4.666,345.0,14.9,0.85,0.417,grensgeval
COAT-001,99,54.3,40.8,47.7,5.31,11.6,46.7,4.5,4.766,345.0,14.9,0.58,0.306,grensgeval
COAT-001,100,54.7,41.6,47.7,5.26,12.1,45.4,4.5,4.788,345.0,14.9,0.15,0.261,grensgeval
COAT-001,101,54.7,42.4,48.8,5.1,12.2,46.5,4.4,4.824,345.0,14.9,0.19,0.101,grensgeval
COAT-001,102,54.4,40.7,47.2,5.15,11.6,43.9,4.5,4.903,345.0,14.9,0.52,0.147,grensgeval
COAT-001,103,54.4,41.5,47.6,5.21,11.8,45.0,4.7,4.925,345.0,14.9,0.56,0.205,grensgeval
COAT-001,104,54.1,41.2,48.2,5.38,12.0,46.9,4.5,4.954,345.0,14.9,0.83,0.381,grensgeval
COAT-001,105,54.3,41.3,48.1,5.33,12.2,46.3,4.5,5.029,345.0,14.9,0.59,0.326,grensgeval
COAT-001,106,54.0,40.7,47.3,5.15,11.9,45.6,4.5,5.07,345.0,14.9,0.9,0.148,grensgeval
