alarm_id,timestamp,tag,prioriteit,type,status,duur_sec,is_nuisance,in_alarm_flood,operator_actie,dag_type,shift
148,2025-01-01 08:15:34,CA-801,laag,communicatie,acknowledged,475,1,0,geen,werkdag,dag
164,2025-01-01 08:22:14,CA-801,laag,communicatie,acknowledged,262,1,0,acknowledge,werkdag,dag
160,2025-01-01 08:35:04,CA-801,laag,communicatie,acknowledged,39,1,0,acknowledge,werkdag,dag
17,2025-01-01 08:54:46,TAH-102,medium,temperatuur,acknowledged,325,1,0,actie_genomen,werkdag,dag
68,2025-01-01 09:20:03,LAL-401,hoog,niveau,actief,83,0,0,geen,werkdag,dag
165,2025-01-01 09:20:14,CA-801,laag,communicatie,acknowledged,107,1,0,acknowledge,werkdag,dag
26,2025-01-01 09:28:26,PAH-202,laag,druk,actief,278,1,0,acknowledge,werkdag,dag
35,2025-01-01 09:33:46,PAH-202,laag,druk,teruggekeerd,160,1,0,actie_genomen,werkdag,dag
111,2025-01-01 09:34:15,XA-502,laag,equipment,acknowledged,216,1,0,geen,werkdag,dag
14,2025-01-01 09:34:30,TAH-102,medium,temperatuur,actief,355,1,0,actie_genomen,werkdag,dag
16,2025-01-01 09:52:23,TAH-102,medium,temperatuur,teruggekeerd,283,1,0,actie_genomen,werkdag,dag
33,2025-01-01 09:56:24,PAH-202,laag,druk,actief,203,1,0,actie_genomen,werkdag,dag
80,2025-01-01 10:08:40,XA-502,laag,equipment,acknowledged,26,1,0,acknowledge,werkdag,dag
94,2025-01-01 10:09:49,XA-502,laag,equipment,acknowledged,282,1,0,actie_genomen,werkdag,dag
42,2025-01-01 10:14:02,FAH-301,medium,debiet,actief,80,0,0,acknowledge,werkdag,dag
143,2025-01-01 10:15:36,CA-801,laag,communicatie,actief,141,1,0,geen,werkdag,dag
61,2025-01-01 10:19:23,LAH-401,hoog,niveau,teruggekeerd,412,0,0,actie_genomen,werkdag,dag
82,2025-01-01 10:20:18,XA-502,laag,equipment,actief,206,1,0,acknowledge,werkdag,dag
69,2025-01-01 10:27:02,LAHH-401,kritiek,niveau,teruggekeerd,10,0,0,acknowledge,werkdag,dag
99,2025-01-01 10:36:20,XA-502,laag,equipment,teruggekeerd,612,1,0,geen,werkdag,dag
24,2025-01-01 10:44:07,PAH-202,laag,druk,acknowledged,534,1,0,acknowledge,werkdag,dag
116,2025-01-01 10:45:03,XA-502,laag,equipment,acknowledged,136,1,0,actie_genomen,werkdag,dag
153,2025-01-01 10:53:23,CA-801,laag,communicatie,acknowledged,265,1,0,actie_genomen,werkdag,dag
38,2025-01-01 11:02:01,FAL-301,hoog,debiet,actief,67,0,0,acknowledge,werkdag,dag
54,2025-01-01 11:09:30,FAL-302,medium,debiet,teruggekeerd,109,1,0,actie_genomen,werkdag,dag
110,2025-01-01 11:10:17,XA-502,laag,equipment,actief,191,1,0,acknowledge,werkdag,dag
128,2025-01-01 11:16:39,CA-801,laag,communicatie,acknowledged,696,1,0,acknowledge,werkdag,dag
104,2025-01-01 11:38:38,XA-502,laag,equipment,teruggekeerd,30,1,0,acknowledge,werkdag,dag
152,2025-01-01 11:53:48,CA-801,laag,communicatie,acknowledged,2,1,0,acknowledge,werkdag,dag
74,2025-01-01 11:54:38,XA-501,medium,equipment,actief,519,0,0,acknowledge,werkdag,dag
88,2025-01-01 12:00:35,XA-502,laag,equipment,acknowledged,318,1,0,geen,werkdag,dag
47,2025-01-01 12:05:58,FAL-302,medium,debiet,acknowledged,31,1,0,actie_genomen,werkdag,dag
133,2025-01-01 12:05:58,CA-801,laag,communicatie,actief,2,1,0,suppress,werkdag,dag
134,2025-01-01 12:18:30,CA-801,laag,communicatie,teruggekeerd,205,1,0,acknowledge,werkdag,dag
112,2025-01-01 12:29:43,XA-502,laag,equipment,teruggekeerd,134,1,0,acknowledge,werkdag,dag
87,2025-01-01 12:30:37,XA-502,laag,equipment,acknowledged,472,1,0,acknowledge,werkdag,dag
141,2025-01-01 12:34:18,CA-801,laag,communicatie,teruggekeerd,144,1,0,actie_genomen,werkdag,dag
31,2025-01-01 12:50:56,PAH-202,laag,druk,acknowledged,235,1,0,geen,werkdag,dag
62,2025-01-01 12:51:12,LAH-401,hoog,niveau,acknowledged,764,0,0,actie_genomen,werkdag,dag
135,2025-01-01 12:52:15,CA-801,laag,communicatie,actief,447,1,0,geen,werkdag,dag
96,2025-01-01 13:00:11,XA-502,laag,equipment,acknowledged,202,1,0,suppress,werkdag,dag
86,2025-01-01 13:13:22,XA-502,laag,equipment,acknowledged,129,1,0,acknowledge,werkdag,dag
115,2025-01-01 13:14:08,XA-502,laag,equipment,acknowledged,39,1,0,actie_genomen,werkdag,dag
20,2025-01-01 13:19:40,PAH-201,hoog,druk,acknowledged,19,0,0,acknowledge,werkdag,dag
81,2025-01-01 13:40:27,XA-502,laag,equipment,teruggekeerd,846,1,0,acknowledge,werkdag,dag
103,2025-01-01 13:46:27,XA-502,laag,equipment,actief,144,1,0,geen,werkdag,dag
46,2025-01-01 14:14:00,FAL-302,medium,debiet,teruggekeerd,37,1,0,geen,werkdag,avond
157,2025-01-01 14:15:35,CA-801,laag,communicatie,acknowledged,133,1,0,acknowledge,werkdag,avond
84,2025-01-01 14:41:12,XA-502,laag,equipment,acknowledged,592,1,0,suppress,werkdag,avond
97,2025-01-01 14:42:58,XA-502,laag,equipment,acknowledged,160,1,0,acknowledge,werkdag,avond
129,2025-01-01 14:46:42,CA-801,laag,communicatie,acknowledged,172,1,0,suppress,werkdag,avond
114,2025-01-01 15:15:08,XA-502,laag,equipment,actief,494,1,0,acknowledge,werkdag,avond
122,2025-01-01 15:17:25,AAH-601,medium,analyse,actief,155,0,0,actie_genomen,werkdag,avond
66,2025-01-01 15:26:03,LAL-401,hoog,niveau,acknowledged,936,0,0,actie_genomen,werkdag,avond
102,2025-01-01 15:41:02,XA-502,laag,equipment,acknowledged,205,1,0,suppress,werkdag,avond
126,2025-01-01 15:47:24,AAL-601,medium,analyse,actief,872,0,0,geen,werkdag,avond
70,2025-01-01 15:51:03,LALL-401,kritiek,niveau,acknowledged,93,0,0,actie_genomen,werkdag,avond
132,2025-01-01 15:55:50,CA-801,laag,communicatie,actief,81,1,0,suppress,werkdag,avond
79,2025-01-01 16:07:56,XA-502,laag,equipment,teruggekeerd,94,1,0,actie_genomen,werkdag,avond
10,2025-01-01 16:40:55,TAH-102,medium,temperatuur,actief,44,1,0,suppress,werkdag,avond
78,2025-01-01 16:51:35,XA-502,laag,equipment,acknowledged,310,1,0,acknowledge,werkdag,avond
44,2025-01-01 16:52:30,FAL-302,medium,debiet,actief,328,1,0,acknowledge,werkdag,avond
3,2025-01-01 16:57:45,TAL-101,hoog,temperatuur,teruggekeerd,232,0,0,suppress,werkdag,avond
32,2025-01-01 17:07:19,PAH-202,laag,druk,acknowledged,228,1,0,actie_genomen,werkdag,avond
91,2025-01-01 17:08:39,XA-502,laag,equipment,actief,441,1,0,acknowledge,werkdag,avond
75,2025-01-01 17:16:02,XA-501,medium,equipment,actief,649,0,0,acknowledge,werkdag,avond
118,2025-01-01 17:32:32,XA-502,laag,equipment,teruggekeerd,216,1,0,acknowledge,werkdag,avond
123,2025-01-01 17:32:57,AAH-601,medium,analyse,acknowledged,864,0,0,acknowledge,werkdag,avond
12,2025-01-01 17:40:43,TAH-102,medium,temperatuur,acknowledged,28,1,0,geen,werkdag,avond
95,2025-01-01 17:45:23,XA-502,laag,equipment,acknowledged,314,1,0,actie_genomen,werkdag,avond
25,2025-01-01 17:46:51,PAH-202,laag,druk,actief,221,1,0,actie_genomen,werkdag,avond
155,2025-01-01 17:47:23,CA-801,laag,communicatie,actief,541,1,0,acknowledge,werkdag,avond
162,2025-01-01 18:07:05,CA-801,laag,communicatie,actief,109,1,0,geen,werkdag,avond
72,2025-01-01 18:10:41,XA-501,medium,equipment,actief,1755,0,0,geen,werkdag,avond
30,2025-01-01 18:31:30,PAH-202,laag,druk,acknowledged,14,1,0,suppress,werkdag,avond
109,2025-01-01 18:34:55,XA-502,laag,equipment,acknowledged,1290,1,0,acknowledge,werkdag,avond
158,2025-01-01 18:49:05,CA-801,laag,communicatie,acknowledged,213,1,0,geen,werkdag,avond
45,2025-01-01 18:49:37,FAL-302,medium,debiet,acknowledged,1620,1,0,actie_genomen,werkdag,avond
154,2025-01-01 18:53:35,CA-801,laag,communicatie,acknowledged,492,1,0,suppress,werkdag,avond
163,2025-01-01 18:58:30,CA-801,laag,communicatie,acknowledged,1349,1,0,acknowledge,werkdag,avond
101,2025-01-01 19:07:01,XA-502,laag,equipment,acknowledged,180,1,0,actie_genomen,werkdag,avond
146,2025-01-01 19:17:10,CA-801,laag,communicatie,actief,33,1,0,acknowledge,werkdag,avond
67,2025-01-01 19:17:47,LAL-401,hoog,niveau,acknowledged,49,0,0,acknowledge,werkdag,avond
65,2025-01-01 19:35:38,LAH-401,hoog,niveau,acknowledged,661,0,0,actie_genomen,werkdag,avond
108,2025-01-01 19:59:22,XA-502,laag,equipment,teruggekeerd,69,1,0,suppress,werkdag,avond
120,2025-01-01 20:00:09,XA-502,laag,equipment,actief,210,1,0,acknowledge,werkdag,avond
98,2025-01-01 20:20:16,XA-502,laag,equipment,acknowledged,46,1,0,acknowledge,werkdag,avond
6,2025-01-01 20:24:51,TAH-102,medium,temperatuur,acknowledged,610,1,0,acknowledge,werkdag,avond
90,2025-01-01 20:27:23,XA-502,laag,equipment,acknowledged,195,1,0,geen,werkdag,avond
43,2025-01-01 20:37:34,FAH-301,medium,debiet,acknowledged,76,0,0,actie_genomen,werkdag,avond
22,2025-01-01 20:46:42,PAH-202,laag,druk,teruggekeerd,81,1,0,actie_genomen,werkdag,avond
52,2025-01-01 20:53:32,FAL-302,medium,debiet,acknowledged,748,1,0,actie_genomen,werkdag,avond
7,2025-01-01 20:58:04,TAH-102,medium,temperatuur,acknowledged,370,1,0,acknowledge,werkdag,avond
89,2025-01-01 21:01:21,XA-502,laag,equipment,acknowledged,232,1,0,actie_genomen,werkdag,avond
137,2025-01-01 21:02:49,CA-801,laag,communicatie,actief,1090,1,0,acknowledge,werkdag,avond
59,2025-01-01 21:05:08,FAL-302,medium,debiet,actief,1124,1,0,actie_genomen,werkdag,avond
93,2025-01-01 21:08:11,XA-502,laag,equipment,actief,257,1,0,actie_genomen,werkdag,avond
1,2025-01-01 21:08:40,TAH-101,hoog,temperatuur,teruggekeerd,31,0,0,suppress,werkdag,avond
23,2025-01-01 21:20:05,PAH-202,laag,druk,acknowledged,11,1,0,acknowledge,werkdag,avond
13,2025-01-01 21:28:56,TAH-102,medium,temperatuur,teruggekeerd,55,1,0,acknowledge,werkdag,avond
11,2025-01-01 21:39:43,TAH-102,medium,temperatuur,teruggekeerd,176,1,0,acknowledge,werkdag,avond
49,2025-01-01 21:40:33,FAL-302,medium,debiet,acknowledged,61,1,0,geen,werkdag,avond
113,2025-01-01 21:54:36,XA-502,laag,equipment,actief,54,1,0,suppress,werkdag,avond
53,2025-01-01 22:28:33,FAL-302,medium,debiet,teruggekeerd,279,1,0,suppress,werkdag,nacht
51,2025-01-01 22:31:48,FAL-302,medium,debiet,acknowledged,56,1,0,suppress,werkdag,nacht
5,2025-01-01 22:45:00,TAH-102,medium,temperatuur,acknowledged,168,1,0,geen,werkdag,nacht
28,2025-01-01 22:46:25,PAH-202,laag,druk,actief,20,1,0,geen,werkdag,nacht
125,2025-01-01 22:46:50,AAL-601,medium,analyse,actief,364,0,0,acknowledge,werkdag,nacht
119,2025-01-01 23:10:21,XA-502,laag,equipment,actief,1210,1,0,acknowledge,werkdag,nacht
64,2025-01-01 23:15:11,LAH-401,hoog,niveau,actief,655,0,0,actie_genomen,werkdag,nacht
100,2025-01-01 23:20:37,XA-502,laag,equipment,acknowledged,554,1,0,actie_genomen,werkdag,nacht
9,2025-01-01 23:29:39,TAH-102,medium,temperatuur,actief,429,1,0,acknowledge,werkdag,nacht
36,2025-01-01 23:36:17,PAH-202,laag,druk,acknowledged,809,1,0,actie_genomen,werkdag,nacht
149,2025-01-01 23:48:38,CA-801,laag,communicatie,teruggekeerd,968,1,0,geen,werkdag,nacht
248,2025-01-02 00:07:01,XA-501,medium,equipment,actief,262,0,0,suppress,werkdag,nacht
314,2025-01-02 00:12:32,CA-801,laag,communicatie,acknowledged,101,1,0,actie_genomen,werkdag,nacht
263,2025-01-02 00:12:48,XA-502,laag,equipment,acknowledged,149,1,0,actie_genomen,werkdag,nacht
294,2025-01-02 00:42:06,CA-801,laag,communicatie,actief,201,1,0,acknowledge,werkdag,nacht
172,2025-01-02 01:14:11,TAH-102,medium,temperatuur,teruggekeerd,491,1,0,acknowledge,werkdag,nacht
223,2025-01-02 01:28:06,FAL-302,medium,debiet,actief,342,1,0,acknowledge,werkdag,nacht
241,2025-01-02 01:28:39,LAL-401,hoog,niveau,acknowledged,14,0,0,acknowledge,werkdag,nacht
233,2025-01-02 01:32:55,FAL-302,medium,debiet,teruggekeerd,123,1,0,geen,werkdag,nacht
218,2025-01-02 01:33:08,FAL-302,medium,debiet,acknowledged,6,1,0,acknowledge,werkdag,nacht
203,2025-01-02 01:35:54,PAH-202,laag,druk,actief,73,1,0,geen,werkdag,nacht
182,2025-01-02 01:54:53,PAH-201,hoog,druk,actief,178,0,0,actie_genomen,werkdag,nacht
175,2025-01-02 02:13:05,TAH-102,medium,temperatuur,acknowledged,17,1,0,acknowledge,werkdag,nacht
236,2025-01-02 02:16:10,LAH-401,hoog,niveau,acknowledged,951,0,0,actie_genomen,werkdag,nacht
292,2025-01-02 02:48:57,CA-801,laag,communicatie,actief,81,1,0,actie_genomen,werkdag,nacht
291,2025-01-02 02:57:25,CA-801,laag,communicatie,teruggekeerd,362,1,0,actie_genomen,werkdag,nacht
300,2025-01-02 03:54:28,CA-801,laag,communicatie,acknowledged,116,1,0,actie_genomen,werkdag,nacht
270,2025-01-02 04:00:10,XA-502,laag,equipment,actief,211,1,0,acknowledge,werkdag,nacht
287,2025-01-02 04:05:27,CA-801,laag,communicatie,acknowledged,28,1,0,actie_genomen,werkdag,nacht
167,2025-01-02 04:19:06,TAL-101,hoog,temperatuur,acknowledged,1539,0,0,actie_genomen,werkdag,nacht
201,2025-01-02 04:24:04,PAH-202,laag,druk,actief,59,1,0,acknowledge,werkdag,nacht
316,2025-01-02 04:58:08,CA-801,laag,communicatie,acknowledged,169,1,0,acknowledge,werkdag,nacht
280,2025-01-02 05:02:34,AAL-601,medium,analyse,acknowledged,465,0,0,actie_genomen,werkdag,nacht
183,2025-01-02 05:14:04,PAH-201,hoog,druk,actief,1647,0,0,geen,werkdag,nacht
190,2025-01-02 05:15:03,PAH-202,laag,druk,acknowledged,209,1,0,suppress,werkdag,nacht
198,2025-01-02 05:27:31,PAH-202,laag,druk,teruggekeerd,204,1,0,actie_genomen,werkdag,nacht
303,2025-01-02 05:36:34,CA-801,laag,communicatie,actief,234,1,0,actie_genomen,werkdag,nacht
249,2025-01-02 05:50:25,XA-502,laag,equipment,teruggekeerd,145,1,0,actie_genomen,werkdag,nacht
179,2025-01-02 05:57:20,TAH-102,medium,temperatuur,actief,299,1,0,acknowledge,werkdag,nacht
216,2025-01-02 06:16:09,FAL-302,medium,debiet,teruggekeerd,330,1,0,actie_genomen,werkdag,dag
301,2025-01-02 06:31:07,CA-801,laag,communicatie,actief,32,1,0,actie_genomen,werkdag,dag
260,2025-01-02 06:31:14,XA-502,laag,equipment,acknowledged,128,1,0,geen,werkdag,dag
206,2025-01-02 06:35:16,PAH-202,laag,druk,acknowledged,91,1,0,actie_genomen,werkdag,dag
243,2025-01-02 06:47:15,LALL-401,kritiek,niveau,teruggekeerd,94,0,0,actie_genomen,werkdag,dag
208,2025-01-02 07:02:17,PAH-202,laag,druk,acknowledged,141,1,0,actie_genomen,werkdag,dag
285,2025-01-02 07:15:26,CA-801,laag,communicatie,teruggekeerd,199,1,0,geen,werkdag,dag
173,2025-01-02 07:15:50,TAH-102,medium,temperatuur,acknowledged,214,1,0,actie_genomen,werkdag,dag
313,2025-01-02 07:18:53,CA-801,laag,communicatie,actief,184,1,0,actie_genomen,werkdag,dag
239,2025-01-02 07:19:00,LAL-401,hoog,niveau,actief,1022,0,0,actie_genomen,werkdag,dag
309,2025-01-02 07:29:56,CA-801,laag,communicatie,teruggekeerd,1035,1,0,actie_genomen,werkdag,dag
219,2025-01-02 07:36:39,FAL-302,medium,debiet,teruggekeerd,276,1,0,acknowledge,werkdag,dag
227,2025-01-02 07:58:41,FAL-302,medium,debiet,acknowledged,344,1,0,geen,werkdag,dag
271,2025-01-02 08:35:03,XA-502,laag,equipment,acknowledged,461,1,0,suppress,werkdag,dag
290,2025-01-02 08:38:38,CA-801,laag,communicatie,actief,236,1,0,acknowledge,werkdag,dag
193,2025-01-02 08:44:37,PAH-202,laag,druk,teruggekeerd,575,1,0,acknowledge,werkdag,dag
245,2025-01-02 08:58:13,XA-501,medium,equipment,acknowledged,217,0,0,acknowledge,werkdag,dag
191,2025-01-02 08:58:48,PAH-202,laag,druk,acknowledged,191,1,0,geen,werkdag,dag
315,2025-01-02 09:19:13,CA-801,laag,communicatie,acknowledged,145,1,0,actie_genomen,werkdag,dag
304,2025-01-02 09:28:45,CA-801,laag,communicatie,acknowledged,920,1,0,acknowledge,werkdag,dag
269,2025-01-02 09:41:05,XA-502,laag,equipment,acknowledged,322,1,0,geen,werkdag,dag
247,2025-01-02 09:52:39,XA-501,medium,equipment,acknowledged,564,0,0,geen,werkdag,dag
228,2025-01-02 10:00:03,FAL-302,medium,debiet,actief,190,1,0,acknowledge,werkdag,dag
188,2025-01-02 10:01:35,PAH-202,laag,druk,actief,275,1,0,actie_genomen,werkdag,dag
252,2025-01-02 10:11:30,XA-502,laag,equipment,actief,136,1,0,actie_genomen,werkdag,dag
277,2025-01-02 10:12:29,XA-502,laag,equipment,actief,95,1,0,geen,werkdag,dag
237,2025-01-02 10:19:14,LAH-401,hoog,niveau,acknowledged,1113,0,0,acknowledge,werkdag,dag
284,2025-01-02 10:24:38,CA-801,laag,communicatie,acknowledged,74,1,0,actie_genomen,werkdag,dag
187,2025-01-02 10:25:59,PAH-202,laag,druk,teruggekeerd,381,1,0,actie_genomen,werkdag,dag
224,2025-01-02 10:35:30,FAL-302,medium,debiet,actief,91,1,0,geen,werkdag,dag
195,2025-01-02 10:55:55,PAH-202,laag,druk,acknowledged,255,1,0,acknowledge,werkdag,dag
170,2025-01-02 11:04:15,TAH-102,medium,temperatuur,acknowledged,438,1,0,acknowledge,werkdag,dag
231,2025-01-02 11:05:09,FAL-302,medium,debiet,acknowledged,154,1,0,actie_genomen,werkdag,dag
288,2025-01-02 11:05:10,CA-801,laag,communicatie,teruggekeerd,217,1,0,actie_genomen,werkdag,dag
166,2025-01-02 11:17:33,TAH-101,hoog,temperatuur,acknowledged,656,0,0,acknowledge,werkdag,dag
235,2025-01-02 11:31:23,LAH-401,hoog,niveau,actief,440,0,0,actie_genomen,werkdag,dag
274,2025-01-02 11:33:23,XA-502,laag,equipment,acknowledged,381,1,0,geen,werkdag,dag
205,2025-01-02 11:43:48,PAH-202,laag,druk,teruggekeerd,282,1,0,geen,werkdag,dag
272,2025-01-02 11:57:16,XA-502,laag,equipment,acknowledged,15,1,0,actie_genomen,werkdag,dag
225,2025-01-02 12:00:51,FAL-302,medium,debiet,acknowledged,50,1,0,acknowledge,werkdag,dag
289,2025-01-02 12:04:47,CA-801,laag,communicatie,actief,168,1,0,acknowledge,werkdag,dag
296,2025-01-02 12:11:10,CA-801,laag,communicatie,acknowledged,393,1,0,geen,werkdag,dag
238,2025-01-02 12:19:41,LAH-401,hoog,niveau,actief,937,0,0,actie_genomen,werkdag,dag
279,2025-01-02 12:22:53,AAH-601,medium,analyse,acknowledged,640,0,0,actie_genomen,werkdag,dag
184,2025-01-02 12:24:41,PAL-201,medium,druk,acknowledged,104,0,0,geen,werkdag,dag
221,2025-01-02 12:31:02,FAL-302,medium,debiet,actief,76,1,0,acknowledge,werkdag,dag
222,2025-01-02 12:32:53,FAL-302,medium,debiet,actief,316,1,0,acknowledge,werkdag,dag
177,2025-01-02 12:43:43,TAH-102,medium,temperatuur,acknowledged,101,1,0,actie_genomen,werkdag,dag
189,2025-01-02 12:46:18,PAH-202,laag,druk,acknowledged,47,1,0,geen,werkdag,dag
312,2025-01-02 12:53:26,CA-801,laag,communicatie,actief,51,1,0,acknowledge,werkdag,dag
244,2025-01-02 13:03:19,XA-501,medium,equipment,acknowledged,247,0,0,acknowledge,werkdag,dag
210,2025-01-02 13:10:02,PAH-202,laag,druk,actief,594,1,0,geen,werkdag,dag
185,2025-01-02 13:11:19,PAH-202,laag,druk,actief,345,1,0,acknowledge,werkdag,dag
257,2025-01-02 13:15:44,XA-502,laag,equipment,acknowledged,426,1,0,actie_genomen,werkdag,dag
174,2025-01-02 13:32:13,TAH-102,medium,temperatuur,acknowledged,418,1,0,actie_genomen,werkdag,dag
259,2025-01-02 13:32:55,XA-502,laag,equipment,teruggekeerd,87,1,0,acknowledge,werkdag,dag
220,2025-01-02 13:35:59,FAL-302,medium,debiet,acknowledged,574,1,0,actie_genomen,werkdag,dag
181,2025-01-02 13:45:24,PAH-201,hoog,druk,teruggekeerd,173,0,0,acknowledge,werkdag,dag
307,2025-01-02 13:59:11,CA-801,laag,communicatie,acknowledged,156,1,0,geen,werkdag,dag
311,2025-01-02 14:03:03,CA-801,laag,communicatie,acknowledged,660,1,0,acknowledge,werkdag,avond
276,2025-01-02 14:08:23,XA-502,laag,equipment,acknowledged,37,1,0,suppress,werkdag,avond
214,2025-01-02 14:10:41,FAL-302,medium,debiet,acknowledged,284,1,0,acknowledge,werkdag,avond
298,2025-01-02 14:15:16,CA-801,laag,communicatie,acknowledged,714,1,0,geen,werkdag,avond
180,2025-01-02 14:17:14,TAH-102,medium,temperatuur,acknowledged,120,1,0,geen,werkdag,avond
213,2025-01-02 14:31:41,FAL-302,medium,debiet,teruggekeerd,380,1,0,acknowledge,werkdag,avond
295,2025-01-02 14:37:10,CA-801,laag,communicatie,actief,43,1,0,acknowledge,werkdag,avond
286,2025-01-02 14:50:50,CA-801,laag,communicatie,teruggekeerd,4,1,0,acknowledge,werkdag,avond
