sample_id,kamer,positie,onderhoudscyclus,temp_zone1_C,temp_zone2_C,temp_zone3_C,druk_mbar,gasflow_1_sccm,gasflow_2_sccm,vermogen_W,procestijd_min,kamer_vochtigheid_pct,substraat_temp_C,inline_dikte_nm,inline_reflectantie,lab_dikte_nm,lab_uniformiteit_pct,lab_stress_MPa,lab_gemeten
VM-00096,Chamber_C,corner,32,194.0,206.9,222.7,4.68,102.5,46.4,501,44.3,2.19,176.2,94.2,0.5044,,,,0
VM-00097,Chamber_C,edge,7,207.8,208.8,213.4,5.09,97.8,46.1,523,80.9,2.08,177.9,99.3,0.4744,,,,0
VM-00098,Chamber_B,edge,38,203.2,209.7,217.8,5.28,100.5,52.4,499,71.0,2.13,181.8,102.0,0.507,,,,0
VM-00099,Chamber_C,corner,22,200.1,204.4,217.1,4.86,102.9,50.3,503,101.5,1.98,178.0,103.2,0.4776,,,,0
VM-00100,Chamber_B,edge,42,198.1,209.5,220.9,5.22,97.2,45.7,497,36.5,1.76,179.3,97.6,0.4877,,,,0
VM-00101,Chamber_B,center,33,202.8,209.7,232.8,4.83,97.3,48.7,493,119.3,2.34,179.7,101.7,0.4987,,,,0
VM-00102,Chamber_B,edge,29,202.8,207.5,220.9,4.57,89.4,51.4,502,66.5,1.24,184.2,96.2,0.4981,,,,0
VM-00103,Chamber_A,edge,47,197.7,200.5,219.9,4.95,111.6,54.8,513,31.2,2.0,177.2,89.3,0.5049,,,,0
VM-00104,Chamber_A,center,40,201.8,217.8,217.5,4.62,101.8,53.3,448,70.1,2.25,179.9,96.6,0.5094,104.5,93.4,66.4,1
VM-00105,Chamber_A,center,30,195.1,209.4,216.6,4.82,94.5,54.5,488,71.8,2.05,180.0,99.3,0.5013,,,,0
VM-00106,Chamber_B,edge,20,195.7,205.3,211.3,5.03,90.9,51.6,490,119.0,3.06,183.0,105.9,0.4974,,,,0
VM-00107,Chamber_B,edge,1,201.3,209.0,227.5,4.89,102.0,52.6,472,55.5,2.2,182.3,101.4,0.493,,,,0
VM-00108,Chamber_A,center,8,193.9,208.1,215.8,4.87,100.1,49.7,499,81.3,1.79,183.7,92.8,0.5101,97.84,93.6,39.7,1
VM-00109,Chamber_C,corner,37,195.8,210.4,212.4,4.72,102.9,45.8,495,36.8,1.49,182.7,93.4,0.4944,,,,0
VM-00110,Chamber_C,edge,31,203.0,212.5,215.3,5.32,90.8,45.9,505,49.6,2.41,180.1,101.1,0.5003,,,,0
VM-00111,Chamber_B,corner,32,187.7,211.3,224.9,4.99,110.4,49.7,493,103.4,1.58,182.2,108.1,0.5162,,,,0
VM-00112,Chamber_B,center,21,198.7,210.2,223.1,5.14,97.7,50.2,491,61.0,1.91,179.7,98.7,0.4766,,,,0
VM-00113,Chamber_A,center,11,198.0,216.0,220.9,5.08,104.4,48.9,502,48.7,3.39,180.2,95.1,0.5109,,,,0
VM-00114,Chamber_B,center,1,199.9,208.9,219.2,5.52,99.2,58.1,517,115.1,2.87,181.5,100.9,0.5073,,,,0
VM-00115,Chamber_B,edge,47,205.8,210.7,224.3,4.52,101.0,47.7,488,42.2,2.41,178.6,95.3,0.4726,,,,0
VM-00116,Chamber_C,center,45,202.1,204.1,220.6,5.09,102.5,48.7,524,78.7,2.0,180.1,107.8,0.4973,,,,0
VM-00117,Chamber_B,corner,41,197.6,205.4,220.9,4.8,98.5,51.9,514,51.3,1.99,181.9,93.8,0.5133,,,,0
VM-00118,Chamber_C,edge,39,211.6,215.7,226.0,4.69,97.9,49.1,502,93.8,2.11,180.9,115.1,0.5139,102.79,91.9,49.7,1
VM-00119,Chamber_C,center,18,196.6,211.7,216.9,5.24,103.2,43.6,487,43.1,2.09,178.1,102.2,0.5025,,,,0
VM-00120,Chamber_C,center,40,196.4,202.7,225.5,5.56,99.1,53.2,530,71.2,1.76,182.3,105.2,0.4825,,,,0
VM-00121,Chamber_C,center,8,204.9,214.1,217.0,4.95,92.9,51.9,515,42.7,1.92,184.9,107.0,0.5186,,,,0
VM-00122,Chamber_C,center,18,200.4,206.6,221.4,5.07,105.3,51.1,503,38.0,1.38,180.2,95.7,0.5022,,,,0
VM-00123,Chamber_B,edge,42,199.1,206.4,228.2,4.68,98.5,52.3,484,78.1,2.08,173.7,98.0,0.4836,,,,0
VM-00124,Chamber_B,corner,11,190.4,208.0,226.8,5.2,106.3,45.8,501,43.3,1.77,178.0,117.6,0.5121,,,,0
VM-00125,Chamber_B,edge,26,192.2,207.8,219.8,4.87,92.8,50.7,508,111.1,1.96,179.1,91.4,0.5011,,,,0
VM-00126,Chamber_C,center,23,206.1,208.6,221.6,4.44,100.2,47.8,521,108.4,1.8,180.6,108.2,0.4914,,,,0
VM-00127,Chamber_C,center,2,201.6,217.4,222.0,5.03,109.4,50.8,472,34.3,2.48,184.1,103.2,0.5096,,,,0
VM-00128,Chamber_B,center,11,200.3,214.4,223.8,4.76,99.5,50.3,530,67.3,1.97,180.0,110.5,0.484,,,,0
VM-00129,Chamber_A,edge,4,195.2,209.0,212.9,5.41,100.7,46.2,522,103.8,2.11,177.9,109.5,0.5017,,,,0
VM-00130,Chamber_B,edge,20,193.8,209.7,219.4,5.01,97.9,45.4,496,100.2,1.96,179.0,95.2,0.5064,,,,0
VM-00131,Chamber_B,center,36,197.0,206.7,210.6,4.41,97.5,45.3,496,70.6,1.6,179.8,111.0,0.5004,,,,0
VM-00132,Chamber_B,center,12,198.5,210.3,222.0,4.27,99.1,52.4,478,31.1,2.11,176.4,99.0,0.5002,101.31,93.6,63.1,1
VM-00133,Chamber_B,corner,22,202.6,210.5,222.0,5.17,99.1,53.3,510,41.9,1.39,181.4,100.7,0.5052,,,,0
VM-00134,Chamber_B,edge,21,197.4,212.6,216.9,5.05,94.6,48.7,546,112.0,1.65,178.6,104.3,0.4958,,,,0
VM-00135,Chamber_B,corner,32,198.3,205.6,217.5,5.01,101.0,54.9,490,83.1,1.66,178.6,97.3,0.4779,,,,0
VM-00136,Chamber_A,edge,35,198.2,211.2,213.6,5.06,106.9,52.1,494,76.8,2.36,182.2,100.7,0.5006,,,,0
VM-00137,Chamber_C,center,48,197.3,216.8,218.8,4.94,103.8,50.2,488,61.0,2.0,179.2,97.2,0.486,,,,0
VM-00138,Chamber_B,center,22,199.7,209.0,214.8,4.69,99.4,49.1,505,110.6,0.75,178.0,108.8,0.5091,,,,0
VM-00139,Chamber_B,edge,10,195.5,213.3,215.2,5.03,94.5,48.4,465,115.1,2.38,183.8,96.5,0.5084,,,,0
VM-00140,Chamber_B,center,35,203.7,212.5,211.9,5.07,108.0,51.0,483,74.1,1.81,181.6,98.6,0.5239,,,,0
VM-00141,Chamber_C,center,26,196.8,210.0,213.5,4.9,101.1,45.4,522,68.6,1.28,178.5,100.1,0.5144,,,,0
VM-00142,Chamber_A,center,23,198.4,208.2,210.7,5.16,111.4,51.9,506,104.5,1.54,179.8,97.0,0.4847,,,,0
VM-00143,Chamber_C,center,29,200.3,205.6,229.6,4.61,92.4,50.4,506,50.4,1.86,176.5,97.1,0.467,,,,0
VM-00144,Chamber_B,edge,45,203.0,214.3,219.6,4.39,99.7,48.1,501,80.9,2.86,175.1,107.0,0.5026,,,,0
VM-00145,Chamber_C,center,26,197.3,211.6,219.9,5.23,98.9,45.5,541,90.4,1.49,172.9,96.6,0.503,,,,0
VM-00146,Chamber_B,corner,14,193.7,211.9,220.0,5.18,98.8,50.3,528,60.8,1.78,178.4,91.6,0.511,,,,0
VM-00147,Chamber_A,center,28,201.0,211.1,225.0,5.24,110.1,47.1,489,83.8,2.36,183.1,104.9,0.5179,,,,0
VM-00148,Chamber_C,center,2,187.2,211.8,219.9,5.31,101.7,50.6,484,100.2,1.52,176.6,102.7,0.5038,,,,0
VM-00149,Chamber_B,edge,15,204.4,215.3,223.8,4.81,104.3,52.4,512,58.1,1.69,177.7,110.4,0.4927,,,,0
VM-00150,Chamber_B,center,42,208.3,201.6,216.8,5.09,101.7,51.1,489,86.6,1.71,175.7,83.1,0.4984,,,,0
VM-00151,Chamber_B,center,24,209.0,208.5,216.1,5.7,96.9,47.2,490,108.6,2.41,179.6,106.0,0.5221,,,,0
VM-00152,Chamber_B,edge,48,205.0,209.2,224.7,4.73,95.1,44.1,500,63.9,1.76,176.8,103.8,0.4915,,,,0
VM-00153,Chamber_A,corner,7,204.9,206.0,227.2,4.84,102.1,51.5,515,96.5,2.61,174.0,99.6,0.5007,,,,0
VM-00154,Chamber_B,corner,17,193.3,204.7,225.9,4.94,98.3,51.0,490,69.7,2.38,177.9,93.8,0.4889,,,,0
VM-00155,Chamber_B,center,10,202.7,210.4,217.7,5.23,90.9,49.8,492,95.1,1.43,180.6,101.8,0.4904,,,,0
VM-00156,Chamber_A,edge,40,198.5,201.7,218.3,4.86,94.4,56.0,496,75.0,1.92,175.1,97.9,0.503,,,,0
VM-00157,Chamber_C,edge,46,190.9,210.8,220.2,4.71,96.7,48.8,471,48.2,2.3,183.9,102.2,0.4962,,,,0
VM-00158,Chamber_C,center,32,196.0,209.8,218.0,4.65,105.4,45.4,514,46.0,3.08,181.7,99.9,0.4949,,,,0
VM-00159,Chamber_C,center,10,193.9,215.3,221.5,4.66,102.1,50.7,497,30.8,2.27,179.1,89.5,0.4988,,,,0
VM-00160,Chamber_C,center,38,198.7,215.0,231.7,5.07,103.1,49.6,515,57.6,1.33,182.4,108.4,0.4829,,,,0
VM-00161,Chamber_C,center,1,203.1,211.7,233.4,4.7,109.6,52.1,503,41.7,1.59,184.5,96.5,0.5013,,,,0
VM-00162,Chamber_A,corner,3,198.1,209.8,219.8,5.39,102.1,55.4,511,60.0,1.88,181.1,102.2,0.4921,,,,0
VM-00163,Chamber_A,center,27,194.6,211.3,223.7,5.9,102.5,52.3,505,55.5,1.09,174.4,107.1,0.5136,,,,0
VM-00164,Chamber_C,corner,14,200.6,208.8,212.3,4.87,94.9,41.4,506,115.6,2.83,181.6,110.8,0.4983,,,,0
VM-00165,Chamber_A,center,13,204.0,197.5,227.3,4.8,101.2,48.7,506,112.6,1.59,175.5,94.9,0.5037,,,,0
VM-00166,Chamber_A,center,21,196.5,199.8,218.7,5.3,98.7,48.3,470,85.3,2.91,180.6,100.4,0.4817,95.28,93.8,37.5,1
VM-00167,Chamber_A,edge,6,199.1,216.0,218.9,4.7,96.1,51.3,513,80.8,2.03,179.6,98.3,0.5113,,,,0
VM-00168,Chamber_A,center,29,212.6,208.0,214.8,4.95,100.6,47.3,498,84.7,1.81,184.3,98.4,0.4935,,,,0
VM-00169,Chamber_A,corner,30,200.2,211.1,225.2,5.43,104.0,49.1,505,55.3,2.32,182.5,105.9,0.5096,,,,0
VM-00170,Chamber_B,center,27,197.0,206.8,221.0,5.16,101.0,51.1,497,84.6,1.78,182.6,101.9,0.4927,99.65,93.7,42.6,1
VM-00171,Chamber_A,center,20,200.3,211.2,221.7,4.76,100.0,51.3,549,94.6,1.45,182.4,110.5,0.4788,,,,0
VM-00172,Chamber_B,center,31,206.8,205.3,216.7,4.47,103.7,51.4,525,102.5,1.61,182.1,91.3,0.5025,,,,0
VM-00173,Chamber_C,center,43,204.4,212.0,221.4,4.91,100.7,49.8,492,34.4,1.95,183.3,104.7,0.5018,,,,0
VM-00174,Chamber_C,corner,24,203.6,205.8,215.2,5.1,93.7,49.7,481,71.6,2.42,181.8,96.0,0.4986,95.23,92.4,55.0,1
VM-00175,Chamber_B,edge,6,199.5,217.2,213.4,4.95,92.8,48.7,511,41.1,2.59,182.4,98.7,0.5185,,,,0
VM-00176,Chamber_A,center,24,203.7,210.6,224.7,5.08,94.4,50.8,504,78.6,2.52,178.7,102.7,0.5036,,,,0
VM-00177,Chamber_C,edge,30,196.7,211.0,227.3,5.2,98.1,49.9,517,109.2,1.67,177.8,108.5,0.5109,,,,0
VM-00178,Chamber_A,edge,42,192.7,203.8,212.3,5.2,99.3,55.9,471,70.1,2.22,181.7,95.3,0.4917,,,,0
VM-00179,Chamber_A,center,22,203.4,206.5,206.0,5.74,99.3,47.4,499,105.5,1.53,183.1,94.0,0.5112,,,,0
VM-00180,Chamber_C,center,11,196.0,209.9,224.6,5.07,97.0,47.0,470,68.9,1.89,182.3,99.5,0.4974,,,,0
VM-00181,Chamber_C,center,17,200.3,214.4,219.8,5.04,106.1,54.3,518,57.2,2.19,177.5,105.2,0.5125,,,,0
VM-00182,Chamber_A,edge,9,198.9,211.9,216.7,5.07,109.6,50.0,494,102.6,2.72,179.4,106.6,0.516,,,,0
VM-00183,Chamber_C,center,7,192.5,209.3,221.5,4.82,97.5,54.8,516,48.2,1.58,178.9,112.4,0.4935,,,,0
VM-00184,Chamber_B,center,47,202.7,206.4,215.3,4.84,98.4,50.7,507,36.1,1.18,182.8,92.5,0.4815,,,,0
VM-00185,Chamber_C,center,24,196.6,209.3,212.5,4.91,100.8,47.4,511,97.2,1.12,179.8,98.8,0.5037,,,,0
VM-00186,Chamber_A,edge,49,196.2,206.2,219.5,5.35,111.7,53.4,478,86.6,1.7,179.1,106.5,0.5096,,,,0
VM-00187,Chamber_B,center,14,202.2,217.9,224.1,5.59,101.0,49.9,468,78.2,1.72,178.8,104.0,0.5097,,,,0
VM-00188,Chamber_B,center,35,204.5,207.1,218.7,5.39,100.9,52.5,485,89.4,2.76,181.7,101.1,0.5008,,,,0
VM-00189,Chamber_A,corner,27,197.5,213.5,218.8,5.04,101.6,47.1,517,92.0,2.08,183.2,100.0,0.492,,,,0
VM-00190,Chamber_A,edge,10,205.7,207.9,212.6,4.63,106.4,56.9,511,56.4,1.36,181.8,101.5,0.4872,,,,0
VM-00191,Chamber_C,edge,30,195.6,202.4,217.2,4.96,90.7,53.2,475,40.8,2.2,180.9,101.5,0.4775,,,,0
VM-00192,Chamber_C,edge,2,198.6,216.2,214.9,5.32,102.8,51.6,518,57.8,2.92,176.0,101.3,0.5176,,,,0
VM-00193,Chamber_C,corner,48,202.2,207.5,220.1,4.91,106.9,55.6,508,34.9,2.54,179.0,95.7,0.5139,,,,0
