timestamp,dag,temp_sp_C,temp_actueel_C,pH_sp,pH_actueel,DO_sp_pct,DO_actueel_pct,viable_celdichtheid_celmL,totale_celdichtheid_celmL,viabiliteit_pct,glucose_mmolL,glutamine_mmolL,lactaat_mmolL,ammonium_mmolL,osmolaliteit_mOsmkg,titer_gL,perfusiesnelheid_VVD,bleed_rate_VVD,lucht_sparge_Lmin,O2_sparge_Lmin,CO2_sparge_Lmin,turbiditeit_AU,filter_druk_bar,cultuur_fase,event
2025-01-15 10:00:00,0.42,37.0,37.08,7.0,7.088,40.0,38.5,635586,841002,75.4,24.67,4.22,-0.15,-0.005,285,0.029,0.51,0.006,0.05,0.083,0.0086,0.57,0.203,lag,normaal
2025-01-15 11:00:00,0.46,37.0,36.99,7.0,7.094,40.0,39.6,674334,920882,72.7,24.84,4.19,-0.02,0.088,291,0.038,0.507,0.0,0.045,0.014,0.0011,0.53,0.205,lag,normaal
2025-01-15 12:00:00,0.5,37.0,36.97,7.0,7.077,40.0,39.6,700862,928594,75.8,24.79,4.01,0.16,0.021,295,0.021,0.513,0.0036,0.054,0.024,0.0061,0.51,0.195,lag,normaal
2025-01-15 13:00:00,0.54,37.0,37.01,7.0,7.08,40.0,40.3,641566,974745,64.8,25.13,4.03,0.07,-0.023,290,0.009,0.512,0.0,0.053,-0.005,0.0038,0.29,0.196,lag,normaal
2025-01-15 14:00:00,0.58,37.0,36.92,7.0,7.064,40.0,40.0,628658,961125,65.4,25.25,4.12,0.26,0.019,288,0.0,0.496,0.0,0.051,-0.0,0.0062,0.45,0.217,lag,normaal
2025-01-15 15:00:00,0.62,37.0,37.06,7.0,7.09,40.0,39.2,647581,987060,65.5,25.05,3.93,-0.09,-0.073,292,0.0,0.518,0.0029,0.055,0.036,0.0043,0.64,0.192,lag,normaal
2025-01-15 16:00:00,0.67,37.0,37.0,7.0,7.075,40.0,40.1,619072,1019106,61.1,25.12,4.06,0.23,-0.128,292,0.0,0.55,0.0,0.055,0.002,0.0073,0.64,0.201,lag,normaal
2025-01-15 17:00:00,0.71,37.0,37.02,7.0,7.093,40.0,39.6,629733,1067704,58.7,25.06,4.01,-0.29,-0.108,286,0.015,0.525,0.0017,0.052,0.023,0.0004,0.62,0.207,lag,normaal
2025-01-15 18:00:00,0.75,37.0,37.07,7.0,7.067,40.0,39.3,684416,1114916,60.7,24.57,3.93,0.24,-0.02,289,0.014,0.494,0.0011,0.051,0.056,-0.0016,0.44,0.195,lag,normaal
2025-01-15 19:00:00,0.79,37.0,36.94,7.0,7.074,40.0,39.8,637219,1155974,55.1,25.13,3.95,-0.13,-0.015,291,0.016,0.524,0.0057,0.049,0.007,0.0014,0.66,0.186,lag,normaal
2025-01-15 20:00:00,0.83,37.0,37.03,7.0,7.058,40.0,39.1,657071,1186488,55.5,25.1,3.94,-0.01,0.013,292,0.019,0.51,0.0051,0.056,0.049,0.0068,0.52,0.194,lag,normaal
2025-01-15 21:00:00,0.88,37.0,36.91,7.0,7.08,40.0,39.9,654858,1286962,51.3,24.94,4.17,-0.17,-0.008,283,0.013,0.501,0.0,0.058,0.006,0.0147,0.72,0.215,lag,normaal
2025-01-15 22:00:00,0.92,37.0,37.04,7.0,7.023,40.0,41.1,668616,1350587,49.5,24.96,3.87,0.05,0.04,291,0.034,0.497,0.0014,0.048,0.018,-0.0086,0.52,0.202,lag,normaal
2025-01-15 23:00:00,0.96,37.0,37.02,7.0,6.996,40.0,39.7,666834,1411505,47.5,25.32,3.81,0.06,0.031,294,0.031,0.49,0.0,0.051,0.032,0.0049,0.4,0.198,lag,normaal
2025-01-16 00:00:00,1.0,37.0,37.05,7.0,7.003,40.0,39.9,751426,1440938,52.5,25.54,3.97,0.28,-0.014,290,0.026,0.546,0.001,0.046,0.0,-0.0029,0.52,0.191,lag,normaal
2025-01-16 01:00:00,1.04,37.0,37.04,7.0,7.027,40.0,38.2,753802,1499538,50.3,24.67,3.97,-0.36,0.065,294,0.019,0.514,0.0,0.047,0.086,0.0086,0.67,0.222,lag,normaal
2025-01-16 02:00:00,1.08,37.0,36.97,7.0,6.963,40.0,40.4,769122,1567346,49.5,25.07,3.99,0.13,-0.003,288,0.031,0.505,0.0024,0.052,-0.001,-0.0042,0.59,0.2,lag,normaal
2025-01-16 03:00:00,1.12,37.0,37.07,7.0,6.944,40.0,41.1,768458,1652012,46.4,25.34,3.96,0.16,0.072,286,0.036,0.512,0.0024,0.055,0.009,-0.0037,0.41,0.203,lag,normaal
2025-01-16 04:00:00,1.17,37.0,36.98,7.0,6.979,40.0,40.0,852212,1698116,51.0,24.65,3.92,0.07,0.022,287,0.033,0.523,0.0,0.056,-0.01,-0.0073,0.39,0.212,lag,normaal
2025-01-16 05:00:00,1.21,37.0,36.97,7.0,6.961,40.0,38.5,820379,1805354,45.3,24.96,4.08,-0.14,0.066,286,0.04,0.498,0.0,0.048,0.081,-0.0002,0.64,0.197,lag,normaal
2025-01-16 06:00:00,1.25,37.0,36.97,7.0,6.915,40.0,41.9,764055,1849410,41.8,24.8,4.12,-0.06,-0.009,295,0.035,0.532,0.0063,0.048,0.003,-0.0034,0.67,0.207,lag,normaal
2025-01-16 07:00:00,1.29,37.0,36.97,7.0,6.935,40.0,40.0,874852,1879273,45.3,24.98,3.97,0.43,-0.044,289,0.054,0.486,0.0044,0.053,-0.001,-0.0058,0.66,0.207,lag,normaal
2025-01-16 08:00:00,1.33,37.0,36.96,7.0,6.895,40.0,39.2,878285,1947831,45.4,24.95,3.9,0.17,0.006,291,0.052,0.476,0.0002,0.05,0.054,0.0017,0.49,0.207,lag,normaal
2025-01-16 09:00:00,1.38,37.0,37.0,7.0,6.92,40.0,38.1,947346,2013082,47.8,25.68,4.0,-0.03,-0.007,291,0.054,0.513,0.0,0.057,0.092,-0.0036,0.5,0.205,lag,normaal
2025-01-16 10:00:00,1.42,37.0,36.97,7.0,6.909,40.0,38.2,931409,2067583,45.0,24.66,4.0,-0.51,-0.002,289,0.042,0.567,0.0035,0.051,0.085,0.006,0.69,0.19,lag,normaal
2025-01-16 11:00:00,1.46,37.0,36.89,7.0,6.885,40.0,39.6,1014547,2163807,46.2,25.18,4.04,0.0,-0.01,293,0.031,0.517,0.0,0.048,0.016,-0.006,0.48,0.225,lag,normaal
2025-01-16 12:00:00,1.5,37.0,36.94,7.0,6.886,40.0,39.9,1073751,2186838,49.3,24.91,3.94,0.02,0.077,291,0.019,0.502,0.0,0.052,0.008,-0.0037,0.74,0.21,lag,normaal
2025-01-16 13:00:00,1.54,37.0,36.97,7.0,6.904,40.0,40.1,1107325,2276592,48.1,25.12,3.99,0.03,0.021,291,0.014,0.527,0.0,0.048,-0.002,0.0038,0.59,0.213,lag,normaal
2025-01-16 14:00:00,1.58,37.0,36.96,7.0,6.916,40.0,39.2,1164311,2397951,48.6,25.13,3.87,0.08,0.053,291,0.014,0.485,0.0037,0.06,0.017,0.0056,0.47,0.194,lag,normaal
2025-01-16 15:00:00,1.62,37.0,36.98,7.0,6.883,40.0,40.3,1241677,2470827,50.4,25.23,4.0,0.08,0.04,290,0.005,0.534,0.0036,0.045,-0.001,0.0016,0.62,0.191,lag,normaal
2025-01-16 16:00:00,1.67,37.0,37.03,7.0,6.906,40.0,38.1,1249195,2549856,49.6,25.76,3.8,-0.1,0.004,295,0.008,0.514,0.0,0.052,0.102,0.0063,0.57,0.214,lag,normaal
2025-01-16 17:00:00,1.71,37.0,37.01,7.0,6.934,40.0,39.0,1221019,2633938,46.1,24.97,4.08,0.14,0.07,292,0.018,0.538,0.0029,0.049,0.042,0.0,0.43,0.216,lag,normaal
2025-01-16 18:00:00,1.75,37.0,37.08,7.0,6.906,40.0,38.9,1244410,2745108,45.5,25.08,4.04,0.32,-0.045,288,0.01,0.5,0.0099,0.05,0.053,-0.0033,0.71,0.206,lag,normaal
2025-01-16 19:00:00,1.79,37.0,36.95,7.0,6.961,40.0,40.5,1337810,2822476,47.1,24.94,4.14,0.15,0.131,293,0.014,0.488,0.0,0.049,-0.001,0.0035,0.61,0.229,lag,normaal
2025-01-16 20:00:00,1.83,37.0,37.03,7.0,6.932,40.0,40.3,1377188,2851591,48.8,24.91,3.86,0.07,-0.031,290,0.013,0.523,0.0035,0.055,-0.01,0.0071,0.85,0.225,lag,normaal
2025-01-16 21:00:00,1.88,37.0,37.0,7.0,6.977,40.0,39.6,1377710,2924856,48.3,24.68,3.92,0.1,-0.108,292,0.004,0.5,0.0004,0.051,0.031,0.0048,0.62,0.208,lag,normaal
2025-01-16 22:00:00,1.92,37.0,37.02,7.0,6.98,40.0,39.3,1427282,3070653,46.3,25.02,4.09,-0.17,0.041,287,0.001,0.524,0.0,0.052,0.037,-0.0041,0.62,0.196,lag,normaal
2025-01-16 23:00:00,1.96,37.0,37.07,7.0,7.004,40.0,41.3,1463876,3177500,45.9,25.13,3.98,0.22,-0.038,285,0.0,0.546,0.0,0.055,-0.001,-0.0009,0.78,0.204,lag,normaal
2025-01-17 00:00:00,2.0,37.0,37.02,7.0,7.02,40.0,40.1,1537547,3254813,47.1,25.43,3.95,-0.45,-0.051,292,0.0,0.494,0.0035,0.058,-0.008,0.0098,0.73,0.201,afsterving,normaal
2025-01-17 01:00:00,2.04,37.0,37.03,7.0,7.012,40.0,40.2,1550897,3308299,47.0,24.86,3.81,-0.28,0.023,291,0.0,0.525,0.0,0.042,-0.004,0.0009,0.6,0.184,afsterving,normaal
2025-01-17 02:00:00,2.08,37.0,36.93,7.0,7.043,40.0,39.2,1661164,3357053,49.8,24.66,4.12,0.03,-0.008,291,0.007,0.579,0.0017,0.05,0.05,0.002,0.84,0.198,afsterving,normaal
2025-01-17 03:00:00,2.12,37.0,36.9,7.0,7.02,40.0,40.3,1704631,3446499,49.5,25.25,4.05,0.15,-0.031,287,0.021,0.539,0.0,0.059,-0.009,0.0001,0.67,0.21,afsterving,normaal
2025-01-17 04:00:00,2.17,37.0,37.04,7.0,7.05,40.0,39.7,1740107,3549509,49.8,24.81,4.02,-0.2,-0.043,292,0.015,0.498,0.0108,0.067,0.008,0.0005,0.87,0.224,afsterving,normaal
2025-01-17 05:00:00,2.21,37.0,36.96,7.0,7.054,40.0,39.4,1742540,3706074,46.5,24.78,3.93,0.04,0.077,289,0.034,0.529,0.0002,0.055,0.011,0.0076,0.58,0.227,afsterving,normaal
2025-01-17 06:00:00,2.25,37.0,36.98,7.0,7.087,40.0,39.8,1789137,3801270,46.6,25.19,3.98,0.06,0.037,290,0.048,0.506,0.0,0.053,0.019,0.0142,0.71,0.21,afsterving,normaal
2025-01-17 07:00:00,2.29,37.0,37.03,7.0,7.066,40.0,40.8,1813720,3879710,47.0,24.38,4.06,0.06,0.018,287,0.053,0.502,0.0011,0.061,0.012,0.0101,0.75,0.205,afsterving,normaal
2025-01-17 08:00:00,2.33,37.0,36.95,7.0,7.077,40.0,39.5,1922575,3955085,48.1,24.59,3.99,-0.0,0.053,291,0.057,0.526,0.0,0.054,0.021,0.0037,0.66,0.196,afsterving,normaal
2025-01-17 09:00:00,2.38,37.0,37.0,7.0,7.079,40.0,38.1,1967479,4038271,48.8,25.04,4.0,0.3,0.031,293,0.062,0.545,0.0036,0.049,0.084,0.0022,0.57,0.205,afsterving,normaal
2025-01-17 10:00:00,2.42,37.0,37.01,7.0,7.107,40.0,40.5,2028199,4056602,49.7,24.8,4.07,0.16,-0.025,290,0.054,0.529,0.0,0.056,0.005,0.018,0.69,0.203,afsterving,normaal
2025-01-17 11:00:00,2.46,37.0,37.06,7.0,7.071,40.0,39.0,2035509,4192632,49.0,25.67,4.1,0.02,-0.074,286,0.035,0.52,0.0,0.055,0.048,0.0032,0.63,0.228,afsterving,normaal
2025-01-17 12:00:00,2.5,37.0,37.01,7.0,7.107,40.0,40.4,2190086,4344581,50.7,24.42,3.77,0.31,0.051,291,0.02,0.568,0.0,0.055,-0.001,0.0036,0.61,0.232,afsterving,normaal
2025-01-17 13:00:00,2.54,37.0,37.02,7.0,7.141,40.0,41.0,2217457,4469943,49.9,25.41,4.1,-0.05,-0.126,291,0.001,0.571,0.0,0.051,-0.015,0.014,0.65,0.213,afsterving,normaal
2025-01-17 14:00:00,2.58,37.0,37.0,7.0,7.128,40.0,40.2,2221525,4543543,49.1,24.91,3.98,0.19,0.093,287,0.0,0.546,0.0035,0.056,0.016,0.0153,0.47,0.211,afsterving,normaal
2025-01-17 15:00:00,2.62,37.0,37.04,7.0,7.083,40.0,39.3,2257802,4662399,47.8,25.07,3.84,-0.19,-0.003,288,0.001,0.516,0.0111,0.056,0.049,0.0072,0.65,0.215,afsterving,normaal
2025-01-17 16:00:00,2.67,37.0,36.9,7.0,7.047,40.0,40.1,2286181,4765821,47.7,24.89,4.01,-0.19,-0.024,290,0.0,0.507,0.0069,0.055,-0.007,0.0123,0.67,0.215,afsterving,normaal
2025-01-17 17:00:00,2.71,37.0,37.09,7.0,7.074,40.0,39.7,2387546,4894090,49.1,24.78,3.91,-0.05,0.037,289,0.0,0.54,0.0015,0.055,-0.003,0.0082,0.76,0.215,afsterving,normaal
2025-01-17 18:00:00,2.75,37.0,37.08,7.0,7.119,40.0,39.1,2469048,4986166,49.1,24.74,4.01,-0.16,0.077,292,0.01,0.544,0.0,0.051,0.047,0.0204,0.68,0.204,afsterving,normaal
2025-01-17 19:00:00,2.79,37.0,37.0,7.0,7.058,40.0,39.2,2550240,5172228,49.0,25.18,4.06,-0.28,-0.055,286,0.0,0.51,0.0063,0.049,0.024,0.0088,0.65,0.206,afsterving,normaal
2025-01-17 20:00:00,2.83,37.0,37.04,7.0,7.054,40.0,38.6,2592489,5355478,47.8,24.67,4.01,-0.01,0.017,292,0.009,0.552,0.0,0.053,0.063,0.0127,0.62,0.213,afsterving,normaal
2025-01-17 21:00:00,2.88,37.0,36.98,7.0,7.04,40.0,39.6,2682132,5450871,49.0,24.74,4.06,0.4,0.006,290,0.019,0.569,0.004,0.052,0.009,0.0058,0.82,0.213,afsterving,normaal
2025-01-17 22:00:00,2.92,37.0,36.99,7.0,7.055,40.0,41.8,2776645,5625998,48.8,25.06,4.02,0.06,0.052,295,0.023,0.566,0.0019,0.061,-0.01,-0.0009,0.75,0.22,afsterving,normaal
2025-01-17 23:00:00,2.96,37.0,37.05,7.0,6.994,40.0,41.5,2814726,5800332,48.3,24.75,3.93,0.18,-0.01,291,0.023,0.565,0.0,0.055,0.005,-0.009,0.68,0.22,afsterving,normaal
2025-01-18 00:00:00,3.0,37.0,37.01,7.0,7.043,40.0,41.3,2881710,5991479,48.1,24.86,3.9,-0.0,-0.05,282,0.027,0.568,0.0,0.053,-0.006,0.0008,0.63,0.211,afsterving,normaal
2025-01-18 01:00:00,3.04,37.0,37.07,7.0,6.969,40.0,38.9,2889199,6199486,45.9,25.17,3.97,-0.22,0.028,293,0.037,0.559,0.0025,0.057,0.064,-0.0016,0.73,0.223,afsterving,normaal
2025-01-18 02:00:00,3.08,37.0,37.02,7.0,7.001,40.0,39.7,2972244,6340880,47.3,24.94,3.96,0.14,0.072,288,0.026,0.56,0.0035,0.058,0.0,-0.0018,0.82,0.217,afsterving,normaal
2025-01-18 03:00:00,3.12,37.0,37.06,7.0,6.964,40.0,39.8,3095129,6524073,48.2,25.34,3.87,0.21,-0.069,294,0.016,0.555,0.0025,0.061,0.002,0.0071,0.7,0.226,afsterving,normaal
2025-01-18 04:00:00,3.17,37.0,36.96,7.0,6.943,40.0,40.8,3168899,6760813,46.5,24.98,3.97,0.28,0.073,289,0.019,0.565,0.0016,0.054,-0.02,-0.001,0.89,0.228,afsterving,normaal
2025-01-18 05:00:00,3.21,37.0,36.98,7.0,6.938,40.0,40.3,3221769,6983257,45.9,24.83,3.83,0.09,-0.053,285,0.023,0.573,0.0038,0.054,0.009,0.0001,0.98,0.195,afsterving,normaal
2025-01-18 06:00:00,3.25,37.0,37.01,7.0,6.962,40.0,40.9,3348212,7228341,46.4,25.44,4.1,-0.03,-0.022,288,0.005,0.532,0.0083,0.06,0.003,0.0003,0.79,0.2,afsterving,normaal
2025-01-18 07:00:00,3.29,37.0,37.04,7.0,6.91,40.0,41.2,3431156,7400785,47.0,24.66,3.92,0.04,0.06,291,0.001,0.568,0.0,0.052,0.011,0.0068,0.79,0.22,afsterving,normaal
2025-01-18 08:00:00,3.33,37.0,36.98,7.0,6.901,40.0,39.7,3522781,7611105,47.3,25.35,3.83,0.2,0.039,288,0.0,0.618,0.0,0.053,0.022,-0.0047,0.77,0.227,afsterving,normaal
2025-01-18 09:00:00,3.38,37.0,37.07,7.0,6.908,40.0,39.2,3658611,7857668,46.0,25.44,4.07,-0.13,-0.053,290,0.004,0.577,0.0,0.053,0.026,-0.0105,0.81,0.223,afsterving,normaal
2025-01-18 10:00:00,3.42,37.0,37.05,7.0,6.918,40.0,40.9,3773930,8069587,46.2,25.27,3.97,0.58,-0.037,293,0.0,0.546,0.0046,0.051,-0.0,0.0071,1.02,0.216,afsterving,normaal
2025-01-18 11:00:00,3.46,37.0,37.02,7.0,6.897,40.0,40.0,3852159,8269552,47.4,24.51,3.97,-0.01,0.037,289,0.0,0.605,0.0,0.062,-0.0,0.005,0.75,0.212,afsterving,normaal
2025-01-18 12:00:00,3.5,37.0,36.92,7.0,6.945,40.0,39.8,3969493,8502563,46.4,24.63,4.1,0.07,-0.01,287,0.0,0.55,0.0033,0.053,0.017,-0.0004,0.7,0.202,afsterving,normaal
2025-01-18 13:00:00,3.54,37.0,37.01,7.0,6.931,40.0,39.7,4019386,8728178,46.1,25.13,4.0,-0.64,-0.015,292,0.0,0.561,0.0,0.058,0.006,0.0063,0.74,0.187,afsterving,normaal
2025-01-18 14:00:00,3.58,37.0,36.98,7.0,6.893,40.0,40.1,4085461,9022472,44.7,25.04,4.06,0.36,-0.011,288,0.008,0.599,0.0,0.051,-0.008,-0.0043,1.03,0.202,afsterving,normaal
2025-01-18 15:00:00,3.62,37.0,37.02,7.0,6.916,40.0,38.9,4185882,9268761,44.4,25.2,3.89,-0.27,0.016,292,0.01,0.559,0.0013,0.064,0.057,-0.008,1.17,0.225,afsterving,normaal
2025-01-18 16:00:00,3.67,37.0,36.94,7.0,6.928,40.0,40.3,4246742,9489586,44.6,24.81,3.97,0.29,-0.071,291,0.006,0.566,0.0114,0.064,-0.016,-0.0057,0.96,0.228,afsterving,normaal
2025-01-18 17:00:00,3.71,37.0,37.03,7.0,6.943,40.0,40.8,4302730,9760261,44.3,25.32,4.1,0.05,0.018,286,0.0,0.539,0.0,0.07,-0.006,0.0035,1.01,0.219,afsterving,normaal
2025-01-18 18:00:00,3.75,37.0,36.99,7.0,6.924,40.0,39.9,4401565,10046543,44.4,24.72,4.0,-0.27,0.098,287,0.0,0.58,0.0,0.054,0.001,0.003,0.9,0.214,afsterving,normaal
2025-01-18 19:00:00,3.79,37.0,37.05,7.0,6.927,40.0,39.9,4554666,10341399,43.8,24.54,3.97,-0.08,-0.017,288,0.0,0.545,0.0073,0.059,0.009,-0.0048,0.82,0.204,afsterving,normaal
2025-01-18 20:00:00,3.83,37.0,37.03,7.0,6.968,40.0,37.0,4672324,10630598,44.4,25.01,4.07,0.05,0.001,293,0.0,0.564,0.0056,0.05,0.16,-0.0043,0.93,0.232,afsterving,normaal
2025-01-18 21:00:00,3.88,37.0,36.97,7.0,6.989,40.0,39.7,4836813,10938299,45.5,25.39,3.99,-0.25,0.027,286,0.0,0.541,0.0049,0.06,0.017,-0.0001,1.08,0.212,afsterving,normaal
2025-01-18 22:00:00,3.92,37.0,36.96,7.0,6.974,40.0,39.6,4929680,11278897,44.3,24.85,3.9,-0.25,0.04,293,0.0,0.571,0.0,0.068,0.014,0.0069,1.01,0.207,afsterving,normaal
2025-01-18 23:00:00,3.96,37.0,37.06,7.0,6.957,40.0,39.3,5097914,11593331,44.3,24.61,4.09,0.07,0.003,290,0.0,0.54,0.0049,0.07,0.036,0.0005,1.15,0.235,afsterving,normaal
2025-01-19 00:00:00,4.0,37.0,37.06,7.0,6.985,40.0,39.9,5272690,11901896,43.9,24.83,4.13,-0.05,0.046,289,0.0,0.579,0.0,0.064,0.01,0.0029,0.96,0.233,afsterving,normaal
2025-01-19 01:00:00,4.04,37.0,37.03,7.0,7.009,40.0,38.2,5429721,12230360,44.9,25.18,4.21,0.18,-0.047,294,0.011,0.618,0.0032,0.057,0.079,-0.002,1.02,0.221,afsterving,normaal
2025-01-19 02:00:00,4.08,37.0,36.96,7.0,7.025,40.0,39.6,5499241,12560222,43.8,24.96,3.9,-0.1,-0.021,292,0.0,0.622,0.0,0.061,0.035,-0.0066,1.09,0.21,afsterving,normaal
2025-01-19 03:00:00,4.12,37.0,36.94,7.0,7.002,40.0,41.0,5631640,12965717,43.3,25.29,4.03,0.19,-0.013,293,0.0,0.578,0.0023,0.058,0.001,-0.01,1.12,0.245,afsterving,normaal
2025-01-19 04:00:00,4.17,37.0,37.06,7.0,7.01,40.0,38.3,5837012,13273082,43.2,24.88,3.96,-0.07,0.013,289,0.001,0.62,0.0,0.066,0.083,-0.0035,1.05,0.199,afsterving,normaal
2025-01-19 05:00:00,4.21,37.0,37.01,7.0,7.015,40.0,39.0,5987431,13680705,44.5,25.24,3.88,0.03,0.066,295,0.014,0.607,0.0,0.066,0.034,-0.0035,1.03,0.228,afsterving,normaal
2025-01-19 06:00:00,4.25,37.0,37.03,7.0,7.077,40.0,39.6,6099511,14085394,42.0,25.35,3.84,0.08,0.041,287,0.018,0.584,0.0,0.064,0.028,0.0114,1.06,0.213,afsterving,normaal
2025-01-19 07:00:00,4.29,37.0,37.0,7.0,7.07,40.0,38.4,6263864,14498845,43.2,25.11,4.28,-0.25,-0.059,292,0.025,0.594,0.0,0.068,0.077,0.0094,1.03,0.213,afsterving,normaal
2025-01-19 08:00:00,4.33,37.0,36.94,7.0,7.089,40.0,38.9,6419134,14864623,42.7,25.07,4.11,-0.21,-0.037,292,0.02,0.599,0.0023,0.048,0.06,0.0085,1.2,0.225,afsterving,normaal
2025-01-19 09:00:00,4.38,37.0,37.0,7.0,7.108,40.0,39.9,6502418,15256862,43.1,24.71,3.99,-0.16,-0.008,288,0.003,0.634,0.0,0.068,0.01,0.0224,1.05,0.219,afsterving,normaal
2025-01-19 10:00:00,4.42,37.0,36.94,7.0,7.069,40.0,38.0,6578144,15744828,41.2,25.37,4.04,0.4,-0.014,292,0.007,0.598,0.0,0.062,0.111,0.0088,1.17,0.222,afsterving,normaal
2025-01-19 11:00:00,4.46,37.0,37.06,7.0,7.098,40.0,39.2,6790087,16215941,42.1,25.42,3.88,0.08,0.009,291,0.0,0.606,0.0031,0.06,0.032,0.0042,1.21,0.216,afsterving,normaal
2025-01-19 12:00:00,4.5,37.0,37.0,7.0,7.092,40.0,39.7,7032566,16694254,42.6,25.25,3.89,0.19,-0.043,285,0.0,0.608,0.0029,0.062,0.02,0.0029,1.17,0.225,afsterving,normaal
2025-01-19 13:00:00,4.54,37.0,37.04,7.0,7.131,40.0,38.9,7331528,17133022,42.0,24.95,4.16,-0.09,0.017,290,0.006,0.627,0.0,0.071,0.051,0.0173,1.19,0.232,afsterving,normaal
2025-01-19 14:00:00,4.58,37.0,36.96,7.0,7.073,40.0,38.9,7499839,17618840,42.3,24.78,4.05,-0.35,-0.065,286,0.006,0.621,0.0,0.057,0.063,-0.0013,1.38,0.205,afsterving,normaal
2025-01-19 15:00:00,4.62,37.0,37.01,7.0,7.095,40.0,38.8,7711031,18153022,42.1,24.78,3.94,-0.04,0.001,285,0.01,0.589,0.0031,0.057,0.07,0.0063,1.34,0.231,afsterving,normaal
2025-01-19 16:00:00,4.67,37.0,37.04,7.0,7.103,40.0,38.0,7849932,18628866,42.4,24.78,4.03,0.13,0.005,287,0.005,0.67,0.0,0.062,0.101,0.0071,1.22,0.224,afsterving,normaal
2025-01-19 17:00:00,4.71,37.0,36.96,7.0,7.108,40.0,38.3,8047572,19182340,41.3,25.12,4.19,0.1,-0.022,294,0.011,0.66,0.0007,0.075,0.099,0.0094,1.35,0.233,afsterving,normaal
2025-01-19 18:00:00,4.75,37.0,37.04,7.0,7.054,40.0,38.3,8223478,19669225,42.0,24.87,3.92,-0.08,-0.029,290,0.014,0.615,0.0,0.064,0.09,0.0055,1.46,0.211,afsterving,normaal
2025-01-19 19:00:00,4.79,37.0,37.06,7.0,7.073,40.0,40.4,8411507,20187697,42.0,25.04,4.15,0.04,-0.041,287,0.0,0.642,0.0045,0.074,-0.004,0.0151,1.44,0.234,afsterving,normaal
2025-01-19 20:00:00,4.83,37.0,37.03,7.0,7.034,40.0,39.6,8573220,20743890,41.4,24.27,4.14,-0.07,-0.059,291,0.0,0.639,0.0088,0.074,0.051,0.0014,1.54,0.223,afsterving,normaal
2025-01-19 21:00:00,4.88,37.0,36.95,7.0,7.041,40.0,37.6,8861230,21267302,41.7,24.81,3.81,0.17,0.04,293,0.0,0.65,0.0,0.07,0.116,0.0083,1.3,0.215,afsterving,normaal
