loop_tag,loop_type,tuning_kwaliteit,tijd_sec,setpoint,proceswaarde,regeluitgang_pct,afwijking,abs_afwijking
TIC-101,temperatuur,goed,285,150.0,149.113,50.37,0.8867,0.8867
TIC-101,temperatuur,goed,290,150.0,149.217,50.72,0.7828,0.7828
TIC-101,temperatuur,goed,295,150.0,149.358,50.31,0.6419,0.6419
TIC-101,temperatuur,goed,300,150.0,149.278,49.89,0.7218,0.7218
TIC-101,temperatuur,goed,305,150.0,149.356,50.11,0.6441,0.6441
TIC-101,temperatuur,goed,310,150.0,148.739,51.34,1.2609,1.2609
TIC-101,temperatuur,goed,315,150.0,149.698,50.25,0.3015,0.3015
TIC-101,temperatuur,goed,320,150.0,149.768,50.44,0.2324,0.2324
TIC-101,temperatuur,goed,325,150.0,150.253,49.85,-0.2527,0.2527
TIC-101,temperatuur,goed,330,150.0,149.37,50.09,0.6301,0.6301
TIC-101,temperatuur,goed,335,150.0,149.011,50.39,0.9886,0.9886
TIC-101,temperatuur,goed,340,150.0,149.102,50.82,0.8983,0.8983
TIC-101,temperatuur,goed,345,150.0,149.61,50.83,0.3899,0.3899
TIC-101,temperatuur,goed,350,150.0,149.475,50.05,0.5248,0.5248
TIC-101,temperatuur,goed,355,150.0,149.802,49.9,0.198,0.198
TIC-101,temperatuur,goed,360,150.0,150.196,49.74,-0.1961,0.1961
TIC-101,temperatuur,goed,365,150.0,150.278,49.69,-0.278,0.278
TIC-101,temperatuur,goed,370,150.0,150.627,49.44,-0.6273,0.6273
TIC-101,temperatuur,goed,375,150.0,151.332,48.39,-1.3321,1.3321
TIC-101,temperatuur,goed,380,150.0,152.364,47.22,-2.364,2.364
TIC-101,temperatuur,goed,385,150.0,151.68,48.22,-1.6805,1.6805
TIC-101,temperatuur,goed,390,150.0,151.183,47.97,-1.1831,1.1831
TIC-101,temperatuur,goed,395,150.0,151.486,48.2,-1.4857,1.4857
TIC-101,temperatuur,goed,400,150.0,150.351,48.69,-0.3512,0.3512
TIC-101,temperatuur,goed,405,150.0,150.956,49.15,-0.9556,0.9556
TIC-101,temperatuur,goed,410,150.0,150.116,49.65,-0.1158,0.1158
TIC-101,temperatuur,goed,415,150.0,149.782,49.62,0.2175,0.2175
TIC-101,temperatuur,goed,420,150.0,149.119,50.05,0.8808,0.8808
TIC-101,temperatuur,goed,425,150.0,149.262,50.27,0.738,0.738
TIC-101,temperatuur,goed,430,150.0,149.247,50.39,0.7533,0.7533
TIC-101,temperatuur,goed,435,150.0,149.293,50.25,0.7069,0.7069
TIC-101,temperatuur,goed,440,150.0,148.717,50.83,1.2828,1.2828
TIC-101,temperatuur,goed,445,150.0,148.228,51.49,1.772,1.772
TIC-101,temperatuur,goed,450,150.0,147.947,52.2,2.0532,2.0532
TIC-101,temperatuur,goed,455,150.0,147.698,52.13,2.3019,2.3019
TIC-101,temperatuur,goed,460,150.0,147.635,52.31,2.3647,2.3647
TIC-101,temperatuur,goed,465,150.0,147.959,51.97,2.0408,2.0408
TIC-101,temperatuur,goed,470,150.0,148.768,51.33,1.2319,1.2319
TIC-101,temperatuur,goed,475,150.0,148.598,51.79,1.4025,1.4025
TIC-101,temperatuur,goed,480,150.0,149.01,51.3,0.9901,0.9901
TIC-101,temperatuur,goed,485,150.0,149.351,51.42,0.6486,0.6486
TIC-101,temperatuur,goed,490,150.0,150.16,50.46,-0.1603,0.1603
TIC-101,temperatuur,goed,495,150.0,150.04,50.7,-0.04,0.04
TIC-101,temperatuur,goed,500,150.0,149.266,50.66,0.7338,0.7338
TIC-101,temperatuur,goed,505,150.0,149.24,51.14,0.7602,0.7602
TIC-101,temperatuur,goed,510,150.0,150.839,49.9,-0.8391,0.8391
TIC-101,temperatuur,goed,515,150.0,151.426,49.88,-1.4265,1.4265
TIC-101,temperatuur,goed,520,150.0,151.477,48.68,-1.4767,1.4767
TIC-101,temperatuur,goed,525,150.0,152.256,48.04,-2.2556,2.2556
TIC-101,temperatuur,goed,530,150.0,152.593,47.82,-2.5927,2.5927
TIC-101,temperatuur,goed,535,150.0,152.194,48.08,-2.1936,2.1936
TIC-101,temperatuur,goed,540,150.0,152.178,47.89,-2.1779,2.1779
TIC-101,temperatuur,goed,545,150.0,151.886,47.88,-1.8865,1.8865
TIC-101,temperatuur,goed,550,150.0,151.797,47.94,-1.7969,1.7969
TIC-101,temperatuur,goed,555,150.0,153.027,46.76,-3.0271,3.0271
TIC-101,temperatuur,goed,560,150.0,151.79,46.75,-1.7899,1.7899
TIC-101,temperatuur,goed,565,150.0,151.382,47.66,-1.3823,1.3823
TIC-101,temperatuur,goed,570,150.0,151.24,48.1,-1.2398,1.2398
TIC-101,temperatuur,goed,575,150.0,151.271,47.53,-1.2706,1.2706
TIC-101,temperatuur,goed,580,150.0,152.038,47.7,-2.038,2.038
TIC-101,temperatuur,goed,585,150.0,153.204,45.48,-3.2042,3.2042
TIC-101,temperatuur,goed,590,150.0,153.209,45.04,-3.2088,3.2088
TIC-101,temperatuur,goed,595,150.0,153.057,45.6,-3.0566,3.0566
TIC-101,temperatuur,goed,600,150.0,152.209,46.31,-2.209,2.209
TIC-101,temperatuur,goed,605,150.0,152.397,46.23,-2.3968,2.3968
TIC-101,temperatuur,goed,610,150.0,151.952,46.66,-1.952,1.952
TIC-101,temperatuur,goed,615,150.0,153.267,44.97,-3.2669,3.2669
TIC-101,temperatuur,goed,620,150.0,152.632,45.38,-2.6317,2.6317
TIC-101,temperatuur,goed,625,150.0,152.628,45.69,-2.6282,2.6282
TIC-101,temperatuur,goed,630,150.0,152.629,45.5,-2.6288,2.6288
TIC-101,temperatuur,goed,635,150.0,151.698,45.87,-1.6976,1.6976
TIC-101,temperatuur,goed,640,150.0,150.774,46.39,-0.7742,0.7742
TIC-101,temperatuur,goed,645,150.0,151.259,46.71,-1.2594,1.2594
TIC-101,temperatuur,goed,650,150.0,150.7,46.63,-0.6997,0.6997
TIC-101,temperatuur,goed,655,150.0,151.042,46.55,-1.0423,1.0423
TIC-101,temperatuur,goed,660,150.0,150.786,46.25,-0.7864,0.7864
TIC-101,temperatuur,goed,665,150.0,150.032,47.02,-0.0321,0.0321
TIC-101,temperatuur,goed,670,150.0,149.282,47.9,0.7177,0.7177
TIC-101,temperatuur,goed,675,150.0,149.393,48.39,0.6068,0.6068
TIC-101,temperatuur,goed,680,150.0,150.404,47.24,-0.4044,0.4044
TIC-101,temperatuur,goed,685,150.0,149.865,47.05,0.1354,0.1354
TIC-101,temperatuur,goed,690,150.0,150.433,47.88,-0.4333,0.4333
TIC-101,temperatuur,goed,695,150.0,151.225,46.55,-1.2246,1.2246
TIC-101,temperatuur,goed,700,150.0,151.574,45.77,-1.5744,1.5744
TIC-101,temperatuur,goed,705,150.0,150.712,46.92,-0.7123,0.7123
TIC-101,temperatuur,goed,710,150.0,150.651,46.91,-0.6507,0.6507
TIC-101,temperatuur,goed,715,150.0,149.797,46.83,0.2029,0.2029
TIC-101,temperatuur,goed,720,150.0,149.549,47.85,0.4508,0.4508
TIC-101,temperatuur,goed,725,150.0,149.392,48.03,0.6082,0.6082
TIC-101,temperatuur,goed,730,150.0,150.058,47.33,-0.0583,0.0583
TIC-101,temperatuur,goed,735,150.0,150.081,47.15,-0.0814,0.0814
TIC-101,temperatuur,goed,740,150.0,150.216,46.74,-0.2162,0.2162
TIC-101,temperatuur,goed,745,150.0,149.726,47.07,0.2736,0.2736
TIC-101,temperatuur,goed,750,150.0,149.159,47.58,0.8415,0.8415
TIC-101,temperatuur,goed,755,150.0,148.964,48.58,1.0364,1.0364
TIC-101,temperatuur,goed,760,150.0,148.215,48.76,1.7848,1.7848
TIC-101,temperatuur,goed,765,150.0,148.135,49.22,1.8652,1.8652
TIC-101,temperatuur,goed,770,150.0,147.216,50.42,2.7843,2.7843
TIC-101,temperatuur,goed,775,150.0,147.292,50.23,2.7082,2.7082
TIC-101,temperatuur,goed,780,150.0,148.746,48.6,1.2543,1.2543
TIC-101,temperatuur,goed,785,150.0,149.527,48.74,0.4728,0.4728
TIC-101,temperatuur,goed,790,150.0,148.628,49.68,1.3719,1.3719
TIC-101,temperatuur,goed,795,150.0,149.336,48.79,0.6644,0.6644
TIC-101,temperatuur,goed,800,150.0,149.562,48.57,0.4381,0.4381
TIC-101,temperatuur,goed,805,150.0,149.993,48.54,0.0071,0.0071
TIC-101,temperatuur,goed,810,150.0,149.26,48.64,0.7399,0.7399
TIC-101,temperatuur,goed,815,150.0,149.684,48.33,0.3157,0.3157
TIC-101,temperatuur,goed,820,150.0,149.943,47.97,0.0574,0.0574
TIC-101,temperatuur,goed,825,150.0,148.275,49.21,1.7252,1.7252
TIC-101,temperatuur,goed,830,150.0,148.225,49.74,1.7746,1.7746
TIC-101,temperatuur,goed,835,150.0,147.939,49.97,2.0613,2.0613
TIC-101,temperatuur,goed,840,150.0,149.213,49.4,0.7868,0.7868
TIC-101,temperatuur,goed,845,150.0,149.505,49.24,0.4952,0.4952
TIC-101,temperatuur,goed,850,150.0,150.596,47.87,-0.596,0.596
TIC-101,temperatuur,goed,855,150.0,151.263,46.72,-1.2633,1.2633
TIC-101,temperatuur,goed,860,150.0,150.108,48.11,-0.1082,0.1082
TIC-101,temperatuur,goed,865,150.0,150.428,47.93,-0.428,0.428
TIC-101,temperatuur,goed,870,150.0,149.811,48.2,0.1889,0.1889
TIC-101,temperatuur,goed,875,150.0,149.733,48.21,0.2674,0.2674
TIC-101,temperatuur,goed,880,150.0,150.287,47.74,-0.287,0.287
TIC-101,temperatuur,goed,885,150.0,149.267,49.1,0.7327,0.7327
TIC-101,temperatuur,goed,890,150.0,149.475,48.9,0.5251,0.5251
TIC-101,temperatuur,goed,895,150.0,149.297,48.94,0.7026,0.7026
TIC-101,temperatuur,goed,900,150.0,148.886,49.37,1.1141,1.1141
TIC-101,temperatuur,goed,905,150.0,150.052,48.79,-0.0522,0.0522
TIC-101,temperatuur,goed,910,150.0,149.192,49.43,0.8079,0.8079
TIC-101,temperatuur,goed,915,150.0,148.926,49.61,1.0736,1.0736
TIC-101,temperatuur,goed,920,150.0,148.805,49.59,1.1953,1.1953
TIC-101,temperatuur,goed,925,150.0,148.485,50.37,1.5146,1.5146
TIC-101,temperatuur,goed,930,150.0,148.605,49.86,1.3945,1.3945
TIC-101,temperatuur,goed,935,150.0,149.363,49.25,0.6368,0.6368
TIC-101,temperatuur,goed,940,150.0,150.706,48.1,-0.7061,0.7061
TIC-101,temperatuur,goed,945,150.0,150.84,47.58,-0.8396,0.8396
TIC-101,temperatuur,goed,950,150.0,151.025,47.87,-1.0255,1.0255
TIC-101,temperatuur,goed,955,150.0,150.985,47.97,-0.9848,0.9848
TIC-101,temperatuur,goed,960,150.0,151.079,47.5,-1.0786,1.0786
TIC-101,temperatuur,goed,965,150.0,150.636,47.76,-0.6357,0.6357
TIC-101,temperatuur,goed,970,150.0,150.978,47.51,-0.9777,0.9777
TIC-101,temperatuur,goed,975,150.0,151.151,47.34,-1.1507,1.1507
TIC-101,temperatuur,goed,980,150.0,150.135,48.11,-0.1346,0.1346
TIC-101,temperatuur,goed,985,150.0,150.596,47.52,-0.5964,0.5964
TIC-101,temperatuur,goed,990,150.0,150.24,47.58,-0.2396,0.2396
TIC-101,temperatuur,goed,995,150.0,150.288,47.81,-0.2877,0.2877
TIC-101,temperatuur,goed,1000,150.0,150.916,46.89,-0.9164,0.9164
TIC-101,temperatuur,goed,1005,150.0,151.753,46.21,-1.7529,1.7529
TIC-101,temperatuur,goed,1010,150.0,150.956,46.78,-0.9562,0.9562
TIC-101,temperatuur,goed,1015,150.0,148.972,49.0,1.0276,1.0276
TIC-101,temperatuur,goed,1020,150.0,149.611,48.77,0.3891,0.3891
TIC-101,temperatuur,goed,1025,150.0,149.522,48.42,0.4776,0.4776
TIC-101,temperatuur,goed,1030,150.0,149.585,48.14,0.4155,0.4155
TIC-101,temperatuur,goed,1035,150.0,150.491,47.74,-0.4912,0.4912
TIC-101,temperatuur,goed,1040,150.0,150.354,47.97,-0.3543,0.3543
TIC-101,temperatuur,goed,1045,150.0,150.945,47.17,-0.9448,0.9448
TIC-101,temperatuur,goed,1050,150.0,151.487,46.37,-1.4871,1.4871
TIC-101,temperatuur,goed,1055,150.0,149.97,48.09,0.0299,0.0299
TIC-101,temperatuur,goed,1060,150.0,150.2,47.6,-0.2005,0.2005
TIC-101,temperatuur,goed,1065,150.0,150.75,47.22,-0.7498,0.7498
TIC-101,temperatuur,goed,1070,150.0,151.349,47.2,-1.3488,1.3488
TIC-101,temperatuur,goed,1075,150.0,151.327,46.37,-1.3268,1.3268
TIC-101,temperatuur,goed,1080,150.0,149.859,47.9,0.1411,0.1411
TIC-101,temperatuur,goed,1085,150.0,149.363,48.52,0.637,0.637
TIC-101,temperatuur,goed,1090,150.0,148.018,49.5,1.9819,1.9819
TIC-101,temperatuur,goed,1095,150.0,148.295,50.37,1.7052,1.7052
TIC-101,temperatuur,goed,1100,150.0,148.419,50.04,1.5808,1.5808
TIC-101,temperatuur,goed,1105,150.0,148.305,49.91,1.6951,1.6951
TIC-101,temperatuur,goed,1110,150.0,147.856,50.21,2.1445,2.1445
TIC-101,temperatuur,goed,1115,150.0,148.109,50.06,1.8913,1.8913
TIC-101,temperatuur,goed,1120,150.0,148.233,50.11,1.7672,1.7672
TIC-101,temperatuur,goed,1125,150.0,148.985,50.11,1.0146,1.0146
TIC-101,temperatuur,goed,1130,150.0,148.312,50.75,1.6884,1.6884
TIC-101,temperatuur,goed,1135,150.0,147.919,51.23,2.0811,2.0811
TIC-101,temperatuur,goed,1140,150.0,149.264,49.66,0.736,0.736
TIC-101,temperatuur,goed,1145,150.0,148.71,49.76,1.2896,1.2896
TIC-101,temperatuur,goed,1150,150.0,148.532,49.93,1.4676,1.4676
TIC-101,temperatuur,goed,1155,150.0,148.222,50.98,1.7784,1.7784
TIC-101,temperatuur,goed,1160,150.0,147.661,50.71,2.3394,2.3394
TIC-101,temperatuur,goed,1165,150.0,148.33,50.95,1.6696,1.6696
TIC-101,temperatuur,goed,1170,150.0,148.946,50.54,1.054,1.054
TIC-101,temperatuur,goed,1175,150.0,148.182,51.17,1.8178,1.8178
TIC-101,temperatuur,goed,1180,150.0,149.021,50.37,0.9791,0.9791
TIC-101,temperatuur,goed,1185,150.0,147.872,51.74,2.1279,2.1279
TIC-101,temperatuur,goed,1190,150.0,149.742,50.71,0.2584,0.2584
TIC-101,temperatuur,goed,1195,150.0,150.638,49.35,-0.6376,0.6376
TIC-101,temperatuur,goed,1200,150.0,150.608,48.71,-0.6075,0.6075
TIC-101,temperatuur,goed,1205,150.0,150.424,49.12,-0.4235,0.4235
TIC-101,temperatuur,goed,1210,150.0,151.07,48.64,-1.0701,1.0701
TIC-101,temperatuur,goed,1215,150.0,151.462,47.8,-1.4621,1.4621
TIC-101,temperatuur,goed,1220,150.0,151.004,48.25,-1.0044,1.0044
TIC-101,temperatuur,goed,1225,150.0,150.583,48.47,-0.5834,0.5834
TIC-101,temperatuur,goed,1230,150.0,149.869,49.72,0.1306,0.1306
TIC-101,temperatuur,goed,1235,150.0,148.743,50.15,1.2565,1.2565
TIC-101,temperatuur,goed,1240,150.0,149.456,50.18,0.5438,0.5438
TIC-101,temperatuur,goed,1245,150.0,149.325,49.86,0.6753,0.6753
TIC-101,temperatuur,goed,1250,150.0,149.731,50.01,0.2685,0.2685
TIC-101,temperatuur,goed,1255,150.0,150.538,49.23,-0.5377,0.5377
TIC-101,temperatuur,goed,1260,150.0,150.741,48.56,-0.7415,0.7415
TIC-101,temperatuur,goed,1265,150.0,150.642,48.82,-0.6419,0.6419
TIC-101,temperatuur,goed,1270,150.0,150.879,48.53,-0.8795,0.8795
TIC-101,temperatuur,goed,1275,150.0,150.791,47.93,-0.7909,0.7909
TIC-101,temperatuur,goed,1280,150.0,150.845,48.48,-0.8455,0.8455
TIC-101,temperatuur,goed,1285,150.0,150.689,48.51,-0.6891,0.6891
TIC-101,temperatuur,goed,1290,150.0,150.405,49.09,-0.4051,0.4051
TIC-101,temperatuur,goed,1295,150.0,150.405,48.9,-0.405,0.405
TIC-101,temperatuur,goed,1300,150.0,149.86,49.61,0.14,0.14
TIC-101,temperatuur,goed,1305,150.0,149.061,50.06,0.9387,0.9387
TIC-101,temperatuur,goed,1310,150.0,149.285,50.21,0.7148,0.7148
TIC-101,temperatuur,goed,1315,150.0,149.172,49.23,0.8281,0.8281
TIC-101,temperatuur,goed,1320,150.0,148.86,49.98,1.1396,1.1396
TIC-101,temperatuur,goed,1325,150.0,148.937,50.31,1.0634,1.0634
TIC-101,temperatuur,goed,1330,150.0,150.439,48.9,-0.4392,0.4392
TIC-101,temperatuur,goed,1335,150.0,149.12,49.68,0.88,0.88
TIC-101,temperatuur,goed,1340,150.0,148.733,50.6,1.2672,1.2672
TIC-101,temperatuur,goed,1345,150.0,148.784,50.2,1.2161,1.2161
TIC-101,temperatuur,goed,1350,150.0,148.617,50.94,1.3832,1.3832
TIC-101,temperatuur,goed,1355,150.0,149.119,50.74,0.8814,0.8814
TIC-101,temperatuur,goed,1360,150.0,148.695,50.91,1.3047,1.3047
TIC-101,temperatuur,goed,1365,150.0,148.704,51.02,1.2964,1.2964
TIC-101,temperatuur,goed,1370,150.0,149.006,51.15,0.9942,0.9942
TIC-101,temperatuur,goed,1375,150.0,149.692,49.98,0.3078,0.3078
TIC-101,temperatuur,goed,1380,150.0,150.808,49.34,-0.8084,0.8084
TIC-101,temperatuur,goed,1385,150.0,151.068,48.94,-1.068,1.068
TIC-101,temperatuur,goed,1390,150.0,151.284,47.97,-1.2844,1.2844
TIC-101,temperatuur,goed,1395,150.0,151.346,47.64,-1.3457,1.3457
TIC-101,temperatuur,goed,1400,150.0,150.691,48.68,-0.6905,0.6905
TIC-101,temperatuur,goed,1405,150.0,150.35,48.93,-0.3498,0.3498
TIC-101,temperatuur,goed,1410,150.0,151.33,48.42,-1.3302,1.3302
TIC-101,temperatuur,goed,1415,150.0,151.285,48.07,-1.2845,1.2845
TIC-101,temperatuur,goed,1420,150.0,150.885,48.02,-0.885,0.885
TIC-101,temperatuur,goed,1425,150.0,150.966,48.32,-0.9661,0.9661
TIC-101,temperatuur,goed,1430,150.0,150.606,48.8,-0.6065,0.6065
TIC-101,temperatuur,goed,1435,150.0,150.052,48.94,-0.0521,0.0521
TIC-101,temperatuur,goed,1440,150.0,150.219,48.93,-0.2193,0.2193
TIC-101,temperatuur,goed,1445,150.0,150.365,48.7,-0.3645,0.3645
TIC-101,temperatuur,goed,1450,150.0,150.147,48.78,-0.1467,0.1467
TIC-101,temperatuur,goed,1455,150.0,150.091,47.8,-0.0911,0.0911
TIC-101,temperatuur,goed,1460,150.0,149.933,48.56,0.0674,0.0674
TIC-101,temperatuur,goed,1465,150.0,149.44,49.33,0.5604,0.5604
TIC-101,temperatuur,goed,1470,150.0,149.88,49.41,0.1197,0.1197
TIC-101,temperatuur,goed,1475,150.0,149.185,50.03,0.8151,0.8151
TIC-101,temperatuur,goed,1480,150.0,149.083,49.62,0.917,0.917
TIC-101,temperatuur,goed,1485,150.0,148.828,50.16,1.1716,1.1716
TIC-101,temperatuur,goed,1490,150.0,148.216,50.8,1.7838,1.7838
TIC-101,temperatuur,goed,1495,150.0,148.556,50.85,1.4435,1.4435
TIC-101,temperatuur,goed,1500,150.0,148.402,51.08,1.5979,1.5979
TIC-101,temperatuur,goed,1505,150.0,149.206,50.88,0.7937,0.7937
TIC-101,temperatuur,goed,1510,150.0,148.547,50.82,1.4532,1.4532
TIC-101,temperatuur,goed,1515,150.0,148.88,50.54,1.1202,1.1202
TIC-101,temperatuur,goed,1520,150.0,148.944,50.7,1.0559,1.0559
TIC-101,temperatuur,goed,1525,150.0,150.002,49.96,-0.0018,0.0018
TIC-101,temperatuur,goed,1530,150.0,148.817,51.07,1.1832,1.1832
TIC-101,temperatuur,goed,1535,150.0,148.961,51.11,1.0391,1.0391
TIC-101,temperatuur,goed,1540,150.0,149.315,50.66,0.6849,0.6849
TIC-101,temperatuur,goed,1545,150.0,149.651,50.18,0.3486,0.3486
TIC-101,temperatuur,goed,1550,150.0,149.79,50.13,0.2098,0.2098
TIC-101,temperatuur,goed,1555,150.0,149.974,49.8,0.026,0.026
TIC-101,temperatuur,goed,1560,150.0,149.112,50.43,0.8876,0.8876
TIC-101,temperatuur,goed,1565,150.0,148.27,51.36,1.7299,1.7299
TIC-101,temperatuur,goed,1570,150.0,149.292,51.08,0.708,0.708
TIC-101,temperatuur,goed,1575,150.0,150.26,50.25,-0.2596,0.2596
TIC-101,temperatuur,goed,1580,150.0,150.024,49.91,-0.0243,0.0243
TIC-101,temperatuur,goed,1585,150.0,150.708,49.19,-0.7078,0.7078
TIC-101,temperatuur,goed,1590,150.0,150.254,49.51,-0.2537,0.2537
TIC-101,temperatuur,goed,1595,150.0,148.851,50.71,1.1493,1.1493
TIC-101,temperatuur,goed,1600,150.0,149.293,50.79,0.7073,0.7073
TIC-101,temperatuur,goed,1605,150.0,149.283,50.8,0.7174,0.7174
TIC-101,temperatuur,goed,1610,150.0,150.368,49.62,-0.3676,0.3676
TIC-101,temperatuur,goed,1615,150.0,150.412,49.57,-0.4124,0.4124
TIC-101,temperatuur,goed,1620,150.0,150.92,49.4,-0.9201,0.9201
TIC-101,temperatuur,goed,1625,150.0,151.458,48.75,-1.4579,1.4579
TIC-101,temperatuur,goed,1630,150.0,151.845,48.15,-1.8445,1.8445
TIC-101,temperatuur,goed,1635,150.0,151.11,48.51,-1.1099,1.1099
TIC-101,temperatuur,goed,1640,150.0,150.834,49.25,-0.8338,0.8338
TIC-101,temperatuur,goed,1645,150.0,150.905,48.9,-0.9045,0.9045
TIC-101,temperatuur,goed,1650,150.0,151.805,47.66,-1.8054,1.8054
TIC-101,temperatuur,goed,1655,150.0,152.43,47.13,-2.4305,2.4305
TIC-101,temperatuur,goed,1660,150.0,152.223,47.65,-2.2233,2.2233
TIC-101,temperatuur,goed,1665,150.0,153.0,46.48,-3.0003,3.0003
TIC-101,temperatuur,goed,1670,150.0,152.442,46.83,-2.4423,2.4423
TIC-101,temperatuur,goed,1675,150.0,153.445,45.89,-3.4453,3.4453
TIC-101,temperatuur,goed,1680,150.0,154.035,45.29,-4.0347,4.0347
TIC-101,temperatuur,goed,1685,150.0,152.837,45.49,-2.837,2.837
TIC-101,temperatuur,goed,1690,150.0,152.248,45.98,-2.2481,2.2481
TIC-101,temperatuur,goed,1695,150.0,152.049,46.84,-2.0489,2.0489
TIC-101,temperatuur,goed,1700,150.0,151.422,46.36,-1.4219,1.4219
TIC-101,temperatuur,goed,1705,150.0,150.773,47.35,-0.7726,0.7726
TIC-101,temperatuur,goed,1710,150.0,150.062,48.46,-0.0624,0.0624
TIC-101,temperatuur,goed,1715,150.0,149.644,48.3,0.3563,0.3563
TIC-101,temperatuur,goed,1720,150.0,150.485,48.35,-0.4851,0.4851
TIC-101,temperatuur,goed,1725,150.0,150.618,47.78,-0.6176,0.6176
TIC-101,temperatuur,goed,1730,150.0,149.046,48.87,0.9543,0.9543
TIC-101,temperatuur,goed,1735,150.0,147.942,50.27,2.0579,2.0579
