inspectie_id,product_type,productielijn,lijnsnelheid_per_min,oppervlakte_px,omtrek_px,circulariteit,aspectverhouding,compactheid,gem_intensiteit,std_intensiteit,kleuruniformiteit,contrast,correlatie,energie,homogeniteit,randdichtheid,ruwheid,aantal_contouren,confidence_score,defect_type,goedgekeurd
VIS-000044,vial,Lijn_2,307,15083,442.9,0.967,1.001,0.827,174.7,18.2,0.903,6.5,0.945,0.192,0.794,0.205,0.0546,1,0.802,geen,1
VIS-000045,vial,Lijn_1,201,15590,444.4,1.008,1.01,0.821,160.7,10.2,0.915,13.69,0.813,0.298,0.779,0.145,0.0483,2,0.913,geen,1
VIS-000046,vial,Lijn_2,303,14603,442.9,0.937,0.949,0.857,161.9,12.6,0.929,7.42,0.789,0.438,0.808,0.161,0.0627,3,0.872,geen,1
VIS-000047,tablet,Lijn_1,200,8072,317.0,0.997,1.047,0.857,220.8,12.9,0.944,7.15,0.832,0.382,0.839,0.188,0.0446,2,0.849,geen,1
VIS-000048,tablet,Lijn_2,290,8043,307.6,1.069,0.989,0.898,168.1,9.8,0.901,14.38,0.801,0.229,0.823,0.123,0.0465,2,0.884,geen,1
VIS-000049,tablet,Lijn_1,198,8477,315.6,1.061,1.006,0.83,170.9,12.3,0.965,2.4,0.865,0.315,0.793,0.171,0.0582,1,0.728,geen,1
VIS-000050,vial,Lijn_1,196,14606,435.8,0.97,0.974,0.785,185.0,9.4,0.91,7.59,0.849,0.304,0.88,0.159,0.0653,2,0.814,geen,1
VIS-000051,vial,Lijn_3,140,14655,415.4,1.069,0.977,0.793,162.4,10.6,0.975,2.16,0.857,0.351,0.806,0.149,0.0594,2,0.677,geen,1
VIS-000052,capsule,Lijn_3,152,6326,300.1,0.918,0.978,0.797,190.2,8.8,0.887,31.66,0.874,0.267,0.835,0.152,0.033,2,0.976,geen,1
VIS-000053,tablet,Lijn_1,191,8174,342.9,0.837,1.031,0.846,160.6,15.3,0.892,13.93,0.854,0.267,0.815,0.114,0.0682,0,0.789,geen,1
VIS-000054,vial,Lijn_3,154,15435,423.3,1.063,0.945,0.857,185.8,11.5,0.923,3.15,0.802,0.358,0.785,0.121,0.0439,5,0.87,geen,1
VIS-000055,tablet,Lijn_1,205,7489,298.5,1.061,0.983,0.865,172.2,16.7,0.968,7.01,0.858,0.213,0.784,0.125,0.0496,5,0.835,geen,1
VIS-000056,vial,Lijn_3,147,14649,417.4,1.069,0.943,0.857,165.9,11.6,0.908,2.19,0.784,0.238,0.88,0.144,0.0466,1,0.696,geen,1
VIS-000057,tablet,Lijn_1,209,7721,321.2,0.95,0.987,0.891,178.1,11.5,0.928,4.85,0.878,0.302,0.804,0.155,0.0357,2,0.937,geen,1
VIS-000058,vial,Lijn_1,198,14772,423.5,1.058,1.05,0.831,164.3,26.4,0.84,5.8,0.832,0.242,0.85,0.115,0.0536,2,0.319,verkleuring,0
VIS-000059,vial,Lijn_3,144,14608,446.8,0.907,0.986,0.89,181.9,9.0,0.928,9.64,0.789,0.374,0.776,0.133,0.0375,3,0.733,geen,1
VIS-000060,vial,Lijn_1,205,15155,450.2,0.937,0.986,0.885,168.3,4.7,0.829,15.44,0.839,0.28,0.801,0.118,0.0552,3,0.634,geen,1
VIS-000061,tablet,Lijn_3,153,8575,327.1,1.011,0.995,0.911,177.6,14.9,0.978,9.7,0.81,0.302,0.793,0.188,0.0564,2,0.778,geen,1
VIS-000062,vial,Lijn_1,206,15124,467.1,0.906,1.008,0.859,174.7,10.8,0.906,3.99,0.855,0.271,0.784,0.147,0.0599,1,0.913,geen,1
VIS-000063,capsule,Lijn_3,158,5361,270.7,0.931,0.987,0.852,181.7,5.9,0.983,10.25,0.836,0.345,0.749,0.12,0.0519,0,0.855,geen,1
VIS-000064,vial,Lijn_1,207,14642,415.6,1.095,0.981,0.861,149.8,17.0,0.806,4.8,0.865,0.263,0.792,0.167,0.0675,2,0.608,verkleuring,0
VIS-000065,capsule,Lijn_2,290,5618,258.5,1.028,1.015,0.847,167.0,11.0,0.965,2.38,0.854,0.304,0.735,0.085,0.0446,0,0.949,geen,1
VIS-000066,capsule,Lijn_1,205,6090,285.0,0.949,0.968,0.832,170.7,11.7,0.969,2.88,0.881,0.24,0.805,0.183,0.0564,3,0.907,geen,1
VIS-000067,vial,Lijn_1,202,14210,418.9,1.043,1.037,0.862,185.2,13.8,0.888,7.74,0.728,0.262,0.673,0.163,0.0632,6,0.236,deeltje,0
VIS-000068,capsule,Lijn_2,295,6149,294.1,0.857,1.0,0.843,187.4,15.7,0.897,5.74,0.872,0.261,0.761,0.147,0.0494,2,0.528,geen,1
VIS-000069,vial,Lijn_3,147,15244,452.7,0.931,1.001,0.892,170.0,13.9,0.97,4.96,0.86,0.298,0.804,0.162,0.04,0,0.891,geen,1
VIS-000070,tablet,Lijn_2,303,7568,307.5,1.024,0.988,0.884,194.6,12.8,0.94,3.66,0.857,0.314,0.789,0.158,0.0535,2,0.589,geen,1
VIS-000071,tablet,Lijn_1,198,8277,343.4,0.893,1.036,0.867,168.5,7.8,0.911,2.11,0.823,0.314,0.753,0.149,0.0584,2,0.823,geen,1
VIS-000072,tablet,Lijn_1,200,8355,315.7,1.089,1.029,0.84,197.5,8.4,0.88,8.05,0.781,0.304,0.786,0.149,0.0277,3,0.802,geen,1
VIS-000073,tablet,Lijn_2,301,8003,326.4,0.92,0.997,0.837,200.2,9.6,0.91,6.51,0.892,0.296,0.902,0.175,0.0491,1,0.808,geen,1
VIS-000074,capsule,Lijn_3,154,5850,273.3,0.977,0.988,0.863,163.1,13.4,0.926,6.9,0.792,0.33,0.772,0.142,0.063,0,0.86,geen,1
VIS-000075,tablet,Lijn_1,202,8112,332.0,0.941,0.998,0.846,187.7,13.4,0.95,3.44,0.808,0.286,0.742,0.16,0.035,1,0.786,geen,1
VIS-000076,vial,Lijn_1,194,14163,420.1,1.006,0.997,0.836,196.7,15.6,0.952,2.09,0.867,0.182,0.736,0.204,0.0435,4,0.666,geen,1
VIS-000077,capsule,Lijn_3,144,5559,282.2,0.897,0.995,0.861,159.4,12.7,0.907,2.81,0.826,0.345,0.839,0.186,0.0446,6,0.78,geen,1
VIS-000078,capsule,Lijn_2,291,6578,286.9,0.986,0.93,0.843,168.7,10.5,0.905,8.37,0.845,0.357,0.858,0.21,0.0504,4,0.983,geen,1
VIS-000079,capsule,Lijn_3,156,5681,274.6,0.942,1.01,0.836,179.1,7.9,0.913,5.04,0.8,0.338,0.798,0.198,0.0408,1,0.864,geen,1
VIS-000080,capsule,Lijn_2,302,5785,277.7,0.935,1.027,0.878,170.4,9.8,0.885,21.19,0.842,0.294,0.715,0.264,0.0657,4,0.294,kras,0
VIS-000081,capsule,Lijn_3,155,6152,296.8,0.916,1.024,0.863,186.1,15.0,0.867,4.73,0.781,0.33,0.773,0.136,0.0441,1,0.976,geen,1
VIS-000082,tablet,Lijn_3,141,8008,313.6,1.037,1.064,0.855,192.6,20.4,0.918,12.34,0.785,0.223,0.734,0.125,0.0439,3,0.222,deeltje,0
VIS-000083,tablet,Lijn_3,146,8181,336.3,0.89,1.007,0.862,178.2,8.9,0.897,5.19,0.809,0.283,0.816,0.153,0.0403,3,0.726,geen,1
VIS-000084,capsule,Lijn_2,300,5818,285.5,0.78,0.981,0.83,168.8,7.5,0.912,4.36,0.789,0.29,0.816,0.256,0.089,9,0.547,barst,0
VIS-000085,tablet,Lijn_3,141,8222,330.4,0.81,1.083,0.787,149.4,13.1,0.94,3.8,0.966,0.378,0.762,0.139,0.0407,6,0.186,vormafwijking,0
VIS-000086,capsule,Lijn_3,156,5635,266.1,1.023,0.954,0.91,202.2,9.0,0.88,9.81,0.787,0.371,0.749,0.126,0.0555,3,0.947,geen,1
VIS-000087,capsule,Lijn_2,295,5974,271.0,1.024,0.979,0.871,150.5,32.5,0.745,6.1,0.806,0.302,0.783,0.169,0.0364,2,0.373,verkleuring,0
VIS-000088,capsule,Lijn_3,159,5889,287.4,0.91,1.043,0.864,149.2,9.6,0.944,4.42,0.901,0.265,0.852,0.162,0.043,2,0.79,geen,1
VIS-000089,vial,Lijn_1,202,15100,466.5,0.871,1.046,0.799,192.5,13.1,0.921,3.29,0.855,0.238,0.815,0.123,0.0484,3,0.962,geen,1
VIS-000090,vial,Lijn_2,306,15560,458.2,0.93,1.009,0.832,174.3,8.4,0.915,6.65,0.912,0.297,0.843,0.141,0.0636,1,0.758,geen,1
VIS-000091,tablet,Lijn_2,294,7498,313.9,0.952,1.008,0.823,208.2,16.9,0.89,4.48,0.797,0.303,0.773,0.101,0.0475,0,0.898,geen,1
VIS-000092,capsule,Lijn_2,290,6531,306.9,0.878,0.994,0.84,188.0,12.0,0.961,15.81,0.8,0.221,0.907,0.163,0.0542,0,0.762,geen,1
VIS-000093,tablet,Lijn_2,302,8262,340.9,0.88,0.942,0.882,179.8,8.8,0.922,16.12,0.811,0.34,0.763,0.266,0.0472,3,0.151,kras,0
VIS-000094,capsule,Lijn_1,209,5826,272.4,0.984,0.996,0.848,173.9,18.4,0.908,12.09,0.876,0.286,0.761,0.144,0.0253,4,0.729,geen,1
VIS-000095,tablet,Lijn_3,155,7514,300.0,1.043,1.003,0.822,189.2,13.8,0.934,11.46,0.828,0.291,0.81,0.212,0.0382,1,0.992,geen,1
VIS-000096,tablet,Lijn_2,297,8312,323.2,1.009,1.007,0.875,174.2,9.5,0.938,2.18,0.825,0.359,0.82,0.159,0.0451,1,0.788,geen,1
VIS-000097,vial,Lijn_3,144,14065,457.3,0.898,1.031,0.806,172.5,11.0,0.942,10.11,0.903,0.362,0.842,0.125,0.047,2,0.305,vulniveau,0
VIS-000098,vial,Lijn_1,207,14005,437.9,0.816,0.948,0.872,181.3,10.3,0.879,19.96,0.888,0.372,0.793,0.266,0.1147,5,0.337,barst,0
VIS-000099,vial,Lijn_2,301,14148,410.5,1.079,1.035,0.834,135.6,8.3,0.827,7.54,0.846,0.399,0.849,0.148,0.0492,2,0.269,verkleuring,0
VIS-000100,capsule,Lijn_1,194,6276,292.0,0.919,0.98,0.853,150.8,20.8,0.934,9.79,0.812,0.349,0.797,0.134,0.0724,3,0.125,deeltje,0
VIS-000101,tablet,Lijn_1,207,8414,345.2,0.92,1.02,0.852,176.8,6.4,0.931,2.71,0.868,0.32,0.795,0.165,0.0454,5,0.771,geen,1
VIS-000102,capsule,Lijn_2,303,5633,284.5,0.799,1.119,0.772,178.5,13.2,0.89,4.62,0.927,0.313,0.838,0.165,0.0512,4,0.483,vormafwijking,0
VIS-000103,vial,Lijn_1,201,15271,449.6,0.869,1.009,0.776,180.6,11.6,0.912,4.03,0.835,0.313,0.802,0.287,0.1092,7,0.392,barst,0
VIS-000104,capsule,Lijn_2,304,5979,267.6,1.063,0.976,0.807,175.5,12.1,0.901,4.4,0.753,0.291,0.797,0.091,0.0557,2,0.727,geen,1
VIS-000105,vial,Lijn_3,142,13880,425.2,0.937,1.001,0.845,189.2,9.5,0.946,3.25,0.935,0.25,0.851,0.132,0.0429,2,0.945,geen,1
VIS-000106,vial,Lijn_1,201,12758,439.5,0.944,0.986,0.843,153.0,10.0,0.926,14.39,0.752,0.267,0.791,0.105,0.0315,2,0.152,vulniveau,0
VIS-000107,vial,Lijn_2,301,14662,438.4,0.995,1.017,0.943,181.8,10.9,0.923,4.65,0.829,0.272,0.793,0.145,0.053,3,0.844,geen,1
VIS-000108,capsule,Lijn_3,141,5940,270.7,1.022,0.99,0.883,164.4,10.3,0.892,7.83,0.88,0.279,0.798,0.157,0.0493,1,0.854,geen,1
VIS-000109,vial,Lijn_3,152,14683,431.2,0.966,0.948,0.827,166.3,12.3,0.911,10.36,0.849,0.314,0.798,0.198,0.0618,2,0.681,geen,1
VIS-000110,tablet,Lijn_2,297,8333,330.1,0.968,1.038,0.864,166.4,11.4,0.915,12.12,0.841,0.305,0.734,0.171,0.0432,1,0.895,geen,1
VIS-000111,tablet,Lijn_2,290,7895,332.4,0.907,1.057,0.829,181.1,9.5,0.913,2.31,0.814,0.341,0.831,0.174,0.0564,3,0.664,geen,1
VIS-000112,capsule,Lijn_2,305,5724,281.3,0.918,1.011,0.862,200.2,15.0,0.925,22.36,0.829,0.178,0.865,0.162,0.0522,1,0.849,geen,1
VIS-000113,tablet,Lijn_3,152,7773,301.1,1.084,0.934,0.81,174.7,8.6,0.942,10.86,0.79,0.276,0.846,0.17,0.0583,3,0.764,geen,1
VIS-000114,capsule,Lijn_3,146,6007,276.4,1.0,1.026,0.836,147.5,13.8,0.891,7.47,0.876,0.242,0.765,0.181,0.0418,2,0.644,geen,1
VIS-000115,vial,Lijn_3,141,14951,458.9,0.892,1.017,0.863,171.0,10.3,0.92,18.91,0.842,0.18,0.856,0.161,0.047,3,0.825,geen,1
VIS-000116,tablet,Lijn_2,296,7956,335.2,0.878,1.029,0.835,151.5,8.4,0.876,3.11,0.85,0.265,0.812,0.112,0.0531,1,0.749,geen,1
VIS-000117,vial,Lijn_2,308,16133,446.4,0.993,1.038,0.852,147.5,13.3,0.962,5.69,0.786,0.318,0.832,0.194,0.0522,1,0.944,geen,1
VIS-000118,vial,Lijn_1,195,15058,461.2,0.914,1.043,0.856,181.2,12.2,0.932,16.75,0.896,0.281,0.755,0.142,0.039,1,0.918,geen,1
VIS-000119,vial,Lijn_1,194,14622,457.7,0.904,1.044,0.865,182.9,8.5,0.89,21.41,0.879,0.309,0.863,0.137,0.0591,2,0.611,geen,1
VIS-000120,capsule,Lijn_2,294,6083,289.3,0.935,0.975,0.843,180.6,15.2,0.917,7.92,0.887,0.27,0.808,0.174,0.0457,2,0.881,geen,1
VIS-000121,tablet,Lijn_3,150,7751,320.3,0.947,0.986,0.877,192.2,9.1,0.95,4.96,0.816,0.324,0.904,0.115,0.0514,2,0.844,geen,1
VIS-000122,capsule,Lijn_2,308,5613,277.5,0.909,1.006,0.841,157.8,8.2,0.925,6.48,0.814,0.209,0.857,0.205,0.0429,1,0.746,geen,1
VIS-000123,tablet,Lijn_1,191,7985,311.8,0.993,0.998,0.88,180.6,16.6,0.902,25.35,0.932,0.239,0.785,0.165,0.052,2,0.784,geen,1
VIS-000124,tablet,Lijn_1,193,8086,311.2,0.911,0.996,0.838,185.8,12.9,0.944,3.17,0.863,0.236,0.836,0.303,0.1011,3,0.567,barst,0
VIS-000125,vial,Lijn_3,145,15447,443.0,0.994,1.002,0.863,177.6,10.0,0.926,7.76,0.826,0.328,0.759,0.142,0.0563,2,0.893,geen,1
VIS-000126,vial,Lijn_1,193,14781,423.4,1.04,0.955,0.786,194.2,11.0,0.942,16.36,0.803,0.357,0.717,0.121,0.054,6,0.87,geen,1
VIS-000127,vial,Lijn_2,296,15819,455.2,0.964,0.992,0.805,168.5,10.5,0.916,21.9,0.834,0.313,0.724,0.161,0.0628,1,0.967,geen,1
VIS-000128,tablet,Lijn_1,209,7972,337.5,0.862,1.036,0.839,184.5,15.3,0.907,7.54,0.963,0.259,0.816,0.192,0.0546,3,0.861,geen,1
VIS-000129,tablet,Lijn_2,303,8629,341.5,0.922,1.066,0.859,172.6,9.0,0.922,8.77,0.841,0.349,0.811,0.125,0.0648,2,0.655,geen,1
VIS-000130,tablet,Lijn_3,147,8240,311.5,1.049,0.993,0.816,183.4,13.7,0.911,12.4,0.893,0.251,0.785,0.142,0.0486,3,0.94,geen,1
VIS-000131,tablet,Lijn_2,306,7858,318.1,0.987,0.971,0.924,163.8,8.9,0.875,6.85,0.802,0.168,0.878,0.147,0.0494,0,0.621,geen,1
VIS-000132,capsule,Lijn_1,203,6004,268.1,1.046,0.966,0.811,200.6,8.8,0.912,8.24,0.921,0.225,0.805,0.204,0.0467,4,0.907,geen,1
VIS-000133,tablet,Lijn_2,305,8151,323.3,0.971,1.026,0.843,192.6,9.2,0.89,2.24,0.887,0.334,0.836,0.147,0.0337,0,0.901,geen,1
VIS-000134,tablet,Lijn_3,147,8243,325.3,0.958,0.983,0.894,202.0,10.3,0.921,6.37,0.903,0.207,0.811,0.183,0.0458,4,0.859,geen,1
VIS-000135,vial,Lijn_1,205,14480,422.9,1.002,0.994,0.849,167.4,8.3,0.907,3.02,0.833,0.316,0.845,0.167,0.0564,5,0.606,geen,1
VIS-000136,vial,Lijn_2,305,15330,448.3,0.955,1.019,0.839,168.2,14.4,0.94,2.45,0.869,0.336,0.871,0.116,0.0443,3,0.777,geen,1
VIS-000137,vial,Lijn_2,304,14016,410.0,1.08,1.052,0.861,201.6,17.2,0.93,13.76,0.875,0.417,0.902,0.188,0.0538,2,0.962,geen,1
VIS-000138,tablet,Lijn_3,150,7970,306.6,1.101,1.006,0.788,198.2,10.9,0.909,8.34,0.815,0.348,0.76,0.185,0.052,4,0.762,geen,1
VIS-000139,tablet,Lijn_2,292,8573,320.4,1.031,1.005,0.925,183.9,11.2,0.966,2.29,0.823,0.278,0.805,0.193,0.0473,4,0.763,geen,1
VIS-000140,capsule,Lijn_1,206,6061,286.1,0.934,1.027,0.834,122.1,25.3,0.845,10.36,0.866,0.214,0.827,0.103,0.07,0,0.357,verkleuring,0
VIS-000141,capsule,Lijn_2,293,6488,295.2,0.938,0.99,0.861,159.6,14.2,0.873,4.31,0.84,0.282,0.837,0.159,0.0491,1,0.898,geen,1
VIS-000142,vial,Lijn_3,154,15702,439.4,1.034,0.97,0.833,149.0,11.9,0.935,2.11,0.916,0.317,0.716,0.182,0.0346,3,0.368,geen,1
VIS-000143,tablet,Lijn_1,191,8019,305.6,1.102,0.938,0.87,181.0,10.5,0.913,9.35,0.827,0.309,0.811,0.142,0.0457,0,0.831,geen,1
VIS-000144,vial,Lijn_2,301,15352,429.2,1.056,1.003,0.848,194.4,11.4,0.901,3.01,0.883,0.341,0.781,0.142,0.0677,2,0.808,geen,1
VIS-000145,tablet,Lijn_3,155,7569,303.3,1.066,1.024,0.865,174.7,12.9,0.928,8.6,0.912,0.295,0.792,0.169,0.0578,1,0.985,geen,1
VIS-000146,tablet,Lijn_1,207,7891,321.1,0.972,1.023,0.886,184.7,14.8,0.934,7.6,0.816,0.316,0.828,0.12,0.0544,1,0.442,geen,1
VIS-000147,capsule,Lijn_2,299,5944,282.7,0.95,1.004,0.86,179.2,9.3,0.901,6.34,0.842,0.342,0.826,0.185,0.0585,3,0.728,geen,1
VIS-000148,capsule,Lijn_2,303,5846,268.9,1.029,1.069,0.888,197.1,13.4,0.946,2.09,0.801,0.283,0.82,0.181,0.0326,2,0.839,geen,1
VIS-000149,tablet,Lijn_3,158,8100,312.3,0.961,0.954,0.859,169.1,11.3,0.927,10.01,0.842,0.243,0.845,0.366,0.101,8,0.526,barst,0
VIS-000150,vial,Lijn_1,196,15770,472.4,0.905,0.993,0.894,172.1,13.4,0.919,5.3,0.808,0.275,0.773,0.178,0.0543,2,0.848,geen,1
VIS-000151,tablet,Lijn_1,192,8183,311.6,1.066,0.992,0.822,204.7,14.4,0.958,15.18,0.916,0.301,0.835,0.159,0.0557,1,0.813,geen,1
VIS-000152,vial,Lijn_2,302,14894,455.8,0.915,1.045,0.907,182.7,21.7,0.929,31.24,0.838,0.301,0.755,0.166,0.0394,6,0.297,deeltje,0
VIS-000153,tablet,Lijn_2,309,8275,336.7,0.934,0.99,0.826,202.8,14.7,0.968,4.17,0.816,0.299,0.867,0.16,0.0417,3,0.781,geen,1
VIS-000154,vial,Lijn_3,151,15205,440.1,0.974,1.018,0.86,181.1,8.0,0.912,8.98,0.834,0.361,0.838,0.176,0.0681,2,0.821,geen,1
VIS-000155,capsule,Lijn_1,194,5962,278.7,0.967,1.01,0.835,172.7,10.0,0.864,3.88,0.894,0.304,0.777,0.158,0.0554,3,0.98,geen,1
VIS-000156,vial,Lijn_2,295,15084,464.5,0.861,0.987,0.882,163.8,15.5,0.876,8.76,0.835,0.309,0.816,0.126,0.0532,1,0.721,geen,1
