sample_id,temperatuur_C,druk_bar,debiet_Lh,pH,conductiviteit_mScm,viscositeit_mPas,turbiditeit_NTU,opgeloste_O2_mgL,kwaliteitsscore,is_anomalie,regime,is_gelabeld,model_voorspelling,model_onzekerheid,informativiteit
AL-00051,105.5,14.22,10.9,4.5,6.07,835.5,88.9,13.2,63.4,0,2,0,69.1,7.93,9.77
AL-00052,281.1,17.89,13.6,8.8,3.34,866.1,70.0,14.2,89.2,0,0,0,95.6,11.23,14.42
AL-00053,226.0,19.86,72.7,5.0,9.11,800.3,13.7,9.3,96.7,0,0,0,99.2,9.31,13.35
AL-00054,168.9,9.93,41.3,5.3,9.78,634.3,42.4,2.3,63.0,0,2,0,65.1,3.4,4.22
AL-00055,107.6,2.57,97.5,7.5,8.09,484.9,74.9,3.7,76.6,0,1,0,81.2,11.13,11.47
AL-00056,268.1,3.83,99.6,4.6,2.62,52.4,83.5,7.7,90.4,0,3,0,82.6,10.31,13.49
AL-00057,211.4,15.73,22.5,6.2,8.36,902.0,29.4,8.0,89.8,0,0,0,94.8,6.78,8.79
AL-00058,118.6,6.25,49.0,7.4,6.88,407.3,8.7,4.8,79.3,0,1,0,78.3,7.29,7.91
AL-00059,243.4,14.24,83.6,4.2,2.12,324.6,50.6,4.5,92.3,0,0,0,93.9,8.7,11.7
AL-00060,181.4,17.09,28.2,7.5,2.13,389.0,55.1,4.4,81.3,0,3,0,73.5,5.52,6.21
AL-00061,239.4,16.08,83.3,6.8,2.87,933.9,30.7,7.1,92.0,0,0,0,89.1,8.52,11.42
AL-00062,277.9,9.28,83.4,7.2,7.15,147.4,2.1,13.4,85.7,0,3,0,85.3,10.62,12.9
AL-00063,224.4,11.62,19.2,8.4,5.56,523.9,19.5,0.3,93.8,0,0,0,95.4,8.31,11.43
AL-00064,237.0,14.07,11.9,8.6,4.37,207.1,58.6,14.0,92.0,0,0,0,98.0,7.34,9.84
AL-00065,159.3,2.63,34.9,5.5,3.32,596.7,58.9,7.3,62.1,0,2,0,58.3,6.27,7.89
AL-00066,295.3,4.6,51.0,4.8,9.37,937.9,55.5,7.4,65.5,0,2,0,57.7,11.14,13.26
AL-00067,252.3,4.4,11.9,5.3,3.35,306.4,27.7,4.2,86.8,0,3,0,87.8,9.05,11.19
AL-00068,162.7,8.19,79.8,5.9,6.99,449.2,34.7,5.0,75.8,0,3,0,82.6,4.32,4.39
AL-00069,174.8,18.48,94.4,5.6,3.28,891.1,72.8,2.2,64.9,0,2,0,60.5,5.91,7.1
AL-00070,151.0,5.33,29.7,7.1,4.57,638.9,76.3,1.6,60.7,0,2,0,56.3,6.47,8.31
AL-00071,294.1,19.37,74.3,6.6,1.62,192.3,70.9,12.1,91.0,0,0,0,96.7,13.85,18.28
AL-00072,227.6,14.71,82.1,9.2,2.96,400.2,18.6,14.6,93.9,0,0,0,99.8,8.61,11.87
AL-00073,259.0,16.1,37.8,7.2,4.82,369.3,85.6,5.2,91.9,0,0,0,91.9,10.05,13.45
AL-00074,129.4,12.74,57.0,6.0,7.65,645.9,48.2,11.6,61.4,0,2,0,66.1,7.32,9.31
AL-00075,194.9,2.28,43.4,4.5,8.4,258.6,29.5,12.3,90.3,0,3,0,91.6,8.04,10.5
AL-00076,227.0,4.67,41.5,8.3,2.17,161.4,18.2,8.1,89.8,0,3,0,89.5,7.92,10.25
AL-00077,181.6,1.1,88.9,9.3,0.27,956.7,50.8,14.2,38.9,1,2,0,39.4,11.8,20.31
AL-00078,241.4,17.63,14.2,7.4,1.3,422.7,63.4,9.5,95.8,0,0,0,95.9,10.05,14.24
AL-00079,197.1,5.09,59.6,9.7,9.7,280.2,74.3,7.4,85.0,0,3,0,85.6,5.71,6.85
AL-00080,149.4,5.19,89.3,8.4,8.41,148.3,54.5,0.5,79.1,0,1,0,88.1,5.91,6.39
AL-00081,206.3,16.75,56.4,9.9,5.13,801.4,33.6,10.1,89.9,0,0,0,78.8,8.03,10.43
AL-00082,184.3,13.8,42.5,4.3,6.83,993.5,22.0,11.9,64.2,0,2,0,57.9,5.88,7.15
AL-00083,198.0,18.94,57.3,5.3,8.88,73.7,99.4,12.4,83.8,0,3,0,90.9,7.61,8.96
AL-00084,293.9,7.9,83.4,7.1,9.72,891.9,71.9,6.6,73.9,0,2,0,73.0,11.84,12.11
AL-00085,204.2,3.5,43.5,4.4,7.87,441.5,15.3,4.8,53.4,1,3,0,58.0,12.64,18.1
AL-00086,241.2,12.84,10.1,8.3,4.93,82.3,100.0,13.6,90.9,0,0,0,92.8,7.37,9.72
AL-00087,137.2,14.15,55.8,4.1,9.9,212.2,59.5,14.1,80.2,0,3,0,77.9,6.22,6.86
AL-00088,242.0,12.73,12.5,6.9,9.45,666.0,55.7,10.4,92.3,0,0,0,97.9,8.43,11.35
AL-00089,229.0,17.85,33.0,5.8,3.58,76.6,66.2,13.4,93.1,0,0,0,84.8,8.91,12.12
AL-00090,149.3,14.92,79.7,8.3,7.67,837.9,97.7,6.4,79.2,0,1,0,78.9,6.35,6.87
AL-00091,215.0,13.41,83.9,7.8,2.87,781.3,1.4,13.3,94.1,0,0,0,86.8,7.61,10.52
AL-00092,243.9,14.42,67.5,9.2,9.13,121.9,74.8,1.2,90.5,0,0,0,95.7,8.08,10.59
AL-00093,155.4,9.41,99.1,8.4,6.58,10.2,75.9,8.0,85.7,0,3,0,91.8,4.61,5.59
AL-00094,198.4,9.41,78.7,8.6,1.22,477.4,80.0,13.1,84.9,0,3,0,86.1,4.78,5.73
AL-00095,282.8,6.8,86.9,4.7,8.28,740.6,81.7,14.8,60.6,0,2,0,62.4,10.77,13.88
AL-00096,150.8,4.13,23.6,8.7,7.27,567.6,60.6,13.4,69.3,0,2,0,65.1,6.62,7.37
AL-00097,236.6,14.12,60.3,4.1,1.09,186.9,19.4,5.4,96.8,0,0,0,99.2,8.36,12.01
AL-00098,172.3,5.55,50.9,5.5,3.02,901.0,83.7,4.7,64.2,0,2,0,59.4,4.62,5.62
AL-00099,132.7,16.58,90.3,9.1,2.27,74.8,93.7,1.5,79.3,0,1,0,86.0,8.16,8.86
AL-00100,153.8,3.09,80.0,4.9,0.71,505.1,0.2,0.4,71.3,0,2,0,69.6,7.31,7.84
AL-00101,171.7,1.42,89.4,4.9,2.86,351.8,47.9,4.9,82.5,0,3,0,81.4,6.56,7.54
AL-00102,197.6,19.91,79.8,9.4,3.05,18.4,66.6,6.9,74.0,0,3,0,80.9,7.13,7.27
AL-00103,110.9,7.28,27.2,9.3,5.87,100.5,74.5,13.9,82.9,0,1,0,76.2,8.4,9.73
AL-00104,283.4,6.67,83.0,6.8,7.36,286.5,76.2,5.3,84.5,0,3,0,86.7,12.63,15.04
AL-00105,119.3,2.63,86.9,8.5,9.21,117.6,36.8,11.8,81.2,0,1,0,82.7,8.59,9.65
AL-00106,194.9,8.5,83.0,4.5,3.15,365.5,11.7,11.9,86.3,0,3,0,82.9,4.68,5.74
AL-00107,167.5,19.54,86.4,6.3,1.99,836.8,91.2,7.3,62.7,0,2,0,69.8,7.65,9.54
AL-00108,194.0,3.2,90.2,5.7,1.46,933.1,49.5,8.3,77.5,0,2,0,78.7,6.14,6.44
AL-00109,247.0,18.58,96.8,8.2,4.32,299.6,66.5,1.4,93.3,0,0,0,87.6,9.33,12.75
AL-00110,148.2,3.69,26.7,6.4,1.5,404.2,80.8,12.1,81.5,0,3,0,79.9,8.06,9.11
AL-00111,285.5,14.78,44.9,8.6,4.69,103.5,46.3,3.8,94.8,0,0,0,102.1,11.03,15.39
AL-00112,210.5,6.56,11.5,8.0,1.1,467.0,80.0,12.6,87.7,0,3,0,90.0,6.03,7.57
AL-00113,261.8,1.27,18.7,5.3,2.26,868.7,27.4,1.6,64.9,0,2,0,70.1,10.55,12.68
AL-00114,141.3,11.22,69.3,7.8,7.12,136.9,82.8,1.2,82.9,0,1,0,84.7,5.11,5.91
AL-00115,282.5,11.1,77.1,7.4,2.58,279.3,96.4,4.7,96.6,0,0,0,93.8,9.11,13.05
AL-00116,294.3,7.44,97.8,8.2,8.34,728.7,15.8,13.3,67.9,0,2,1,71.2,10.64,12.16
AL-00117,240.0,1.05,77.8,4.5,3.87,831.3,55.3,12.3,61.0,0,2,0,63.9,11.13,14.26
AL-00118,279.3,17.25,37.6,6.6,5.62,177.7,63.0,4.5,96.7,0,0,0,102.8,10.83,15.54
AL-00119,152.3,14.69,81.5,7.0,7.13,324.1,41.5,13.9,87.1,0,3,0,95.3,5.83,7.24
AL-00120,250.9,5.15,34.4,9.4,3.28,489.4,5.1,8.8,89.9,0,3,0,83.6,8.91,11.57
AL-00121,282.2,4.42,20.2,9.4,6.35,896.3,65.2,9.0,64.5,0,2,0,50.4,10.91,13.21
AL-00122,207.3,17.44,52.6,7.2,5.68,243.7,91.3,13.9,91.1,0,0,0,93.9,7.55,9.97
AL-00123,236.6,8.0,95.6,5.5,4.8,681.8,29.9,4.8,60.4,0,2,0,61.9,7.87,10.17
AL-00124,285.9,6.22,29.3,7.3,5.04,43.2,58.3,13.4,90.1,0,3,0,87.8,10.41,13.54
AL-00125,183.8,11.17,29.9,4.6,8.29,912.1,42.4,11.9,70.6,0,2,0,74.3,4.3,4.68
AL-00126,216.4,8.16,32.1,6.0,8.78,55.0,11.3,13.6,84.3,0,3,0,81.1,5.69,6.75
AL-00127,158.8,19.51,23.1,8.0,3.81,854.4,3.5,3.8,68.2,0,2,0,73.9,8.8,10.0
AL-00128,199.3,11.97,27.1,8.0,5.31,188.1,41.3,12.1,85.5,0,3,0,85.8,5.74,6.95
AL-00129,247.7,13.59,59.2,4.2,5.83,195.0,87.0,12.5,95.8,0,0,0,100.7,9.88,13.99
AL-00130,198.2,10.23,27.0,9.3,9.08,206.8,54.8,0.4,80.6,0,3,0,71.0,4.86,5.41
AL-00131,131.2,10.58,82.1,9.6,7.43,404.1,79.5,9.4,78.7,0,1,0,71.0,5.53,5.94
AL-00132,103.1,13.19,40.6,8.7,3.14,783.2,92.0,4.7,76.4,0,1,0,73.5,8.18,8.41
AL-00133,236.6,1.17,99.6,6.5,2.65,956.7,57.1,2.9,61.9,0,2,0,66.7,9.04,11.42
AL-00134,156.0,17.87,71.6,6.2,1.84,959.1,36.9,8.3,71.4,0,2,0,71.9,6.94,7.43
AL-00135,159.7,5.63,59.4,8.0,7.91,851.1,38.8,12.9,68.8,0,2,0,73.0,8.39,9.43
AL-00136,208.5,9.23,56.8,8.4,8.6,16.7,19.4,12.2,85.3,0,3,0,83.8,8.72,10.52
AL-00137,233.7,18.71,92.9,8.0,4.76,247.9,96.6,4.5,94.1,0,0,0,94.4,8.57,11.85
AL-00138,191.6,7.81,72.3,8.6,4.43,351.5,19.1,8.7,80.2,0,3,0,83.9,5.17,5.71
AL-00139,145.6,14.51,72.9,9.0,6.93,5.4,19.7,13.2,78.8,0,1,0,85.4,6.16,6.63
AL-00140,185.7,8.38,51.3,9.1,3.71,84.0,52.2,4.8,80.0,0,3,0,82.9,6.22,6.84
AL-00141,182.1,19.73,97.7,8.9,8.49,847.1,25.8,9.3,62.2,0,2,0,72.0,8.4,10.55
AL-00142,195.0,9.41,59.2,9.4,1.38,408.4,68.7,12.7,92.0,0,3,0,83.7,4.72,6.33
AL-00143,208.7,4.93,48.6,5.1,7.17,104.2,0.9,9.8,80.8,0,3,0,74.3,8.99,10.03
AL-00144,115.6,7.27,18.8,10.0,1.42,952.1,78.5,8.5,79.7,0,1,0,81.1,8.83,9.66
AL-00145,139.6,10.44,24.0,5.1,8.9,340.3,44.4,9.9,84.2,0,3,0,85.9,5.66,6.69
AL-00146,221.0,12.49,38.2,7.4,6.06,452.1,13.0,2.3,92.2,0,0,0,93.3,7.64,10.28
AL-00147,213.3,12.02,87.1,6.5,8.54,558.0,61.7,2.6,92.0,0,0,0,95.1,6.16,8.26
AL-00148,262.4,3.2,91.2,9.3,2.1,558.9,93.4,10.1,30.8,1,2,0,22.0,15.49,29.2
AL-00149,198.1,10.6,34.2,4.2,0.47,147.3,96.7,9.4,86.7,0,3,0,94.5,5.03,6.21
AL-00150,174.2,16.07,31.5,7.6,6.22,699.9,49.5,9.5,60.3,0,2,0,60.6,5.4,6.99
AL-00151,281.5,17.48,12.5,4.6,1.24,608.2,2.4,2.4,96.5,0,0,0,92.8,12.67,18.12
AL-00152,293.0,15.21,52.1,5.9,7.98,516.3,84.3,6.9,92.0,0,0,0,90.0,11.13,14.92
AL-00153,136.0,5.02,58.7,8.3,3.68,551.4,32.1,1.2,71.6,0,1,0,70.9,9.07,9.69
AL-00154,183.3,9.67,20.3,9.0,8.21,952.2,54.7,4.8,73.8,0,2,0,80.6,4.94,5.05
AL-00155,183.9,19.38,17.3,5.5,7.25,147.3,48.3,9.9,83.2,0,3,0,89.7,9.94,11.57
AL-00156,209.1,5.73,75.6,4.1,4.27,472.7,64.9,4.9,82.3,0,3,0,80.3,7.96,9.13
AL-00157,290.3,11.18,88.8,5.9,4.67,240.0,98.0,6.9,96.2,0,0,0,104.5,10.1,14.38
AL-00158,153.8,17.97,96.4,5.9,0.8,47.3,6.5,8.3,79.2,0,3,0,85.9,7.61,8.25
AL-00159,114.9,14.43,37.6,9.0,9.82,436.6,25.7,12.4,74.7,0,1,0,72.7,9.85,9.9
AL-00160,116.4,13.99,86.7,9.3,6.44,355.2,28.1,12.6,80.8,0,1,0,77.4,8.04,8.96
AL-00161,131.6,13.14,19.2,4.1,8.15,821.0,18.9,7.4,66.7,0,2,0,66.6,7.26,8.47
AL-00162,214.9,16.07,30.8,8.0,8.08,97.8,9.6,3.2,95.5,0,0,0,89.9,9.25,13.04
AL-00163,296.9,12.95,38.0,5.6,1.47,787.8,31.4,13.1,93.8,0,0,0,94.2,10.05,13.84
AL-00164,127.5,8.69,47.6,4.1,6.49,787.8,38.1,11.6,56.1,0,2,0,59.0,6.48,8.93
AL-00165,206.9,18.54,75.5,8.4,2.51,400.8,84.9,12.0,90.0,0,0,0,94.2,7.17,9.32
AL-00166,189.2,19.94,84.1,8.0,0.79,60.4,69.8,11.3,89.6,0,3,0,88.9,7.66,9.89
AL-00167,108.1,10.87,63.5,5.7,1.2,524.9,20.6,8.9,44.8,1,2,0,46.3,11.8,18.92
AL-00168,206.8,14.02,95.4,5.4,1.25,55.2,34.1,2.5,90.2,0,0,0,96.5,7.19,9.38
AL-00169,266.0,15.87,77.4,6.0,1.1,197.6,5.7,14.4,93.7,0,0,0,99.0,9.47,13.02
AL-00170,246.0,7.94,22.0,5.3,6.07,894.4,45.4,2.5,70.6,0,2,0,70.1,7.35,8.0
AL-00171,159.8,17.18,75.4,8.7,3.5,848.8,19.4,12.5,57.4,0,2,0,54.3,6.63,8.96
AL-00172,293.0,7.24,18.7,8.7,9.32,648.8,30.5,3.2,56.4,0,2,0,47.8,10.65,14.61
AL-00173,143.7,1.82,77.7,7.1,6.87,715.6,12.0,14.6,70.5,0,1,0,64.7,7.25,7.9
AL-00174,150.5,19.9,48.2,6.1,6.17,648.1,57.1,1.4,40.1,1,2,0,52.7,14.7,24.97
AL-00175,143.8,3.34,24.1,8.9,9.03,771.9,21.2,7.2,81.3,0,1,0,84.5,7.24,8.16
AL-00176,175.1,14.77,24.0,7.6,0.98,126.7,79.0,8.0,86.0,0,3,0,91.5,4.52,5.51
AL-00177,117.1,6.55,95.1,7.6,7.83,884.2,46.1,14.2,71.9,0,1,0,71.5,10.24,10.88
AL-00178,291.9,11.19,85.8,4.4,3.47,264.8,44.9,2.0,100.0,0,0,0,106.0,10.15,15.22
AL-00179,292.5,2.09,75.9,9.9,1.41,741.8,67.6,5.3,71.4,0,2,0,71.3,12.48,13.39
AL-00180,246.3,6.56,31.6,9.4,6.23,288.9,41.3,5.4,86.1,0,3,0,83.8,7.93,9.69
AL-00181,209.6,6.81,28.1,9.2,6.26,234.7,53.4,10.7,85.3,0,3,0,92.9,6.7,8.09
AL-00182,213.9,2.23,58.8,6.3,0.8,602.0,23.5,2.1,39.1,1,2,0,43.6,14.53,24.97
AL-00183,181.6,6.72,18.6,4.2,5.87,781.2,88.0,14.4,61.8,0,2,0,51.5,5.55,7.01
AL-00184,279.3,8.55,20.8,6.5,0.12,903.5,71.3,2.9,59.0,0,2,0,56.5,10.4,13.73
AL-00185,153.4,17.42,41.6,7.9,7.2,241.8,16.1,11.3,84.1,0,3,0,78.1,6.8,8.04
AL-00186,188.2,3.17,13.7,4.8,7.12,958.5,98.0,4.5,60.4,0,2,0,59.6,6.15,7.94
AL-00187,266.5,3.54,51.6,7.7,2.82,225.6,27.1,15.0,87.1,0,3,0,93.7,9.75,12.11
AL-00188,187.8,11.91,71.2,4.8,3.07,858.3,88.5,12.9,75.1,0,2,0,71.1,6.19,6.21
AL-00189,153.8,14.45,24.2,6.5,3.82,134.6,54.6,11.3,82.5,0,3,0,84.7,5.5,6.33
AL-00190,263.3,18.08,39.4,4.6,9.39,877.1,80.7,5.4,91.5,0,0,0,92.9,10.25,13.64
AL-00191,283.7,18.15,68.4,6.2,7.53,419.7,19.1,3.9,95.8,0,0,0,99.2,10.91,15.46
AL-00192,298.4,18.01,97.3,8.4,0.68,945.0,33.8,10.4,92.8,0,0,0,94.9,11.76,15.94
AL-00193,211.5,5.31,78.0,5.1,1.8,611.0,21.4,13.4,59.4,0,2,0,57.0,7.23,9.48
AL-00194,136.6,13.65,82.9,7.4,7.59,233.3,77.6,5.1,80.2,0,1,0,83.9,6.17,6.81
AL-00195,270.4,19.54,98.5,4.2,9.98,913.1,72.9,6.9,90.7,0,0,0,94.4,10.69,14.05
AL-00196,266.3,17.88,62.9,8.2,6.56,505.1,75.5,13.0,91.6,0,0,0,88.9,11.32,15.09
AL-00197,213.2,16.82,81.7,9.3,5.41,816.9,56.6,4.9,91.2,0,0,0,90.7,7.35,9.74
AL-00198,134.4,19.63,20.5,4.1,8.82,164.3,3.0,1.3,79.6,0,3,0,83.3,8.38,9.15
AL-00199,141.1,2.47,11.8,9.8,3.23,975.6,41.7,5.2,85.7,0,1,0,90.1,7.29,8.84
AL-00200,151.0,10.51,79.1,8.7,2.08,438.4,12.1,14.9,83.4,0,3,0,89.0,5.05,5.9
AL-00201,232.0,4.87,40.0,9.5,1.87,429.6,19.9,10.6,86.3,0,3,0,78.3,8.53,10.47
AL-00202,204.4,10.68,59.6,7.0,0.56,219.7,8.0,5.8,98.1,0,0,0,93.7,6.85,10.02
AL-00203,136.8,19.25,28.9,7.7,6.87,764.6,11.2,13.2,77.5,0,1,0,69.5,8.73,9.18
AL-00204,148.4,15.48,95.8,6.6,5.54,193.1,31.2,1.8,78.5,0,3,0,79.4,7.06,7.55
AL-00205,186.0,18.8,60.3,5.2,8.44,957.9,36.0,7.3,76.6,0,2,0,67.1,7.15,7.38
AL-00206,120.7,12.03,64.9,5.5,7.95,480.7,82.4,9.0,82.8,0,3,0,90.3,7.02,8.11
AL-00207,286.3,9.17,77.8,6.2,9.58,104.9,46.9,7.3,87.4,0,3,0,85.4,9.84,12.27
AL-00208,109.0,13.92,38.7,9.7,3.84,371.5,88.3,12.8,85.3,0,1,0,78.9,7.57,9.13
AL-00209,284.4,7.75,91.8,5.6,1.55,709.1,69.8,8.0,65.4,0,2,0,65.6,10.15,12.09
AL-00210,249.3,19.7,13.4,6.7,6.37,328.5,82.6,12.9,93.5,0,0,0,100.8,9.65,13.24
AL-00211,168.5,11.85,15.5,4.8,4.86,556.2,6.0,9.3,64.4,0,2,0,64.1,3.88,4.7
AL-00212,240.6,3.02,43.6,5.4,1.42,670.2,93.2,4.9,74.0,0,2,0,70.6,8.39,8.56
AL-00213,193.7,10.03,55.8,7.2,0.47,752.9,9.4,5.1,64.0,0,2,0,63.2,4.83,5.89
AL-00214,186.7,14.98,38.2,8.0,9.37,345.8,98.3,8.7,80.1,0,3,0,71.4,6.41,7.06
AL-00215,195.7,10.19,56.4,8.4,7.05,529.9,30.5,0.1,63.8,0,2,0,61.1,6.47,7.93
AL-00216,283.3,17.4,76.8,6.8,0.86,123.6,30.0,8.7,95.9,0,0,0,104.3,11.22,15.92
AL-00217,228.8,19.42,25.2,5.1,8.21,359.3,16.4,2.0,95.3,0,0,0,100.9,10.13,14.24
AL-00218,183.4,11.75,24.6,6.9,4.2,624.8,20.7,3.4,73.1,0,2,0,75.8,5.01,5.2
AL-00219,129.3,17.87,59.3,4.8,5.32,468.2,75.3,3.8,80.8,0,3,0,85.0,8.2,9.15
AL-00220,272.7,9.63,84.4,5.2,1.93,56.0,48.5,14.0,86.2,0,3,0,90.7,8.56,10.48
AL-00221,277.1,9.62,51.7,7.1,6.63,643.8,74.2,7.5,56.0,0,2,0,66.6,8.75,12.07
AL-00222,186.7,1.58,72.0,4.8,3.11,463.9,66.1,2.2,85.6,0,3,0,87.5,6.59,7.98
AL-00223,280.5,10.34,21.7,8.7,8.46,283.7,34.1,10.7,94.8,0,0,0,93.4,11.69,16.33
AL-00224,174.0,9.29,35.7,7.3,2.01,171.9,86.7,1.4,63.8,1,3,0,65.5,10.6,12.98
AL-00225,124.2,8.24,34.6,9.4,3.1,185.7,80.9,13.4,76.4,0,1,0,69.1,6.16,6.33
AL-00226,188.0,1.8,79.6,9.8,2.65,429.2,78.5,8.0,84.6,0,3,0,85.6,7.28,8.67
AL-00227,129.5,7.39,83.6,8.9,1.29,554.8,67.6,11.1,83.8,0,1,0,84.1,7.05,8.29
AL-00228,268.6,3.01,48.4,5.4,8.89,193.2,74.6,7.9,82.3,0,3,0,83.1,9.89,11.34
