episode,stap,policy,setpoint_C,state_temp_C,state_conc_molL,state_coolant_C,state_error_C,state_verstoring,action_coolant_adj,reward_tracking,reward_energie,reward_constraint,reward_totaal,cumulatief_reward,next_temp_C,next_conc_molL,next_coolant_C,done
2,7,PID_conservatief,160,112.05,1.0306,28.8,47.95,0.496,3.0,-10.376,-0.033,-10,-20.409,-89.58,108.12,1.0323,28.8,1
3,0,PID_agressief,145,141.48,0.8423,27.9,3.52,0.73,7.04,-1.71,-0.077,0,-1.788,-1.79,136.45,0.8441,28.1,0
3,1,PID_agressief,145,136.45,0.8441,28.1,8.55,0.262,10.0,-2.851,-0.11,0,-2.961,-4.75,130.75,0.8458,28.1,0
3,2,PID_agressief,145,130.75,0.8458,28.1,14.25,0.639,10.0,-3.896,-0.11,0,-4.006,-8.75,125.52,0.8476,28.2,0
3,3,PID_agressief,145,125.52,0.8476,28.2,19.48,0.5,10.0,-4.808,-0.11,0,-4.918,-13.67,120.96,0.8493,28.3,0
3,4,PID_agressief,145,120.96,0.8493,28.3,24.04,-0.347,10.0,-5.892,-0.11,-10,-16.002,-29.68,115.54,0.8511,28.1,0
3,5,PID_agressief,145,115.54,0.8511,28.1,29.46,-0.332,10.0,-6.954,-0.11,-10,-17.064,-46.74,110.23,0.8528,28.0,0
3,6,PID_agressief,145,110.23,0.8528,28.0,34.77,0.374,10.0,-7.779,-0.11,-10,-17.889,-64.63,106.1,0.8546,28.0,1
4,0,PID_conservatief,145,146.6,1.0104,26.4,-1.6,0.225,-0.8,-0.692,-0.008,0,-0.7,-0.7,141.54,1.0121,26.4,0
4,1,PID_conservatief,145,141.54,1.0121,26.4,3.46,0.059,1.73,-1.729,-0.019,0,-1.748,-2.45,136.36,1.0138,26.4,0
4,2,PID_conservatief,145,136.36,1.0138,26.4,8.64,0.172,3.0,-2.739,-0.033,0,-2.772,-5.22,131.3,1.0155,26.5,0
4,3,PID_conservatief,145,131.3,1.0155,26.5,13.7,-0.01,3.0,-3.721,-0.033,0,-3.754,-8.97,126.4,1.0172,26.6,0
4,4,PID_conservatief,145,126.4,1.0172,26.6,18.6,0.158,3.0,-4.611,-0.033,0,-4.644,-13.62,121.94,1.0189,26.6,0
4,5,PID_conservatief,145,121.94,1.0189,26.6,23.06,0.967,3.0,-5.32,-0.033,-10,-15.353,-28.97,118.4,1.0206,26.7,0
4,6,PID_conservatief,145,118.4,1.0206,26.7,26.6,0.237,3.0,-6.161,-0.033,-10,-16.194,-45.16,114.2,1.0223,26.7,0
4,7,PID_conservatief,145,114.2,1.0223,26.7,30.8,0.64,3.0,-6.787,-0.033,-10,-16.82,-61.99,111.06,1.0241,26.7,0
4,8,PID_conservatief,145,111.06,1.0241,26.7,33.94,0.189,3.0,-7.506,-0.033,-10,-17.539,-79.52,107.47,1.0258,26.9,1
5,0,PID_conservatief,145,145.79,0.8718,21.8,-0.79,0.571,-0.39,-0.826,-0.004,0,-0.83,-0.83,140.87,0.8736,22.0,0
5,1,PID_conservatief,145,140.87,0.8736,22.0,4.13,0.078,2.07,-1.957,-0.023,0,-1.979,-2.81,135.22,0.8753,22.1,0
5,2,PID_conservatief,145,135.22,0.8753,22.1,9.78,-0.051,3.0,-3.071,-0.033,0,-3.104,-5.91,129.64,0.8771,22.1,0
5,3,PID_conservatief,145,129.64,0.8771,22.1,15.36,-0.173,3.0,-4.192,-0.033,0,-4.225,-10.14,124.04,0.8788,21.9,0
5,4,PID_conservatief,145,124.04,0.8788,21.9,20.96,0.348,3.0,-5.086,-0.033,-10,-15.119,-25.26,119.57,0.8806,22.0,0
5,5,PID_conservatief,145,119.57,0.8806,22.0,25.43,0.523,3.0,-5.964,-0.033,-10,-15.997,-41.25,115.18,0.8823,22.0,0
5,6,PID_conservatief,145,115.18,0.8823,22.0,29.82,0.602,3.0,-6.793,-0.033,-10,-16.826,-58.08,111.04,0.8841,21.9,0
5,7,PID_conservatief,145,111.04,0.8841,21.9,33.96,0.647,3.0,-7.514,-0.033,-10,-17.547,-75.63,107.43,0.8858,22.1,1
6,0,PID_agressief,155,152.1,1.0677,18.8,2.9,0.273,5.79,-1.813,-0.064,0,-1.876,-1.88,145.94,1.0693,18.8,0
6,1,PID_agressief,155,145.94,1.0693,18.8,9.06,-0.234,10.0,-3.255,-0.11,0,-3.365,-5.24,138.72,1.071,19.0,0
6,2,PID_agressief,155,138.72,1.071,19.0,16.28,0.092,10.0,-4.53,-0.11,0,-4.64,-9.88,132.35,1.0727,19.0,0
6,3,PID_agressief,155,132.35,1.0727,19.0,22.65,0.251,10.0,-5.649,-0.11,0,-5.759,-15.64,126.76,1.0744,19.0,0
6,4,PID_agressief,155,126.76,1.0744,19.0,28.24,0.493,10.0,-6.675,-0.11,0,-6.785,-22.43,121.63,1.0761,19.1,0
6,5,PID_agressief,155,121.63,1.0761,19.1,33.37,0.432,10.0,-7.726,-0.11,-10,-17.836,-40.26,116.37,1.0778,19.1,0
6,6,PID_agressief,155,116.37,1.0778,19.1,38.63,0.641,10.0,-8.601,-0.11,-10,-18.711,-58.97,111.99,1.0795,19.0,0
6,7,PID_agressief,155,111.99,1.0795,19.0,43.01,0.592,10.0,-9.537,-0.11,-10,-19.647,-78.62,107.31,1.0812,18.9,1
7,0,random,145,144.86,0.9368,29.1,0.14,-0.115,1.22,-1.186,-0.013,0,-1.199,-1.2,139.07,0.9385,29.2,0
7,1,random,145,139.07,0.9385,29.2,5.93,-0.206,8.58,-2.358,-0.094,0,-2.453,-3.65,133.21,0.9402,29.0,0
7,2,random,145,133.21,0.9402,29.0,11.79,0.058,-9.68,-3.088,-0.097,0,-3.185,-6.84,129.56,0.9419,28.9,0
7,3,random,145,129.56,0.9419,28.9,15.44,-0.618,9.41,-4.246,-0.104,0,-4.35,-11.19,123.77,0.9436,28.9,0
7,4,random,145,123.77,0.9436,28.9,21.23,-0.038,-8.81,-5.006,-0.088,-10,-15.094,-26.28,119.97,0.9454,28.9,0
7,5,random,145,119.97,0.9454,28.9,25.03,0.03,-7.68,-5.641,-0.077,-10,-15.718,-42.0,116.8,0.9471,29.0,0
7,6,random,145,116.8,0.9471,29.0,28.2,0.498,-2.33,-6.304,-0.023,-10,-16.327,-58.33,113.48,0.9489,28.8,0
7,7,random,145,113.48,0.9489,28.8,31.52,0.454,9.99,-7.128,-0.11,-10,-17.238,-75.56,109.36,0.9506,28.7,1
8,0,PID_conservatief,155,146.13,1.0288,16.9,8.87,0.311,3.0,-2.907,-0.033,0,-2.94,-2.94,140.47,1.0304,17.1,0
8,1,PID_conservatief,155,140.47,1.0304,17.1,14.53,0.04,3.0,-4.027,-0.033,0,-4.06,-7.0,134.87,1.0321,17.1,0
8,2,PID_conservatief,155,134.87,1.0321,17.1,20.13,0.342,3.0,-5.062,-0.033,0,-5.095,-12.09,129.69,1.0338,17.1,0
8,3,PID_conservatief,155,129.69,1.0338,17.1,25.31,-0.073,3.0,-6.057,-0.033,0,-6.09,-18.18,124.72,1.0355,17.1,0
8,4,PID_conservatief,155,124.72,1.0355,17.1,30.28,0.458,3.0,-6.892,-0.033,0,-6.925,-25.11,120.54,1.0372,17.2,0
8,5,PID_conservatief,155,120.54,1.0372,17.2,34.46,0.197,3.0,-7.801,-0.033,-10,-17.834,-42.94,116.0,1.0389,17.3,0
8,6,PID_conservatief,155,116.0,1.0389,17.3,39.0,0.481,3.0,-8.655,-0.033,-10,-18.688,-61.63,111.73,1.0407,17.3,0
8,7,PID_conservatief,155,111.73,1.0407,17.3,43.27,0.633,3.0,-9.373,-0.033,-10,-19.406,-81.04,108.14,1.0424,17.3,1
9,0,expert,155,153.15,0.9069,25.6,1.85,-0.081,1.83,-1.599,-0.02,0,-1.619,-1.62,147.01,0.9086,25.6,0
9,1,expert,155,147.01,0.9086,25.6,7.99,-0.208,5.0,-2.938,-0.055,0,-2.993,-4.61,140.31,0.9103,25.5,0
9,2,expert,155,140.31,0.9103,25.5,14.69,-0.064,5.0,-4.084,-0.055,0,-4.139,-8.75,134.58,0.9121,25.5,0
9,3,expert,155,134.58,0.9121,25.5,20.42,0.252,5.0,-5.154,-0.055,0,-5.209,-13.96,129.23,0.9138,25.6,0
9,4,expert,155,129.23,0.9138,25.6,25.77,0.466,5.0,-6.083,-0.055,0,-6.138,-20.1,124.58,0.9155,25.5,0
9,5,expert,155,124.58,0.9155,25.5,30.42,0.252,5.0,-7.013,-0.055,-10,-17.068,-37.17,119.93,0.9173,25.4,0
9,6,expert,155,119.93,0.9173,25.4,35.07,0.424,5.0,-7.859,-0.055,-10,-17.914,-55.08,115.7,0.919,25.4,0
9,7,expert,155,115.7,0.919,25.4,39.3,0.525,5.0,-8.599,-0.055,-10,-18.654,-73.73,112.01,0.9208,25.4,0
9,8,expert,155,112.01,0.9208,25.4,42.99,0.42,5.0,-9.355,-0.055,-10,-19.41,-93.15,108.22,0.9225,25.5,1
10,0,PID_conservatief,160,158.68,1.0651,17.5,1.32,-0.214,0.66,-1.627,-0.007,0,-1.634,-1.63,151.86,1.0668,17.7,0
10,1,PID_conservatief,160,151.86,1.0668,17.7,8.14,0.337,3.0,-2.876,-0.033,0,-2.909,-4.54,145.62,1.0685,17.7,0
10,2,PID_conservatief,160,145.62,1.0685,17.7,14.38,0.267,3.0,-4.006,-0.033,0,-4.039,-8.58,139.97,1.0702,17.7,0
10,3,PID_conservatief,160,139.97,1.0702,17.7,20.03,0.536,3.0,-5.033,-0.033,0,-5.066,-13.65,134.84,1.0718,18.0,0
10,4,PID_conservatief,160,134.84,1.0718,18.0,25.16,0.046,3.0,-6.111,-0.033,0,-6.144,-19.79,129.45,1.0735,18.2,0
10,5,PID_conservatief,160,129.45,1.0735,18.2,30.55,0.379,3.0,-7.124,-0.033,0,-7.157,-26.95,124.38,1.0752,18.2,0
10,6,PID_conservatief,160,124.38,1.0752,18.2,35.62,0.388,3.0,-8.019,-0.033,-10,-18.052,-45.0,119.91,1.0769,18.4,0
10,7,PID_conservatief,160,119.91,1.0769,18.4,40.09,0.549,3.0,-8.837,-0.033,-10,-18.87,-63.87,115.81,1.0786,18.4,0
10,8,PID_conservatief,160,115.81,1.0786,18.4,44.19,-0.006,3.0,-9.731,-0.033,-10,-19.764,-83.64,111.34,1.0803,18.6,0
10,9,PID_conservatief,160,111.34,1.0803,18.6,48.66,0.385,3.0,-10.479,-0.033,-10,-20.512,-104.15,107.61,1.082,18.6,1
11,0,PID_agressief,145,158.29,1.1203,25.7,-13.29,-0.069,-10.0,-1.766,-0.1,0,-1.866,-1.87,153.83,1.1219,25.8,0
11,1,PID_agressief,145,153.83,1.1219,25.8,-8.83,0.396,-10.0,-1.001,-0.1,0,-1.101,-2.97,150.01,1.1236,25.7,0
11,2,PID_agressief,145,150.01,1.1236,25.7,-5.01,0.031,-10.0,-0.17,-0.1,0,-0.17,-3.14,145.85,1.1252,25.5,0
11,3,PID_agressief,145,145.85,1.1252,25.5,-0.85,0.319,-1.7,-0.872,-0.017,0,-0.889,-4.03,140.64,1.1269,25.6,0
11,4,PID_agressief,145,140.64,1.1269,25.6,4.36,-0.081,8.72,-2.106,-0.096,0,-2.202,-6.23,134.47,1.1285,25.5,0
11,5,PID_agressief,145,134.47,1.1285,25.5,10.53,0.582,10.0,-3.173,-0.11,0,-3.283,-9.51,129.13,1.1302,25.6,0
11,6,PID_agressief,145,129.13,1.1302,25.6,15.87,0.159,10.0,-4.251,-0.11,0,-4.361,-13.87,123.74,1.1319,25.5,0
11,7,PID_agressief,145,123.74,1.1319,25.5,21.26,0.124,10.0,-5.288,-0.11,-10,-15.398,-29.27,118.56,1.1336,25.6,0
11,8,PID_agressief,145,118.56,1.1336,25.6,26.44,0.461,10.0,-6.102,-0.11,-10,-16.212,-45.48,114.49,1.1353,25.7,0
11,9,PID_agressief,145,114.49,1.1353,25.7,30.51,0.734,10.0,-6.839,-0.11,-10,-16.949,-62.43,110.8,1.1369,25.7,0
11,10,PID_agressief,145,110.8,1.1369,25.7,34.2,0.013,10.0,-7.662,-0.11,-10,-17.772,-80.2,106.69,1.1386,25.5,1
12,0,expert,155,152.16,1.0673,22.1,2.84,0.26,2.91,-1.868,-0.032,0,-1.9,-1.9,145.66,1.069,22.1,0
12,1,expert,155,145.66,1.069,22.1,9.34,-0.281,5.0,-3.205,-0.055,0,-3.26,-5.16,138.97,1.0707,22.2,0
12,2,expert,155,138.97,1.0707,22.2,16.03,0.401,5.0,-4.329,-0.055,0,-4.384,-9.54,133.36,1.0724,22.1,0
12,3,expert,155,133.36,1.0724,22.1,21.64,-0.097,5.0,-5.433,-0.055,0,-5.488,-15.03,127.83,1.0741,22.3,0
12,4,expert,155,127.83,1.0741,22.3,27.17,0.298,5.0,-6.475,-0.055,0,-6.53,-21.56,122.63,1.0758,22.2,0
12,5,expert,155,122.63,1.0758,22.2,32.37,0.508,5.0,-7.38,-0.055,-10,-17.435,-39.0,118.1,1.0775,22.2,0
12,6,expert,155,118.1,1.0775,22.2,36.9,0.38,5.0,-8.251,-0.055,-10,-18.306,-57.3,113.74,1.0792,22.0,0
12,7,expert,155,113.74,1.0792,22.0,41.26,-0.013,5.0,-9.25,-0.055,-10,-19.305,-76.61,108.75,1.0809,21.9,1
13,0,PID_agressief,150,145.66,1.0282,22.7,4.34,-0.153,8.69,-2.208,-0.096,0,-2.304,-2.3,138.96,1.0299,22.8,0
13,1,PID_agressief,150,138.96,1.0299,22.8,11.04,0.276,10.0,-3.422,-0.11,0,-3.532,-5.84,132.89,1.0316,22.8,0
13,2,PID_agressief,150,132.89,1.0316,22.8,17.11,0.291,10.0,-4.608,-0.11,0,-4.718,-10.55,126.96,1.0333,22.9,0
13,3,PID_agressief,150,126.96,1.0333,22.9,23.04,-0.068,10.0,-5.707,-0.11,0,-5.817,-16.37,121.47,1.035,23.0,0
13,4,PID_agressief,150,121.47,1.035,23.0,28.53,0.262,10.0,-6.732,-0.11,-10,-16.842,-33.21,116.34,1.0367,22.9,0
13,5,PID_agressief,150,116.34,1.0367,22.9,33.66,0.559,10.0,-7.64,-0.11,-10,-17.75,-50.96,111.8,1.0384,22.8,0
13,6,PID_agressief,150,111.8,1.0384,22.8,38.2,0.437,10.0,-8.547,-0.11,-10,-18.657,-69.62,107.26,1.0401,22.8,1
14,0,PID_conservatief,155,157.78,1.0874,22.7,-2.78,-0.395,-1.39,-0.724,-0.014,0,-0.738,-0.74,151.38,1.0891,22.9,0
14,1,PID_conservatief,155,151.38,1.0891,22.9,3.62,0.455,1.81,-1.832,-0.02,0,-1.852,-2.59,145.84,1.0907,22.7,0
14,2,PID_conservatief,155,145.84,1.0907,22.7,9.16,0.004,3.0,-2.974,-0.033,0,-3.007,-5.6,140.13,1.0924,22.7,0
14,3,PID_conservatief,155,140.13,1.0924,22.7,14.87,-0.088,3.0,-4.076,-0.033,0,-4.109,-9.71,134.62,1.0941,22.9,0
14,4,PID_conservatief,155,134.62,1.0941,22.9,20.38,-0.062,3.0,-5.158,-0.033,0,-5.191,-14.9,129.21,1.0958,23.0,0
14,5,PID_conservatief,155,129.21,1.0958,23.0,25.79,0.075,3.0,-6.124,-0.033,0,-6.157,-21.05,124.38,1.0974,22.9,0
14,6,PID_conservatief,155,124.38,1.0974,22.9,30.62,0.401,3.0,-6.915,-0.033,0,-6.948,-28.0,120.43,1.0991,23.0,0
14,7,PID_conservatief,155,120.43,1.0991,23.0,34.57,0.235,3.0,-7.777,-0.033,-10,-17.81,-45.81,116.12,1.1008,22.9,0
14,8,PID_conservatief,155,116.12,1.1008,22.9,38.88,0.4,3.0,-8.636,-0.033,-10,-18.669,-64.48,111.82,1.1025,23.0,0
14,9,PID_conservatief,155,111.82,1.1025,23.0,43.18,0.67,3.0,-9.368,-0.033,-10,-19.401,-83.88,108.16,1.1042,23.1,1
15,0,random,150,148.09,1.1175,26.5,1.91,-0.212,-3.78,-1.4,-0.038,0,-1.438,-1.44,143.0,1.1192,26.6,0
15,1,random,150,143.0,1.1192,26.6,7.0,-0.53,-4.85,-2.48,-0.049,0,-2.529,-3.97,137.6,1.1208,26.6,0
15,2,random,150,137.6,1.1208,26.6,12.4,-0.323,-2.03,-3.469,-0.02,0,-3.49,-7.46,132.65,1.1225,26.7,0
15,3,random,150,132.65,1.1225,26.7,17.35,-0.254,4.31,-4.513,-0.047,0,-4.561,-12.02,127.43,1.1242,26.7,0
15,4,random,150,127.43,1.1242,26.7,22.57,0.116,-8.42,-5.201,-0.084,0,-5.285,-17.3,124.0,1.1259,26.7,0
15,5,random,150,124.0,1.1259,26.7,26.0,0.603,3.73,-5.981,-0.041,0,-6.022,-23.32,120.1,1.1275,26.6,0
15,6,random,150,120.1,1.1275,26.6,29.9,-0.059,-0.82,-6.79,-0.008,-10,-16.799,-40.12,116.05,1.1292,26.5,0
15,7,random,150,116.05,1.1292,26.5,33.95,0.521,8.7,-7.575,-0.096,-10,-17.671,-57.79,112.13,1.1309,26.4,0
15,8,random,150,112.13,1.1309,26.4,37.87,0.471,-0.53,-8.218,-0.005,-10,-18.223,-76.02,108.91,1.1326,26.3,1
16,0,PID_conservatief,150,147.93,0.9339,26.9,2.07,0.579,1.04,-1.414,-0.011,0,-1.426,-1.43,142.93,0.9356,27.0,0
16,1,PID_conservatief,150,142.93,0.9356,27.0,7.07,-0.276,3.0,-2.536,-0.033,0,-2.569,-3.99,137.32,0.9373,27.1,0
16,2,PID_conservatief,150,137.32,0.9373,27.1,12.68,-0.354,3.0,-3.684,-0.033,0,-3.717,-7.71,131.58,0.939,27.2,0
16,3,PID_conservatief,150,131.58,0.939,27.2,18.42,0.425,3.0,-4.579,-0.033,0,-4.612,-12.32,127.11,0.9408,27.2,0
16,4,PID_conservatief,150,127.11,0.9408,27.2,22.89,-0.252,3.0,-5.512,-0.033,0,-5.545,-17.87,122.44,0.9425,27.3,0
16,5,PID_conservatief,150,122.44,0.9425,27.3,27.56,-0.302,3.0,-6.505,-0.033,-10,-16.538,-34.41,117.47,0.9442,27.5,0
16,6,PID_conservatief,150,117.47,0.9442,27.5,32.53,-0.105,3.0,-7.347,-0.033,-10,-17.38,-51.79,113.26,0.946,27.4,0
16,7,PID_conservatief,150,113.26,0.946,27.4,36.74,1.196,3.0,-7.938,-0.033,-10,-17.971,-69.76,110.31,0.9477,27.4,0
16,8,PID_conservatief,150,110.31,0.9477,27.4,39.69,0.545,3.0,-8.582,-0.033,-10,-18.615,-88.37,107.09,0.9495,27.4,1
17,0,random,155,149.7,0.89,20.8,5.3,0.321,6.77,-2.361,-0.074,0,-2.436,-2.44,143.19,0.8917,20.8,0
17,1,random,155,143.19,0.8917,20.8,11.81,-0.203,8.82,-3.798,-0.097,0,-3.896,-6.33,136.01,0.8935,20.9,0
17,2,random,155,136.01,0.8935,20.9,18.99,-0.173,-7.88,-4.594,-0.079,0,-4.673,-11.0,132.03,0.8952,20.9,0
17,3,random,155,132.03,0.8952,20.9,22.97,0.41,6.81,-5.639,-0.075,0,-5.714,-16.72,126.81,0.897,20.9,0
17,4,random,155,126.81,0.897,20.9,28.19,0.248,0.61,-6.55,-0.007,0,-6.557,-23.27,122.25,0.8987,20.8,0
17,5,random,155,122.25,0.8987,20.8,32.75,0.284,9.96,-7.699,-0.11,-10,-17.808,-41.08,116.51,0.9004,20.8,0
17,6,random,155,116.51,0.9004,20.8,38.49,0.153,-0.51,-8.557,-0.005,-10,-18.562,-59.64,112.22,0.9022,20.8,0
17,7,random,155,112.22,0.9022,20.8,42.78,0.648,3.05,-9.274,-0.034,-10,-19.307,-78.95,108.63,0.9039,20.7,1
18,0,expert,155,141.95,0.9251,15.2,13.05,0.361,5.0,-3.864,-0.055,0,-3.919,-3.92,135.68,0.9268,15.3,0
18,1,expert,155,135.68,0.9268,15.3,19.32,0.162,5.0,-5.057,-0.055,0,-5.112,-9.03,129.71,0.9286,15.4,0
18,2,expert,155,129.71,0.9286,15.4,25.29,-0.194,5.0,-6.304,-0.055,0,-6.359,-15.39,123.48,0.9303,15.5,0
18,3,expert,155,123.48,0.9303,15.5,31.52,-0.037,5.0,-7.472,-0.055,-10,-17.527,-32.92,117.64,0.932,15.7,0
18,4,expert,155,117.64,0.932,15.7,37.36,0.136,5.0,-8.495,-0.055,-10,-18.55,-51.47,112.52,0.9338,15.9,0
18,5,expert,155,112.52,0.9338,15.9,42.48,0.599,5.0,-9.345,-0.055,-10,-19.4,-70.87,108.28,0.9355,15.9,1
19,0,expert,145,146.04,1.0837,19.5,-1.04,0.491,-0.9,-0.809,-0.009,0,-0.818,-0.82,140.96,1.0853,19.7,0
19,1,expert,145,140.96,1.0853,19.7,4.04,-0.119,4.01,-2.054,-0.044,0,-2.098,-2.92,134.73,1.087,19.7,0
19,2,expert,145,134.73,1.087,19.7,10.27,0.272,5.0,-3.162,-0.055,0,-3.217,-6.13,129.19,1.0887,19.9,0
19,3,expert,145,129.19,1.0887,19.9,15.81,0.5,5.0,-4.114,-0.055,0,-4.169,-10.3,124.43,1.0904,19.9,0
19,4,expert,145,124.43,1.0904,19.9,20.57,0.563,5.0,-4.977,-0.055,0,-5.032,-15.33,120.11,1.0921,19.9,0
19,5,expert,145,120.11,1.0921,19.9,24.89,0.67,5.0,-5.826,-0.055,-10,-15.881,-31.21,115.87,1.0938,20.0,0
19,6,expert,145,115.87,1.0938,20.0,29.13,0.445,5.0,-6.645,-0.055,-10,-16.7,-47.92,111.77,1.0955,20.2,0
19,7,expert,145,111.77,1.0955,20.2,33.23,0.596,5.0,-7.386,-0.055,-10,-17.441,-65.36,108.07,1.0972,20.1,1
20,0,PID_agressief,145,140.96,1.1292,27.6,4.04,-0.328,8.08,-2.08,-0.089,0,-2.169,-2.17,134.6,1.1309,27.6,0
20,1,PID_agressief,145,134.6,1.1309,27.6,10.4,0.112,10.0,-3.214,-0.11,0,-3.324,-5.49,128.93,1.1326,27.5,0
20,2,PID_agressief,145,128.93,1.1326,27.5,16.07,-0.069,10.0,-4.285,-0.11,0,-4.395,-9.89,123.57,1.1342,27.5,0
20,3,PID_agressief,145,123.57,1.1342,27.5,21.43,0.273,10.0,-5.263,-0.11,-10,-15.373,-25.26,118.69,1.1359,27.5,0
20,4,PID_agressief,145,118.69,1.1359,27.5,26.31,-0.136,10.0,-6.218,-0.11,-10,-16.328,-41.59,113.91,1.1376,27.5,0
20,5,PID_agressief,145,113.91,1.1376,27.5,31.09,0.406,10.0,-7.125,-0.11,-10,-17.235,-58.82,109.37,1.1393,27.3,1
21,0,expert,155,142.72,1.1132,17.8,12.28,0.499,5.0,-3.652,-0.055,0,-3.707,-3.71,136.74,1.1149,17.9,0
21,1,expert,155,136.74,1.1149,17.9,18.26,0.381,5.0,-4.741,-0.055,0,-4.796,-8.5,131.29,1.1166,18.1,0
21,2,expert,155,131.29,1.1166,18.1,23.71,0.589,5.0,-5.778,-0.055,0,-5.833,-14.34,126.11,1.1182,18.2,0
21,3,expert,155,126.11,1.1182,18.2,28.89,-0.041,5.0,-6.899,-0.055,0,-6.954,-21.29,120.5,1.1199,18.2,0
21,4,expert,155,120.5,1.1199,18.2,34.5,0.141,5.0,-7.881,-0.055,-10,-17.936,-39.23,115.6,1.1216,18.4,0
21,5,expert,155,115.6,1.1216,18.4,39.4,0.74,5.0,-8.7,-0.055,-10,-18.755,-57.98,111.5,1.1233,18.5,0
21,6,expert,155,111.5,1.1233,18.5,43.5,0.254,5.0,-9.561,-0.055,-10,-19.616,-77.6,107.19,1.125,18.6,1
22,0,PID_conservatief,155,151.59,1.0254,22.7,3.41,0.148,1.7,-1.873,-0.019,0,-1.892,-1.89,145.63,1.027,22.6,0
22,1,PID_conservatief,155,145.63,1.027,22.6,9.37,0.522,3.0,-2.966,-0.033,0,-2.999,-4.89,140.17,1.0287,22.5,0
22,2,PID_conservatief,155,140.17,1.0287,22.5,14.83,0.087,3.0,-4.097,-0.033,0,-4.13,-9.02,134.52,1.0304,22.6,0
22,3,PID_conservatief,155,134.52,1.0304,22.6,20.48,0.596,3.0,-4.983,-0.033,0,-5.016,-14.04,130.08,1.0321,22.6,0
22,4,PID_conservatief,155,130.08,1.0321,22.6,24.92,-0.082,3.0,-5.993,-0.033,0,-6.026,-20.06,125.03,1.0338,22.8,0
