tablet_id,deeltjesgrootte_um,vochtgehalte_pct,menguniformiteit_pct,perskracht_kN,voorcompressie_kN,draaisnelheid_RPM,vuldiepte_mm,gewicht_mg,dikte_mm,hardheid_N,brosheid_pct,dissolutie_30min_pct,goedgekeurd
TAB-00086,48.9,3.77,98.8,11.5,3.0,24,11.79,348.5,4.09,72.6,0.527,95.4,1
TAB-00087,50.5,3.18,97.8,12.9,2.9,38,11.74,350.3,4.07,75.4,0.581,88.8,1
TAB-00088,36.0,3.14,96.7,14.4,2.8,39,12.18,351.8,4.09,77.7,0.517,85.0,1
TAB-00089,44.2,3.5,96.1,16.5,3.1,53,12.39,353.9,4.01,75.9,0.586,84.9,1
TAB-00090,50.5,2.72,93.2,15.0,3.4,47,11.26,346.8,3.96,84.8,0.546,89.0,1
TAB-00091,42.6,3.48,97.6,14.9,2.8,26,12.0,354.5,3.98,81.4,0.441,82.2,1
TAB-00092,58.6,2.81,101.0,13.0,2.9,29,12.43,351.8,4.07,79.2,0.501,84.5,1
TAB-00093,43.4,2.26,99.5,15.0,2.9,31,11.07,346.9,3.93,91.2,0.371,83.2,1
TAB-00094,52.2,2.5,98.5,17.6,3.6,25,11.97,350.4,3.8,103.6,0.367,77.3,1
TAB-00095,51.2,3.28,96.5,15.3,2.9,32,11.39,350.9,3.96,82.1,0.462,85.7,1
TAB-00096,57.5,2.53,100.0,12.0,2.4,49,11.68,352.3,4.15,59.5,0.564,89.9,1
TAB-00097,59.0,3.81,97.8,12.5,2.2,30,10.75,347.1,3.98,65.3,0.476,94.7,1
TAB-00098,56.9,3.59,101.1,16.2,3.2,53,12.7,355.0,4.01,81.7,0.58,83.9,1
TAB-00099,28.9,3.67,96.0,14.6,2.6,39,11.82,350.7,4.01,71.2,0.538,83.2,1
TAB-00100,61.9,3.06,96.5,14.9,3.3,33,11.6,346.7,3.94,85.3,0.429,83.7,1
TAB-00101,65.3,3.13,96.3,13.8,2.3,36,12.16,349.6,4.01,80.8,0.434,88.1,1
TAB-00102,45.2,2.4,95.0,16.0,2.7,48,11.48,348.9,3.9,88.3,0.41,77.2,1
TAB-00103,52.4,3.5,96.1,14.4,2.3,41,11.43,345.3,3.98,73.1,0.528,87.7,1
TAB-00104,41.1,3.19,98.2,14.6,3.2,20,12.76,359.0,4.16,77.5,0.434,86.1,1
TAB-00105,30.5,3.28,96.6,13.3,3.3,57,12.9,354.6,4.14,63.7,0.725,87.2,1
TAB-00106,42.6,3.84,90.3,16.8,3.2,23,11.7,358.8,3.93,100.3,0.416,84.1,1
TAB-00107,44.6,2.7,100.1,14.6,2.5,58,12.53,350.0,4.02,73.5,0.5,79.9,1
TAB-00108,46.5,2.94,94.6,16.2,2.6,21,12.18,351.5,3.89,89.1,0.368,79.3,1
TAB-00109,40.4,3.16,99.2,12.6,3.1,51,11.29,345.7,4.03,65.0,0.673,86.4,1
TAB-00110,42.7,2.53,98.1,18.5,2.2,41,11.54,344.4,3.73,99.1,0.38,78.9,1
TAB-00111,49.9,2.91,102.2,17.6,2.9,40,12.78,356.9,3.88,95.8,0.501,86.5,1
TAB-00112,42.3,3.25,100.0,11.2,3.8,23,11.29,343.6,4.22,71.6,0.512,90.4,1
TAB-00113,55.4,2.84,97.0,13.4,2.9,30,13.14,353.3,4.17,78.8,0.504,87.3,1
TAB-00114,56.8,3.65,96.6,16.0,2.3,51,11.71,351.6,4.04,84.7,0.662,83.3,1
TAB-00115,73.8,2.24,101.0,12.4,2.7,56,12.79,354.7,4.16,71.2,0.501,89.9,1
TAB-00116,61.3,3.56,95.0,14.7,2.7,41,11.85,346.2,3.91,84.7,0.584,85.9,1
TAB-00117,52.4,3.33,98.4,15.9,4.1,34,12.4,354.4,4.06,93.0,0.465,85.3,1
TAB-00118,43.8,2.72,97.7,14.6,3.8,22,12.7,353.3,4.05,89.9,0.358,86.6,1
TAB-00119,52.9,2.54,97.3,16.1,3.4,47,12.69,349.8,4.02,90.8,0.487,77.9,1
TAB-00120,53.3,1.96,98.7,13.6,2.8,31,11.71,344.1,3.97,92.7,0.516,85.6,1
TAB-00121,44.9,2.6,98.4,10.5,3.6,22,11.57,341.0,4.18,70.4,0.548,87.1,1
TAB-00122,57.8,3.52,98.9,17.0,2.4,47,11.96,356.0,3.83,81.4,0.42,82.3,1
TAB-00123,36.0,2.97,98.3,17.0,3.5,39,11.35,349.7,3.83,89.6,0.418,79.3,1
TAB-00124,47.6,3.58,98.8,20.0,3.5,20,12.12,347.9,3.74,107.1,0.378,75.9,1
TAB-00125,55.6,2.69,98.2,10.6,2.9,24,11.59,349.7,4.19,75.4,0.494,92.2,1
TAB-00126,47.1,3.35,96.7,16.5,3.6,48,12.54,351.7,4.01,90.2,0.527,81.4,1
TAB-00127,47.9,2.64,98.0,11.1,2.8,23,11.71,350.6,4.18,76.6,0.395,90.9,1
TAB-00128,48.6,2.52,96.6,18.5,2.4,55,11.13,343.2,3.76,90.2,0.442,77.2,1
TAB-00129,41.6,2.95,96.4,16.0,3.5,32,12.7,352.3,4.02,92.2,0.372,83.3,1
TAB-00130,61.7,2.67,97.3,13.1,3.0,24,12.09,348.9,4.08,72.5,0.357,88.7,1
TAB-00131,39.8,2.23,97.8,16.6,3.3,50,12.01,346.6,3.95,79.1,0.419,77.3,1
TAB-00132,53.2,2.91,98.1,13.9,3.9,41,12.55,356.8,4.1,75.1,0.476,90.3,1
TAB-00133,54.1,3.05,99.8,15.6,2.6,32,12.44,355.0,4.01,92.7,0.414,88.7,1
TAB-00134,40.5,3.63,97.0,15.4,2.9,36,11.62,349.7,3.96,73.0,0.463,81.7,1
TAB-00135,50.7,3.47,98.4,18.5,3.8,21,11.78,352.9,3.75,102.5,0.409,80.0,1
TAB-00136,40.9,3.61,98.2,18.6,3.3,47,11.44,343.6,3.83,97.9,0.445,77.7,1
TAB-00137,63.9,3.36,96.8,13.8,2.7,35,11.27,343.4,3.97,80.2,0.586,91.9,1
TAB-00138,38.6,3.17,98.1,17.1,2.5,49,12.29,353.2,3.93,95.0,0.485,80.7,1
TAB-00139,43.5,2.39,100.0,15.7,2.7,45,12.2,352.0,3.98,83.3,0.503,81.6,1
TAB-00140,37.8,3.07,98.4,12.2,2.6,46,12.38,352.9,4.21,58.3,0.614,91.7,1
TAB-00141,36.4,3.3,98.5,13.6,3.1,52,12.64,348.2,4.15,60.1,0.556,87.1,1
TAB-00142,65.9,3.73,96.6,19.7,3.0,45,12.39,350.2,3.8,99.6,0.453,83.7,1
TAB-00143,55.4,3.34,101.9,15.7,3.1,37,12.43,354.1,4.08,78.7,0.461,86.4,1
TAB-00144,51.4,3.62,96.7,17.0,2.6,36,10.96,353.3,3.64,78.7,0.488,85.7,1
TAB-00145,43.4,2.48,94.7,14.6,3.0,25,11.85,351.9,4.07,93.5,0.4,83.3,1
TAB-00146,59.1,2.84,99.7,13.9,2.0,51,12.48,356.8,4.15,72.1,0.532,86.8,1
TAB-00147,41.8,3.21,97.8,15.1,3.1,50,11.42,348.5,3.85,87.5,0.568,87.6,1
TAB-00148,57.9,3.58,97.4,14.5,3.6,30,12.05,352.4,4.08,76.0,0.506,90.3,1
TAB-00149,41.3,2.93,96.9,12.0,2.3,55,12.26,348.1,4.23,55.8,0.721,86.6,1
TAB-00150,43.6,2.96,101.7,13.0,3.2,44,12.22,353.9,4.15,64.4,0.559,89.0,1
TAB-00151,57.6,3.34,98.7,16.4,2.7,39,12.18,351.4,3.87,83.3,0.485,85.0,1
TAB-00152,58.6,2.44,99.1,14.2,3.4,21,12.3,352.4,4.1,91.7,0.412,84.9,1
TAB-00153,56.0,3.8,98.3,15.1,3.1,35,12.09,352.2,4.06,81.8,0.468,88.7,1
TAB-00154,39.5,2.56,98.5,15.5,3.2,46,11.27,346.3,3.87,85.5,0.41,82.0,1
TAB-00155,45.5,2.04,100.8,15.6,3.0,24,12.25,349.1,4.02,98.7,0.342,73.9,0
TAB-00156,51.6,3.01,97.5,17.3,3.7,38,12.14,351.4,3.88,99.1,0.5,76.6,1
TAB-00157,41.5,3.85,95.1,12.8,3.2,60,11.28,351.1,4.08,52.5,0.747,94.4,1
TAB-00158,63.7,3.29,99.7,16.1,2.6,49,12.69,350.2,4.0,81.1,0.441,83.6,1
TAB-00159,26.0,3.38,99.0,16.5,3.0,42,12.27,347.6,3.92,81.0,0.531,82.5,1
TAB-00160,42.2,3.02,98.2,17.0,2.8,41,11.31,347.9,3.83,106.1,0.359,80.7,1
TAB-00161,44.9,2.92,98.9,12.2,3.1,22,11.59,352.1,4.03,74.7,0.484,87.7,1
TAB-00162,21.6,2.23,97.3,15.5,2.8,58,11.72,352.1,3.94,75.3,0.563,78.8,1
TAB-00163,36.0,1.87,98.0,18.4,2.7,57,11.72,342.7,3.82,97.6,0.374,75.0,1
TAB-00164,56.3,3.1,97.7,14.8,3.1,47,12.15,349.7,4.07,74.8,0.595,87.3,1
TAB-00165,50.3,3.66,96.8,16.0,3.0,24,11.51,344.4,3.92,87.8,0.52,91.6,1
TAB-00166,65.7,3.17,100.4,16.6,3.5,28,12.56,351.5,3.91,99.4,0.416,81.7,1
TAB-00167,65.5,3.31,95.2,12.9,2.8,27,12.52,356.6,4.22,74.5,0.5,95.8,1
TAB-00168,54.3,3.79,102.7,18.7,2.0,41,12.31,353.1,3.92,89.2,0.544,77.7,1
TAB-00169,53.1,3.16,99.8,16.0,2.8,28,12.02,349.3,3.96,87.6,0.373,85.1,1
TAB-00170,50.7,2.94,94.4,16.0,2.2,48,12.47,353.9,3.96,80.1,0.46,83.3,1
TAB-00171,23.4,2.59,97.6,11.7,3.2,42,11.86,346.1,4.13,53.2,0.513,88.7,1
TAB-00172,36.1,4.01,97.7,16.6,2.2,21,11.64,355.0,3.87,81.4,0.424,84.1,1
TAB-00173,51.0,3.26,98.8,16.0,2.5,50,12.6,353.5,4.02,73.1,0.543,81.9,1
TAB-00174,56.2,2.53,96.0,18.2,2.8,28,12.16,348.6,3.84,97.0,0.322,80.1,1
TAB-00175,52.9,2.41,98.1,14.4,3.8,53,11.66,348.9,3.95,72.3,0.533,82.1,1
TAB-00176,41.1,3.63,97.8,13.0,2.5,34,11.79,353.0,4.13,70.6,0.515,91.3,1
TAB-00177,59.4,2.48,96.5,13.6,3.0,34,11.63,351.9,4.04,87.0,0.444,88.9,1
TAB-00178,64.8,3.93,96.2,14.0,3.3,20,13.01,356.3,4.1,72.0,0.43,94.7,1
TAB-00179,59.4,1.62,99.8,12.8,3.7,60,12.0,350.5,4.13,81.1,0.535,88.7,1
TAB-00180,59.9,3.71,94.6,17.6,3.4,44,12.08,352.1,3.89,85.1,0.406,84.2,1
TAB-00181,44.4,3.24,99.0,17.7,3.5,37,12.36,350.5,3.87,96.7,0.432,78.2,1
TAB-00182,60.8,3.06,99.6,14.6,3.4,24,11.39,344.7,4.02,86.9,0.332,84.1,1
TAB-00183,51.5,2.91,97.6,14.2,2.4,48,12.55,349.3,4.1,76.4,0.589,83.0,1
TAB-00184,55.1,3.95,98.1,11.4,3.2,31,11.7,348.1,4.14,55.3,0.548,91.7,1
TAB-00185,53.7,3.35,100.3,16.4,3.4,60,12.92,358.6,4.02,71.9,0.582,83.5,1
TAB-00186,48.8,2.55,96.6,18.3,2.5,58,11.84,350.4,3.84,88.2,0.483,74.8,0
TAB-00187,41.4,2.14,96.8,13.7,2.7,49,12.52,347.2,4.11,74.9,0.517,88.1,1
TAB-00188,49.2,3.09,97.0,14.8,2.6,59,10.75,338.7,3.88,81.6,0.666,84.0,1
TAB-00189,59.9,3.0,100.3,15.9,3.4,24,11.41,343.7,3.95,86.7,0.336,84.0,1
TAB-00190,45.6,2.24,100.6,18.4,3.0,31,11.85,345.4,3.74,102.2,0.268,74.8,0
TAB-00191,58.9,2.97,95.2,15.4,2.8,30,10.98,344.0,3.82,82.8,0.447,80.4,1
TAB-00192,57.4,2.71,100.0,15.4,2.4,23,12.3,354.4,4.05,88.6,0.367,87.0,1
TAB-00193,47.0,3.0,99.6,15.4,3.0,59,12.16,349.1,4.12,65.8,0.605,86.2,1
TAB-00194,63.9,3.36,101.1,12.1,2.7,22,11.5,353.3,4.14,78.9,0.523,94.9,1
TAB-00195,46.4,3.75,98.8,12.1,3.1,54,11.99,346.4,4.24,57.2,0.611,94.6,1
TAB-00196,65.1,3.45,97.9,13.4,2.4,51,12.4,351.9,4.1,72.9,0.639,88.1,1
TAB-00197,54.3,2.64,100.3,17.0,3.1,35,10.95,346.4,3.76,93.3,0.366,77.9,1
TAB-00198,49.8,3.18,99.4,14.3,2.8,21,11.36,349.7,3.99,82.0,0.43,88.2,1
TAB-00199,41.1,3.03,102.5,13.9,2.4,20,11.83,348.2,4.08,83.1,0.362,91.4,1
TAB-00200,49.1,2.33,99.9,13.9,2.3,28,12.01,351.7,3.99,80.6,0.436,86.3,1
TAB-00201,48.0,3.2,98.3,14.7,2.4,40,11.97,352.7,4.0,77.0,0.513,89.0,1
TAB-00202,37.4,3.93,95.7,18.4,2.9,38,12.44,352.0,3.87,86.2,0.415,78.8,1
TAB-00203,47.8,3.02,96.8,14.7,3.1,43,12.24,352.2,4.01,74.4,0.456,88.8,1
TAB-00204,42.0,2.2,95.1,13.4,3.1,51,12.35,352.3,4.09,66.5,0.584,84.1,1
TAB-00205,55.9,3.02,97.6,15.1,3.2,35,11.31,344.7,3.97,79.4,0.453,86.0,1
TAB-00206,63.1,2.39,99.9,18.5,2.6,26,12.07,354.2,3.86,112.8,0.382,75.7,1
TAB-00207,37.7,3.43,98.0,14.0,3.5,52,11.85,347.6,4.07,76.9,0.575,90.4,1
TAB-00208,67.1,3.26,100.0,12.6,2.8,33,12.73,354.6,4.21,65.6,0.592,94.1,1
TAB-00209,48.7,2.91,98.7,14.0,3.2,31,12.09,346.5,4.02,80.1,0.426,82.3,1
TAB-00210,40.2,2.83,97.2,15.3,2.9,51,11.67,348.3,3.97,75.2,0.613,87.5,1
TAB-00211,57.6,2.89,98.2,16.4,3.2,57,12.43,348.7,3.93,91.1,0.563,89.4,1
TAB-00212,45.5,3.0,98.9,17.0,2.9,57,12.28,350.5,3.91,84.6,0.563,79.7,1
TAB-00213,49.2,2.61,98.3,12.9,3.2,25,11.59,342.4,4.01,76.0,0.4,87.6,1
TAB-00214,46.0,2.31,98.3,13.1,3.0,40,11.83,350.1,4.05,69.4,0.54,90.2,1
TAB-00215,41.8,3.57,96.5,14.4,3.4,24,11.83,351.4,4.02,70.3,0.498,87.8,1
TAB-00216,57.2,2.81,97.1,16.4,2.6,58,12.61,355.9,3.97,86.7,0.539,82.0,1
TAB-00217,47.1,3.08,102.5,12.5,2.1,29,12.1,349.6,4.09,69.8,0.391,95.8,1
TAB-00218,35.6,3.14,100.5,13.8,2.5,28,12.36,355.5,4.15,74.9,0.415,83.1,1
TAB-00219,55.5,3.16,95.1,13.8,3.5,56,11.75,349.2,4.03,67.8,0.554,85.8,1
TAB-00220,37.9,2.41,93.3,16.9,2.9,59,12.17,350.0,3.9,83.4,0.549,80.1,1
TAB-00221,38.5,2.16,98.2,16.1,3.0,48,12.65,357.9,3.96,88.8,0.453,74.9,0
TAB-00222,61.9,2.71,99.8,16.8,2.5,25,11.82,347.1,3.8,101.3,0.351,80.0,1
TAB-00223,38.0,3.2,97.0,17.7,3.0,39,12.06,354.4,3.86,84.3,0.425,78.5,1
TAB-00224,26.8,2.64,100.0,14.4,2.5,53,11.32,347.3,3.89,66.1,0.631,86.9,1
TAB-00225,56.2,2.82,98.1,12.6,2.6,43,11.62,346.0,4.12,61.6,0.555,91.6,1
TAB-00226,47.0,4.06,97.7,12.6,2.8,25,11.83,347.3,4.1,67.3,0.537,87.7,1
TAB-00227,47.8,2.08,99.5,11.3,3.2,27,11.47,342.4,4.21,74.6,0.431,87.4,1
TAB-00228,46.9,2.62,96.9,14.1,3.3,55,12.66,355.9,4.12,71.5,0.571,83.5,1
TAB-00229,52.3,3.95,97.4,14.2,3.3,41,11.58,355.0,3.96,68.8,0.519,88.8,1
TAB-00230,42.5,2.98,99.3,16.6,2.2,48,12.39,352.2,3.87,80.7,0.526,78.1,1
TAB-00231,64.8,2.65,97.9,15.0,3.0,35,12.09,350.2,4.05,97.9,0.399,86.0,1
TAB-00232,35.2,3.58,101.8,14.0,2.9,41,12.02,353.6,3.99,74.6,0.593,85.9,1
TAB-00233,54.4,3.03,99.4,14.8,2.2,59,12.74,354.0,4.07,76.0,0.565,87.5,1
TAB-00234,56.4,2.83,99.3,12.9,3.0,33,10.87,347.3,4.07,75.4,0.546,88.9,1
TAB-00235,42.4,3.1,97.9,17.1,2.9,47,11.9,350.6,3.92,85.8,0.594,77.9,1
TAB-00236,39.8,2.67,99.7,13.4,3.3,27,11.46,347.0,4.04,71.6,0.45,90.8,1
TAB-00237,60.2,2.49,97.4,12.7,3.0,25,11.02,342.0,4.06,72.5,0.51,92.8,1
TAB-00238,40.1,2.94,98.6,16.6,2.7,51,11.4,344.1,3.9,79.7,0.559,81.9,1
TAB-00239,43.9,2.49,96.2,16.1,3.5,54,12.01,339.6,4.02,79.1,0.449,80.2,1
TAB-00240,58.9,3.01,100.1,11.6,1.9,47,11.64,351.9,4.11,57.2,0.608,89.2,1
TAB-00241,50.3,3.18,98.6,16.7,3.0,26,12.45,352.2,3.94,91.3,0.431,85.3,1
TAB-00242,32.0,3.43,102.0,13.5,2.1,30,11.89,349.1,4.02,68.1,0.529,90.8,1
TAB-00243,67.5,3.56,102.8,14.3,2.5,56,11.84,344.5,4.02,68.0,0.634,86.6,1
TAB-00244,44.7,2.8,99.5,15.4,3.3,32,11.84,346.9,3.96,87.4,0.448,81.3,1
TAB-00245,46.0,3.25,98.1,16.2,2.4,53,11.95,347.9,3.85,77.8,0.553,84.6,1
TAB-00246,52.6,3.25,96.1,15.9,2.3,31,11.79,347.1,3.9,86.0,0.458,80.6,1
TAB-00247,56.3,3.16,99.8,14.9,4.2,58,11.57,349.2,4.03,73.3,0.537,84.1,1
TAB-00248,69.6,2.76,98.4,14.2,2.3,57,12.49,352.4,4.1,78.0,0.576,83.8,1
