sample_id,plant,temperatuur_C,druk_bar,debiet_kgh,katalysator_kgh,voeding_conc_molL,conversie,selectiviteit,opbrengst_pct,energie_kWh,heeft_label
Plant_A-00019,Plant_A,183.2,6.13,122.1,4.75,1.331,0.7913,0.921,72.88,67.8,1
Plant_A-00020,Plant_A,152.9,1.93,148.3,1.79,1.047,0.6184,0.857,52.99,70.4,1
Plant_A-00021,Plant_A,151.2,8.09,50.8,2.61,1.72,0.8299,0.8605,71.41,50.4,1
Plant_A-00022,Plant_A,184.3,9.65,114.8,4.3,0.659,0.7293,0.8968,65.41,64.5,1
Plant_A-00023,Plant_A,189.7,9.95,90.7,1.81,1.197,0.832,0.8445,70.26,60.3,1
Plant_A-00024,Plant_A,197.7,1.56,72.5,2.43,0.671,0.7115,0.9037,64.3,56.6,1
Plant_A-00025,Plant_A,191.1,6.74,136.4,2.0,1.45,0.7569,0.8685,65.73,68.3,1
Plant_A-00026,Plant_A,144.8,1.96,52.3,3.5,1.33,0.7439,0.8972,66.74,49.6,1
Plant_A-00027,Plant_A,162.4,2.35,119.0,0.57,1.088,0.6207,0.8441,52.39,64.0,1
Plant_A-00028,Plant_A,184.4,6.0,135.0,2.5,0.737,0.6858,0.8781,60.22,68.4,1
Plant_A-00029,Plant_A,189.0,7.32,52.7,1.3,1.951,0.8629,0.9067,78.24,52.7,1
Plant_A-00030,Plant_A,146.6,3.68,146.7,3.34,1.717,0.6978,0.8761,61.13,70.3,1
Plant_A-00031,Plant_A,189.6,4.23,95.0,3.13,0.699,0.6959,0.9101,63.33,61.4,1
Plant_A-00032,Plant_A,152.0,2.39,71.0,3.2,1.147,0.6826,0.8901,60.76,55.7,1
Plant_A-00033,Plant_A,195.4,2.52,110.3,1.18,1.098,0.7069,0.8904,62.95,64.9,1
Plant_A-00034,Plant_A,156.1,2.74,92.8,4.15,1.017,0.6843,0.8843,60.51,61.1,1
Plant_A-00035,Plant_A,184.1,4.62,128.5,3.6,0.615,0.6769,0.8969,60.71,68.0,1
Plant_A-00036,Plant_A,148.1,5.53,94.8,1.96,1.674,0.7417,0.8652,64.17,60.5,1
Plant_A-00037,Plant_A,155.9,2.72,67.2,0.53,1.049,0.6807,0.8273,56.31,54.3,1
Plant_A-00038,Plant_A,178.5,6.96,123.4,3.03,1.751,0.8266,0.8637,71.4,67.4,1
Plant_A-00039,Plant_A,195.0,4.48,147.9,4.83,0.534,0.654,0.9652,63.12,72.7,1
Plant_A-00040,Plant_A,184.3,2.8,142.5,1.22,1.418,0.6731,0.846,56.94,70.6,1
Plant_A-00041,Plant_A,171.9,4.26,127.3,1.18,0.603,0.6524,0.858,55.98,67.3,1
Plant_A-00042,Plant_A,171.7,8.48,69.8,2.38,1.149,0.7645,0.8411,64.3,54.1,1
Plant_A-00043,Plant_A,182.4,6.5,107.9,1.38,1.356,0.7688,0.8546,65.7,64.5,1
Plant_A-00044,Plant_A,190.1,1.27,117.1,3.47,1.611,0.7681,0.9509,73.04,65.9,1
Plant_A-00045,Plant_A,186.4,2.63,140.3,3.82,1.124,0.7041,0.9349,65.83,68.3,1
Plant_A-00046,Plant_A,187.0,3.46,120.8,4.38,0.9,0.7186,0.9137,65.66,68.2,1
Plant_A-00047,Plant_A,148.0,8.22,146.8,1.27,1.401,0.6697,0.8081,54.12,71.0,1
Plant_A-00048,Plant_A,182.4,2.49,52.4,2.21,0.793,0.7484,0.8742,65.43,53.7,1
Plant_A-00049,Plant_A,171.2,1.97,90.3,2.78,0.677,0.6661,0.907,60.41,59.9,1
Plant_A-00050,Plant_A,161.7,1.35,55.6,3.42,0.731,0.6813,0.9168,62.46,52.5,1
Plant_A-00051,Plant_A,176.9,7.13,112.0,0.6,0.563,0.6545,0.853,55.83,65.9,1
Plant_A-00052,Plant_A,140.8,9.22,101.0,3.32,1.24,0.7108,0.8432,59.93,57.8,1
Plant_A-00053,Plant_A,170.4,6.54,100.8,1.7,1.237,0.7449,0.8746,65.15,61.2,1
Plant_A-00054,Plant_A,158.8,6.46,86.2,4.95,1.256,0.7486,0.928,69.47,59.5,1
Plant_A-00055,Plant_A,156.0,3.84,148.3,3.88,1.307,0.6396,0.8743,55.92,70.2,1
Plant_A-00056,Plant_A,177.3,5.76,89.2,1.59,1.365,0.8078,0.8555,69.1,59.6,1
Plant_A-00057,Plant_A,187.0,9.5,144.3,2.54,1.139,0.7779,0.8818,68.59,71.1,1
Plant_A-00058,Plant_A,184.5,2.52,76.5,3.26,1.123,0.7604,0.8832,67.16,57.5,1
Plant_A-00059,Plant_A,173.9,1.56,98.6,3.79,1.204,0.755,0.9083,68.58,62.9,1
Plant_A-00060,Plant_A,148.1,4.68,114.3,2.37,0.704,0.607,0.8477,51.46,63.1,1
Plant_A-00061,Plant_A,151.9,8.27,70.7,2.23,0.804,0.72,0.8258,59.46,55.2,1
Plant_A-00062,Plant_A,196.6,3.95,145.0,2.57,1.783,0.798,0.9129,72.85,71.3,1
Plant_A-00063,Plant_A,161.5,8.92,83.6,2.89,1.745,0.8304,0.8658,71.89,57.3,1
Plant_A-00064,Plant_A,175.5,3.17,60.3,2.66,0.756,0.7535,0.9033,68.06,52.7,1
Plant_A-00065,Plant_A,180.9,8.31,124.5,2.43,0.836,0.7068,0.8625,60.96,67.6,1
Plant_A-00066,Plant_A,190.7,9.31,84.3,3.3,1.548,0.8518,0.9177,78.17,59.1,1
Plant_A-00067,Plant_A,172.6,1.94,63.9,1.3,0.756,0.6755,0.8652,58.44,54.8,1
Plant_A-00068,Plant_A,159.7,4.5,134.9,4.62,1.023,0.6946,0.9187,63.81,69.3,1
Plant_A-00069,Plant_A,166.0,3.42,109.4,1.57,1.242,0.716,0.8514,60.96,65.1,1
Plant_A-00070,Plant_A,143.0,1.58,129.9,1.78,1.082,0.6154,0.8774,54.0,64.5,1
Plant_A-00071,Plant_A,163.8,7.65,138.4,4.76,1.624,0.7542,0.919,69.31,69.0,1
Plant_A-00072,Plant_A,189.7,7.35,71.5,1.81,0.989,0.7901,0.8896,70.29,58.5,1
Plant_A-00073,Plant_A,188.8,1.54,138.5,2.63,1.044,0.6895,0.926,63.84,71.6,1
Plant_A-00074,Plant_A,183.5,8.03,54.7,1.68,0.576,0.7632,0.895,68.31,54.3,1
Plant_A-00075,Plant_A,173.7,2.23,127.9,3.76,0.6,0.6638,0.9216,61.18,67.0,1
Plant_A-00076,Plant_A,174.1,7.78,133.8,2.7,0.78,0.6427,0.8694,55.87,67.1,1
Plant_A-00077,Plant_A,199.3,2.83,92.4,4.87,1.052,0.7779,0.9479,73.73,62.3,1
Plant_A-00078,Plant_A,149.2,8.23,70.8,1.64,1.674,0.7699,0.821,63.21,54.8,1
Plant_A-00079,Plant_A,153.2,4.45,131.9,3.49,0.92,0.6222,0.8837,54.99,68.4,1
Plant_A-00080,Plant_A,181.3,8.36,138.1,3.64,1.764,0.856,0.894,76.53,68.5,1
Plant_A-00081,Plant_A,192.6,2.72,90.5,4.5,0.641,0.7385,0.936,69.12,60.9,1
Plant_A-00082,Plant_A,167.0,5.75,84.6,2.35,0.503,0.712,0.865,61.59,58.0,1
Plant_A-00083,Plant_A,163.3,9.6,65.7,2.35,1.323,0.8113,0.8398,68.13,54.4,1
Plant_A-00084,Plant_A,148.4,4.44,56.7,1.69,0.527,0.6189,0.8324,51.52,54.8,1
Plant_A-00085,Plant_A,157.4,1.18,93.6,2.39,0.527,0.6233,0.9107,56.76,58.9,1
Plant_A-00086,Plant_A,141.7,4.21,97.2,4.18,0.544,0.6513,0.8981,58.5,59.2,1
Plant_A-00087,Plant_A,198.9,8.48,126.4,0.9,0.985,0.7309,0.8537,62.4,65.5,1
Plant_A-00088,Plant_A,195.6,8.41,74.5,1.71,1.371,0.8273,0.8796,72.77,57.6,1
Plant_A-00089,Plant_A,178.1,6.48,80.7,1.99,1.061,0.7856,0.8708,68.41,58.9,1
Plant_A-00090,Plant_A,149.5,9.74,99.1,4.12,1.91,0.8351,0.8724,72.86,59.7,1
Plant_A-00091,Plant_A,158.0,8.38,124.5,4.95,0.544,0.6836,0.8843,60.45,66.9,1
Plant_A-00092,Plant_A,196.4,6.4,88.5,1.32,1.197,0.8039,0.8676,69.75,58.6,1
Plant_A-00093,Plant_A,164.4,4.41,58.3,4.11,1.403,0.7782,0.9224,71.78,54.4,1
Plant_A-00094,Plant_A,184.5,6.24,143.2,1.7,0.709,0.6848,0.8529,58.4,71.4,1
Plant_A-00095,Plant_A,161.1,5.49,134.1,4.21,1.17,0.6606,0.9122,60.26,68.1,1
Plant_A-00096,Plant_A,191.6,6.1,56.8,1.38,0.82,0.7459,0.8859,66.08,54.7,1
Plant_A-00097,Plant_A,160.4,2.6,94.6,2.6,0.796,0.6739,0.8961,60.38,61.6,1
Plant_A-00098,Plant_A,154.3,9.81,78.5,2.06,1.454,0.7985,0.8538,68.17,57.7,1
Plant_A-00099,Plant_A,181.1,3.85,88.7,3.84,0.538,0.6925,0.9356,64.79,58.8,1
Plant_A-00100,Plant_A,180.2,5.03,122.7,2.7,1.786,0.7682,0.8768,67.36,65.9,1
Plant_A-00101,Plant_A,154.5,5.55,58.3,4.88,1.322,0.8162,0.8967,73.19,52.6,1
Plant_A-00102,Plant_A,163.0,6.3,137.2,4.54,1.15,0.7186,0.9109,65.45,68.9,1
Plant_A-00103,Plant_A,171.5,4.77,130.0,0.75,1.005,0.6479,0.8253,53.47,69.1,1
Plant_A-00104,Plant_A,193.3,9.79,95.4,1.7,1.865,0.8754,0.8624,75.49,60.0,1
Plant_A-00105,Plant_A,176.1,2.87,104.6,1.21,1.517,0.7479,0.8601,64.33,61.2,1
Plant_A-00106,Plant_A,188.3,5.35,58.1,0.66,1.178,0.7432,0.8417,62.55,53.1,1
Plant_A-00107,Plant_A,178.7,5.66,77.1,1.45,1.229,0.7456,0.8402,62.65,58.9,1
Plant_A-00108,Plant_A,170.1,9.32,126.7,0.78,1.701,0.7556,0.836,63.17,65.3,1
Plant_A-00109,Plant_A,183.2,6.87,80.4,4.64,0.593,0.7481,0.9051,67.71,57.8,1
Plant_A-00110,Plant_A,163.8,6.52,82.7,1.93,1.2,0.7125,0.8339,59.42,56.9,1
Plant_A-00111,Plant_A,177.7,4.38,134.0,4.22,1.235,0.7249,0.9162,66.41,68.0,1
Plant_A-00112,Plant_A,191.8,3.93,53.5,2.7,1.97,0.882,0.9023,79.59,53.8,1
Plant_A-00113,Plant_A,166.7,3.71,141.8,4.99,0.835,0.6615,0.9275,61.35,70.0,1
Plant_A-00114,Plant_A,150.8,9.23,100.0,1.85,0.501,0.6642,0.8406,55.83,61.5,1
Plant_A-00115,Plant_A,194.0,6.76,123.4,1.59,1.098,0.7521,0.8941,67.25,69.1,1
Plant_A-00116,Plant_A,162.7,1.2,66.0,4.41,1.949,0.8245,0.9023,74.4,54.2,1
Plant_A-00117,Plant_A,159.2,1.44,148.1,4.37,1.797,0.7331,0.9358,68.6,70.8,1
Plant_A-00118,Plant_A,183.0,1.21,131.6,1.86,1.918,0.7351,0.8649,63.57,68.6,1
Plant_A-00119,Plant_A,151.2,7.17,51.1,3.42,1.833,0.8553,0.8769,75.0,51.9,1
Plant_A-00120,Plant_A,179.5,9.55,142.6,1.06,1.127,0.7117,0.8203,58.38,68.8,1
Plant_A-00121,Plant_A,173.6,5.32,137.9,0.65,1.611,0.7099,0.8422,59.78,69.3,1
Plant_A-00122,Plant_A,170.2,1.46,134.9,3.55,0.88,0.6654,0.9004,59.91,69.3,1
Plant_A-00123,Plant_A,194.0,8.99,80.4,2.8,0.561,0.7585,0.8721,66.15,58.5,1
Plant_A-00124,Plant_A,198.7,2.29,132.0,2.98,1.816,0.7798,0.9066,70.69,70.0,1
Plant_A-00125,Plant_A,196.0,4.23,95.2,1.27,0.998,0.7073,0.8844,62.55,61.4,1
Plant_A-00126,Plant_A,192.5,8.31,118.5,4.24,1.823,0.8739,0.9071,79.27,66.5,1
Plant_A-00127,Plant_A,168.3,6.69,110.7,4.96,1.591,0.8079,0.9148,73.9,62.8,1
Plant_A-00128,Plant_A,175.7,7.87,149.8,3.0,0.535,0.666,0.864,57.55,70.6,1
Plant_A-00129,Plant_A,186.9,1.24,142.3,0.75,1.694,0.6892,0.8787,60.56,71.5,1
Plant_A-00130,Plant_A,149.3,4.69,64.6,2.67,0.648,0.6689,0.8694,58.16,52.4,1
Plant_A-00131,Plant_A,185.3,4.11,143.7,2.17,1.463,0.7113,0.8735,62.13,70.6,1
Plant_A-00132,Plant_A,152.1,6.29,51.2,3.67,1.908,0.8557,0.8721,74.63,49.6,1
Plant_A-00133,Plant_A,169.0,3.06,144.9,1.1,1.785,0.7023,0.8476,59.53,71.0,1
Plant_A-00134,Plant_A,182.7,7.04,121.6,2.94,1.676,0.8301,0.8999,74.7,67.4,1
Plant_A-00135,Plant_A,152.7,3.63,73.1,4.9,0.73,0.6728,0.8987,60.46,55.4,1
Plant_A-00136,Plant_A,163.8,9.41,80.3,2.32,1.339,0.7817,0.8339,65.18,57.2,1
Plant_A-00137,Plant_A,180.1,8.01,132.0,1.64,1.955,0.8251,0.858,70.8,69.8,1
Plant_A-00138,Plant_A,190.8,9.6,102.1,4.0,1.853,0.8496,0.9104,77.34,61.6,1
Plant_A-00139,Plant_A,187.0,7.48,110.1,4.55,1.119,0.792,0.9331,73.9,62.4,1
Plant_A-00140,Plant_A,175.9,1.37,80.9,1.65,1.663,0.7674,0.9053,69.47,58.3,1
Plant_A-00141,Plant_A,150.1,3.08,88.6,4.71,0.888,0.6854,0.8724,59.8,58.6,1
Plant_A-00142,Plant_A,160.9,4.04,125.8,2.63,0.866,0.6574,0.8662,56.94,67.9,1
Plant_A-00143,Plant_A,162.0,3.2,134.6,1.03,0.665,0.583,0.8222,47.93,68.6,1
Plant_A-00144,Plant_A,151.5,9.34,143.0,1.25,1.864,0.7304,0.8285,60.52,68.3,1
Plant_A-00145,Plant_A,156.9,2.35,99.9,0.76,1.73,0.7003,0.846,59.25,61.7,1
Plant_A-00146,Plant_A,183.3,4.82,120.8,1.63,0.832,0.7054,0.8831,62.29,65.0,1
Plant_A-00147,Plant_A,192.1,1.42,98.0,4.95,1.511,0.7935,0.958,76.02,61.3,1
Plant_A-00148,Plant_A,146.7,7.81,73.4,2.44,1.65,0.8055,0.8349,67.25,54.3,1
Plant_A-00149,Plant_A,174.6,5.41,57.7,3.49,1.761,0.8341,0.8992,75.0,50.2,1
Plant_A-00150,Plant_A,190.3,4.3,85.9,3.31,1.635,0.8299,0.9092,75.45,59.9,1
Plant_A-00151,Plant_A,166.0,6.21,75.0,3.84,1.971,0.856,0.8991,76.97,55.1,1
Plant_A-00152,Plant_A,161.0,3.3,137.6,4.12,0.975,0.6436,0.9123,58.71,67.4,1
Plant_A-00153,Plant_A,165.1,9.37,120.3,1.31,0.606,0.6912,0.8152,56.35,65.0,1
Plant_A-00154,Plant_A,158.3,8.79,120.2,2.24,0.66,0.668,0.817,54.57,64.2,1
Plant_A-00155,Plant_A,185.6,8.17,51.0,1.43,1.113,0.8401,0.857,72.0,53.8,1
Plant_A-00156,Plant_A,163.8,8.96,85.5,4.56,0.986,0.7889,0.8838,69.73,59.3,1
Plant_A-00157,Plant_A,195.7,4.32,140.7,3.41,1.206,0.7623,0.9452,72.06,70.4,1
Plant_A-00158,Plant_A,146.9,2.48,79.5,4.02,0.646,0.6507,0.8918,58.03,55.8,1
Plant_A-00159,Plant_A,152.8,9.19,122.8,4.96,1.329,0.7407,0.9065,67.14,64.0,1
Plant_A-00160,Plant_A,151.5,7.83,140.2,2.14,0.934,0.6811,0.8563,58.32,67.3,1
Plant_A-00161,Plant_A,171.2,5.48,118.6,2.93,0.732,0.6941,0.9054,62.85,65.5,1
Plant_A-00162,Plant_A,195.5,8.97,102.6,2.72,1.714,0.8617,0.8965,77.25,61.8,1
Plant_A-00163,Plant_A,161.3,1.24,129.9,3.36,1.579,0.7216,0.8914,64.32,67.6,1
Plant_A-00164,Plant_A,151.5,5.7,94.9,2.9,1.709,0.7414,0.8593,63.71,60.4,1
Plant_A-00165,Plant_A,198.8,4.46,114.1,0.86,0.53,0.6714,0.8483,56.95,66.1,1
Plant_A-00166,Plant_A,140.4,4.32,63.3,0.75,1.956,0.6897,0.8351,57.6,53.2,1
Plant_A-00167,Plant_A,182.9,9.48,105.4,1.3,1.56,0.8037,0.8255,66.35,63.6,1
Plant_A-00168,Plant_A,177.9,3.43,130.8,1.87,0.607,0.5933,0.9051,53.7,67.9,1
Plant_A-00169,Plant_A,140.7,5.33,50.7,4.22,1.127,0.7333,0.8599,63.05,48.4,1
Plant_A-00170,Plant_A,141.5,6.85,76.2,4.34,0.968,0.6928,0.8673,60.08,54.3,1
Plant_A-00171,Plant_A,161.1,6.87,127.6,1.23,0.978,0.6828,0.8525,58.21,66.7,1
Plant_A-00172,Plant_A,151.7,8.3,112.2,2.69,1.342,0.7435,0.8315,61.82,61.9,1
Plant_A-00173,Plant_A,162.5,1.1,125.2,0.96,0.975,0.596,0.8339,49.7,68.3,1
Plant_A-00174,Plant_A,186.3,1.84,94.6,1.55,1.028,0.6971,0.8476,59.09,59.6,1
Plant_A-00175,Plant_A,169.5,2.17,117.1,4.31,1.673,0.7128,0.9311,66.37,64.6,1
Plant_A-00176,Plant_A,163.5,3.27,118.6,3.6,1.992,0.783,0.8904,69.72,65.6,1
Plant_A-00177,Plant_A,183.1,1.71,52.0,2.88,1.638,0.8263,0.9019,74.53,55.3,1
Plant_A-00178,Plant_A,154.1,7.81,104.7,1.95,1.086,0.7002,0.8326,58.3,62.3,1
Plant_A-00179,Plant_A,182.3,5.12,81.5,4.74,1.627,0.8589,0.9351,80.31,59.1,1
Plant_A-00180,Plant_A,193.3,7.22,134.8,4.25,0.673,0.7244,0.9369,67.87,68.8,1
Plant_A-00181,Plant_A,169.8,5.48,51.0,3.07,1.051,0.7695,0.8719,67.09,52.6,1
Plant_A-00182,Plant_A,167.7,4.49,134.1,2.9,0.677,0.634,0.8668,54.96,68.2,1
Plant_A-00183,Plant_A,166.5,6.66,118.7,3.49,1.9,0.8008,0.8861,70.96,65.7,1
Plant_A-00184,Plant_A,145.2,9.6,75.2,2.24,1.457,0.7787,0.8152,63.48,54.5,1
Plant_A-00185,Plant_A,188.1,1.27,59.6,2.79,0.632,0.7465,0.9127,68.14,53.0,1
Plant_A-00186,Plant_A,146.6,5.16,147.1,1.32,1.985,0.6772,0.8227,55.71,69.7,1
Plant_A-00187,Plant_A,170.3,4.53,127.3,4.99,1.952,0.7286,0.9553,69.6,66.3,1
Plant_A-00188,Plant_A,175.2,4.48,109.4,4.46,0.686,0.6821,0.9289,63.36,63.9,1
Plant_A-00189,Plant_A,198.6,1.87,107.1,4.27,1.689,0.8742,0.9549,83.48,64.9,1
Plant_A-00190,Plant_A,171.2,7.45,52.8,0.87,1.028,0.7931,0.8519,67.57,50.8,1
Plant_A-00191,Plant_A,195.2,1.17,68.3,4.48,1.008,0.7807,0.9515,74.29,55.9,1
Plant_A-00192,Plant_A,159.5,5.71,77.1,2.26,1.956,0.8187,0.8631,70.67,55.6,1
Plant_A-00193,Plant_A,143.5,5.34,96.4,3.18,0.717,0.657,0.8516,55.95,59.0,1
Plant_A-00194,Plant_A,155.6,8.14,147.5,2.41,1.957,0.7262,0.8553,62.12,69.8,1
Plant_A-00195,Plant_A,183.7,2.31,139.9,2.67,1.035,0.659,0.9293,61.24,71.7,1
Plant_A-00196,Plant_A,168.8,9.48,145.1,1.26,1.849,0.7728,0.8169,63.13,72.0,1
Plant_A-00197,Plant_A,152.0,6.4,55.3,2.89,1.012,0.7228,0.8609,62.23,51.6,1
Plant_A-00198,Plant_A,196.7,5.65,149.9,3.83,1.2,0.7463,0.9302,69.42,72.7,1
Plant_A-00199,Plant_A,145.9,9.16,52.8,1.74,0.884,0.7187,0.8016,57.61,50.4,1
Plant_A-00200,Plant_A,190.5,8.33,77.2,4.78,0.509,0.8057,0.9287,74.82,57.5,1
Plant_A-00201,Plant_A,171.4,4.48,52.4,4.39,1.745,0.8421,0.9447,79.55,52.9,1
Plant_A-00202,Plant_A,173.7,1.56,108.5,0.79,1.929,0.7229,0.8633,62.41,61.9,1
Plant_A-00203,Plant_A,155.7,3.32,91.4,2.49,0.824,0.6683,0.8481,56.68,59.4,1
Plant_A-00204,Plant_A,170.6,5.51,113.2,1.32,0.639,0.6365,0.8472,53.92,62.6,1
Plant_A-00205,Plant_A,185.7,6.07,142.6,1.17,1.475,0.7109,0.871,61.93,72.8,1
Plant_A-00206,Plant_A,145.2,3.45,148.0,1.8,1.714,0.6365,0.8246,52.48,70.0,1
Plant_A-00207,Plant_A,144.9,9.13,114.1,2.32,0.583,0.6802,0.8285,56.35,64.2,1
Plant_A-00208,Plant_A,183.7,5.72,79.3,2.02,1.512,0.8142,0.8697,70.82,57.6,1
Plant_A-00209,Plant_A,162.3,9.8,126.0,1.05,1.51,0.7484,0.8245,61.7,68.0,1
Plant_A-00210,Plant_A,150.7,5.0,119.1,1.72,0.511,0.5936,0.825,48.97,65.5,1
Plant_A-00211,Plant_A,199.1,7.15,87.3,1.23,1.886,0.8873,0.8801,78.09,61.1,1
Plant_A-00212,Plant_A,165.7,4.16,132.1,2.18,1.322,0.6953,0.8334,57.95,66.3,1
Plant_A-00213,Plant_A,152.0,4.28,103.5,3.32,0.95,0.695,0.8691,60.4,63.6,1
Plant_A-00214,Plant_A,143.1,1.38,95.3,0.93,0.589,0.5418,0.8466,45.87,60.7,1
Plant_A-00215,Plant_A,177.8,3.3,59.7,3.04,1.254,0.753,0.9002,67.79,53.5,1
Plant_A-00216,Plant_A,157.2,6.82,136.7,4.02,0.71,0.6556,0.8892,58.3,68.7,1
Plant_A-00217,Plant_A,151.0,5.89,55.7,4.44,1.673,0.7933,0.876,69.49,52.7,1
Plant_A-00218,Plant_A,189.1,3.73,108.1,1.36,1.603,0.7511,0.8966,67.34,64.4,1
Plant_A-00219,Plant_A,185.2,1.76,139.8,4.71,1.661,0.761,0.9506,72.34,69.7,1
Plant_A-00220,Plant_A,196.8,7.09,60.2,4.14,1.634,0.8838,0.914,80.78,54.0,1
Plant_A-00221,Plant_A,181.7,3.16,88.7,3.93,0.641,0.7226,0.936,67.64,61.1,1
Plant_A-00222,Plant_A,145.4,9.98,115.8,3.04,1.547,0.74,0.8353,61.82,62.1,1
Plant_A-00223,Plant_A,153.2,6.92,105.4,3.53,1.796,0.8093,0.8422,68.16,59.1,1
Plant_A-00224,Plant_A,189.2,3.35,50.7,4.99,1.709,0.9216,0.967,89.11,53.0,1
Plant_A-00225,Plant_A,150.7,9.31,101.3,1.81,1.6,0.7251,0.8346,60.52,61.2,1
Plant_A-00226,Plant_A,155.5,8.64,149.3,3.36,1.95,0.814,0.8852,72.06,70.6,1
Plant_A-00227,Plant_A,195.0,4.44,100.6,2.95,0.702,0.7086,0.926,65.62,62.3,1
Plant_A-00228,Plant_A,185.4,7.2,139.5,2.8,0.951,0.7347,0.9023,66.29,69.7,1
Plant_A-00229,Plant_A,172.1,1.39,73.7,3.28,1.482,0.7494,0.9183,68.82,56.2,1
Plant_A-00230,Plant_A,173.1,1.15,55.0,2.64,0.873,0.7059,0.9187,64.85,53.6,1
Plant_A-00231,Plant_A,161.0,7.69,94.0,4.47,1.975,0.8642,0.898,77.6,60.9,1
Plant_A-00232,Plant_A,188.5,6.2,130.0,2.81,0.886,0.726,0.8856,64.3,66.4,1
Plant_A-00233,Plant_A,167.4,4.5,109.9,3.11,0.777,0.6948,0.8975,62.36,64.8,1
Plant_A-00234,Plant_A,198.6,5.82,106.9,0.59,1.673,0.797,0.8799,70.12,66.2,1
Plant_A-00235,Plant_A,165.2,4.09,72.4,1.55,0.704,0.6562,0.8724,57.25,55.7,1
Plant_A-00236,Plant_A,168.2,9.03,126.5,3.68,1.717,0.8347,0.8862,73.97,67.7,1
Plant_A-00237,Plant_A,160.0,8.92,96.9,0.79,1.931,0.7851,0.8062,63.29,60.1,1
Plant_A-00238,Plant_A,171.1,5.89,78.1,1.18,1.185,0.7431,0.8414,62.52,57.6,1
Plant_A-00239,Plant_A,192.9,4.59,117.9,3.73,1.787,0.8362,0.9403,78.63,66.7,1
Plant_A-00240,Plant_A,156.8,6.61,53.7,3.09,1.735,0.8513,0.8579,73.03,50.9,1
Plant_A-00241,Plant_A,151.0,3.23,63.0,3.85,1.384,0.7557,0.8982,67.88,54.0,1
Plant_A-00242,Plant_A,163.8,1.78,108.7,0.54,0.931,0.6101,0.8134,49.63,59.8,1
Plant_A-00243,Plant_A,144.1,4.89,59.6,3.23,1.324,0.7248,0.8497,61.58,51.5,1
Plant_A-00244,Plant_A,148.8,4.97,74.8,4.03,1.696,0.7828,0.872,68.26,56.6,1
Plant_A-00245,Plant_A,155.2,9.51,136.4,0.74,0.691,0.6075,0.8081,49.09,69.1,1
Plant_A-00246,Plant_A,187.9,4.84,84.6,3.29,1.982,0.8431,0.9127,76.95,60.6,1
Plant_A-00247,Plant_A,195.6,5.71,56.1,2.05,0.804,0.7591,0.9035,68.59,53.1,1
Plant_A-00248,Plant_A,189.3,3.65,132.4,2.7,0.681,0.6567,0.9207,60.46,70.3,1
Plant_A-00249,Plant_A,183.1,2.73,69.0,1.56,1.816,0.8233,0.8798,72.44,54.6,1
Plant_A-00250,Plant_A,150.2,3.05,127.8,4.97,1.323,0.6971,0.8833,61.58,66.3,1
Plant_A-00251,Plant_A,162.7,5.54,110.9,3.76,0.652,0.6331,0.8957,56.71,63.0,1
