lot_id,datum,leverancier,grondstof,zuiverheid_pct,vochtgehalte_pct,deeltjesgrootte_d50_um,deeltjesgrootte_d90_um,bulkdichtheid_gmL,tapdichtheid_gmL,carr_index_pct,zware_metalen_ppm,microbieel_CFUg,besluit
LOT-00059,2025-02-21,Leverancier_B,Lactose,99.02,1.78,84.4,149.2,0.457,0.533,14.1,7.6,10,goedgekeurd
LOT-00060,2024-08-22,Leverancier_B,Lactose,99.28,1.82,82.8,147.6,0.431,0.556,22.4,6.6,50,goedgekeurd
LOT-00061,2024-11-08,Leverancier_A,Lactose,99.11,2.47,63.1,111.2,0.449,0.544,17.5,5.4,0,goedgekeurd
LOT-00062,2025-05-01,Leverancier_A,Lactose,99.38,1.81,90.2,161.3,0.454,0.549,17.5,6.6,500,goedgekeurd
LOT-00063,2024-07-23,Leverancier_C,Lactose,99.88,1.93,95.5,171.6,0.449,0.576,22.0,5.9,50,goedgekeurd
LOT-00064,2024-10-29,Leverancier_C,Paracetamol_API,98.84,1.9,96.9,178.4,0.464,0.575,19.3,6.0,0,hertest
LOT-00065,2024-07-03,Leverancier_A,Magnesiumstearaat,99.65,2.25,70.6,121.9,0.429,0.493,12.9,6.0,0,goedgekeurd
LOT-00066,2025-02-12,Leverancier_D,Paracetamol_API,99.24,1.93,64.9,115.3,0.496,0.645,23.2,8.4,10,goedgekeurd
LOT-00067,2024-07-04,Leverancier_A,Magnesiumstearaat,99.62,2.25,81.8,144.4,0.431,0.508,15.1,5.0,0,goedgekeurd
LOT-00068,2025-02-26,Leverancier_D,Paracetamol_API,99.78,1.89,92.3,167.1,0.471,0.581,19.0,14.1,500,goedgekeurd
LOT-00069,2024-08-24,Leverancier_D,Lactose,99.95,2.28,79.7,140.5,0.464,0.554,16.2,10.7,0,goedgekeurd
LOT-00070,2024-08-24,Leverancier_A,Magnesiumstearaat,99.76,1.9,83.7,147.7,0.441,0.592,25.6,6.7,100,goedgekeurd
LOT-00071,2024-10-08,Leverancier_C,Lactose,99.66,1.46,91.1,167.6,0.441,0.544,19.0,6.0,50,goedgekeurd
LOT-00072,2024-12-12,Leverancier_B,Cellulose_MCC,99.76,2.14,49.8,95.5,0.42,0.52,19.3,6.4,50,goedgekeurd
LOT-00073,2024-10-08,Leverancier_C,Paracetamol_API,99.99,2.33,91.3,159.9,0.475,0.602,21.1,7.8,0,goedgekeurd
LOT-00074,2025-03-18,Leverancier_A,Paracetamol_API,99.15,2.43,82.8,143.2,0.428,0.541,20.8,5.7,500,goedgekeurd
LOT-00075,2025-05-25,Leverancier_A,Lactose,99.46,2.07,83.9,145.4,0.484,0.638,24.1,7.3,0,goedgekeurd
LOT-00076,2024-07-19,Leverancier_B,Cellulose_MCC,99.7,1.66,80.4,142.2,0.47,0.612,23.2,11.4,0,goedgekeurd
LOT-00077,2024-06-21,Leverancier_A,Magnesiumstearaat,99.47,2.54,86.1,155.8,0.446,0.574,22.3,8.6,0,goedgekeurd
LOT-00078,2024-09-16,Leverancier_D,Paracetamol_API,99.93,1.94,107.1,191.4,0.526,0.627,16.1,9.9,50,goedgekeurd
LOT-00079,2025-05-29,Leverancier_D,Lactose,100.0,1.88,63.2,114.8,0.482,0.583,17.4,8.9,500,goedgekeurd
LOT-00080,2024-06-12,Leverancier_B,Paracetamol_API,99.32,2.3,78.1,141.0,0.479,0.608,21.2,6.4,10,goedgekeurd
LOT-00081,2025-01-18,Leverancier_B,Lactose,99.98,2.44,60.8,105.3,0.389,0.484,19.7,9.7,10,goedgekeurd
LOT-00082,2024-06-20,Leverancier_A,Paracetamol_API,99.58,1.96,90.6,161.9,0.487,0.604,19.3,5.5,10,goedgekeurd
LOT-00083,2025-01-08,Leverancier_C,Magnesiumstearaat,99.27,1.76,68.8,131.4,0.452,0.549,17.6,8.7,0,goedgekeurd
LOT-00084,2025-03-19,Leverancier_A,Paracetamol_API,99.92,2.2,80.5,144.7,0.489,0.619,21.1,5.5,0,goedgekeurd
LOT-00085,2024-10-02,Leverancier_C,Paracetamol_API,99.66,2.55,94.5,165.2,0.428,0.552,22.5,8.5,10,goedgekeurd
LOT-00086,2025-04-26,Leverancier_B,Lactose,99.06,1.88,79.5,143.8,0.44,0.57,22.8,6.3,500,goedgekeurd
LOT-00087,2024-09-01,Leverancier_A,Lactose,98.98,1.39,88.0,161.4,0.463,0.568,18.5,5.7,10,hertest
LOT-00088,2024-11-28,Leverancier_D,Cellulose_MCC,99.63,2.1,89.8,155.8,0.515,0.668,22.9,7.6,10,goedgekeurd
LOT-00089,2024-12-17,Leverancier_C,Lactose,99.46,2.15,89.6,161.2,0.454,0.57,20.5,5.9,0,goedgekeurd
LOT-00090,2025-04-10,Leverancier_B,Magnesiumstearaat,100.0,1.67,80.2,145.5,0.478,0.589,18.9,6.1,0,goedgekeurd
LOT-00091,2025-01-09,Leverancier_B,Paracetamol_API,99.87,1.46,83.1,147.9,0.462,0.512,9.6,6.4,10,goedgekeurd
LOT-00092,2025-05-03,Leverancier_C,Paracetamol_API,99.83,2.04,64.4,116.4,0.427,0.501,14.7,7.1,0,goedgekeurd
LOT-00093,2024-06-27,Leverancier_D,Lactose,99.83,2.1,75.9,140.9,0.475,0.597,20.5,13.4,0,goedgekeurd
LOT-00094,2024-07-12,Leverancier_A,Cellulose_MCC,99.91,1.46,83.1,159.7,0.41,0.506,18.9,5.0,100,goedgekeurd
LOT-00095,2024-08-23,Leverancier_A,Lactose,99.74,2.64,82.8,150.4,0.432,0.544,20.6,6.9,100,goedgekeurd
LOT-00096,2024-08-06,Leverancier_C,Cellulose_MCC,99.26,2.69,79.5,149.2,0.409,0.512,20.1,10.2,100,goedgekeurd
LOT-00097,2025-02-27,Leverancier_C,Cellulose_MCC,99.4,1.66,78.8,138.9,0.425,0.552,23.1,6.3,10,goedgekeurd
LOT-00098,2025-01-20,Leverancier_A,Lactose,99.43,2.31,91.3,162.5,0.475,0.604,21.3,6.9,100,goedgekeurd
LOT-00099,2024-08-30,Leverancier_A,Magnesiumstearaat,99.47,1.83,72.7,134.5,0.413,0.549,24.8,7.1,10,goedgekeurd
LOT-00100,2024-06-22,Leverancier_D,Lactose,99.45,2.1,82.6,143.2,0.478,0.61,21.5,11.7,0,goedgekeurd
LOT-00101,2024-11-05,Leverancier_A,Paracetamol_API,99.52,2.46,81.0,144.7,0.469,0.609,22.9,5.9,0,goedgekeurd
LOT-00102,2024-07-09,Leverancier_A,Paracetamol_API,99.55,2.54,66.5,116.3,0.459,0.531,13.5,5.7,50,goedgekeurd
LOT-00103,2024-12-16,Leverancier_B,Paracetamol_API,99.34,2.16,87.7,162.8,0.486,0.588,17.3,7.1,10,goedgekeurd
LOT-00104,2024-12-17,Leverancier_B,Paracetamol_API,99.16,2.12,71.8,125.9,0.447,0.552,18.9,6.0,0,goedgekeurd
LOT-00105,2025-04-21,Leverancier_B,Lactose,100.0,1.74,69.9,125.8,0.45,0.569,20.8,8.0,1000,afgekeurd
LOT-00106,2024-09-06,Leverancier_A,Cellulose_MCC,99.25,2.09,91.7,162.4,0.493,0.661,25.4,6.2,50,goedgekeurd
LOT-00107,2025-05-13,Leverancier_C,Cellulose_MCC,99.38,2.29,86.6,155.9,0.48,0.596,19.5,5.9,10,goedgekeurd
LOT-00108,2024-12-12,Leverancier_B,Lactose,100.0,2.02,95.6,164.4,0.488,0.616,20.8,8.5,1000,afgekeurd
LOT-00109,2025-04-07,Leverancier_C,Paracetamol_API,99.63,1.77,82.9,144.8,0.423,0.535,20.8,6.6,0,goedgekeurd
LOT-00110,2024-09-24,Leverancier_B,Cellulose_MCC,99.72,1.73,96.2,168.9,0.471,0.607,22.4,6.7,10,goedgekeurd
LOT-00111,2024-07-28,Leverancier_B,Lactose,99.64,2.12,75.8,131.2,0.414,0.545,24.0,13.6,0,goedgekeurd
LOT-00112,2025-01-05,Leverancier_C,Lactose,99.37,2.09,76.2,141.2,0.406,0.497,18.3,6.7,0,goedgekeurd
LOT-00113,2024-06-12,Leverancier_B,Paracetamol_API,99.73,1.49,73.0,132.6,0.449,0.563,20.3,7.3,500,goedgekeurd
LOT-00114,2024-12-22,Leverancier_C,Paracetamol_API,99.4,2.07,66.8,116.0,0.478,0.557,14.2,5.6,0,goedgekeurd
LOT-00115,2025-01-17,Leverancier_A,Paracetamol_API,99.49,1.95,85.2,155.6,0.401,0.456,12.2,5.4,10,goedgekeurd
LOT-00116,2024-11-24,Leverancier_B,Cellulose_MCC,99.77,2.23,76.2,146.3,0.442,0.578,23.4,10.2,0,goedgekeurd
LOT-00117,2024-11-23,Leverancier_B,Paracetamol_API,99.63,2.08,87.5,155.2,0.461,0.612,24.7,6.1,10,goedgekeurd
LOT-00118,2024-07-25,Leverancier_C,Cellulose_MCC,100.0,2.18,83.3,156.6,0.435,0.528,17.6,8.1,100,goedgekeurd
LOT-00119,2025-04-19,Leverancier_A,Paracetamol_API,99.37,2.15,91.5,167.6,0.451,0.565,20.2,6.8,0,goedgekeurd
LOT-00120,2024-12-14,Leverancier_D,Lactose,99.63,1.99,99.8,178.1,0.449,0.568,21.0,9.6,10,goedgekeurd
LOT-00121,2024-09-03,Leverancier_C,Paracetamol_API,99.65,1.58,68.2,115.1,0.423,0.552,23.4,8.6,0,goedgekeurd
LOT-00122,2025-01-25,Leverancier_B,Paracetamol_API,99.61,2.31,86.0,155.9,0.422,0.52,18.8,6.9,500,goedgekeurd
LOT-00123,2024-09-22,Leverancier_D,Cellulose_MCC,99.47,1.35,98.0,169.6,0.434,0.542,20.0,9.5,0,goedgekeurd
LOT-00124,2025-02-14,Leverancier_A,Paracetamol_API,99.39,1.87,75.8,140.5,0.494,0.61,19.0,5.7,10,goedgekeurd
LOT-00125,2024-06-16,Leverancier_D,Lactose,99.56,2.17,87.5,158.9,0.411,0.511,19.6,8.4,50,goedgekeurd
LOT-00126,2025-05-12,Leverancier_A,Lactose,99.54,2.59,80.9,150.8,0.456,0.605,24.5,8.1,100,goedgekeurd
LOT-00127,2024-11-08,Leverancier_A,Paracetamol_API,100.0,2.07,92.9,167.4,0.453,0.582,22.2,8.7,0,goedgekeurd
LOT-00128,2025-02-24,Leverancier_C,Magnesiumstearaat,99.44,2.18,92.7,158.4,0.471,0.568,17.2,5.8,50,goedgekeurd
LOT-00129,2024-10-27,Leverancier_D,Cellulose_MCC,99.83,1.88,94.6,179.7,0.458,0.582,21.2,10.4,50,goedgekeurd
LOT-00130,2024-07-17,Leverancier_A,Lactose,99.85,2.68,84.4,150.5,0.473,0.609,22.2,5.8,50,goedgekeurd
LOT-00131,2025-04-21,Leverancier_A,Cellulose_MCC,99.6,1.53,97.1,177.9,0.42,0.527,20.3,7.8,0,goedgekeurd
LOT-00132,2025-03-11,Leverancier_A,Cellulose_MCC,99.77,1.78,85.8,157.9,0.453,0.549,17.4,6.8,0,goedgekeurd
LOT-00133,2025-05-20,Leverancier_A,Lactose,99.4,1.93,75.2,133.6,0.431,0.529,18.6,8.6,0,goedgekeurd
LOT-00134,2024-12-16,Leverancier_B,Lactose,99.58,2.17,83.2,151.1,0.434,0.52,16.5,6.3,1000,afgekeurd
LOT-00135,2024-07-27,Leverancier_A,Lactose,99.34,2.21,70.5,128.9,0.454,0.565,19.8,8.7,0,goedgekeurd
LOT-00136,2024-08-13,Leverancier_D,Lactose,99.18,1.73,76.7,149.7,0.507,0.621,18.3,9.0,50,goedgekeurd
LOT-00137,2025-03-15,Leverancier_A,Paracetamol_API,99.53,2.0,75.6,144.1,0.407,0.505,19.3,10.2,50,goedgekeurd
LOT-00138,2024-10-26,Leverancier_C,Magnesiumstearaat,99.17,2.13,79.9,149.8,0.414,0.49,15.4,6.0,10,goedgekeurd
LOT-00139,2025-05-13,Leverancier_D,Paracetamol_API,99.92,1.63,82.7,147.7,0.487,0.623,21.8,7.6,10,goedgekeurd
LOT-00140,2024-12-20,Leverancier_C,Paracetamol_API,99.7,1.83,67.5,117.5,0.442,0.574,23.0,8.1,500,goedgekeurd
LOT-00141,2025-05-25,Leverancier_A,Magnesiumstearaat,99.37,1.76,88.0,163.4,0.415,0.528,21.5,5.0,100,goedgekeurd
LOT-00142,2025-03-11,Leverancier_A,Magnesiumstearaat,99.46,2.38,51.5,93.4,0.472,0.597,21.0,7.6,0,goedgekeurd
LOT-00143,2025-04-25,Leverancier_A,Lactose,99.71,2.01,57.8,108.5,0.44,0.581,24.2,5.4,1000,afgekeurd
LOT-00144,2024-07-15,Leverancier_D,Magnesiumstearaat,99.3,2.22,85.1,162.7,0.456,0.548,16.7,9.8,10,goedgekeurd
LOT-00145,2024-06-12,Leverancier_D,Lactose,100.0,2.21,79.8,138.1,0.443,0.544,18.6,11.3,50,goedgekeurd
LOT-00146,2025-04-29,Leverancier_D,Lactose,99.68,2.33,77.6,143.3,0.449,0.513,12.6,7.5,0,goedgekeurd
LOT-00147,2024-07-24,Leverancier_A,Lactose,99.69,1.74,68.9,124.0,0.414,0.528,21.6,5.9,500,goedgekeurd
LOT-00148,2024-10-12,Leverancier_D,Lactose,99.92,2.08,71.4,128.3,0.502,0.655,23.3,9.1,500,goedgekeurd
LOT-00149,2025-04-23,Leverancier_C,Magnesiumstearaat,99.8,1.74,81.8,146.9,0.451,0.564,20.0,7.6,0,goedgekeurd
LOT-00150,2024-10-15,Leverancier_B,Magnesiumstearaat,99.56,2.21,77.3,133.1,0.457,0.566,19.3,9.3,0,goedgekeurd
LOT-00151,2024-07-24,Leverancier_D,Lactose,99.34,1.96,111.3,200.9,0.457,0.552,17.1,9.8,10,goedgekeurd
LOT-00152,2024-11-04,Leverancier_D,Cellulose_MCC,99.57,2.13,88.1,157.4,0.451,0.574,21.4,7.8,500,goedgekeurd
LOT-00153,2024-06-16,Leverancier_B,Magnesiumstearaat,99.3,1.9,79.8,138.0,0.556,0.713,22.1,6.2,0,goedgekeurd
LOT-00154,2025-03-03,Leverancier_D,Paracetamol_API,100.0,2.09,77.7,143.3,0.505,0.618,18.3,12.7,0,goedgekeurd
LOT-00155,2024-12-30,Leverancier_D,Paracetamol_API,99.5,1.91,85.2,145.2,0.45,0.553,18.7,8.3,10,goedgekeurd
LOT-00156,2024-11-20,Leverancier_A,Cellulose_MCC,99.76,2.18,95.6,179.5,0.411,0.496,17.1,6.3,100,goedgekeurd
LOT-00157,2024-09-02,Leverancier_A,Paracetamol_API,99.01,2.18,78.8,138.5,0.441,0.573,23.0,5.6,0,goedgekeurd
LOT-00158,2025-05-31,Leverancier_C,Cellulose_MCC,99.92,1.76,84.2,151.4,0.488,0.621,21.4,6.4,0,goedgekeurd
LOT-00159,2025-03-01,Leverancier_B,Cellulose_MCC,99.4,2.38,79.2,154.2,0.423,0.541,21.9,7.7,10,goedgekeurd
LOT-00160,2024-11-04,Leverancier_D,Lactose,99.61,1.53,94.2,163.6,0.557,0.671,16.9,8.7,100,goedgekeurd
LOT-00161,2025-03-20,Leverancier_C,Paracetamol_API,99.17,2.08,99.7,183.3,0.473,0.594,20.4,14.2,0,goedgekeurd
LOT-00162,2025-01-11,Leverancier_A,Lactose,99.46,1.66,82.3,141.2,0.436,0.546,20.2,6.2,500,goedgekeurd
LOT-00163,2024-07-21,Leverancier_C,Cellulose_MCC,99.18,2.19,85.9,154.6,0.44,0.569,22.8,7.2,100,goedgekeurd
LOT-00164,2024-12-11,Leverancier_D,Cellulose_MCC,99.55,2.32,80.0,145.3,0.48,0.597,19.6,10.7,50,goedgekeurd
LOT-00165,2024-08-06,Leverancier_A,Lactose,99.71,2.24,69.8,117.3,0.447,0.533,16.2,10.8,100,goedgekeurd
LOT-00166,2024-10-20,Leverancier_D,Cellulose_MCC,99.71,1.38,96.3,173.4,0.485,0.58,16.5,11.1,0,goedgekeurd
LOT-00167,2024-11-05,Leverancier_B,Cellulose_MCC,99.53,1.71,58.9,98.2,0.49,0.644,23.9,8.0,0,goedgekeurd
LOT-00168,2025-05-10,Leverancier_B,Paracetamol_API,99.72,1.85,89.6,155.9,0.451,0.575,21.5,6.2,10,goedgekeurd
LOT-00169,2024-10-11,Leverancier_A,Magnesiumstearaat,99.4,2.2,79.9,136.8,0.475,0.607,21.7,10.2,0,goedgekeurd
LOT-00170,2025-05-29,Leverancier_A,Magnesiumstearaat,99.67,1.96,86.9,154.7,0.408,0.507,19.6,11.6,100,goedgekeurd
LOT-00171,2024-07-09,Leverancier_B,Paracetamol_API,99.48,2.09,98.0,178.2,0.454,0.594,23.5,7.7,10,goedgekeurd
LOT-00172,2024-06-22,Leverancier_D,Paracetamol_API,99.86,1.92,98.5,177.6,0.451,0.553,18.5,7.8,50,goedgekeurd
LOT-00173,2024-11-18,Leverancier_C,Paracetamol_API,99.91,1.16,71.3,128.8,0.404,0.455,11.2,5.7,50,goedgekeurd
LOT-00174,2025-02-03,Leverancier_A,Lactose,99.45,1.45,77.9,141.7,0.45,0.561,19.8,5.0,50,goedgekeurd
LOT-00175,2024-09-26,Leverancier_B,Paracetamol_API,99.63,2.04,99.6,180.3,0.5,0.614,18.6,8.4,500,goedgekeurd
LOT-00176,2024-06-22,Leverancier_A,Magnesiumstearaat,99.37,1.65,86.6,157.0,0.436,0.57,23.5,5.9,0,goedgekeurd
LOT-00177,2024-07-27,Leverancier_B,Lactose,99.63,2.27,83.7,154.4,0.452,0.576,21.5,6.8,100,goedgekeurd
LOT-00178,2025-02-09,Leverancier_A,Lactose,99.77,1.65,89.9,160.0,0.48,0.614,21.8,5.4,0,goedgekeurd
LOT-00179,2025-05-24,Leverancier_A,Magnesiumstearaat,100.0,2.38,72.0,129.4,0.455,0.551,17.3,6.6,50,goedgekeurd
LOT-00180,2024-12-05,Leverancier_A,Paracetamol_API,99.74,1.86,84.7,153.1,0.424,0.523,19.0,12.6,100,goedgekeurd
LOT-00181,2024-07-28,Leverancier_A,Cellulose_MCC,99.35,2.24,81.1,146.6,0.427,0.53,19.5,5.9,0,goedgekeurd
LOT-00182,2025-01-29,Leverancier_D,Paracetamol_API,99.64,2.22,82.1,142.6,0.46,0.568,19.0,8.9,0,goedgekeurd
LOT-00183,2024-08-18,Leverancier_B,Cellulose_MCC,99.7,2.07,82.5,149.5,0.406,0.502,19.1,6.7,10,goedgekeurd
LOT-00184,2024-07-01,Leverancier_C,Cellulose_MCC,99.33,1.9,71.0,115.7,0.486,0.608,20.0,5.9,0,goedgekeurd
LOT-00185,2024-08-01,Leverancier_D,Paracetamol_API,99.58,1.71,86.1,157.4,0.484,0.651,25.7,8.8,0,goedgekeurd
LOT-00186,2025-01-14,Leverancier_D,Lactose,99.3,2.21,81.0,140.0,0.449,0.549,18.2,7.8,500,goedgekeurd
LOT-00187,2024-12-12,Leverancier_D,Paracetamol_API,99.56,2.6,89.1,161.4,0.49,0.6,18.4,9.2,0,goedgekeurd
LOT-00188,2024-07-28,Leverancier_A,Lactose,99.37,1.98,75.6,144.9,0.456,0.585,22.0,5.6,10,goedgekeurd
LOT-00189,2024-06-02,Leverancier_D,Paracetamol_API,100.0,1.78,96.2,172.7,0.485,0.583,16.8,8.5,10,goedgekeurd
