batch_id,datum,seizoen,product,leverancier,API_zuiverheid_pct,API_vochtgehalte_pct,API_deeltjesgrootte_d50_um,API_bulkdichtheid_gmL,granulatie_water_pct,mengtijd_min,perskracht_kN,perssnelheid_RPM,droogtemp_C,droogtijd_min,coatingtijd_min,ruimte_temp_C,ruimte_RV_pct,gewicht_mg,hardheid_N,dissolutie_pct,brosheid_pct,gehalte_uniformiteit_RSD,restvochtgehalte_pct,coating_gewichtstoename_pct,uiterlijk_score,cyclustijd_min,batchkosten_EUR,goedgekeurd
RX-0010,2025-09-20,herfst,Ibuprofen_400mg,Sup_C,99.51,2.17,36.6,0.466,28.3,19.0,17.0,21.0,57.0,27.0,39.0,22.3,47.3,404.4,76.0,79.9,0.289,2.68,1.8,4.6,3.9,144.0,205.0,1
RX-0011,2025-06-08,zomer,Paracetamol_500mg,Sup_B,100.0,2.42,47.7,0.483,26.0,11.2,9.5,53.0,67.0,42.0,72.0,24.4,50.9,502.7,64.6,100.0,0.745,4.01,1.69,4.5,4.2,193.0,250.0,1
RX-0012,2025-01-03,winter,Ibuprofen_400mg,Sup_A,99.27,2.1,54.9,0.468,25.7,15.6,19.5,54.0,50.0,24.0,46.0,20.3,38.0,401.8,73.4,82.2,0.523,1.3,2.19,3.7,4.1,136.0,201.0,1
RX-0013,2025-06-29,zomer,Metformin_850mg,Sup_B,99.5,2.49,42.3,0.417,26.1,12.6,19.1,30.0,55.0,57.0,60.0,21.1,57.5,858.2,117.2,78.5,0.318,0.04,1.72,3.7,3.7,196.0,254.0,1
RX-0014,2025-09-01,herfst,Aspirine_300mg,Sup_B,99.5,2.03,46.9,0.437,19.6,13.3,22.0,22.0,51.0,32.0,0.0,20.7,44.0,298.8,86.7,72.3,0.186,0.93,1.76,0.0,4.3,111.0,178.0,0
RX-0015,2025-07-19,zomer,Metformin_850mg,Sup_C,99.95,2.86,43.4,0.447,17.1,7.0,9.5,40.0,52.0,55.0,61.0,21.6,59.8,853.0,80.8,100.0,0.61,1.0,2.17,4.3,3.4,182.0,242.0,1
RX-0016,2025-06-06,zomer,Paracetamol_500mg,Sup_C,99.26,2.57,46.9,0.475,29.4,15.6,10.7,42.0,51.0,57.0,52.0,23.2,58.7,507.2,63.0,97.4,0.611,1.4,1.9,4.1,3.9,180.0,240.0,1
RX-0017,2025-09-22,herfst,Metformin_850mg,Sup_B,98.73,1.83,63.5,0.471,28.4,10.6,24.6,50.0,61.0,54.0,30.0,21.6,45.2,851.5,129.0,68.7,0.446,0.53,0.5,3.4,4.8,151.0,225.0,0
RX-0018,2025-10-22,herfst,Aspirine_300mg,Sup_A,99.95,2.04,47.4,0.45,18.5,11.5,15.7,49.0,52.0,39.0,0.0,21.9,45.7,300.3,63.3,82.0,0.574,0.77,1.48,0.0,4.3,108.0,179.0,1
RX-0019,2025-01-01,winter,Metformin_850mg,Sup_A,99.4,2.36,65.7,0.44,24.0,13.1,10.4,21.0,67.0,42.0,65.0,21.8,38.9,854.8,100.6,96.8,0.415,2.14,1.6,4.2,4.9,183.0,243.0,1
RX-0020,2025-05-02,lente,Aspirine_300mg,Sup_B,99.67,1.76,60.1,0.453,27.2,10.3,19.1,26.0,51.0,30.0,0.0,21.6,44.0,298.6,76.9,81.9,0.249,2.29,1.19,0.0,4.0,91.0,167.0,1
RX-0021,2025-09-01,herfst,Metformin_850mg,Sup_A,99.35,2.02,44.1,0.43,25.4,5.2,20.8,35.0,59.0,33.0,58.0,20.3,43.9,850.0,119.2,82.6,0.245,0.05,1.5,4.5,4.7,144.0,216.0,1
RX-0022,2025-10-01,herfst,Paracetamol_500mg,Sup_C,99.71,2.26,40.6,0.447,20.5,12.6,9.5,46.0,60.0,53.0,59.0,20.9,45.2,502.1,62.0,100.0,0.666,2.14,1.36,4.2,4.8,190.0,249.0,1
RX-0023,2025-06-27,zomer,Ibuprofen_400mg,Sup_B,99.16,2.77,50.4,0.424,26.9,14.3,10.8,57.0,69.0,57.0,33.0,22.5,59.8,403.4,50.7,100.0,0.723,1.58,1.56,3.4,3.0,157.0,232.0,1
RX-0024,2025-05-09,lente,Ibuprofen_400mg,Sup_A,99.52,1.72,53.9,0.42,24.4,15.2,20.0,25.0,56.0,33.0,68.0,21.3,48.2,398.2,92.1,77.3,0.232,2.62,1.3,4.5,4.2,173.0,232.0,1
RX-0025,2025-09-03,herfst,Paracetamol_500mg,Sup_B,99.53,2.31,64.6,0.478,18.8,9.1,25.0,25.0,66.0,25.0,69.0,20.5,50.0,499.8,118.1,63.2,0.082,1.84,1.89,4.2,5.0,163.0,226.0,0
RX-0026,2025-10-13,herfst,Ibuprofen_400mg,Sup_A,99.9,2.32,52.9,0.452,29.5,19.1,8.7,34.0,57.0,36.0,42.0,21.6,44.3,402.5,54.9,100.0,0.615,1.86,1.44,3.8,4.6,153.0,215.0,1
RX-0027,2025-03-24,lente,Aspirine_300mg,Sup_A,99.64,1.8,53.0,0.497,28.4,9.4,18.9,24.0,53.0,41.0,0.0,23.4,48.6,302.0,74.7,84.8,0.244,0.81,1.24,0.0,3.8,113.0,185.0,1
RX-0028,2025-01-30,winter,Paracetamol_500mg,Sup_B,99.73,2.47,49.5,0.488,18.9,17.4,17.0,36.0,60.0,50.0,65.0,19.8,36.7,495.9,87.3,84.1,0.477,0.87,1.29,4.4,4.5,198.0,254.0,1
RX-0029,2025-01-27,winter,Aspirine_300mg,Sup_C,99.97,1.75,46.9,0.444,22.7,18.1,17.3,29.0,55.0,36.0,0.0,18.7,38.3,303.9,71.5,84.0,0.297,2.65,1.1,0.0,4.1,113.0,182.0,1
RX-0030,2025-12-15,winter,Aspirine_300mg,Sup_C,99.21,2.85,56.9,0.429,29.0,17.1,15.5,38.0,51.0,41.0,0.0,19.1,38.2,307.9,60.4,89.5,0.514,1.03,2.43,0.0,3.7,117.0,185.0,1
RX-0031,2025-10-21,herfst,Omeprazol_20mg,Sup_A,99.7,1.71,53.5,0.441,23.3,13.1,8.2,58.0,52.0,42.0,60.0,19.9,44.1,203.1,29.0,100.0,0.868,1.45,1.01,4.4,4.6,183.0,235.0,0
RX-0032,2025-03-24,lente,Paracetamol_500mg,Sup_B,99.51,1.49,47.7,0.451,23.2,14.4,17.6,20.0,58.0,48.0,34.0,20.5,48.7,497.7,95.7,81.3,0.184,3.62,0.5,3.6,4.0,155.0,222.0,1
RX-0033,2025-02-13,winter,Omeprazol_20mg,Sup_A,99.21,2.15,50.1,0.481,19.2,6.9,12.8,35.0,63.0,44.0,74.0,18.4,37.3,200.5,40.9,92.5,0.586,1.21,1.02,4.5,4.2,195.0,251.0,1
RX-0034,2025-02-17,winter,Paracetamol_500mg,Sup_C,99.71,1.58,56.4,0.446,27.9,5.0,15.8,42.0,65.0,36.0,60.0,20.8,41.8,496.4,79.9,87.8,0.456,1.6,0.88,4.3,4.8,153.0,224.0,1
RX-0035,2025-03-05,lente,Metformin_850mg,Sup_B,99.5,2.14,61.2,0.406,25.6,17.9,23.3,46.0,65.0,31.0,41.0,19.9,45.2,849.6,121.6,74.6,0.377,0.58,1.57,3.7,4.4,146.0,213.0,0
RX-0036,2025-01-05,winter,Omeprazol_20mg,Sup_A,99.54,1.32,43.8,0.487,20.5,17.3,18.6,56.0,52.0,43.0,78.0,19.8,39.3,198.8,53.4,79.3,0.504,0.52,0.5,4.5,4.3,196.0,249.0,1
RX-0037,2025-04-17,lente,Paracetamol_500mg,Sup_C,99.76,2.33,61.3,0.428,23.3,15.2,11.7,47.0,65.0,27.0,87.0,21.4,45.5,498.9,72.6,100.0,0.742,0.41,1.63,4.9,5.0,185.0,241.0,1
RX-0038,2025-05-19,lente,Aspirine_300mg,Sup_C,99.76,2.0,34.8,0.49,20.3,8.1,22.6,59.0,54.0,52.0,0.0,20.9,48.9,299.9,68.7,75.5,0.545,0.9,1.41,0.0,4.0,115.0,192.0,1
RX-0039,2025-08-23,zomer,Aspirine_300mg,Sup_C,99.27,2.96,48.4,0.448,26.5,7.2,15.0,57.0,56.0,22.0,0.0,24.6,53.9,302.1,52.9,94.0,0.64,1.5,2.8,0.0,3.9,93.0,164.0,1
RX-0040,2025-08-16,zomer,Metformin_850mg,Sup_B,99.06,2.91,46.7,0.458,23.3,16.8,18.6,22.0,59.0,39.0,51.0,21.2,50.8,858.6,117.5,77.3,0.238,3.05,1.77,4.0,4.4,171.0,230.0,1
RX-0041,2025-02-12,winter,Omeprazol_20mg,Sup_A,99.25,1.91,57.8,0.443,22.4,9.1,9.6,23.0,52.0,53.0,56.0,19.8,43.8,203.2,47.5,92.4,0.289,2.72,0.99,4.1,4.7,182.0,240.0,1
RX-0042,2025-08-14,zomer,Paracetamol_500mg,Sup_A,99.31,2.35,45.1,0.467,26.8,17.5,13.8,55.0,63.0,39.0,42.0,23.9,57.6,503.5,74.5,98.6,0.697,3.07,1.53,4.0,3.7,157.0,221.0,1
RX-0043,2025-08-04,zomer,Aspirine_300mg,Sup_B,99.36,2.64,46.2,0.515,15.8,8.5,12.3,36.0,53.0,33.0,0.0,24.3,55.8,297.5,45.5,100.0,0.57,2.94,2.08,0.0,4.2,105.0,174.0,1
RX-0044,2025-12-09,winter,Metformin_850mg,Sup_A,99.47,2.42,57.1,0.488,19.2,9.5,18.8,37.0,52.0,30.0,35.0,19.4,44.8,849.7,113.2,80.1,0.377,1.15,1.91,3.4,4.2,125.0,194.0,1
RX-0045,2025-10-06,herfst,Paracetamol_500mg,Sup_B,98.77,1.35,52.5,0.472,23.4,15.1,22.0,32.0,62.0,57.0,47.0,21.3,47.3,502.9,105.2,67.9,0.242,2.13,0.51,4.2,4.5,176.0,244.0,0
RX-0046,2025-09-18,herfst,Metformin_850mg,Sup_A,99.05,1.95,53.4,0.443,24.4,17.4,22.1,52.0,51.0,20.0,48.0,20.5,43.3,849.3,118.2,72.3,0.47,0.99,1.76,3.8,5.0,148.0,206.0,0
RX-0047,2025-04-14,lente,Paracetamol_500mg,Sup_A,99.71,1.96,59.2,0.461,27.8,19.9,20.5,42.0,63.0,40.0,51.0,19.7,38.5,502.2,106.8,72.6,0.445,0.99,1.06,4.1,3.9,175.0,235.0,0
RX-0048,2025-11-20,herfst,Metformin_850mg,Sup_C,99.42,1.81,47.8,0.474,20.1,12.1,16.3,28.0,55.0,57.0,86.0,19.5,45.9,848.6,108.3,84.6,0.308,3.8,0.76,4.6,4.6,224.0,274.0,1
RX-0049,2025-11-25,herfst,Metformin_850mg,Sup_A,99.89,2.43,55.8,0.475,22.1,9.8,20.5,23.0,68.0,33.0,68.0,20.3,50.3,853.6,127.5,71.0,0.164,2.99,1.77,4.3,4.0,174.0,236.0,0
RX-0050,2025-07-29,zomer,Omeprazol_20mg,Sup_A,99.77,2.98,50.9,0.47,25.2,9.5,11.3,41.0,52.0,45.0,67.0,21.7,57.4,205.4,43.9,95.6,0.653,0.91,2.68,4.1,3.9,177.0,237.0,1
RX-0051,2025-06-01,zomer,Ibuprofen_400mg,Sup_C,99.43,2.55,47.2,0.448,15.7,7.2,12.5,55.0,60.0,20.0,53.0,23.2,55.0,397.7,52.6,100.0,0.736,0.96,2.53,4.2,4.5,152.0,208.0,1
RX-0052,2025-09-08,herfst,Paracetamol_500mg,Sup_B,99.72,1.82,49.3,0.407,18.1,11.6,21.2,27.0,50.0,35.0,39.0,21.3,42.7,497.9,94.2,76.2,0.386,1.68,1.24,3.6,4.1,150.0,210.0,1
RX-0053,2025-07-30,zomer,Ibuprofen_400mg,Sup_A,99.36,2.19,50.3,0.479,29.0,7.8,17.9,40.0,61.0,43.0,45.0,23.2,51.0,400.5,80.0,82.5,0.448,2.1,1.42,3.8,4.4,154.0,223.0,1
RX-0054,2025-02-14,winter,Aspirine_300mg,Sup_C,99.47,1.91,43.9,0.467,24.6,19.2,9.1,22.0,54.0,57.0,0.0,19.0,41.6,300.4,54.3,100.0,0.402,1.16,0.96,0.0,3.9,146.0,208.0,1
RX-0055,2025-11-07,herfst,Metformin_850mg,Sup_B,99.84,1.91,50.6,0.466,17.8,14.6,10.8,45.0,57.0,57.0,58.0,21.4,49.8,849.3,86.9,100.0,0.571,1.13,0.67,4.1,4.2,201.0,254.0,1
RX-0056,2025-05-22,lente,Ibuprofen_400mg,Sup_C,99.97,2.39,40.3,0.48,23.0,5.4,17.4,42.0,59.0,54.0,73.0,21.9,48.7,399.1,71.8,88.7,0.482,1.44,1.33,4.6,4.3,188.0,253.0,1
RX-0057,2025-08-27,zomer,Ibuprofen_400mg,Sup_B,99.49,2.71,45.4,0.488,28.5,9.5,21.5,32.0,65.0,32.0,82.0,23.2,55.1,405.1,83.8,77.3,0.387,3.4,1.92,4.7,5.0,180.0,242.0,1
RX-0058,2025-08-29,zomer,Ibuprofen_400mg,Sup_C,98.8,2.57,61.9,0.46,21.6,15.8,21.3,29.0,62.0,30.0,78.0,23.5,58.2,400.1,97.7,74.3,0.298,3.16,1.75,4.6,3.9,186.0,242.0,0
RX-0059,2025-12-20,winter,Metformin_850mg,Sup_C,99.62,1.82,47.3,0.437,29.0,5.3,14.1,40.0,54.0,39.0,53.0,20.9,38.4,855.0,96.4,94.8,0.515,2.57,1.04,4.2,3.5,154.0,220.0,1
RX-0060,2025-06-22,zomer,Omeprazol_20mg,Sup_B,99.2,2.04,40.9,0.444,26.7,10.2,8.3,49.0,55.0,24.0,70.0,22.1,52.3,202.9,31.9,100.0,0.646,2.19,1.91,4.7,3.6,166.0,221.0,0
RX-0061,2025-01-13,winter,Metformin_850mg,Sup_C,99.87,2.49,56.9,0.394,29.8,16.1,14.4,28.0,51.0,35.0,36.0,18.6,43.1,858.3,109.4,89.3,0.362,2.19,2.19,3.8,4.2,145.0,207.0,1
RX-0062,2025-01-17,winter,Aspirine_300mg,Sup_B,99.21,1.58,50.9,0.444,16.5,13.2,16.2,54.0,54.0,32.0,0.0,19.0,34.1,294.0,64.4,83.9,0.62,1.49,1.22,0.0,3.4,102.0,173.0,1
RX-0063,2025-02-24,winter,Metformin_850mg,Sup_B,99.58,1.71,53.5,0.433,23.3,15.9,22.0,50.0,55.0,48.0,60.0,20.0,41.9,846.4,125.2,71.9,0.425,1.81,1.0,4.4,4.6,181.0,241.0,0
RX-0064,2025-10-23,herfst,Paracetamol_500mg,Sup_C,100.22,1.96,51.8,0.448,29.2,13.6,16.5,53.0,68.0,30.0,37.0,20.6,41.4,499.3,85.6,88.3,0.601,1.28,1.65,3.7,4.3,140.0,207.0,1
RX-0065,2025-10-14,herfst,Aspirine_300mg,Sup_C,99.54,2.1,42.8,0.423,18.9,9.0,19.0,53.0,58.0,56.0,0.0,20.4,43.6,301.8,67.1,85.5,0.507,0.81,1.41,0.0,4.0,128.0,202.0,1
RX-0066,2025-10-07,herfst,Omeprazol_20mg,Sup_C,99.26,2.16,58.1,0.46,26.0,18.3,21.8,37.0,69.0,57.0,75.0,21.0,44.0,201.5,81.5,68.2,0.314,2.34,1.02,4.2,4.6,205.0,271.0,0
RX-0067,2025-11-05,herfst,Paracetamol_500mg,Sup_A,99.63,2.62,52.0,0.45,16.9,17.2,13.7,43.0,65.0,59.0,46.0,20.1,43.6,499.0,71.6,98.9,0.529,2.08,1.44,3.9,5.0,177.0,245.0,1
RX-0068,2025-01-27,winter,Paracetamol_500mg,Sup_B,99.41,2.36,60.9,0.469,16.9,10.4,15.3,45.0,62.0,59.0,39.0,19.9,39.8,499.7,75.9,87.2,0.511,0.89,1.07,3.6,4.5,174.0,240.0,1
RX-0069,2025-10-13,herfst,Metformin_850mg,Sup_A,99.35,2.18,57.4,0.495,25.4,6.8,11.2,20.0,55.0,59.0,77.0,21.2,41.1,850.7,94.8,99.6,0.442,1.89,0.96,4.4,4.2,202.0,261.0,1
RX-0070,2025-10-26,herfst,Metformin_850mg,Sup_B,99.41,2.2,42.8,0.487,26.0,19.0,24.9,26.0,51.0,36.0,64.0,19.7,44.3,851.2,138.3,63.8,0.226,1.13,1.96,4.6,4.3,176.0,233.0,0
RX-0071,2025-07-05,zomer,Metformin_850mg,Sup_C,99.56,2.36,54.7,0.488,23.0,18.4,17.7,32.0,67.0,33.0,63.0,23.4,60.5,855.6,113.0,83.4,0.406,2.13,1.45,4.6,3.8,176.0,235.0,1
RX-0072,2025-12-08,winter,Ibuprofen_400mg,Sup_B,99.44,2.14,53.5,0.5,28.7,14.1,23.4,52.0,53.0,48.0,77.0,19.5,39.9,404.2,85.9,73.0,0.458,1.11,1.5,4.3,4.0,193.0,253.0,0
RX-0073,2025-10-02,herfst,Paracetamol_500mg,Sup_B,99.07,1.29,50.6,0.498,16.9,12.6,19.8,53.0,57.0,32.0,53.0,20.4,42.6,501.0,93.5,77.0,0.501,0.83,0.77,4.1,4.5,150.0,215.0,1
RX-0074,2025-04-16,lente,Metformin_850mg,Sup_A,99.11,2.12,56.3,0.383,27.4,14.0,17.1,43.0,63.0,21.0,61.0,20.5,43.5,853.6,105.6,87.1,0.504,2.02,1.81,4.0,4.5,153.0,214.0,1
RX-0075,2025-11-04,herfst,Metformin_850mg,Sup_A,99.26,2.38,54.2,0.488,17.9,5.7,21.9,51.0,50.0,37.0,76.0,21.3,44.4,853.2,116.6,74.9,0.451,0.13,1.46,4.3,4.8,173.0,234.0,0
RX-0076,2025-06-10,zomer,Ibuprofen_400mg,Sup_B,99.54,2.35,46.5,0.461,23.4,19.9,14.0,47.0,66.0,57.0,83.0,21.9,53.5,404.1,62.6,92.2,0.52,1.25,1.22,4.7,4.9,221.0,278.0,1
RX-0077,2025-01-07,winter,Aspirine_300mg,Sup_A,99.01,2.2,34.0,0.452,25.6,16.6,16.6,38.0,53.0,43.0,0.0,20.3,37.7,301.2,57.4,94.2,0.582,1.21,1.55,0.0,4.3,116.0,187.0,1
RX-0078,2025-10-31,herfst,Omeprazol_20mg,Sup_B,99.39,2.01,40.5,0.446,21.6,9.1,10.3,24.0,65.0,31.0,48.0,21.2,42.3,200.7,42.7,100.0,0.391,1.88,1.18,4.3,4.4,148.0,212.0,1
RX-0079,2025-08-01,zomer,Paracetamol_500mg,Sup_B,99.54,2.17,59.0,0.483,20.3,8.7,21.9,31.0,65.0,49.0,35.0,24.6,53.3,499.8,108.4,71.9,0.176,1.84,1.62,3.5,4.0,153.0,225.0,0
RX-0080,2025-02-28,winter,Ibuprofen_400mg,Sup_B,99.26,1.67,54.3,0.436,25.5,9.2,19.8,31.0,66.0,38.0,33.0,19.2,44.8,398.1,89.0,73.9,0.353,2.39,0.71,3.6,4.5,141.0,212.0,0
RX-0081,2025-07-08,zomer,Aspirine_300mg,Sup_A,99.12,2.49,52.4,0.495,26.6,17.1,21.1,39.0,55.0,50.0,0.0,22.6,58.3,304.6,79.6,75.1,0.364,2.02,1.53,0.0,4.2,137.0,203.0,1
RX-0082,2025-05-24,lente,Metformin_850mg,Sup_B,99.75,1.79,68.0,0.478,15.1,7.9,18.3,54.0,53.0,55.0,77.0,20.4,44.7,841.5,103.7,82.9,0.539,1.39,0.76,4.7,4.1,208.0,261.0,1
RX-0083,2025-03-09,lente,Omeprazol_20mg,Sup_B,99.53,2.27,50.2,0.429,15.2,16.9,14.9,50.0,64.0,48.0,72.0,21.4,46.0,198.9,42.2,92.6,0.602,2.29,1.46,4.3,4.4,193.0,254.0,1
RX-0084,2025-02-23,winter,Aspirine_300mg,Sup_B,99.26,1.71,53.7,0.418,27.4,14.3,17.7,21.0,55.0,48.0,0.0,19.4,45.9,305.6,77.6,80.5,0.196,0.85,1.11,0.0,3.5,125.0,195.0,1
RX-0085,2025-08-08,zomer,Omeprazol_20mg,Sup_B,99.18,2.37,43.2,0.409,21.0,10.0,8.4,47.0,54.0,53.0,87.0,24.0,51.8,206.1,22.3,100.0,0.648,1.9,1.58,5.0,4.5,211.0,264.0,0
RX-0086,2025-12-05,winter,Paracetamol_500mg,Sup_B,99.38,1.35,52.6,0.416,23.7,7.0,8.9,57.0,63.0,23.0,61.0,20.1,40.1,499.2,50.6,100.0,0.738,1.47,0.79,4.3,4.5,139.0,206.0,1
RX-0087,2025-02-27,winter,Omeprazol_20mg,Sup_B,99.5,2.42,55.1,0.432,19.8,6.7,24.7,54.0,65.0,48.0,85.0,19.1,39.3,196.2,70.0,66.8,0.409,0.53,1.19,4.8,4.2,197.0,263.0,0
RX-0088,2025-01-06,winter,Ibuprofen_400mg,Sup_C,99.46,1.72,38.4,0.475,20.6,10.9,20.2,46.0,50.0,25.0,58.0,19.7,43.6,404.5,86.0,78.2,0.426,1.92,1.21,4.1,4.2,152.0,212.0,1
RX-0089,2025-01-07,winter,Ibuprofen_400mg,Sup_C,98.33,1.81,45.5,0.462,19.2,7.4,20.4,23.0,64.0,58.0,57.0,20.5,43.0,400.3,95.1,75.8,0.227,3.73,1.13,4.3,4.2,177.0,248.0,1
RX-0090,2025-04-21,lente,Metformin_850mg,Sup_B,99.38,2.06,43.2,0.498,29.0,14.8,20.6,29.0,66.0,52.0,43.0,20.5,44.9,854.8,125.8,71.0,0.246,3.23,0.9,3.9,4.9,167.0,238.0,0
RX-0091,2025-03-31,lente,Paracetamol_500mg,Sup_A,99.63,2.0,56.6,0.477,25.5,11.8,22.5,24.0,67.0,57.0,40.0,21.0,47.0,501.9,114.0,72.5,0.156,2.85,1.2,4.1,4.2,169.0,242.0,0
RX-0092,2025-03-24,lente,Ibuprofen_400mg,Sup_C,99.94,1.92,56.8,0.468,23.5,12.8,18.6,48.0,65.0,43.0,46.0,21.3,46.2,399.3,86.7,81.5,0.573,1.22,1.23,3.9,4.1,161.0,229.0,1
RX-0093,2025-11-07,herfst,Ibuprofen_400mg,Sup_C,99.35,2.03,38.2,0.485,15.7,11.6,8.3,57.0,63.0,44.0,72.0,22.5,47.2,398.3,30.5,100.0,0.849,0.89,1.34,4.4,3.9,195.0,250.0,0
RX-0094,2025-01-26,winter,Ibuprofen_400mg,Sup_A,100.01,1.94,56.7,0.511,29.2,7.4,11.1,21.0,58.0,57.0,74.0,21.2,45.6,407.8,63.5,94.5,0.376,3.39,1.14,4.2,5.0,208.0,264.0,1
RX-0095,2025-03-03,lente,Metformin_850mg,Sup_B,100.26,1.77,53.3,0.415,26.4,9.8,9.8,57.0,65.0,43.0,37.0,20.1,46.1,844.6,68.4,100.0,0.703,1.54,1.25,3.5,4.1,157.0,222.0,1
RX-0096,2025-12-11,winter,Metformin_850mg,Sup_B,99.06,2.08,51.0,0.447,19.3,19.4,17.1,56.0,57.0,47.0,33.0,20.8,40.4,850.4,104.4,81.6,0.608,1.31,1.39,3.1,4.0,162.0,223.0,1
RX-0097,2025-01-14,winter,Metformin_850mg,Sup_B,99.48,2.08,57.5,0.461,26.3,13.0,10.5,42.0,66.0,44.0,49.0,18.3,40.4,849.2,89.0,100.0,0.608,1.39,1.18,3.8,4.7,159.0,228.0,1
RX-0098,2025-10-27,herfst,Metformin_850mg,Sup_C,99.56,2.64,60.3,0.437,19.9,9.8,15.2,29.0,59.0,41.0,80.0,21.3,45.1,853.3,106.3,86.7,0.41,1.63,1.92,5.0,4.3,192.0,250.0,1
RX-0099,2025-11-17,herfst,Metformin_850mg,Sup_C,99.19,1.67,56.7,0.464,16.5,12.6,16.8,21.0,70.0,48.0,39.0,20.6,46.0,846.2,118.7,80.9,0.273,3.13,0.5,3.6,4.7,165.0,232.0,1
RX-0100,2025-06-11,zomer,Paracetamol_500mg,Sup_A,99.91,2.6,41.6,0.481,27.5,16.1,23.9,43.0,51.0,57.0,39.0,22.3,49.8,507.4,103.3,72.5,0.356,1.39,1.94,4.0,4.1,170.0,233.0,0
RX-0101,2025-10-26,herfst,Ibuprofen_400mg,Sup_C,99.91,1.99,47.1,0.467,22.8,9.3,24.8,59.0,65.0,48.0,63.0,21.2,45.4,398.9,89.4,63.2,0.474,1.08,0.68,4.1,4.5,178.0,247.0,0
RX-0102,2025-10-13,herfst,Paracetamol_500mg,Sup_B,99.14,1.63,48.2,0.483,29.7,9.0,12.0,22.0,68.0,26.0,51.0,19.6,48.9,506.1,81.7,89.0,0.345,3.53,1.12,4.2,4.9,147.0,212.0,1
RX-0103,2025-08-21,zomer,Omeprazol_20mg,Sup_B,99.56,2.58,57.8,0.466,20.1,9.8,17.2,28.0,56.0,27.0,41.0,22.6,61.6,197.2,58.7,85.5,0.288,0.64,2.27,4.0,3.5,137.0,201.0,1
RX-0104,2025-02-08,winter,Aspirine_300mg,Sup_C,99.26,1.42,45.2,0.516,19.3,16.7,21.0,34.0,58.0,41.0,0.0,18.5,35.7,303.0,84.8,73.8,0.318,1.4,0.55,0.0,4.2,105.0,183.0,0
