timestamp,buitentemp_C,productiebelasting,stoom_tonh,stoom_druk_bar,boiler_rendement,gasverbruik_Nm3h,elektriciteit_kW,piekbelasting,koelwater_m3h,koelwater_aanvoer_C,koelwater_retour_C,koeltoren_approach_C,perslucht_Nm3h,compressor_vermogen_kW,stikstof_Nm3h,energiekost_EURh,CO2_kgh,onderhoudsstop
2025-01-01 15:00:00,-4.8,0.838,32.9,10.8,0.865,3036,481,0,172,0.2,7.7,4.9,256,36,44,1124,6262,0
2025-01-01 15:15:00,-5.3,0.778,33.5,10.7,0.877,3054,486,0,159,-0.1,5.9,5.1,239,36,39,1130,6305,0
2025-01-01 15:30:00,-2.8,0.839,33.8,10.8,0.869,3129,477,0,166,2.1,9.0,5.0,252,35,45,1156,6449,0
2025-01-01 15:45:00,-1.5,0.849,32.5,10.7,0.882,2933,485,0,174,3.4,9.4,4.8,253,36,42,1088,6063,0
2025-01-01 16:00:00,-5.4,0.773,33.6,10.7,0.865,3134,464,0,152,-0.1,6.7,5.3,225,33,35,1156,6454,0
2025-01-01 16:15:00,-1.0,0.754,32.2,10.8,0.881,2906,445,0,154,4.0,10.3,5.1,233,34,39,1074,5990,0
2025-01-01 16:30:00,-3.4,0.767,32.8,10.8,0.874,2999,430,0,148,1.8,7.5,5.2,235,37,35,1104,6165,0
2025-01-01 16:45:00,-3.0,0.739,31.3,10.6,0.874,2848,431,0,157,2.3,8.3,5.2,216,30,35,1052,5869,0
2025-01-01 17:00:00,-5.0,0.785,33.4,10.9,0.869,3060,491,0,150,-0.1,6.7,4.9,240,35,38,1133,6311,0
2025-01-01 17:15:00,-0.7,0.735,29.3,10.5,0.878,2663,430,0,129,4.7,9.8,5.3,215,31,36,986,5498,0
2025-01-01 17:30:00,-1.4,0.731,30.1,10.6,0.885,2728,419,0,146,3.7,9.2,5.1,220,33,37,1008,5624,0
2025-01-01 17:45:00,-1.7,0.729,28.9,10.3,0.877,2627,420,0,135,3.5,9.5,5.2,226,34,36,973,5421,0
2025-01-01 18:00:00,-3.1,0.658,29.1,10.4,0.87,2670,403,0,108,2.1,7.0,5.2,204,31,34,985,5507,0
2025-01-01 18:15:00,-8.0,0.674,31.3,10.5,0.871,2896,421,0,139,-2.9,3.0,5.1,202,28,33,1067,5966,0
2025-01-01 18:30:00,-4.2,0.713,31.6,10.7,0.874,2880,423,0,159,0.7,5.8,4.8,220,35,36,1062,5930,0
2025-01-01 18:45:00,-4.1,0.66,28.1,10.4,0.877,2570,378,0,131,0.9,5.3,5.0,196,30,39,947,5286,0
2025-01-01 19:00:00,-7.0,0.621,27.3,10.0,0.874,2500,386,0,118,-2.7,2.0,4.3,190,24,28,924,5154,0
2025-01-01 19:15:00,-3.4,0.65,29.7,10.5,0.873,2717,419,0,138,1.5,6.7,4.9,188,30,34,1004,5601,0
2025-01-01 19:30:00,-4.5,0.613,28.3,10.2,0.891,2543,378,0,118,0.7,5.3,5.1,200,32,28,938,5236,0
2025-01-01 19:45:00,-1.4,0.603,26.5,10.0,0.88,2422,359,0,103,3.6,8.3,5.0,186,31,30,893,4986,0
2025-01-01 20:00:00,-1.4,0.597,26.0,10.2,0.881,2367,359,0,113,3.6,7.4,5.0,190,27,27,874,4875,0
2025-01-01 20:15:00,-4.2,0.591,29.9,10.5,0.882,2728,372,0,128,0.4,5.2,4.6,191,27,30,1002,5603,0
2025-01-01 20:30:00,-5.9,0.525,28.0,10.2,0.875,2550,326,0,107,-0.8,4.7,5.1,168,29,25,934,5229,0
2025-01-01 20:45:00,-1.6,0.565,25.8,10.1,0.877,2366,322,0,94,3.2,8.3,4.8,166,28,24,868,4867,0
2025-01-01 21:00:00,-2.9,0.565,25.3,10.2,0.875,2305,344,0,127,2.4,6.4,5.3,179,29,26,851,4752,0
2025-01-01 21:15:00,-0.6,0.522,23.3,9.8,0.873,2148,306,0,97,3.9,6.8,4.6,161,26,34,790,4424,0
2025-01-01 21:30:00,-7.2,0.574,29.2,10.5,0.872,2663,369,0,103,-2.0,2.9,5.2,155,22,25,978,5478,0
2025-01-01 21:45:00,-4.1,0.505,23.5,9.8,0.876,2132,316,0,129,0.8,5.1,4.9,144,23,27,787,4390,0
2025-01-01 22:00:00,-3.2,0.514,24.5,9.9,0.884,2207,337,0,106,2.6,6.6,5.7,159,21,26,815,4542,0
2025-01-01 22:15:00,-2.1,0.598,26.3,10.2,0.889,2365,363,0,105,3.2,8.0,5.3,170,26,29,874,4877,0
2025-01-01 22:30:00,-1.4,0.515,23.7,9.8,0.88,2173,317,0,96,3.9,8.3,5.3,164,26,22,801,4487,0
2025-01-01 22:45:00,-4.2,0.511,26.8,10.1,0.874,2450,298,0,98,1.1,4.8,5.3,184,28,19,895,5020,0
2025-01-01 23:00:00,-0.2,0.478,20.9,9.5,0.88,1893,311,0,85,5.0,9.1,5.2,133,22,26,702,3905,0
2025-01-01 23:15:00,0.7,0.523,24.2,10.0,0.884,2185,324,0,119,5.8,10.7,5.2,154,22,25,806,4500,0
2025-01-01 23:30:00,-0.9,0.477,22.2,9.8,0.875,2033,269,0,102,3.5,7.7,4.4,139,18,19,746,4171,0
2025-01-01 23:45:00,0.4,0.504,23.3,9.8,0.885,2114,302,0,115,5.3,10.2,4.9,161,20,28,779,4345,0
2025-01-02 00:00:00,2.3,0.509,21.1,9.6,0.889,1892,335,0,120,7.2,11.2,4.9,141,20,30,705,3917,0
2025-01-02 00:15:00,-1.9,0.497,23.3,9.7,0.878,2144,321,0,88,2.9,7.4,4.8,140,23,28,791,4417,0
2025-01-02 00:30:00,0.8,0.459,21.1,9.6,0.885,1897,263,0,106,6.3,9.5,5.5,125,15,21,698,3910,0
2025-01-02 00:45:00,3.9,0.465,19.7,9.4,0.882,1792,278,0,86,9.1,12.4,5.2,141,21,25,662,3689,0
2025-01-02 01:00:00,1.6,0.526,22.2,9.8,0.882,2019,330,0,112,6.5,11.1,4.9,157,27,29,749,4171,0
2025-01-02 01:15:00,1.2,0.548,23.8,9.8,0.888,2137,309,0,107,6.3,10.7,5.1,168,26,26,787,4399,0
2025-01-02 01:30:00,-1.4,0.555,23.7,9.9,0.881,2136,327,0,114,3.5,7.7,4.8,142,20,27,789,4408,0
2025-01-02 01:45:00,0.4,0.526,22.3,9.6,0.882,2032,306,0,95,5.4,8.9,5.0,157,24,22,750,4191,0
2025-01-02 02:00:00,6.3,0.493,19.5,9.6,0.887,1745,281,0,99,11.6,14.5,5.3,148,24,22,647,3606,0
2025-01-02 02:15:00,-3.1,0.511,23.6,9.8,0.878,2144,326,0,87,2.2,6.8,5.3,169,25,27,791,4429,0
2025-01-02 02:30:00,1.7,0.516,23.9,9.7,0.89,2162,293,0,110,6.5,9.6,4.8,150,22,24,794,4432,0
2025-01-02 02:45:00,-1.0,0.578,26.0,10.2,0.88,2385,352,0,115,4.3,9.0,5.3,167,27,27,879,4918,0
2025-01-02 03:00:00,4.7,0.542,19.9,9.5,0.886,1788,298,0,90,9.8,13.6,5.1,162,25,25,663,3699,0
2025-01-02 03:15:00,3.8,0.615,22.0,9.7,0.887,1979,335,0,117,8.9,13.3,5.1,183,25,35,735,4091,0
2025-01-02 03:30:00,6.5,0.583,21.9,9.6,0.882,1968,288,0,119,11.4,15.3,4.8,178,24,27,726,4046,0
2025-01-02 03:45:00,2.2,0.623,25.2,9.9,0.888,2261,358,0,127,7.1,12.1,4.9,181,26,37,837,4651,0
2025-01-02 04:00:00,3.1,0.595,23.0,9.9,0.885,2070,337,0,126,8.0,12.9,4.8,178,29,35,767,4278,0
2025-01-02 04:15:00,5.1,0.609,24.3,9.9,0.88,2196,341,0,137,10.3,14.4,5.2,184,26,34,812,4532,0
2025-01-02 04:30:00,2.1,0.619,25.2,9.9,0.878,2317,359,0,131,7.2,11.5,5.2,169,25,31,857,4773,0
2025-01-02 04:45:00,7.0,0.664,24.4,10.0,0.889,2183,337,0,135,11.8,15.8,4.8,194,27,36,807,4499,0
2025-01-02 05:00:00,5.4,0.647,23.6,9.6,0.883,2131,375,0,113,11.0,17.0,5.7,176,25,35,793,4416,0
2025-01-02 05:15:00,5.1,0.68,24.1,9.8,0.875,2200,342,0,130,10.2,15.0,5.1,208,32,32,814,4537,0
2025-01-02 05:30:00,4.7,0.602,22.7,9.9,0.883,2063,323,0,121,9.6,14.5,4.9,179,28,30,763,4252,0
2025-01-02 05:45:00,1.7,0.686,26.6,10.3,0.879,2403,397,0,146,6.6,12.3,4.9,204,27,34,892,4967,0
2025-01-02 06:00:00,4.9,0.667,24.4,10.0,0.877,2220,365,0,159,9.3,15.1,4.5,198,28,34,824,4585,0
2025-01-02 06:15:00,8.0,0.726,24.4,9.8,0.882,2200,387,0,128,13.0,19.9,5.0,237,35,38,819,4555,0
2025-01-02 06:30:00,6.5,0.719,25.3,9.9,0.886,2273,384,0,128,12.0,18.3,5.5,216,32,33,844,4707,0
2025-01-02 06:45:00,4.7,0.777,28.3,10.5,0.88,2572,416,0,171,10.1,15.6,5.4,240,37,43,954,5306,0
2025-01-02 07:00:00,7.5,0.732,27.2,10.2,0.871,2489,397,0,138,12.5,17.6,5.0,200,31,37,922,5134,0
2025-01-02 07:15:00,6.9,0.709,24.1,9.9,0.885,2185,382,0,130,12.3,18.5,5.4,233,33,37,813,4518,0
2025-01-02 07:30:00,3.2,0.826,31.5,10.7,0.873,2886,445,0,170,8.5,15.3,5.4,248,40,44,1067,5941,0
2025-01-02 07:45:00,2.6,0.783,30.4,10.6,0.876,2776,435,0,156,7.7,13.6,5.1,247,36,40,1027,5724,0
2025-01-02 08:00:00,1.7,0.782,29.6,10.4,0.869,2731,431,0,159,6.6,12.8,4.9,224,34,40,1011,5631,0
2025-01-02 08:15:00,2.8,0.803,29.3,10.4,0.874,2674,456,0,171,7.8,13.9,5.0,246,38,44,994,5528,0
2025-01-02 08:30:00,2.5,0.859,31.0,10.7,0.875,2848,470,0,175,7.3,13.4,4.8,252,36,46,1057,5885,0
2025-01-02 08:45:00,2.2,0.812,32.0,10.6,0.871,2948,428,0,166,6.4,13.2,4.2,235,36,45,1087,6067,0
2025-01-02 09:00:00,2.6,0.858,30.8,10.8,0.882,2797,464,0,171,7.9,16.1,5.2,245,39,40,1038,5777,0
2025-01-02 09:15:00,5.9,0.832,27.4,10.3,0.878,2482,460,0,150,11.3,17.7,5.4,256,39,42,927,5147,0
2025-01-02 09:30:00,5.3,0.822,29.5,10.5,0.872,2713,436,0,168,10.4,17.1,5.1,243,33,43,1005,5597,0
2025-01-02 09:45:00,6.2,0.862,28.5,10.5,0.876,2595,466,0,169,11.0,17.2,4.8,258,38,43,968,5377,0
2025-01-02 10:00:00,7.0,0.837,30.3,10.4,0.874,2771,445,0,147,11.6,18.2,4.7,260,40,40,1026,5723,0
2025-01-02 10:15:00,3.4,0.906,32.7,10.9,0.88,2963,490,0,163,8.4,15.4,5.0,269,42,45,1099,6125,0
2025-01-02 10:30:00,5.4,0.871,31.4,10.6,0.875,2877,423,0,182,10.5,17.8,5.0,246,37,45,1061,5916,0
2025-01-02 10:45:00,-0.5,0.897,34.6,10.8,0.876,3159,547,0,181,4.1,12.0,4.6,290,47,46,1175,6534,0
2025-01-02 11:00:00,0.3,0.885,35.1,11.0,0.866,3256,492,0,173,5.2,13.2,4.9,284,43,40,1202,6705,0
2025-01-02 11:15:00,-1.3,0.88,34.6,11.0,0.88,3136,480,0,183,4.1,10.6,5.4,281,41,43,1159,6465,0
2025-01-02 11:30:00,1.4,0.867,30.8,10.5,0.876,2819,489,0,172,6.6,13.3,5.3,263,38,42,1049,5831,0
2025-01-02 11:45:00,2.9,0.886,32.0,10.7,0.873,2931,493,0,166,7.4,15.2,4.6,273,45,41,1088,6059,0
2025-01-02 12:00:00,4.1,0.886,33.2,10.7,0.869,3050,461,0,186,9.2,16.3,5.0,268,41,42,1126,6276,0
2025-01-02 12:15:00,3.9,0.921,33.3,10.9,0.878,3024,467,0,188,9.0,15.6,5.1,275,42,46,1118,6242,0
2025-01-02 12:30:00,3.0,0.973,35.6,11.0,0.875,3265,509,0,201,8.0,16.0,5.0,282,41,47,1208,6731,0
2025-01-02 12:45:00,-0.6,0.906,36.8,11.3,0.867,3404,516,0,185,4.3,11.0,4.9,275,40,45,1257,7009,0
2025-01-02 13:00:00,-4.3,0.925,40.4,11.3,0.874,3711,537,0,201,0.4,7.3,4.7,273,37,46,1367,7624,0
2025-01-02 13:15:00,2.3,0.886,33.2,10.8,0.876,3029,480,0,178,7.6,15.3,5.2,267,43,45,1121,6247,0
2025-01-02 13:30:00,0.9,0.887,35.3,11.2,0.867,3237,479,0,181,5.9,13.0,5.0,268,39,44,1194,6654,0
2025-01-02 13:45:00,-0.7,0.859,34.7,10.9,0.874,3170,491,0,159,4.3,11.7,5.0,256,40,43,1172,6535,0
2025-01-02 14:00:00,-0.4,0.85,33.5,10.7,0.862,3103,497,0,179,4.3,11.5,4.7,248,40,39,1149,6407,0
2025-01-02 14:15:00,-0.9,0.87,34.3,10.9,0.868,3135,489,0,163,3.9,10.0,4.8,254,36,44,1159,6463,0
2025-01-02 14:30:00,-1.5,0.857,33.9,10.9,0.87,3128,484,0,157,3.4,10.3,4.9,248,35,40,1156,6458,0
2025-01-02 14:45:00,-2.6,0.857,36.3,11.1,0.871,3335,483,0,167,2.5,9.1,5.0,259,40,50,1229,6855,0
2025-01-02 15:00:00,-4.5,0.803,33.2,10.7,0.867,3049,494,0,139,0.1,6.8,4.6,231,32,44,1129,6300,0
2025-01-02 15:15:00,-3.7,0.866,34.7,10.8,0.873,3175,496,0,161,1.3,8.1,5.0,256,40,45,1174,6552,0
2025-01-02 15:30:00,-2.3,0.842,33.3,10.9,0.87,3053,447,0,165,2.9,9.6,5.2,258,37,46,1125,6285,0
2025-01-02 15:45:00,-7.2,0.861,38.1,11.5,0.874,3483,521,0,174,-1.7,5.5,5.5,257,35,47,1285,7182,0
2025-01-02 16:00:00,-3.0,0.794,33.0,10.8,0.871,3041,488,0,161,1.7,8.1,4.7,226,34,39,1126,6264,0
2025-01-02 16:15:00,-5.1,0.866,36.6,11.2,0.871,3348,498,0,177,0.2,7.6,5.3,266,39,44,1235,6892,0
2025-01-02 16:30:00,-6.6,0.786,33.8,10.8,0.872,3088,444,0,168,-1.5,5.3,5.1,247,35,34,1138,6349,0
2025-01-02 16:45:00,-6.1,0.78,34.4,10.9,0.88,3123,477,0,130,-1.1,4.1,4.9,240,34,36,1153,6445,0
2025-01-02 17:00:00,-6.2,0.748,33.4,11.0,0.882,3025,451,0,142,-1.2,4.7,5.0,200,32,39,1116,6226,0
2025-01-02 17:15:00,-4.8,0.707,31.8,10.9,0.869,2932,443,0,161,0.0,6.4,4.8,191,29,37,1083,6040,0
2025-01-02 17:30:00,-2.9,0.777,32.0,10.8,0.867,2960,445,0,144,2.1,8.2,4.9,241,36,44,1092,6093,0
2025-01-02 17:45:00,-6.1,0.727,32.0,10.6,0.871,2950,441,0,145,-0.6,4.9,5.5,221,31,40,1088,6070,0
2025-01-02 18:00:00,-4.6,0.679,30.4,10.5,0.879,2768,416,0,128,0.4,6.1,5.0,223,32,36,1021,5697,0
2025-01-02 18:15:00,-5.6,0.626,29.7,10.2,0.874,2718,394,0,113,-0.7,4.4,4.9,189,28,30,1001,5598,0
2025-01-02 18:30:00,-7.4,0.672,30.6,10.6,0.877,2807,422,0,127,-2.2,3.5,5.2,200,30,36,1036,5788,0
2025-01-02 18:45:00,-3.2,0.651,26.2,10.1,0.879,2414,389,0,144,1.9,7.3,5.1,188,30,37,894,4982,0
2025-01-02 19:00:00,-6.9,0.681,29.6,10.4,0.871,2713,427,0,142,-2.6,3.0,4.3,203,32,36,1003,5596,0
2025-01-02 19:15:00,-5.8,0.598,27.3,10.3,0.884,2471,370,0,130,-0.9,4.6,4.9,170,26,34,912,5094,0
2025-01-02 19:30:00,-6.4,0.622,30.0,10.4,0.877,2721,386,0,119,-2.1,2.7,4.3,187,25,28,1001,5595,0
2025-01-02 19:45:00,-4.1,0.582,28.5,10.3,0.878,2584,368,0,110,1.1,4.4,5.2,183,24,31,951,5314,0
2025-01-02 20:00:00,0.4,0.572,23.7,10.0,0.877,2160,333,0,126,5.4,10.1,5.0,159,23,30,798,4449,0
2025-01-02 20:15:00,0.9,0.614,25.4,10.1,0.881,2306,388,0,122,5.8,11.2,4.9,174,25,32,856,4762,0
2025-01-02 20:30:00,-1.9,0.627,28.7,10.4,0.874,2614,356,0,129,2.7,7.7,4.6,203,28,23,960,5371,0
2025-01-02 20:45:00,-2.7,0.555,24.3,9.9,0.879,2219,344,0,120,2.1,6.8,4.9,179,27,29,820,4574,0
2025-01-02 21:00:00,0.2,0.542,24.1,10.0,0.883,2172,304,0,83,5.3,9.7,5.1,163,24,23,798,4465,0
2025-01-02 21:15:00,-1.4,0.56,26.7,10.2,0.872,2436,364,0,127,3.4,7.4,4.8,171,27,28,899,5028,0
2025-01-02 21:30:00,-6.5,0.521,27.3,10.3,0.883,2488,331,0,109,-1.8,2.5,4.8,157,21,23,913,5102,0
2025-01-02 21:45:00,-1.7,0.589,25.8,10.0,0.874,2358,339,0,119,3.2,8.3,4.8,184,32,26,868,4848,0
2025-01-02 22:00:00,-1.3,0.508,23.9,9.9,0.881,2180,306,0,111,3.1,7.3,4.3,158,25,28,802,4490,0
2025-01-02 22:15:00,-2.0,0.501,22.4,9.8,0.886,2025,324,0,121,2.8,7.7,4.7,135,20,29,750,4184,0
2025-01-02 22:30:00,-3.8,0.489,25.6,10.0,0.875,2364,297,0,87,1.5,5.7,5.3,145,21,25,865,4839,0
2025-01-02 22:45:00,-1.9,0.529,23.7,9.6,0.892,2108,325,0,105,3.4,7.2,5.4,163,28,24,779,4349,0
2025-01-02 23:00:00,0.9,0.513,23.1,9.7,0.891,2091,281,0,97,5.9,10.0,5.0,155,21,26,767,4289,0
2025-01-02 23:15:00,-1.5,0.541,24.1,10.0,0.878,2216,323,0,112,3.9,8.8,5.4,153,20,29,816,4561,0
2025-01-02 23:30:00,3.2,0.527,20.8,9.6,0.877,1904,283,0,94,8.0,12.4,4.8,151,19,23,702,3921,0
2025-01-02 23:45:00,-0.9,0.477,22.7,9.9,0.885,2039,275,0,104,4.3,8.4,5.1,128,22,26,749,4184,0
2025-01-03 00:00:00,3.1,0.446,20.7,9.6,0.877,1903,248,0,81,7.6,11.0,4.5,124,17,20,697,3902,0
2025-01-03 00:15:00,1.2,0.49,20.7,9.6,0.886,1859,264,0,93,6.3,10.1,5.0,142,24,19,684,3817,0
2025-01-03 00:30:00,-3.3,0.499,22.9,9.8,0.883,2088,316,0,86,1.7,6.7,5.0,139,21,21,770,4302,0
2025-01-03 00:45:00,1.9,0.469,20.1,9.5,0.885,1823,279,0,92,6.6,10.8,4.7,151,23,22,674,3757,0
2025-01-03 01:00:00,1.0,0.457,20.4,9.7,0.893,1834,271,0,91,5.9,9.9,4.9,129,15,26,676,3773,0
2025-01-03 01:15:00,0.7,0.505,21.6,9.6,0.887,1935,302,0,96,5.6,9.8,5.0,164,22,25,715,3994,0
2025-01-03 01:30:00,6.6,0.517,18.0,9.5,0.896,1592,264,0,107,11.5,15.6,4.9,159,22,26,591,3285,0
2025-01-03 01:45:00,0.4,0.518,22.0,9.4,0.883,1998,296,0,100,5.9,9.6,5.5,168,25,28,737,4114,0
