sample_id,site,temperatuur_C,druk_bar,debiet_kgh,luchtvochtigheid_pct,roersnelheid_RPM,API_zuiverheid_pct,excipient_vocht_pct,equipment_leeftijd_jaar,kwaliteitsscore,dissolutie_pct,goedgekeurd
Site_IN-0025,Site_IN,152.0,5.18,98.7,76.9,256.0,99.7,3.11,8,81.8,87.4,1
Site_IN-0026,Site_IN,154.2,4.81,103.7,68.9,208.0,99.53,2.56,8,84.1,91.8,1
Site_IN-0027,Site_IN,154.9,4.76,109.6,73.1,236.0,99.28,2.99,8,80.6,92.5,1
Site_IN-0028,Site_IN,157.7,4.91,100.8,74.7,212.0,99.19,2.42,8,87.0,90.3,1
Site_IN-0029,Site_IN,159.0,4.57,106.0,71.5,236.0,99.63,3.06,8,83.9,87.8,1
Site_IN-0030,Site_IN,152.0,4.96,94.8,70.7,247.0,99.5,2.47,8,85.2,90.3,1
Site_IN-0031,Site_IN,159.1,5.0,102.0,71.4,240.0,99.72,2.6,8,86.4,91.0,1
Site_IN-0032,Site_IN,157.7,5.05,102.8,69.0,257.0,99.64,3.2,8,89.9,93.2,1
Site_IN-0033,Site_IN,166.8,4.27,97.0,71.9,214.0,99.14,2.53,8,84.1,94.2,1
Site_IN-0034,Site_IN,155.1,4.82,103.8,69.7,201.0,99.39,2.69,8,79.9,91.2,1
Site_IN-0035,Site_IN,159.3,5.38,92.1,71.8,215.0,99.59,2.93,8,84.8,89.3,1
Site_IN-0036,Site_IN,158.5,5.1,96.0,74.9,208.0,99.19,2.49,8,82.9,88.3,1
Site_IN-0037,Site_IN,162.2,5.17,95.8,74.8,239.0,99.42,2.99,8,84.0,89.9,1
Site_IN-0038,Site_IN,155.6,5.63,99.6,68.9,204.0,99.5,2.41,8,84.8,91.7,1
Site_IN-0039,Site_IN,154.9,4.97,98.5,69.8,159.0,99.67,2.75,8,85.4,88.4,1
Site_IN-0040,Site_IN,156.6,4.98,103.1,72.5,204.0,99.26,2.42,8,85.6,90.2,1
Site_IN-0041,Site_IN,153.9,5.21,99.8,70.7,213.0,99.66,2.69,8,85.8,88.6,1
Site_IN-0042,Site_IN,151.8,4.89,107.9,67.8,218.0,99.4,2.88,8,82.9,91.3,1
Site_IN-0043,Site_IN,157.9,4.82,95.1,68.6,199.0,99.62,2.51,8,81.6,92.7,1
Site_IN-0044,Site_IN,159.7,5.03,101.3,75.0,220.0,99.47,2.75,8,84.3,90.3,1
Site_IN-0045,Site_IN,161.5,5.1,104.4,72.4,229.0,99.75,2.53,8,90.1,89.0,1
Site_IN-0046,Site_IN,159.6,5.24,103.2,71.2,212.0,99.61,2.84,8,84.7,97.5,1
Site_IN-0047,Site_IN,154.8,4.87,95.1,66.5,239.0,99.42,2.81,8,82.7,89.4,1
Site_IN-0048,Site_IN,155.2,4.73,98.9,65.5,206.0,99.68,2.5,8,89.2,90.6,1
Site_IN-0049,Site_IN,163.5,5.7,102.4,67.3,217.0,99.38,2.62,8,87.4,94.0,1
Site_IN-0050,Site_IN,157.0,4.49,89.1,64.7,200.0,99.58,3.03,8,85.8,90.8,1
Site_IN-0051,Site_IN,156.7,5.22,97.2,70.1,233.0,99.58,2.49,8,85.4,90.6,1
Site_IN-0052,Site_IN,157.3,4.58,97.7,67.4,246.0,99.54,2.01,8,88.7,90.6,1
Site_IN-0053,Site_IN,158.0,4.67,93.9,69.2,198.0,99.59,2.52,8,84.8,90.0,1
Site_IN-0054,Site_IN,158.6,5.17,105.7,61.9,222.0,99.55,2.29,8,85.9,88.3,1
Site_IN-0055,Site_IN,161.5,4.78,96.9,68.1,211.0,99.11,2.68,8,89.8,94.8,1
Site_IN-0056,Site_IN,163.3,5.36,94.7,74.1,230.0,99.45,2.31,8,87.3,93.1,1
Site_IN-0057,Site_IN,155.4,4.82,94.4,70.0,253.0,99.57,2.73,8,82.9,92.1,1
Site_IN-0058,Site_IN,153.3,4.99,94.4,72.9,215.0,99.1,2.73,8,81.0,91.1,1
Site_IN-0059,Site_IN,162.1,5.3,100.0,69.4,218.0,99.07,2.95,8,85.1,90.1,1
Site_IN-0060,Site_IN,153.1,5.19,105.5,72.8,193.0,99.44,3.07,8,80.8,91.7,1
Site_IN-0061,Site_IN,155.0,4.66,93.7,77.4,209.0,99.42,2.39,8,83.3,92.3,1
Site_IN-0062,Site_IN,163.7,4.92,103.0,68.4,199.0,99.63,2.27,8,86.2,90.2,1
Site_IN-0063,Site_IN,159.5,4.54,101.4,69.6,217.0,99.47,3.01,8,83.6,95.9,1
Site_IN-0064,Site_IN,156.6,5.05,101.4,75.6,230.0,99.49,2.25,8,85.6,92.1,1
Site_IN-0065,Site_IN,158.8,5.43,100.6,68.6,209.0,99.41,2.49,8,81.1,93.5,1
Site_IN-0066,Site_IN,158.9,5.39,101.8,68.3,207.0,99.42,2.58,8,85.0,89.6,1
Site_IN-0067,Site_IN,160.0,5.26,99.0,72.2,274.0,99.83,3.12,8,87.2,91.4,1
Site_IN-0068,Site_IN,158.1,5.36,91.0,64.0,221.0,99.84,2.77,8,87.1,88.2,1
Site_IN-0069,Site_IN,155.3,4.9,94.1,69.6,227.0,99.84,3.11,8,84.2,88.5,1
Site_IN-0070,Site_IN,159.2,4.85,104.4,73.5,199.0,99.84,2.86,8,82.3,92.4,1
Site_IN-0071,Site_IN,157.8,5.09,101.9,70.5,233.0,99.42,2.2,8,87.2,89.1,1
Site_IN-0072,Site_IN,161.5,4.92,97.9,64.9,241.0,99.63,2.58,8,88.1,91.5,1
Site_IN-0073,Site_IN,155.3,5.05,104.6,72.7,168.0,99.42,2.85,8,83.4,93.4,1
Site_IN-0074,Site_IN,157.3,4.85,97.2,74.0,203.0,99.46,2.94,8,81.1,90.4,1
Site_IN-0075,Site_IN,157.7,5.6,103.8,67.7,240.0,99.44,2.19,8,86.4,87.3,1
Site_IN-0076,Site_IN,158.6,4.91,102.5,67.1,218.0,99.25,2.73,8,87.5,90.4,1
Site_IN-0077,Site_IN,161.0,5.08,105.9,65.6,257.0,99.57,3.01,8,85.8,93.0,1
Site_IN-0078,Site_IN,158.1,5.09,95.2,66.9,203.0,99.78,2.85,8,84.4,91.2,1
Site_IN-0079,Site_IN,160.2,4.47,100.6,66.0,209.0,99.84,2.87,8,86.0,92.0,1
Site_IN-0080,Site_IN,157.3,4.92,91.2,72.1,227.0,99.39,2.42,8,85.6,85.3,1
Site_IN-0081,Site_IN,161.8,4.86,101.3,70.2,204.0,99.57,2.46,8,85.7,91.1,1
Site_IN-0082,Site_IN,160.3,5.0,107.1,66.1,240.0,99.49,2.56,8,86.0,91.4,1
Site_IN-0083,Site_IN,159.9,5.25,103.2,72.8,237.0,99.72,3.37,8,85.0,92.3,1
Site_IN-0084,Site_IN,153.2,5.19,100.7,65.0,213.0,99.36,2.66,8,87.4,89.7,1
Site_IN-0085,Site_IN,159.6,5.31,101.2,74.4,252.0,100.02,2.52,8,83.4,93.6,1
Site_IN-0086,Site_IN,162.7,5.29,95.4,72.3,201.0,99.48,2.69,8,84.3,89.4,1
Site_IN-0087,Site_IN,155.5,5.0,100.7,71.7,227.0,99.38,2.61,8,85.3,91.1,1
Site_IN-0088,Site_IN,158.4,4.85,97.0,67.7,209.0,99.28,2.88,8,83.7,88.9,1
Site_IN-0089,Site_IN,160.3,4.89,101.1,64.7,217.0,99.52,3.07,8,83.2,87.4,1
Site_IN-0090,Site_IN,156.0,5.22,105.1,72.9,224.0,99.69,3.0,8,84.2,86.5,1
Site_IN-0091,Site_IN,157.3,5.06,93.5,66.4,217.0,99.62,2.78,8,87.7,89.7,1
Site_IN-0092,Site_IN,159.8,5.11,97.5,73.1,190.0,99.33,2.94,8,80.2,93.8,1
Site_IN-0093,Site_IN,161.4,4.77,98.7,74.1,221.0,99.65,2.89,8,84.2,91.4,1
Site_IN-0094,Site_IN,159.0,4.21,106.8,65.6,207.0,99.63,2.72,8,88.1,87.1,1
Site_IN-0095,Site_IN,160.4,5.31,107.6,68.2,214.0,99.27,2.64,8,82.8,90.7,1
Site_IN-0096,Site_IN,159.0,5.16,108.3,73.6,243.0,99.83,2.31,8,86.0,88.7,1
Site_IN-0097,Site_IN,149.3,4.7,102.4,74.5,224.0,99.56,2.61,8,79.3,91.7,1
Site_IN-0098,Site_IN,160.9,4.76,104.7,71.1,183.0,99.59,2.73,8,84.6,90.7,1
Site_IN-0099,Site_IN,160.4,5.13,102.5,69.7,205.0,99.77,2.82,8,83.6,89.3,1
Site_IN-0100,Site_IN,153.5,5.03,99.9,69.3,239.0,99.48,2.74,8,84.2,94.1,1
Site_IN-0101,Site_IN,153.0,4.54,97.3,74.6,195.0,99.37,2.27,8,86.6,91.6,1
Site_IN-0102,Site_IN,159.5,4.99,102.5,72.5,204.0,99.44,3.16,8,85.6,92.0,1
Site_IN-0103,Site_IN,157.2,5.2,97.4,72.7,200.0,99.4,2.75,8,83.6,91.2,1
Site_IN-0104,Site_IN,161.3,5.08,98.0,70.5,219.0,99.48,2.68,8,86.2,89.2,1
Site_IN-0105,Site_IN,152.4,4.75,96.4,70.7,276.0,99.75,2.77,8,86.7,88.7,1
Site_IN-0106,Site_IN,160.8,4.72,97.6,75.4,208.0,99.27,2.16,8,84.2,90.1,1
Site_IN-0107,Site_IN,159.7,5.12,111.0,72.1,232.0,99.3,2.03,8,88.4,93.2,1
Site_IN-0108,Site_IN,159.4,5.33,108.5,71.5,231.0,99.46,2.58,8,85.7,89.8,1
Site_IN-0109,Site_IN,158.8,5.6,98.6,69.4,195.0,99.6,2.26,8,86.6,88.7,1
Site_IN-0110,Site_IN,159.5,4.61,104.0,65.4,218.0,99.51,2.56,8,86.0,88.6,1
Site_IN-0111,Site_IN,157.7,5.08,91.9,72.7,206.0,99.27,2.66,8,84.8,90.4,1
Site_IN-0112,Site_IN,159.5,5.09,108.5,69.3,235.0,99.39,3.15,8,85.7,87.9,1
Site_IN-0113,Site_IN,159.7,5.33,105.9,68.6,201.0,99.69,3.17,8,84.4,89.2,1
Site_IN-0114,Site_IN,155.2,5.39,97.7,71.7,215.0,99.25,2.85,8,84.9,90.9,1
Site_IN-0115,Site_IN,157.3,4.67,101.0,70.7,211.0,99.45,2.15,8,88.3,93.7,1
Site_IN-0116,Site_IN,158.1,4.36,106.5,69.9,227.0,99.69,2.87,8,88.6,91.6,1
Site_IN-0117,Site_IN,154.9,4.84,103.4,68.8,218.0,99.5,2.16,8,87.2,89.8,1
Site_IN-0118,Site_IN,157.2,5.03,96.4,67.2,231.0,99.49,2.78,8,81.9,91.6,1
Site_IN-0119,Site_IN,152.8,4.97,96.4,73.5,226.0,99.73,2.49,8,85.1,90.1,1
Site_IN-0120,Site_IN,157.4,5.01,102.0,70.6,205.0,99.31,2.61,8,84.6,94.4,1
Site_IN-0121,Site_IN,161.6,4.92,98.3,78.3,188.0,99.52,2.77,8,83.4,92.5,1
Site_IN-0122,Site_IN,153.2,4.62,96.7,74.0,227.0,99.11,2.72,8,82.8,89.8,1
Site_IN-0123,Site_IN,156.8,4.54,101.5,68.9,249.0,99.46,2.28,8,87.7,88.9,1
Site_IN-0124,Site_IN,157.7,5.26,102.7,76.5,206.0,99.67,2.88,8,85.0,92.1,1
Site_IN-0125,Site_IN,161.9,4.94,101.9,67.8,199.0,99.58,2.88,8,88.9,89.2,1
Site_IN-0126,Site_IN,160.3,5.12,106.5,74.4,229.0,99.57,2.62,8,87.9,90.6,1
Site_IN-0127,Site_IN,160.0,4.65,110.2,72.9,212.0,99.43,2.43,8,83.6,91.3,1
Site_IN-0128,Site_IN,156.2,5.34,101.8,71.6,184.0,99.51,2.88,8,83.4,91.9,1
Site_IN-0129,Site_IN,162.8,4.49,91.0,68.1,201.0,99.62,2.52,8,89.3,92.0,1
Site_IN-0130,Site_IN,152.4,4.96,98.2,70.8,231.0,99.36,2.62,8,82.6,94.3,1
Site_IN-0131,Site_IN,160.3,5.24,99.2,69.6,231.0,99.46,2.49,8,88.9,87.6,1
Site_IN-0132,Site_IN,159.3,5.57,96.5,71.0,205.0,99.49,2.19,8,83.7,92.3,1
Site_IN-0133,Site_IN,155.9,4.58,93.6,71.1,221.0,99.49,2.84,8,80.3,89.0,1
Site_IN-0134,Site_IN,155.6,5.21,99.9,72.6,218.0,99.38,2.64,8,80.6,89.1,1
Site_IN-0135,Site_IN,158.5,4.8,106.7,71.0,217.0,99.32,2.48,8,83.7,88.9,1
Site_IN-0136,Site_IN,159.3,5.06,106.8,72.4,210.0,99.58,2.48,8,84.1,93.4,1
Site_IN-0137,Site_IN,155.6,5.16,97.4,69.2,235.0,99.49,2.61,8,82.9,93.1,1
Site_IN-0138,Site_IN,160.1,5.11,104.6,68.2,244.0,99.54,2.75,8,82.3,90.0,1
Site_IN-0139,Site_IN,155.4,5.76,99.2,70.6,241.0,99.45,3.23,8,84.2,88.9,1
Site_IN-0140,Site_IN,161.4,5.04,105.6,74.8,217.0,99.73,2.04,8,87.8,89.5,1
Site_IN-0141,Site_IN,159.9,4.79,97.5,68.5,212.0,98.99,3.46,8,82.1,92.4,1
Site_IN-0142,Site_IN,157.0,5.04,96.3,68.9,207.0,99.46,3.37,8,81.7,93.5,1
Site_IN-0143,Site_IN,152.5,5.09,104.1,67.0,215.0,99.84,3.02,8,80.3,88.7,1
Site_IN-0144,Site_IN,155.7,5.02,98.5,68.2,251.0,99.5,3.01,8,85.2,88.7,1
Site_IN-0145,Site_IN,158.5,5.14,102.9,66.6,225.0,99.18,2.63,8,84.3,86.9,1
Site_IN-0146,Site_IN,150.5,4.68,103.1,70.0,223.0,99.64,2.35,8,85.7,90.0,1
Site_IN-0147,Site_IN,159.7,4.92,100.3,71.5,212.0,99.73,2.55,8,88.9,89.9,1
Site_IN-0148,Site_IN,158.7,5.1,101.0,69.0,202.0,99.41,2.26,8,86.8,91.7,1
Site_IN-0149,Site_IN,164.3,4.77,97.9,72.6,192.0,99.2,2.06,8,88.9,91.8,1
Site_IN-0150,Site_IN,154.6,5.29,108.6,69.8,262.0,99.67,2.83,8,83.3,89.4,1
Site_IN-0151,Site_IN,160.9,5.57,100.6,69.0,208.0,99.71,3.05,8,83.9,94.9,1
Site_IN-0152,Site_IN,155.5,4.36,97.9,69.0,243.0,100.0,2.74,8,86.5,93.6,1
Site_IN-0153,Site_IN,157.4,5.18,106.4,64.8,215.0,99.75,3.54,8,83.2,89.6,1
Site_IN-0154,Site_IN,161.6,4.33,109.6,67.0,193.0,99.61,2.63,8,84.0,89.8,1
Site_IN-0155,Site_IN,160.9,5.35,108.1,71.8,201.0,99.39,2.85,8,86.4,95.5,1
Site_IN-0156,Site_IN,156.5,4.93,107.8,67.8,214.0,99.59,2.7,8,83.6,93.7,1
Site_IN-0157,Site_IN,157.2,5.14,90.2,72.9,250.0,99.66,2.64,8,84.5,86.8,1
Site_IN-0158,Site_IN,162.3,4.94,100.8,66.7,207.0,99.49,2.94,8,87.6,87.1,1
Site_IN-0159,Site_IN,154.1,5.16,99.3,71.3,209.0,99.21,2.69,8,84.1,89.5,1
Site_IN-0160,Site_IN,153.3,5.04,101.9,73.2,257.0,99.68,1.96,8,84.3,93.8,1
Site_IN-0161,Site_IN,160.8,4.96,93.6,66.0,212.0,99.4,2.84,8,86.0,89.9,1
Site_IN-0162,Site_IN,156.2,4.77,93.9,68.7,208.0,99.73,3.08,8,83.0,88.0,1
Site_IN-0163,Site_IN,162.6,5.21,91.5,65.2,213.0,99.79,2.96,8,86.5,90.1,1
Site_IN-0164,Site_IN,161.1,4.81,108.6,73.9,228.0,99.65,2.21,8,85.8,91.6,1
Site_IN-0165,Site_IN,156.8,5.53,104.1,70.2,205.0,99.54,2.53,8,85.9,89.9,1
Site_IN-0166,Site_IN,156.9,4.8,100.3,62.8,218.0,99.44,2.76,8,85.4,90.9,1
Site_IN-0167,Site_IN,155.9,4.81,99.7,76.2,210.0,99.68,2.87,8,80.5,90.2,1
Site_IN-0168,Site_IN,158.5,4.92,92.3,66.3,246.0,99.64,2.88,8,86.9,93.3,1
Site_IN-0169,Site_IN,159.7,5.12,103.4,70.4,248.0,99.21,2.52,8,83.0,88.2,1
Site_IN-0170,Site_IN,159.1,4.8,97.6,70.5,238.0,99.51,2.56,8,85.1,90.7,1
Site_IN-0171,Site_IN,159.2,4.69,101.6,64.6,220.0,99.21,2.77,8,87.8,94.8,1
Site_IN-0172,Site_IN,154.9,5.28,90.4,68.9,226.0,99.38,2.36,8,87.4,92.5,1
Site_IN-0173,Site_IN,158.1,5.3,94.7,72.5,211.0,99.55,3.4,8,84.8,88.0,1
Site_IN-0174,Site_IN,157.2,5.34,92.4,72.9,217.0,99.58,2.46,8,86.5,92.3,1
Site_IN-0175,Site_IN,157.5,5.51,100.2,72.1,259.0,99.76,2.69,8,84.8,91.2,1
Site_IN-0176,Site_IN,161.7,4.72,95.4,76.3,229.0,99.66,2.93,8,83.3,92.2,1
Site_IN-0177,Site_IN,161.1,4.97,90.2,63.6,229.0,99.46,2.54,8,87.4,91.8,1
Site_IN-0178,Site_IN,156.9,4.44,97.3,70.5,233.0,99.62,2.45,8,81.4,93.2,1
Site_IN-0179,Site_IN,158.7,5.23,101.4,69.2,187.0,99.27,2.93,8,84.3,87.9,1
Site_IN-0180,Site_IN,152.5,4.97,101.6,70.2,215.0,99.43,2.88,8,80.6,93.9,1
Site_IN-0181,Site_IN,157.0,4.84,100.3,72.1,218.0,99.28,2.74,8,85.0,87.2,1
Site_IN-0182,Site_IN,155.4,5.12,99.3,69.0,210.0,99.95,2.7,8,83.0,89.8,1
Site_IN-0183,Site_IN,157.1,5.4,91.5,60.8,225.0,99.85,2.33,8,87.6,88.3,1
Site_IN-0184,Site_IN,161.9,5.05,106.7,67.6,188.0,99.52,2.75,8,86.9,89.4,1
Site_IN-0185,Site_IN,153.7,5.02,96.5,71.5,194.0,99.5,2.87,8,82.9,91.2,1
Site_IN-0186,Site_IN,157.0,5.02,103.5,70.7,226.0,99.6,2.24,8,86.6,92.7,1
Site_IN-0187,Site_IN,162.4,4.58,98.0,69.1,216.0,99.93,2.56,8,85.2,91.4,1
Site_IN-0188,Site_IN,157.8,4.72,103.3,74.8,186.0,99.75,2.47,8,83.9,88.8,1
Site_IN-0189,Site_IN,161.4,5.17,101.8,66.0,227.0,99.3,2.61,8,85.5,92.5,1
Site_IN-0190,Site_IN,156.0,5.31,105.7,71.9,227.0,99.6,2.79,8,83.5,92.6,1
Site_IN-0191,Site_IN,159.1,5.13,96.3,69.8,232.0,99.74,2.57,8,86.8,92.8,1
Site_IN-0192,Site_IN,162.2,4.83,104.4,72.5,192.0,99.72,2.77,8,83.5,89.7,1
Site_IN-0193,Site_IN,162.5,4.89,101.3,68.6,234.0,99.59,2.07,8,87.9,92.4,1
Site_IN-0194,Site_IN,157.3,5.17,109.9,65.9,179.0,99.5,2.48,8,87.1,90.7,1
Site_IN-0195,Site_IN,155.7,5.47,101.2,69.3,209.0,99.41,2.56,8,83.5,84.3,1
Site_IN-0196,Site_IN,154.3,5.21,96.5,69.7,215.0,99.51,2.93,8,79.8,90.8,1
Site_IN-0197,Site_IN,156.4,5.33,96.3,65.0,231.0,99.79,3.13,8,84.3,90.4,1
Site_IN-0198,Site_IN,154.7,4.52,95.9,65.7,241.0,99.57,2.81,8,86.9,92.3,1
Site_IN-0199,Site_IN,161.3,5.05,97.1,70.6,253.0,99.77,2.31,8,89.1,87.0,1
Site_IN-0200,Site_IN,153.4,5.5,110.3,67.0,205.0,99.62,2.48,8,83.0,93.3,1
Site_IN-0201,Site_IN,151.4,5.07,99.3,73.8,181.0,99.31,2.64,8,79.1,90.9,1
Site_IN-0202,Site_IN,158.6,5.49,110.0,74.4,242.0,99.33,2.54,8,84.8,91.0,1
Site_IN-0203,Site_IN,157.0,5.46,109.0,68.0,219.0,99.6,2.81,8,85.1,90.1,1
Site_IN-0204,Site_IN,154.0,5.06,103.4,71.7,230.0,99.6,3.01,8,85.2,86.2,1
Site_IN-0205,Site_IN,159.1,5.3,100.4,65.6,227.0,99.75,2.45,8,86.5,90.7,1
Site_IN-0206,Site_IN,157.1,4.93,108.7,74.7,213.0,99.69,2.89,8,84.3,92.5,1
Site_IN-0207,Site_IN,149.5,4.84,108.5,68.8,233.0,99.63,2.74,8,81.8,91.0,1
Site_IN-0208,Site_IN,162.1,4.64,103.2,66.9,244.0,99.92,2.71,8,87.9,88.6,1
Site_IN-0209,Site_IN,159.5,5.65,100.5,72.3,216.0,99.69,2.46,8,85.6,90.7,1
Site_IN-0210,Site_IN,158.3,4.96,90.8,71.8,212.0,99.4,2.62,8,84.2,89.0,1
Site_IN-0211,Site_IN,161.1,4.9,107.1,66.5,173.0,99.72,2.48,8,85.8,89.4,1
Site_IN-0212,Site_IN,160.9,5.24,93.0,64.5,236.0,99.57,2.86,8,87.7,92.9,1
Site_IN-0213,Site_IN,154.5,5.3,91.5,71.9,198.0,99.59,3.18,8,84.7,93.1,1
Site_IN-0214,Site_IN,159.7,5.53,104.8,69.2,241.0,99.5,2.81,8,82.7,92.8,1
Site_IN-0215,Site_IN,156.4,5.27,103.8,69.0,207.0,99.52,2.41,8,90.1,92.4,1
Site_IN-0216,Site_IN,159.8,5.26,109.5,68.9,214.0,99.69,2.42,8,86.4,87.4,1
Site_IN-0217,Site_IN,158.5,4.96,96.2,70.3,222.0,99.5,2.94,8,83.9,94.7,1
Site_IN-0218,Site_IN,162.2,5.37,103.8,69.8,162.0,99.15,2.47,8,85.9,89.0,1
Site_IN-0219,Site_IN,162.1,4.55,105.8,70.9,185.0,99.42,2.95,8,79.7,92.6,1
Site_IN-0220,Site_IN,160.0,5.26,108.0,68.7,220.0,99.79,2.91,8,87.7,88.6,1
Site_IN-0221,Site_IN,154.2,5.13,101.9,67.0,188.0,99.54,2.89,8,83.4,88.2,1
Site_IN-0222,Site_IN,158.7,4.61,98.3,69.3,194.0,98.92,2.57,8,83.8,89.4,1
Site_IN-0223,Site_IN,159.2,4.94,102.1,68.1,212.0,99.55,2.61,8,86.0,91.1,1
Site_IN-0224,Site_IN,159.9,4.73,97.1,70.1,201.0,99.67,2.34,8,85.7,92.0,1
Site_IN-0225,Site_IN,156.6,4.74,98.7,68.8,192.0,99.4,2.52,8,81.7,90.9,1
Site_IN-0226,Site_IN,160.5,5.33,94.1,71.1,217.0,99.68,2.49,8,89.3,92.9,1
Site_IN-0227,Site_IN,158.7,5.11,93.1,67.1,240.0,99.41,2.24,8,84.6,87.3,1
Site_IN-0228,Site_IN,159.8,5.28,94.6,73.2,243.0,99.81,3.14,8,83.3,92.5,1
Site_IN-0229,Site_IN,159.2,4.74,102.4,72.8,211.0,99.4,2.29,8,84.1,91.3,1
Site_IN-0230,Site_IN,164.9,4.92,100.2,69.2,221.0,99.55,2.83,8,88.3,92.6,1
Site_IN-0231,Site_IN,156.0,4.82,112.8,70.3,224.0,99.61,2.9,8,83.1,92.1,1
Site_IN-0232,Site_IN,157.0,4.54,99.4,66.6,216.0,99.37,2.57,8,85.6,92.4,1
Site_IN-0233,Site_IN,157.7,4.86,106.6,65.1,182.0,99.12,2.59,8,90.0,92.1,1
Site_IN-0234,Site_IN,153.6,4.14,95.1,74.5,245.0,99.54,1.96,8,84.8,91.3,1
Site_IN-0235,Site_IN,153.5,5.39,104.4,70.8,226.0,99.38,2.18,8,86.0,85.9,1
Site_IN-0236,Site_IN,161.4,4.8,88.7,71.0,235.0,99.47,2.94,8,87.4,91.9,1
Site_IN-0237,Site_IN,152.5,5.16,103.4,68.2,222.0,99.57,3.07,8,80.1,91.2,1
Site_IN-0238,Site_IN,153.5,4.5,93.8,70.1,201.0,99.35,3.0,8,82.6,91.3,1
Site_IN-0239,Site_IN,158.2,5.21,97.9,64.6,213.0,99.5,2.68,8,88.0,88.4,1
Site_IN-0240,Site_IN,167.3,4.96,97.1,68.7,215.0,99.56,2.2,8,88.8,95.0,1
Site_IN-0241,Site_IN,157.1,4.94,99.5,74.8,237.0,99.63,2.73,8,82.5,88.3,1
Site_IN-0242,Site_IN,156.5,5.4,93.9,67.0,228.0,99.76,2.48,8,86.9,89.6,1
Site_IN-0243,Site_IN,153.6,4.93,100.9,76.0,221.0,99.63,2.6,8,83.5,87.6,1
Site_IN-0244,Site_IN,155.1,4.8,103.4,71.8,244.0,99.03,3.0,8,82.2,88.0,1
Site_IN-0245,Site_IN,157.9,4.62,99.4,69.7,220.0,100.0,3.02,8,84.2,88.5,1
Site_IN-0246,Site_IN,150.6,5.21,106.5,71.1,235.0,99.79,2.76,8,82.8,91.8,1
Site_IN-0247,Site_IN,157.4,5.05,101.4,69.4,217.0,99.29,2.69,8,88.6,91.1,1
Site_IN-0248,Site_IN,156.5,4.81,99.7,66.1,231.0,99.35,2.24,8,85.7,87.8,1
Site_IN-0249,Site_IN,159.9,4.9,98.8,70.3,200.0,99.29,3.01,8,84.8,91.1,1
