sensor_id,dag,uur,werkelijke_pH,gemeten_pH,afwijking,ruis_std,status
pH-00,1,17,7.0,6.978,-0.022,0.021,ok
pH-00,1,18,7.0,7.004,0.004,0.021,ok
pH-00,1,19,7.0,7.005,0.005,0.021,ok
pH-00,1,20,7.0,7.007,0.007,0.021,ok
pH-00,1,21,7.0,7.002,0.002,0.021,ok
pH-00,1,22,7.0,6.972,-0.028,0.021,ok
pH-00,1,23,7.0,6.971,-0.029,0.021,ok
pH-00,2,0,7.0,7.032,0.032,0.0212,ok
pH-00,2,1,7.0,7.049,0.049,0.0212,ok
pH-00,2,2,7.0,7.001,0.001,0.0212,ok
pH-00,2,3,7.0,6.969,-0.031,0.0212,ok
pH-00,2,4,7.0,7.033,0.033,0.0212,ok
pH-00,2,5,7.0,6.989,-0.011,0.0212,ok
pH-00,2,6,7.0,7.015,0.015,0.0212,ok
pH-00,2,7,7.0,6.996,-0.004,0.0212,ok
pH-00,2,8,7.0,6.997,-0.003,0.0212,ok
pH-00,2,9,7.0,6.989,-0.011,0.0212,ok
pH-00,2,10,7.0,7.037,0.037,0.0212,ok
pH-00,2,11,7.0,7.017,0.017,0.0212,ok
pH-00,2,12,7.0,7.014,0.014,0.0212,ok
pH-00,2,13,7.0,7.008,0.008,0.0212,ok
pH-00,2,14,7.0,7.015,0.015,0.0212,ok
pH-00,2,15,7.0,6.982,-0.018,0.0212,ok
pH-00,2,16,7.0,7.018,0.018,0.0212,ok
pH-00,2,17,7.0,7.033,0.033,0.0212,ok
pH-00,2,18,7.0,7.012,0.012,0.0212,ok
pH-00,2,19,7.0,7.026,0.026,0.0212,ok
pH-00,2,20,7.0,6.999,-0.001,0.0212,ok
pH-00,2,21,7.0,7.016,0.016,0.0212,ok
pH-00,2,22,7.0,6.999,-0.001,0.0212,ok
pH-00,2,23,7.0,6.972,-0.028,0.0212,ok
pH-00,3,0,7.0,7.006,0.006,0.0214,ok
pH-00,3,1,7.0,7.035,0.035,0.0214,ok
pH-00,3,2,7.0,6.982,-0.018,0.0214,ok
pH-00,3,3,7.0,7.046,0.046,0.0214,ok
pH-00,3,4,7.0,6.999,-0.001,0.0214,ok
pH-00,3,5,7.0,7.023,0.023,0.0214,ok
pH-00,3,6,7.0,7.043,0.043,0.0214,ok
pH-00,3,7,7.0,7.05,0.05,0.0214,ok
pH-00,3,8,7.0,7.045,0.045,0.0214,ok
pH-00,3,9,7.0,6.995,-0.005,0.0214,ok
pH-00,3,10,7.0,7.035,0.035,0.0214,ok
pH-00,3,11,7.0,6.998,-0.002,0.0214,ok
pH-00,3,12,7.0,6.991,-0.009,0.0214,ok
pH-00,3,13,7.0,6.998,-0.002,0.0214,ok
pH-00,3,14,7.0,7.038,0.038,0.0214,ok
pH-00,3,15,7.0,7.001,0.001,0.0214,ok
pH-00,3,16,7.0,6.994,-0.006,0.0214,ok
pH-00,3,17,7.0,7.045,0.045,0.0214,ok
pH-00,3,18,7.0,7.008,0.008,0.0214,ok
pH-00,3,19,7.0,7.025,0.025,0.0214,ok
pH-00,3,20,7.0,6.991,-0.009,0.0214,ok
pH-00,3,21,7.0,7.002,0.002,0.0214,ok
pH-00,3,22,7.0,7.007,0.007,0.0214,ok
pH-00,3,23,7.0,6.999,-0.001,0.0214,ok
pH-00,4,0,7.0,7.013,0.013,0.0216,ok
pH-00,4,1,7.0,6.995,-0.005,0.0216,ok
pH-00,4,2,7.0,7.013,0.013,0.0216,ok
pH-00,4,3,7.0,7.039,0.039,0.0216,ok
pH-00,4,4,7.0,6.978,-0.022,0.0216,ok
pH-00,4,5,7.0,7.012,0.012,0.0216,ok
pH-00,4,6,7.0,7.004,0.004,0.0216,ok
pH-00,4,7,7.0,7.002,0.002,0.0216,ok
pH-00,4,8,7.0,7.057,0.057,0.0216,ok
pH-00,4,9,7.0,7.046,0.046,0.0216,ok
pH-00,4,10,7.0,7.004,0.004,0.0216,ok
pH-00,4,11,7.0,6.985,-0.015,0.0216,ok
pH-00,4,12,7.0,7.047,0.047,0.0216,ok
pH-00,4,13,7.0,7.023,0.023,0.0216,ok
pH-00,4,14,7.0,6.99,-0.01,0.0216,ok
pH-00,4,15,7.0,6.995,-0.005,0.0216,ok
pH-00,4,16,7.0,7.017,0.017,0.0216,ok
pH-00,4,17,7.0,7.052,0.052,0.0216,ok
pH-00,4,18,7.0,7.007,0.007,0.0216,ok
pH-00,4,19,7.0,7.024,0.024,0.0216,ok
pH-00,4,20,7.0,7.002,0.002,0.0216,ok
pH-00,4,21,7.0,7.025,0.025,0.0216,ok
pH-00,4,22,7.0,6.979,-0.021,0.0216,ok
pH-00,4,23,7.0,7.028,0.028,0.0216,ok
pH-00,5,0,7.0,7.023,0.023,0.0218,ok
pH-00,5,1,7.0,7.0,0.0,0.0218,ok
pH-00,5,2,7.0,6.945,-0.055,0.0218,ok
pH-00,5,3,7.0,7.054,0.054,0.0218,ok
pH-00,5,4,7.0,6.98,-0.02,0.0218,ok
pH-00,5,5,7.0,7.046,0.046,0.0218,ok
pH-00,5,6,7.0,7.0,0.0,0.0218,ok
pH-00,5,7,7.0,7.026,0.026,0.0218,ok
pH-00,5,8,7.0,7.032,0.032,0.0218,ok
pH-00,5,9,7.0,7.054,0.054,0.0218,ok
pH-00,5,10,7.0,6.995,-0.005,0.0218,ok
pH-00,5,11,7.0,7.017,0.017,0.0218,ok
pH-00,5,12,7.0,6.997,-0.003,0.0218,ok
pH-00,5,13,7.0,6.995,-0.005,0.0218,ok
pH-00,5,14,7.0,7.02,0.02,0.0218,ok
pH-00,5,15,7.0,7.036,0.036,0.0218,ok
pH-00,5,16,7.0,7.072,0.072,0.0218,ok
pH-00,5,17,7.0,7.013,0.013,0.0218,ok
pH-00,5,18,7.0,7.017,0.017,0.0218,ok
pH-00,5,19,7.0,7.018,0.018,0.0218,ok
pH-00,5,20,7.0,7.022,0.022,0.0218,ok
pH-00,5,21,7.0,7.024,0.024,0.0218,ok
pH-00,5,22,7.0,6.993,-0.007,0.0218,ok
pH-00,5,23,7.0,6.958,-0.042,0.0218,ok
pH-00,6,0,7.0,7.016,0.016,0.022,ok
pH-00,6,1,7.0,7.065,0.065,0.022,ok
pH-00,6,2,7.0,7.023,0.023,0.022,ok
pH-00,6,3,7.0,7.019,0.019,0.022,ok
pH-00,6,4,7.0,7.021,0.021,0.022,ok
pH-00,6,5,7.0,7.006,0.006,0.022,ok
pH-00,6,6,7.0,7.02,0.02,0.022,ok
pH-00,6,7,7.0,7.023,0.023,0.022,ok
pH-00,6,8,7.0,7.023,0.023,0.022,ok
pH-00,6,9,7.0,7.024,0.024,0.022,ok
pH-00,6,10,7.0,7.024,0.024,0.022,ok
pH-00,6,11,7.0,7.02,0.02,0.022,ok
pH-00,6,12,7.0,7.047,0.047,0.022,ok
pH-00,6,13,7.0,7.063,0.063,0.022,ok
pH-00,6,14,7.0,6.985,-0.015,0.022,ok
pH-00,6,15,7.0,7.01,0.01,0.022,ok
pH-00,6,16,7.0,6.973,-0.027,0.022,ok
pH-00,6,17,7.0,7.033,0.033,0.022,ok
pH-00,6,18,7.0,7.049,0.049,0.022,ok
pH-00,6,19,7.0,7.024,0.024,0.022,ok
pH-00,6,20,7.0,7.024,0.024,0.022,ok
pH-00,6,21,7.0,7.009,0.009,0.022,ok
pH-00,6,22,7.0,7.026,0.026,0.022,ok
pH-00,6,23,7.0,7.02,0.02,0.022,ok
pH-00,7,0,7.0,7.049,0.049,0.0222,ok
pH-00,7,1,7.0,7.071,0.071,0.0222,ok
pH-00,7,2,7.0,7.06,0.06,0.0222,ok
pH-00,7,3,7.0,7.076,0.076,0.0222,ok
pH-00,7,4,7.0,7.04,0.04,0.0222,ok
pH-00,7,5,7.0,7.033,0.033,0.0222,ok
pH-00,7,6,7.0,7.025,0.025,0.0222,ok
pH-00,7,7,7.0,7.034,0.034,0.0222,ok
pH-00,7,8,7.0,7.033,0.033,0.0222,ok
pH-00,7,9,7.0,7.055,0.055,0.0222,ok
pH-00,7,10,7.0,7.021,0.021,0.0222,ok
pH-00,7,11,7.0,7.002,0.002,0.0222,ok
pH-00,7,12,7.0,7.025,0.025,0.0222,ok
pH-00,7,13,7.0,7.005,0.005,0.0222,ok
pH-00,7,14,7.0,7.021,0.021,0.0222,ok
pH-00,7,15,7.0,6.987,-0.013,0.0222,ok
pH-00,7,16,7.0,7.026,0.026,0.0222,ok
pH-00,7,17,7.0,7.006,0.006,0.0222,ok
pH-00,7,18,7.0,7.042,0.042,0.0222,ok
pH-00,7,19,7.0,7.017,0.017,0.0222,ok
pH-00,7,20,7.0,6.983,-0.017,0.0222,ok
pH-00,7,21,7.0,7.016,0.016,0.0222,ok
pH-00,7,22,7.0,7.024,0.024,0.0222,ok
pH-00,7,23,7.0,7.033,0.033,0.0222,ok
pH-00,8,0,7.0,7.041,0.041,0.0224,ok
pH-00,8,1,7.0,7.011,0.011,0.0224,ok
pH-00,8,2,7.0,7.012,0.012,0.0224,ok
pH-00,8,3,7.0,7.028,0.028,0.0224,ok
pH-00,8,4,7.0,7.036,0.036,0.0224,ok
pH-00,8,5,7.0,7.04,0.04,0.0224,ok
pH-00,8,6,7.0,7.05,0.05,0.0224,ok
pH-00,8,7,7.0,6.991,-0.009,0.0224,ok
pH-00,8,8,7.0,7.051,0.051,0.0224,ok
pH-00,8,9,7.0,7.047,0.047,0.0224,ok
pH-00,8,10,7.0,7.048,0.048,0.0224,ok
pH-00,8,11,7.0,7.024,0.024,0.0224,ok
pH-00,8,12,7.0,7.035,0.035,0.0224,ok
pH-00,8,13,7.0,7.04,0.04,0.0224,ok
pH-00,8,14,7.0,7.025,0.025,0.0224,ok
pH-00,8,15,7.0,7.05,0.05,0.0224,ok
pH-00,8,16,7.0,7.003,0.003,0.0224,ok
pH-00,8,17,7.0,7.045,0.045,0.0224,ok
pH-00,8,18,7.0,7.04,0.04,0.0224,ok
pH-00,8,19,7.0,7.063,0.063,0.0224,ok
pH-00,8,20,7.0,7.072,0.072,0.0224,ok
pH-00,8,21,7.0,7.025,0.025,0.0224,ok
pH-00,8,22,7.0,7.063,0.063,0.0224,ok
pH-00,8,23,7.0,7.036,0.036,0.0224,ok
pH-00,9,0,7.0,7.04,0.04,0.0226,ok
pH-00,9,1,7.0,7.042,0.042,0.0226,ok
pH-00,9,2,7.0,7.002,0.002,0.0226,ok
pH-00,9,3,7.0,7.058,0.058,0.0226,ok
pH-00,9,4,7.0,7.001,0.001,0.0226,ok
pH-00,9,5,7.0,7.044,0.044,0.0226,ok
pH-00,9,6,7.0,6.976,-0.024,0.0226,ok
pH-00,9,7,7.0,7.028,0.028,0.0226,ok
pH-00,9,8,7.0,7.032,0.032,0.0226,ok
pH-00,9,9,7.0,7.047,0.047,0.0226,ok
pH-00,9,10,7.0,7.065,0.065,0.0226,ok
pH-00,9,11,7.0,7.031,0.031,0.0226,ok
pH-00,9,12,7.0,7.004,0.004,0.0226,ok
pH-00,9,13,7.0,7.023,0.023,0.0226,ok
pH-00,9,14,7.0,7.038,0.038,0.0226,ok
pH-00,9,15,7.0,7.036,0.036,0.0226,ok
pH-00,9,16,7.0,6.993,-0.007,0.0226,ok
pH-00,9,17,7.0,7.021,0.021,0.0226,ok
pH-00,9,18,7.0,7.021,0.021,0.0226,ok
pH-00,9,19,7.0,7.028,0.028,0.0226,ok
pH-00,9,20,7.0,7.046,0.046,0.0226,ok
pH-00,9,21,7.0,7.015,0.015,0.0226,ok
pH-00,9,22,7.0,7.057,0.057,0.0226,ok
pH-00,9,23,7.0,7.049,0.049,0.0226,ok
pH-00,10,0,7.0,6.989,-0.011,0.0228,ok
pH-00,10,1,7.0,7.027,0.027,0.0228,ok
pH-00,10,2,7.0,7.041,0.041,0.0228,ok
pH-00,10,3,7.0,7.071,0.071,0.0228,ok
pH-00,10,4,7.0,7.009,0.009,0.0228,ok
pH-00,10,5,7.0,6.997,-0.003,0.0228,ok
pH-00,10,6,7.0,7.041,0.041,0.0228,ok
pH-00,10,7,7.0,7.013,0.013,0.0228,ok
pH-00,10,8,7.0,7.035,0.035,0.0228,ok
pH-00,10,9,7.0,7.02,0.02,0.0228,ok
pH-00,10,10,7.0,7.057,0.057,0.0228,ok
pH-00,10,11,7.0,7.053,0.053,0.0228,ok
pH-00,10,12,7.0,7.022,0.022,0.0228,ok
pH-00,10,13,7.0,7.071,0.071,0.0228,ok
pH-00,10,14,7.0,7.038,0.038,0.0228,ok
pH-00,10,15,7.0,7.044,0.044,0.0228,ok
pH-00,10,16,7.0,7.021,0.021,0.0228,ok
pH-00,10,17,7.0,7.019,0.019,0.0228,ok
pH-00,10,18,7.0,7.071,0.071,0.0228,ok
pH-00,10,19,7.0,7.039,0.039,0.0228,ok
pH-00,10,20,7.0,7.041,0.041,0.0228,ok
pH-00,10,21,7.0,7.025,0.025,0.0228,ok
pH-00,10,22,7.0,7.043,0.043,0.0228,ok
pH-00,10,23,7.0,7.037,0.037,0.0228,ok
pH-00,11,0,7.0,7.04,0.04,0.023,ok
pH-00,11,1,7.0,7.078,0.078,0.023,ok
pH-00,11,2,7.0,7.043,0.043,0.023,ok
pH-00,11,3,7.0,7.014,0.014,0.023,ok
pH-00,11,4,7.0,7.051,0.051,0.023,ok
pH-00,11,5,7.0,7.031,0.031,0.023,ok
pH-00,11,6,7.0,7.017,0.017,0.023,ok
pH-00,11,7,7.0,7.023,0.023,0.023,ok
pH-00,11,8,7.0,7.065,0.065,0.023,ok
pH-00,11,9,7.0,7.016,0.016,0.023,ok
pH-00,11,10,7.0,7.017,0.017,0.023,ok
pH-00,11,11,7.0,7.041,0.041,0.023,ok
pH-00,11,12,7.0,7.032,0.032,0.023,ok
pH-00,11,13,7.0,7.017,0.017,0.023,ok
pH-00,11,14,7.0,7.061,0.061,0.023,ok
pH-00,11,15,7.0,7.03,0.03,0.023,ok
pH-00,11,16,7.0,7.01,0.01,0.023,ok
pH-00,11,17,7.0,7.047,0.047,0.023,ok
pH-00,11,18,7.0,7.059,0.059,0.023,ok
pH-00,11,19,7.0,7.051,0.051,0.023,ok
pH-00,11,20,7.0,7.055,0.055,0.023,ok
pH-00,11,21,7.0,7.055,0.055,0.023,ok
pH-00,11,22,7.0,7.034,0.034,0.023,ok
pH-00,11,23,7.0,7.029,0.029,0.023,ok
pH-00,12,0,7.0,7.028,0.028,0.0232,ok
pH-00,12,1,7.0,7.043,0.043,0.0232,ok
pH-00,12,2,7.0,7.006,0.006,0.0232,ok
pH-00,12,3,7.0,7.017,0.017,0.0232,ok
pH-00,12,4,7.0,7.074,0.074,0.0232,ok
pH-00,12,5,7.0,7.064,0.064,0.0232,ok
pH-00,12,6,7.0,7.047,0.047,0.0232,ok
pH-00,12,7,7.0,7.079,0.079,0.0232,ok
pH-00,12,8,7.0,7.052,0.052,0.0232,ok
pH-00,12,9,7.0,7.044,0.044,0.0232,ok
pH-00,12,10,7.0,7.012,0.012,0.0232,ok
pH-00,12,11,7.0,7.037,0.037,0.0232,ok
pH-00,12,12,7.0,7.066,0.066,0.0232,ok
pH-00,12,13,7.0,7.057,0.057,0.0232,ok
pH-00,12,14,7.0,7.089,0.089,0.0232,ok
pH-00,12,15,7.0,7.044,0.044,0.0232,ok
pH-00,12,16,7.0,6.984,-0.016,0.0232,ok
pH-00,12,17,7.0,7.052,0.052,0.0232,ok
pH-00,12,18,7.0,6.987,-0.013,0.0232,ok
pH-00,12,19,7.0,7.032,0.032,0.0232,ok
pH-00,12,20,7.0,7.064,0.064,0.0232,ok
pH-00,12,21,7.0,7.083,0.083,0.0232,ok
pH-00,12,22,7.0,7.02,0.02,0.0232,ok
pH-00,12,23,7.0,7.053,0.053,0.0232,ok
pH-00,13,0,7.0,7.084,0.084,0.0234,ok
pH-00,13,1,7.0,7.049,0.049,0.0234,ok
pH-00,13,2,7.0,7.033,0.033,0.0234,ok
pH-00,13,3,7.0,7.09,0.09,0.0234,ok
pH-00,13,4,7.0,7.07,0.07,0.0234,ok
pH-00,13,5,7.0,7.049,0.049,0.0234,ok
pH-00,13,6,7.0,7.011,0.011,0.0234,ok
pH-00,13,7,7.0,7.039,0.039,0.0234,ok
pH-00,13,8,7.0,7.03,0.03,0.0234,ok
pH-00,13,9,7.0,7.007,0.007,0.0234,ok
pH-00,13,10,7.0,7.079,0.079,0.0234,ok
pH-00,13,11,7.0,7.061,0.061,0.0234,ok
pH-00,13,12,7.0,7.031,0.031,0.0234,ok
pH-00,13,13,7.0,7.033,0.033,0.0234,ok
pH-00,13,14,7.0,7.036,0.036,0.0234,ok
pH-00,13,15,7.0,7.024,0.024,0.0234,ok
pH-00,13,16,7.0,7.114,0.114,0.0234,ok
pH-00,13,17,7.0,7.03,0.03,0.0234,ok
pH-00,13,18,7.0,7.04,0.04,0.0234,ok
pH-00,13,19,7.0,7.031,0.031,0.0234,ok
pH-00,13,20,7.0,7.005,0.005,0.0234,ok
pH-00,13,21,7.0,7.018,0.018,0.0234,ok
pH-00,13,22,7.0,7.072,0.072,0.0234,ok
pH-00,13,23,7.0,7.04,0.04,0.0234,ok
pH-00,14,0,7.0,7.061,0.061,0.0236,ok
pH-00,14,1,7.0,7.062,0.062,0.0236,ok
pH-00,14,2,7.0,7.062,0.062,0.0236,ok
pH-00,14,3,7.0,7.034,0.034,0.0236,ok
pH-00,14,4,7.0,7.091,0.091,0.0236,ok
pH-00,14,5,7.0,7.073,0.073,0.0236,ok
pH-00,14,6,7.0,7.062,0.062,0.0236,ok
pH-00,14,7,7.0,7.057,0.057,0.0236,ok
pH-00,14,8,7.0,7.018,0.018,0.0236,ok
pH-00,14,9,7.0,7.07,0.07,0.0236,ok
pH-00,14,10,7.0,7.048,0.048,0.0236,ok
pH-00,14,11,7.0,7.032,0.032,0.0236,ok
pH-00,14,12,7.0,7.027,0.027,0.0236,ok
pH-00,14,13,7.0,7.074,0.074,0.0236,ok
pH-00,14,14,7.0,7.018,0.018,0.0236,ok
pH-00,14,15,7.0,7.041,0.041,0.0236,ok
pH-00,14,16,7.0,7.055,0.055,0.0236,ok
pH-00,14,17,7.0,7.047,0.047,0.0236,ok
pH-00,14,18,7.0,7.061,0.061,0.0236,ok
pH-00,14,19,7.0,7.079,0.079,0.0236,ok
pH-00,14,20,7.0,7.065,0.065,0.0236,ok
pH-00,14,21,7.0,7.052,0.052,0.0236,ok
pH-00,14,22,7.0,7.04,0.04,0.0236,ok
pH-00,14,23,7.0,7.017,0.017,0.0236,ok
pH-00,15,0,7.0,7.053,0.053,0.0239,ok
pH-00,15,1,7.0,7.045,0.045,0.0239,ok
pH-00,15,2,7.0,7.067,0.067,0.0239,ok
pH-00,15,3,7.0,7.051,0.051,0.0239,ok
pH-00,15,4,7.0,7.079,0.079,0.0239,ok
pH-00,15,5,7.0,7.044,0.044,0.0239,ok
pH-00,15,6,7.0,7.041,0.041,0.0239,ok
pH-00,15,7,7.0,7.065,0.065,0.0239,ok
pH-00,15,8,7.0,7.057,0.057,0.0239,ok
pH-00,15,9,7.0,7.063,0.063,0.0239,ok
pH-00,15,10,7.0,7.051,0.051,0.0239,ok
pH-00,15,11,7.0,7.055,0.055,0.0239,ok
pH-00,15,12,7.0,7.047,0.047,0.0239,ok
pH-00,15,13,7.0,7.058,0.058,0.0239,ok
pH-00,15,14,7.0,7.084,0.084,0.0239,ok
pH-00,15,15,7.0,7.042,0.042,0.0239,ok
pH-00,15,16,7.0,7.04,0.04,0.0239,ok
pH-00,15,17,7.0,7.062,0.062,0.0239,ok
pH-00,15,18,7.0,7.05,0.05,0.0239,ok
pH-00,15,19,7.0,7.088,0.088,0.0239,ok
pH-00,15,20,7.0,7.071,0.071,0.0239,ok
pH-00,15,21,7.0,7.075,0.075,0.0239,ok
pH-00,15,22,7.0,7.077,0.077,0.0239,ok
pH-00,15,23,7.0,7.039,0.039,0.0239,ok
pH-00,16,0,7.0,7.061,0.061,0.0241,ok
pH-00,16,1,7.0,7.074,0.074,0.0241,ok
pH-00,16,2,7.0,7.058,0.058,0.0241,ok
pH-00,16,3,7.0,7.036,0.036,0.0241,ok
pH-00,16,4,7.0,7.08,0.08,0.0241,ok
pH-00,16,5,7.0,7.054,0.054,0.0241,ok
pH-00,16,6,7.0,7.065,0.065,0.0241,ok
pH-00,16,7,7.0,7.072,0.072,0.0241,ok
pH-00,16,8,7.0,7.094,0.094,0.0241,ok
pH-00,16,9,7.0,7.063,0.063,0.0241,ok
pH-00,16,10,7.0,7.01,0.01,0.0241,ok
pH-00,16,11,7.0,7.062,0.062,0.0241,ok
pH-00,16,12,7.0,7.065,0.065,0.0241,ok
pH-00,16,13,7.0,7.018,0.018,0.0241,ok
pH-00,16,14,7.0,7.093,0.093,0.0241,ok
pH-00,16,15,7.0,6.994,-0.006,0.0241,ok
pH-00,16,16,7.0,7.072,0.072,0.0241,ok
pH-00,16,17,7.0,7.021,0.021,0.0241,ok
pH-00,16,18,7.0,7.084,0.084,0.0241,ok
pH-00,16,19,7.0,7.072,0.072,0.0241,ok
pH-00,16,20,7.0,7.094,0.094,0.0241,ok
pH-00,16,21,7.0,7.071,0.071,0.0241,ok
pH-00,16,22,7.0,7.067,0.067,0.0241,ok
pH-00,16,23,7.0,7.05,0.05,0.0241,ok
pH-00,17,0,7.0,7.02,0.02,0.0243,ok
pH-00,17,1,7.0,7.115,0.115,0.0243,ok
pH-00,17,2,7.0,7.05,0.05,0.0243,ok
pH-00,17,3,7.0,7.07,0.07,0.0243,ok
pH-00,17,4,7.0,7.042,0.042,0.0243,ok
pH-00,17,5,7.0,7.036,0.036,0.0243,ok
pH-00,17,6,7.0,7.063,0.063,0.0243,ok
pH-00,17,7,7.0,7.072,0.072,0.0243,ok
pH-00,17,8,7.0,7.104,0.104,0.0243,ok
pH-00,17,9,7.0,7.086,0.086,0.0243,ok
pH-00,17,10,7.0,7.069,0.069,0.0243,ok
pH-00,17,11,7.0,7.06,0.06,0.0243,ok
pH-00,17,12,7.0,7.07,0.07,0.0243,ok
pH-00,17,13,7.0,7.055,0.055,0.0243,ok
pH-00,17,14,7.0,7.068,0.068,0.0243,ok
pH-00,17,15,7.0,7.042,0.042,0.0243,ok
pH-00,17,16,7.0,7.048,0.048,0.0243,ok
pH-00,17,17,7.0,7.06,0.06,0.0243,ok
pH-00,17,18,7.0,7.07,0.07,0.0243,ok
pH-00,17,19,7.0,7.059,0.059,0.0243,ok
pH-00,17,20,7.0,7.066,0.066,0.0243,ok
pH-00,17,21,7.0,7.04,0.04,0.0243,ok
pH-00,17,22,7.0,7.033,0.033,0.0243,ok
pH-00,17,23,7.0,7.06,0.06,0.0243,ok
pH-00,18,0,7.0,7.024,0.024,0.0245,ok
pH-00,18,1,7.0,7.086,0.086,0.0245,ok
pH-00,18,2,7.0,7.032,0.032,0.0245,ok
pH-00,18,3,7.0,7.056,0.056,0.0245,ok
pH-00,18,4,7.0,7.078,0.078,0.0245,ok
pH-00,18,5,7.0,7.088,0.088,0.0245,ok
pH-00,18,6,7.0,7.081,0.081,0.0245,ok
pH-00,18,7,7.0,7.077,0.077,0.0245,ok
pH-00,18,8,7.0,7.128,0.128,0.0245,ok
pH-00,18,9,7.0,7.04,0.04,0.0245,ok
pH-00,18,10,7.0,7.073,0.073,0.0245,ok
pH-00,18,11,7.0,7.081,0.081,0.0245,ok
pH-00,18,12,7.0,7.074,0.074,0.0245,ok
pH-00,18,13,7.0,7.054,0.054,0.0245,ok
pH-00,18,14,7.0,7.079,0.079,0.0245,ok
pH-00,18,15,7.0,7.077,0.077,0.0245,ok
pH-00,18,16,7.0,7.096,0.096,0.0245,ok
pH-00,18,17,7.0,7.077,0.077,0.0245,ok
pH-00,18,18,7.0,7.019,0.019,0.0245,ok
pH-00,18,19,7.0,7.085,0.085,0.0245,ok
pH-00,18,20,7.0,7.056,0.056,0.0245,ok
pH-00,18,21,7.0,7.061,0.061,0.0245,ok
pH-00,18,22,7.0,7.037,0.037,0.0245,ok
pH-00,18,23,7.0,7.069,0.069,0.0245,ok
pH-00,19,0,7.0,7.118,0.118,0.0247,ok
pH-00,19,1,7.0,7.095,0.095,0.0247,ok
pH-00,19,2,7.0,7.04,0.04,0.0247,ok
pH-00,19,3,7.0,7.064,0.064,0.0247,ok
pH-00,19,4,7.0,7.094,0.094,0.0247,ok
pH-00,19,5,7.0,7.065,0.065,0.0247,ok
pH-00,19,6,7.0,7.018,0.018,0.0247,ok
pH-00,19,7,7.0,7.055,0.055,0.0247,ok
pH-00,19,8,7.0,7.103,0.103,0.0247,ok
pH-00,19,9,7.0,7.106,0.106,0.0247,ok
pH-00,19,10,7.0,7.065,0.065,0.0247,ok
pH-00,19,11,7.0,7.062,0.062,0.0247,ok
pH-00,19,12,7.0,7.012,0.012,0.0247,ok
pH-00,19,13,7.0,7.067,0.067,0.0247,ok
pH-00,19,14,7.0,7.055,0.055,0.0247,ok
pH-00,19,15,7.0,7.022,0.022,0.0247,ok
pH-00,19,16,7.0,7.045,0.045,0.0247,ok
pH-00,19,17,7.0,7.037,0.037,0.0247,ok
pH-00,19,18,7.0,7.07,0.07,0.0247,ok
pH-00,19,19,7.0,7.107,0.107,0.0247,ok
pH-00,19,20,7.0,7.065,0.065,0.0247,ok
pH-00,19,21,7.0,7.075,0.075,0.0247,ok
pH-00,19,22,7.0,7.13,0.13,0.0247,ok
pH-00,19,23,7.0,7.022,0.022,0.0247,ok
