timestamp,influent_debiet_m3h,influent_COD_mgL,influent_pH,influent_TSS_mgL,influent_NH4_mgL,beluchting_m3h,slibrecirculatie_ratio,slibverblijftijd_dagen,opgeloste_O2_mgL,effluent_COD_mgL,effluent_pH,effluent_TSS_mgL,effluent_NH4_mgL,lozingsnorm_overtreding
2025-03-02 22:00:00,347.7,530.4,8.1,229.2,23.9,234.2,0.66,13.8,1.52,145.6,7.2,19.4,2.7,1
2025-03-02 23:00:00,325.8,568.4,7.9,202.5,36.5,229.6,0.46,15.3,1.44,101.5,7.1,6.3,5.3,0
2025-03-03 00:00:00,357.1,552.6,8.0,245.6,35.4,234.3,0.54,12.3,1.64,107.7,7.2,9.2,3.8,0
2025-03-03 01:00:00,379.6,533.7,8.0,214.6,39.6,221.2,0.56,23.7,0.97,118.4,7.1,5.0,6.7,0
2025-03-03 02:00:00,347.9,592.3,7.8,210.2,28.5,237.1,0.57,23.5,1.46,84.6,7.0,16.4,4.9,0
2025-03-03 03:00:00,399.6,732.2,8.0,234.1,28.0,239.7,0.8,18.1,1.74,140.0,7.1,10.6,4.3,1
2025-03-03 04:00:00,444.5,767.5,8.0,246.2,42.3,243.3,0.76,22.8,1.82,128.3,6.9,7.3,5.2,1
2025-03-03 05:00:00,455.9,704.0,8.0,261.5,35.5,255.4,0.65,17.2,1.67,141.3,7.1,19.6,5.2,1
2025-03-03 06:00:00,435.3,772.1,7.7,261.4,39.0,236.8,0.5,22.2,1.65,113.1,7.0,17.6,6.0,0
2025-03-03 07:00:00,589.6,810.2,8.3,329.9,42.1,262.2,0.64,18.8,1.5,138.7,7.2,31.0,5.2,1
2025-03-03 08:00:00,579.1,931.1,7.7,359.4,52.8,243.6,0.48,14.9,1.16,224.4,7.0,17.3,8.2,1
2025-03-03 09:00:00,647.4,978.9,8.2,405.7,50.5,254.1,0.7,15.9,1.57,205.0,7.4,31.9,8.4,1
2025-03-03 10:00:00,605.3,993.6,7.7,363.9,46.1,256.0,0.37,11.0,1.55,208.1,7.2,10.1,5.8,1
2025-03-03 11:00:00,655.0,1056.0,8.3,392.2,54.5,256.8,0.33,13.2,1.56,182.3,7.3,34.7,7.7,1
2025-03-03 12:00:00,662.8,1023.7,7.8,386.6,54.6,256.7,0.47,16.0,1.78,164.9,7.0,29.8,7.2,1
2025-03-03 13:00:00,636.3,1064.2,8.1,399.3,64.0,268.0,0.48,16.8,1.57,187.8,7.3,11.7,7.5,1
2025-03-03 14:00:00,685.3,1059.0,7.9,384.3,43.4,263.1,0.78,10.7,1.65,230.5,6.9,30.4,6.1,1
2025-03-03 15:00:00,627.5,923.6,7.8,387.7,51.4,260.5,0.77,17.3,1.56,190.0,7.0,8.8,6.8,1
2025-03-03 16:00:00,592.3,867.6,7.7,322.3,36.1,267.8,0.55,22.9,1.65,130.0,7.0,30.5,4.6,1
2025-03-03 17:00:00,528.4,959.3,8.0,308.1,48.3,251.3,0.54,12.3,1.18,206.7,7.3,25.0,8.7,1
2025-03-03 18:00:00,514.5,612.6,7.9,301.0,36.6,251.2,0.65,13.9,1.39,143.4,7.2,20.3,3.6,1
2025-03-03 19:00:00,442.4,673.8,7.7,284.6,46.0,251.5,0.75,22.1,1.59,106.8,7.1,24.3,5.8,0
2025-03-03 20:00:00,443.1,664.5,7.7,278.6,33.5,242.0,0.77,21.6,1.8,102.3,7.0,6.0,5.4,0
2025-03-03 21:00:00,371.4,513.2,8.3,221.1,29.3,223.2,0.43,14.9,0.95,134.2,7.2,8.6,5.0,1
2025-03-03 22:00:00,371.7,539.3,7.7,179.8,30.0,238.6,0.73,20.9,1.39,126.0,6.9,11.9,5.9,1
2025-03-03 23:00:00,362.8,532.5,7.9,237.8,27.7,250.6,0.59,18.2,1.85,91.1,7.1,11.5,3.3,0
2025-03-04 00:00:00,377.6,604.2,7.6,203.7,24.6,234.2,0.63,15.7,1.14,149.6,7.0,4.3,3.7,1
2025-03-04 01:00:00,389.0,586.5,7.7,201.0,25.6,235.0,0.5,10.4,1.32,145.6,6.9,16.6,3.8,1
2025-03-04 02:00:00,322.3,554.9,7.7,218.5,30.8,240.1,0.55,16.7,1.3,124.7,7.1,7.8,5.5,0
2025-03-04 03:00:00,375.8,610.0,7.4,245.3,37.8,241.7,0.55,16.3,1.44,135.6,7.1,24.2,4.6,1
2025-03-04 04:00:00,448.1,636.1,7.9,259.1,32.6,235.7,0.66,11.1,1.35,169.8,7.1,10.6,4.0,1
2025-03-04 05:00:00,468.5,699.5,7.5,269.2,40.4,241.2,0.45,11.9,1.22,170.7,7.0,9.2,6.2,1
2025-03-04 06:00:00,492.5,770.1,7.4,287.3,36.0,249.4,0.49,16.5,1.34,154.8,6.9,9.9,6.2,1
2025-03-04 07:00:00,555.3,841.6,7.4,342.6,38.6,259.1,0.67,10.2,1.64,192.3,7.0,23.5,5.4,1
2025-03-04 08:00:00,568.1,964.2,7.2,335.9,42.3,253.7,0.73,23.9,1.77,169.8,6.9,22.6,4.8,1
2025-03-04 09:00:00,613.6,987.3,7.8,369.8,51.2,275.6,0.35,20.7,1.79,141.1,6.8,18.4,6.0,1
2025-03-04 10:00:00,627.7,1039.5,7.6,404.1,49.8,261.5,0.48,24.9,1.77,141.6,7.0,19.2,7.6,1
2025-03-04 11:00:00,714.7,1118.9,7.6,413.6,49.7,247.1,0.33,13.1,1.49,244.6,7.1,10.3,8.9,1
2025-03-04 12:00:00,681.2,1030.2,7.5,367.7,51.3,276.9,0.39,14.2,1.78,221.0,7.0,32.3,8.1,1
2025-03-04 13:00:00,623.1,968.5,7.4,392.5,53.4,237.3,0.46,13.3,1.19,253.0,6.9,13.0,9.1,1
2025-03-04 14:00:00,652.9,946.4,7.4,343.8,46.9,255.8,0.45,22.6,1.72,130.7,7.0,34.3,7.7,1
2025-03-04 15:00:00,621.0,945.1,7.3,365.5,56.9,260.9,0.43,14.9,1.45,184.7,6.9,16.6,7.6,1
2025-03-04 16:00:00,538.6,907.8,7.3,363.8,45.2,272.1,0.74,10.7,1.48,200.9,7.0,29.4,5.7,1
2025-03-04 17:00:00,555.3,784.2,7.4,316.5,39.5,271.0,0.49,15.4,1.73,152.0,6.9,13.1,5.8,1
2025-03-04 18:00:00,457.3,760.4,7.5,284.0,36.3,245.6,0.66,16.4,1.36,139.3,6.9,5.7,5.3,1
2025-03-04 19:00:00,473.3,751.4,7.3,260.4,35.0,232.6,0.75,15.9,1.75,121.9,6.9,12.7,5.3,0
2025-03-04 20:00:00,432.2,699.7,7.2,223.6,33.7,247.3,0.42,22.4,1.74,90.8,7.0,7.4,2.8,0
2025-03-04 21:00:00,415.7,518.6,7.1,228.5,33.4,231.0,0.31,24.3,1.22,81.1,6.7,4.8,5.4,0
2025-03-04 22:00:00,337.2,502.7,7.3,219.1,35.0,247.4,0.45,18.7,1.5,77.8,6.8,14.2,4.8,0
2025-03-04 23:00:00,349.5,587.4,7.5,259.6,22.2,237.9,0.48,19.1,1.32,106.6,7.1,12.0,3.5,0
2025-03-05 00:00:00,331.0,486.7,7.4,221.8,36.8,228.9,0.35,14.1,1.25,111.2,6.8,4.8,6.9,0
2025-03-05 01:00:00,362.8,614.7,7.1,222.9,23.3,238.2,0.38,23.0,1.57,119.9,6.9,14.9,2.6,0
2025-03-05 02:00:00,366.9,609.8,7.2,174.6,27.3,230.5,0.35,13.7,1.28,157.4,6.9,14.6,7.1,1
2025-03-05 03:00:00,418.3,627.4,7.6,256.3,37.6,226.9,0.32,12.2,1.04,173.0,7.0,21.9,5.0,1
2025-03-05 04:00:00,439.5,666.8,6.7,262.7,35.3,222.7,0.7,21.0,1.26,139.7,6.9,15.7,7.3,1
2025-03-05 05:00:00,439.7,685.5,7.0,325.7,44.7,253.3,0.56,21.1,1.68,108.2,6.7,19.2,6.1,0
2025-03-05 06:00:00,523.4,836.4,7.2,279.6,43.8,254.6,0.59,20.4,1.42,148.6,6.9,17.7,6.1,1
2025-03-05 07:00:00,535.8,990.0,7.1,283.9,42.5,245.9,0.66,21.0,1.37,155.8,7.1,6.5,6.8,1
2025-03-05 08:00:00,571.9,933.4,6.5,353.3,46.6,263.0,0.71,22.2,1.64,147.4,6.7,32.1,7.5,1
2025-03-05 09:00:00,600.6,961.7,7.0,383.7,49.6,269.8,0.62,23.5,1.61,132.6,7.0,19.4,8.1,1
2025-03-05 10:00:00,670.2,1068.5,7.0,405.3,44.2,251.1,0.64,10.5,1.24,291.2,6.8,28.8,7.5,1
2025-03-05 11:00:00,643.2,1034.6,6.6,404.6,53.5,268.8,0.54,19.8,1.47,186.0,6.7,29.8,6.8,1
2025-03-05 12:00:00,632.4,1012.4,7.3,390.1,52.7,253.2,0.76,14.4,1.19,234.4,6.9,38.1,8.9,1
2025-03-05 13:00:00,653.9,1106.6,6.9,390.9,51.2,274.8,0.5,18.7,1.59,214.3,6.7,30.5,7.4,1
2025-03-05 14:00:00,596.2,969.4,7.2,366.2,54.6,275.1,0.51,22.9,1.76,150.1,6.9,23.9,7.1,1
2025-03-05 15:00:00,629.7,987.1,7.0,410.7,51.6,254.8,0.58,21.0,1.93,133.4,7.0,15.5,5.3,1
2025-03-05 16:00:00,630.1,926.3,6.9,371.1,41.6,234.9,0.45,12.9,1.06,245.0,6.9,33.2,6.5,1
2025-03-05 17:00:00,549.3,886.1,7.2,301.4,51.5,255.4,0.35,18.6,1.85,137.6,7.0,12.6,8.3,1
2025-03-05 18:00:00,515.1,777.8,7.1,314.7,40.7,254.8,0.71,12.6,1.43,144.0,7.0,13.4,5.3,1
2025-03-05 19:00:00,404.8,802.8,7.2,311.1,33.9,245.7,0.31,13.7,1.38,152.9,6.9,15.6,7.2,1
2025-03-05 20:00:00,465.5,663.0,7.3,253.1,32.4,233.2,0.77,16.0,1.25,128.0,7.0,15.8,5.8,1
2025-03-05 21:00:00,401.4,579.7,7.1,237.8,33.4,257.3,0.76,19.2,0.96,157.4,7.0,14.2,5.5,1
2025-03-05 22:00:00,341.5,641.7,6.7,195.4,25.7,235.6,0.77,18.1,1.43,114.0,6.9,13.0,4.0,0
2025-03-05 23:00:00,342.0,583.3,7.1,201.7,29.2,243.5,0.54,14.7,1.64,111.1,6.9,15.7,2.7,0
2025-03-06 00:00:00,335.4,526.9,6.6,202.0,23.5,244.7,0.66,22.4,1.49,94.5,6.6,5.3,4.9,0
2025-03-06 01:00:00,336.6,495.9,7.2,220.2,25.2,229.3,0.46,21.1,1.37,93.2,6.9,12.0,4.2,0
2025-03-06 02:00:00,392.9,466.9,6.9,236.9,31.3,251.9,0.63,15.7,1.2,112.1,6.8,10.5,3.5,0
2025-03-06 03:00:00,382.7,658.9,7.0,233.7,39.7,219.5,0.39,17.7,1.39,133.0,6.8,5.2,6.4,1
2025-03-06 04:00:00,380.5,726.8,6.8,256.9,42.6,235.3,0.51,12.4,1.58,146.0,6.7,13.3,5.6,1
2025-03-06 05:00:00,410.6,763.0,7.0,289.9,36.7,235.8,0.49,23.5,1.14,158.8,6.9,13.5,3.1,1
2025-03-06 06:00:00,450.5,829.2,6.9,298.7,43.5,249.6,0.53,16.7,1.41,148.6,6.9,25.3,6.5,1
2025-03-06 07:00:00,540.6,818.5,6.8,323.9,43.9,276.3,0.8,21.6,1.57,137.3,6.9,17.9,6.4,1
2025-03-06 08:00:00,555.8,953.9,7.0,354.2,38.4,265.2,0.53,14.2,1.75,141.0,6.8,9.1,5.1,1
2025-03-06 09:00:00,568.3,1011.4,7.0,373.4,44.1,225.7,0.38,21.3,1.29,191.8,6.9,27.2,5.9,1
2025-03-06 10:00:00,649.1,1032.4,6.8,411.3,54.5,289.0,0.71,11.7,1.78,207.7,6.9,36.6,7.6,1
2025-03-06 11:00:00,652.2,1042.0,7.0,346.2,54.2,271.6,0.52,12.8,2.09,149.5,6.7,18.4,7.3,1
2025-03-06 12:00:00,608.7,1003.1,7.0,396.0,53.3,273.8,0.76,14.5,1.86,161.3,7.0,38.3,7.3,1
2025-03-06 13:00:00,588.3,1115.7,7.1,340.0,50.4,259.4,0.64,23.0,1.22,234.6,6.8,31.5,6.3,1
2025-03-06 14:00:00,638.5,1007.6,7.0,379.3,61.2,261.8,0.64,24.1,1.42,168.0,6.7,16.1,9.1,1
2025-03-06 15:00:00,585.4,940.7,7.2,355.1,54.0,249.1,0.64,18.4,1.41,213.2,7.0,33.9,7.4,1
2025-03-06 16:00:00,609.3,843.3,7.2,304.0,38.1,243.3,0.39,20.5,1.55,141.1,6.9,23.6,5.5,1
2025-03-06 17:00:00,577.3,821.4,7.3,342.4,42.2,231.3,0.62,13.1,1.35,202.5,6.7,28.5,6.7,1
2025-03-06 18:00:00,489.4,838.1,7.1,309.1,33.6,263.4,0.67,21.1,1.61,179.3,6.8,23.1,6.1,1
2025-03-06 19:00:00,479.2,694.9,7.2,301.4,40.1,244.2,0.39,21.8,1.11,167.3,7.0,7.6,5.9,1
2025-03-06 20:00:00,488.0,643.9,6.9,211.4,31.6,261.0,0.43,20.9,1.58,102.6,6.8,20.8,2.4,0
2025-03-06 21:00:00,342.5,567.7,7.0,225.6,35.3,240.6,0.74,15.7,1.43,99.9,6.9,9.8,5.2,0
2025-03-06 22:00:00,339.8,601.7,6.9,239.5,29.3,247.8,0.43,14.8,1.63,104.9,6.9,8.0,4.5,0
2025-03-06 23:00:00,385.8,645.1,6.9,200.2,22.8,240.0,0.33,19.6,1.56,96.7,6.8,18.0,2.7,0
2025-03-07 00:00:00,361.8,575.8,7.2,185.9,23.4,234.7,0.35,20.1,1.55,99.4,7.1,13.5,4.3,0
2025-03-07 01:00:00,387.5,587.0,7.2,219.3,33.4,252.8,0.56,18.5,1.79,112.6,7.0,10.3,3.0,0
2025-03-07 02:00:00,343.5,600.0,7.4,232.0,32.2,236.7,0.76,10.7,1.66,110.0,6.9,13.3,5.1,0
2025-03-07 03:00:00,353.9,598.0,7.1,210.9,37.2,244.3,0.44,18.4,1.41,110.7,7.2,20.0,6.1,0
2025-03-07 04:00:00,407.6,657.3,7.0,261.7,38.0,246.2,0.79,14.7,1.14,162.8,6.8,17.5,5.8,1
2025-03-07 05:00:00,435.1,717.7,7.1,260.6,34.2,243.1,0.77,13.7,1.46,192.6,6.9,13.1,4.8,1
2025-03-07 06:00:00,512.1,881.9,7.1,334.3,39.2,243.6,0.63,24.7,0.94,201.4,6.8,32.9,6.3,1
2025-03-07 07:00:00,553.5,850.5,7.3,300.0,43.0,253.5,0.56,24.9,1.52,108.2,7.2,7.1,7.0,0
2025-03-07 08:00:00,593.0,870.5,6.9,317.8,44.7,251.0,0.42,10.2,1.15,215.5,6.8,17.1,7.6,1
2025-03-07 09:00:00,577.8,946.0,7.5,382.9,39.4,274.2,0.6,21.4,1.54,175.2,7.1,14.4,3.9,1
2025-03-07 10:00:00,640.5,1095.1,7.1,367.5,57.5,264.3,0.48,20.4,1.25,194.1,7.0,16.7,9.5,1
2025-03-07 11:00:00,636.0,964.9,7.3,419.4,54.0,261.7,0.59,14.5,1.57,190.6,6.9,9.9,7.9,1
2025-03-07 12:00:00,647.8,945.2,7.6,448.2,54.2,278.3,0.64,19.7,1.95,124.5,6.9,27.9,6.9,0
2025-03-07 13:00:00,667.5,1048.6,7.1,403.9,48.8,256.2,0.3,16.7,1.64,179.4,6.9,9.4,7.1,1
2025-03-07 14:00:00,603.4,1045.6,6.9,375.8,47.6,259.0,0.33,13.4,1.69,226.6,6.9,19.6,8.0,1
2025-03-07 15:00:00,608.6,946.9,7.2,360.7,48.4,273.4,0.48,17.0,1.77,131.5,6.9,32.1,5.9,1
2025-03-07 16:00:00,592.2,1009.8,7.2,333.0,37.6,272.3,0.58,13.9,1.55,217.3,6.9,30.2,5.3,1
2025-03-07 17:00:00,546.9,823.5,7.5,326.3,42.0,247.4,0.48,12.1,1.53,171.4,7.0,27.6,6.7,1
2025-03-07 18:00:00,489.9,839.8,7.3,333.2,36.3,236.2,0.33,24.7,1.47,162.1,6.8,25.9,4.4,1
2025-03-07 19:00:00,443.0,719.6,7.7,281.6,31.0,259.2,0.72,16.6,1.5,133.6,7.1,25.5,4.5,1
2025-03-07 20:00:00,452.2,691.8,7.6,280.9,43.4,225.5,0.35,11.7,0.95,158.8,7.1,7.6,5.6,1
2025-03-07 21:00:00,353.3,648.1,7.2,233.2,39.0,249.7,0.57,20.2,1.35,130.2,6.8,16.7,6.4,1
2025-03-07 22:00:00,334.8,614.6,7.7,246.3,25.0,248.8,0.71,12.8,1.5,122.9,7.1,11.1,3.7,0
2025-03-07 23:00:00,347.4,552.5,7.2,227.6,29.3,231.0,0.4,16.7,1.04,134.9,6.7,5.4,4.1,1
2025-03-08 00:00:00,334.4,633.9,7.6,220.5,11.4,242.9,0.59,21.4,1.48,128.4,7.0,7.3,1.3,1
2025-03-08 01:00:00,298.5,588.8,7.4,276.0,27.3,231.5,0.65,14.5,1.38,133.5,7.1,7.3,4.0,1
2025-03-08 02:00:00,374.9,571.8,7.4,240.9,33.9,247.8,0.5,22.6,1.48,90.3,6.8,7.7,2.8,0
2025-03-08 03:00:00,351.6,612.0,7.3,229.0,28.6,247.6,0.49,14.3,1.44,117.8,6.9,19.0,4.2,0
2025-03-08 04:00:00,395.1,671.4,7.4,243.4,35.4,246.1,0.32,13.1,1.61,127.4,7.0,19.4,5.2,1
2025-03-08 05:00:00,450.1,776.9,7.1,286.7,35.7,245.2,0.71,14.8,1.94,119.6,7.1,6.7,5.1,0
2025-03-08 06:00:00,481.8,907.2,7.9,288.6,41.1,247.1,0.36,12.0,1.55,180.6,7.1,20.7,3.9,1
2025-03-08 07:00:00,540.1,826.5,7.6,309.7,44.2,263.9,0.36,22.2,1.78,122.3,7.0,13.3,6.8,0
2025-03-08 08:00:00,570.2,875.2,7.3,372.9,36.0,258.6,0.37,20.9,1.63,149.0,7.1,27.2,4.2,1
2025-03-08 09:00:00,605.6,1061.8,7.2,364.5,47.9,264.9,0.66,19.1,1.76,184.2,7.0,9.1,7.4,1
2025-03-08 10:00:00,603.4,1027.5,7.9,360.5,60.0,265.8,0.38,11.3,1.57,174.9,7.2,26.8,9.4,1
2025-03-08 11:00:00,627.1,1070.3,7.6,347.1,43.5,258.9,0.51,10.1,1.69,207.5,7.1,24.1,8.1,1
2025-03-08 12:00:00,662.3,1036.3,7.9,435.8,54.5,263.3,0.72,24.8,1.3,193.2,7.0,9.2,6.3,1
2025-03-08 13:00:00,565.1,1007.5,8.1,377.8,55.3,260.2,0.49,23.4,1.46,186.0,7.2,21.9,8.2,1
2025-03-08 14:00:00,639.9,996.8,7.9,372.0,38.7,255.4,0.57,15.8,1.99,176.9,7.3,19.7,4.9,1
2025-03-08 15:00:00,576.3,939.6,8.0,355.4,52.5,256.0,0.6,23.4,1.65,137.3,7.1,13.4,6.7,1
2025-03-08 16:00:00,571.1,921.2,7.8,338.3,48.0,253.0,0.64,12.8,1.41,202.8,7.4,18.4,6.9,1
2025-03-08 17:00:00,571.1,906.8,7.8,326.2,41.0,255.1,0.42,22.8,1.94,93.1,7.1,24.3,5.8,0
2025-03-08 18:00:00,482.5,716.4,7.7,330.2,40.2,241.1,0.42,22.2,1.0,146.2,7.0,29.9,7.3,1
2025-03-08 19:00:00,483.2,781.4,7.9,278.6,37.8,248.9,0.43,24.2,1.65,105.4,7.2,21.1,6.1,0
2025-03-08 20:00:00,508.7,656.7,7.8,239.2,32.6,242.8,0.66,23.8,1.38,111.0,7.1,5.8,3.3,0
2025-03-08 21:00:00,412.8,667.7,7.7,210.6,24.3,229.8,0.72,24.0,1.15,134.5,7.2,16.5,4.2,1
2025-03-08 22:00:00,351.5,569.2,7.6,195.1,40.4,212.5,0.48,14.8,1.28,111.2,7.0,8.5,7.9,0
2025-03-08 23:00:00,341.4,612.7,7.8,195.6,27.8,227.9,0.47,17.3,1.15,124.8,7.1,9.5,5.2,0
2025-03-09 00:00:00,329.2,573.4,7.9,239.0,27.0,237.2,0.37,14.8,1.54,91.3,7.1,17.7,2.5,0
2025-03-09 01:00:00,298.4,527.5,8.1,227.8,19.5,246.8,0.7,17.4,1.67,87.0,7.0,7.5,3.1,0
2025-03-09 02:00:00,289.2,670.5,8.2,240.8,35.0,233.0,0.63,23.7,1.44,103.7,7.1,6.5,6.6,0
2025-03-09 03:00:00,364.2,633.3,7.8,272.0,33.1,256.0,0.32,21.4,1.53,115.9,7.1,10.9,5.1,0
2025-03-09 04:00:00,457.5,733.3,7.9,236.1,39.8,222.0,0.78,13.0,1.24,178.9,7.2,21.8,7.0,1
2025-03-09 05:00:00,393.7,801.2,7.8,267.4,33.6,263.8,0.42,21.2,1.73,110.9,7.1,15.1,4.4,0
2025-03-09 06:00:00,501.3,889.0,8.1,286.9,29.9,249.8,0.65,18.9,1.63,149.1,7.2,20.6,4.5,1
2025-03-09 07:00:00,568.2,813.5,7.7,313.7,40.4,245.2,0.47,14.0,1.54,168.9,7.0,16.2,3.2,1
2025-03-09 08:00:00,599.0,878.0,7.7,342.0,50.9,267.9,0.74,22.5,2.29,75.1,7.0,28.3,8.6,0
2025-03-09 09:00:00,562.8,860.2,7.6,360.6,45.3,235.5,0.46,23.5,0.91,220.7,7.1,21.5,7.6,1
2025-03-09 10:00:00,629.5,995.4,8.0,410.5,51.8,269.3,0.75,16.3,1.76,168.4,7.1,21.4,6.6,1
