sample_id,interventie,omgevingstemp_C,operator_ervaring_jaar,katalysator_type,roersnelheid_RPM,koelwater_temp_C,luchtvochtigheid_pct,druk_bar,activeringsenergie_kJmol,reactor_temp_C,menging_index,selectiviteit,conversie,opbrengst_pct,energieverbruik_kWh,vochtgehalte_product_pct
CI-00107,observatie,37.0,3.7,Pt/Al2O3,209,29.8,83.8,2.01,43.3,155.8,0.788,0.845,0.6983,58.4,47.8,2.43
CI-00108,observatie,7.5,15.6,Pt/Al2O3,306,18.9,53.1,5.87,48.4,154.2,0.832,0.809,0.7833,64.3,57.2,1.42
CI-00109,observatie,12.7,8.6,Pd/C,230,21.1,69.2,1.17,50.7,141.7,0.743,0.885,0.6475,57.5,47.5,1.99
CI-00110,observatie,25.0,4.0,Pd/C,246,25.8,75.3,4.83,48.1,155.5,0.761,0.919,0.7654,69.6,54.7,1.8
CI-00111,observatie,17.5,4.8,Pd/C,210,23.7,68.7,5.63,50.8,154.0,0.743,0.908,0.7511,68.7,53.0,1.53
CI-00112,observatie,31.0,17.2,Pt/Al2O3,288,28.2,74.0,4.81,43.8,159.4,0.866,0.831,0.7773,63.8,58.8,2.02
CI-00113,observatie,31.3,15.3,Pt/Al2O3,291,29.2,79.1,2.88,49.9,152.6,0.831,0.853,0.6865,55.9,55.0,2.02
CI-00114,observatie,27.5,0.1,Pt/Al2O3,202,26.5,71.7,2.5,46.6,151.1,0.818,0.867,0.7263,63.5,48.3,1.63
CI-00115,observatie,7.3,18.7,Pt/Al2O3,287,17.2,49.0,9.33,40.7,163.0,0.824,0.868,0.8304,71.8,56.5,1.71
CI-00116,observatie,5.2,4.1,Pt/Al2O3,223,18.2,60.2,6.76,46.0,160.3,0.727,0.851,0.7634,63.2,52.2,1.5
CI-00117,observatie,27.5,0.3,Pd/C,206,26.2,68.7,4.98,47.0,153.0,0.749,0.899,0.7062,64.2,51.2,2.19
CI-00118,observatie,7.3,5.1,Pd/C,236,17.7,69.6,4.4,46.5,151.2,0.821,0.89,0.6887,60.0,52.1,1.85
CI-00119,observatie,25.0,18.1,Pt/Al2O3,275,24.7,69.0,7.22,45.8,162.5,0.822,0.861,0.8279,71.1,56.9,1.33
CI-00120,observatie,17.4,12.5,Pd/C,283,21.9,63.5,1.56,49.1,144.2,0.779,0.892,0.6706,59.2,51.5,2.1
CI-00121,observatie,22.4,5.0,Ni/SiO2,232,21.2,64.5,9.32,64.9,157.8,0.751,0.834,0.7281,61.2,54.8,1.56
CI-00122,observatie,24.1,1.0,Pt/Al2O3,220,23.2,78.6,7.19,43.0,158.1,0.798,0.885,0.8198,73.4,51.5,2.11
CI-00123,observatie,16.8,9.4,Ni/SiO2,254,21.3,64.9,5.28,61.4,150.7,0.75,0.817,0.7,57.2,53.8,1.63
CI-00124,observatie,26.0,16.8,Ni/SiO2,266,24.7,57.6,6.02,57.5,150.8,0.828,0.768,0.7133,54.7,54.0,1.53
CI-00125,observatie,16.5,10.1,Pt/Al2O3,275,19.2,58.5,5.05,43.9,156.1,0.733,0.811,0.7423,59.8,54.2,1.55
CI-00126,observatie,17.6,11.8,Pt/Al2O3,223,23.5,70.0,2.72,47.7,150.7,0.796,0.854,0.6768,56.8,53.8,2.03
CI-00127,observatie,8.4,4.7,Pd/C,210,18.2,57.8,2.28,51.5,147.2,0.768,0.926,0.6929,64.4,51.4,2.12
CI-00128,observatie,22.9,0.3,Ni/SiO2,195,24.9,75.1,9.94,60.9,162.9,0.759,0.814,0.7821,63.8,53.3,2.0
CI-00129,observatie,35.3,18.6,Pt/Al2O3,300,27.8,74.9,5.44,44.5,159.9,0.768,0.89,0.7689,68.9,57.6,1.99
CI-00130,observatie,8.7,18.8,Ni/SiO2,301,17.5,53.7,5.17,59.6,147.0,0.828,0.786,0.685,54.7,55.0,1.7
CI-00131,observatie,23.9,5.7,Pd/C,247,24.4,71.4,6.34,47.3,159.9,0.806,0.885,0.7713,68.8,51.1,1.53
CI-00132,observatie,23.8,11.6,Ni/SiO2,279,24.2,74.6,3.69,61.1,146.1,0.822,0.768,0.6867,54.3,51.8,1.26
CI-00133,observatie,38.3,0.3,Pt/Al2O3,172,28.6,75.3,8.38,48.9,165.8,0.716,0.839,0.7732,65.5,50.5,1.76
CI-00134,observatie,13.8,6.0,Pd/C,221,21.3,52.8,3.93,49.0,150.2,0.77,0.89,0.6998,60.7,50.3,1.34
CI-00135,observatie,24.1,14.9,Ni/SiO2,251,25.3,71.4,9.07,59.7,162.7,0.789,0.818,0.7832,63.3,60.4,1.57
CI-00136,observatie,11.5,2.4,Pt/Al2O3,212,22.3,62.4,7.39,45.2,160.0,0.777,0.862,0.7521,64.3,51.0,1.72
CI-00137,observatie,12.1,10.2,Pd/C,260,19.8,61.0,4.1,48.6,153.7,0.775,0.956,0.7046,67.0,53.1,1.96
CI-00138,observatie,29.5,2.2,Pt/Al2O3,222,26.3,72.8,3.51,46.0,155.7,0.726,0.84,0.7374,62.6,51.6,1.92
CI-00139,observatie,15.3,6.1,Pt/Al2O3,224,21.4,67.0,7.89,46.7,160.0,0.789,0.86,0.7439,65.5,49.9,1.37
CI-00140,observatie,23.4,12.1,Pd/C,242,24.6,69.6,5.22,55.3,156.6,0.758,0.893,0.7409,66.6,51.4,1.46
CI-00141,observatie,25.6,2.5,Pt/Al2O3,236,24.6,75.9,3.67,45.2,152.7,0.859,0.851,0.7707,65.6,51.8,2.76
CI-00142,observatie,35.3,1.7,Ni/SiO2,175,28.4,78.5,5.32,60.9,151.1,0.711,0.777,0.6712,53.9,46.9,2.62
CI-00143,observatie,33.1,17.6,Pt/Al2O3,300,28.7,83.9,9.65,42.7,169.6,0.784,0.872,0.8382,72.6,58.9,1.86
CI-00144,observatie,13.3,12.1,Pt/Al2O3,306,19.3,56.3,4.53,43.1,155.6,0.84,0.801,0.7741,63.5,55.8,1.51
CI-00145,observatie,24.4,0.2,Pd/C,207,24.2,72.3,2.96,49.8,151.5,0.794,0.905,0.7166,64.8,51.4,1.86
CI-00146,observatie,18.6,13.0,Pt/Al2O3,246,22.0,61.9,9.4,46.8,165.1,0.758,0.832,0.8134,66.2,55.0,1.9
CI-00147,observatie,9.1,19.1,Pd/C,322,18.8,51.3,5.59,47.9,155.2,0.809,0.907,0.7641,68.5,55.8,1.55
CI-00148,observatie,14.2,7.3,Pd/C,253,20.9,60.6,8.93,48.2,160.2,0.775,0.932,0.7644,70.5,58.8,1.86
CI-00149,observatie,1.2,5.6,Pd/C,230,14.5,39.8,8.44,51.4,156.6,0.756,0.902,0.7915,70.2,54.2,1.41
CI-00150,do(roersnelheid=300),8.0,11.2,Pt/Al2O3,300,17.8,50.0,2.04,42.5,143.1,0.812,0.848,0.6623,54.9,51.0,1.53
CI-00151,observatie,22.8,8.2,Pd/C,208,24.6,72.6,9.98,52.0,161.4,0.795,0.887,0.7967,71.0,52.8,2.05
CI-00152,observatie,12.2,15.8,Ni/SiO2,268,21.1,62.0,8.22,60.0,153.1,0.775,0.824,0.7327,60.7,53.2,1.66
CI-00153,observatie,24.3,3.9,Ni/SiO2,206,24.4,65.7,3.15,59.6,147.5,0.703,0.803,0.6452,51.4,49.6,1.61
CI-00154,observatie,17.2,3.8,Pd/C,196,23.0,66.5,4.0,47.6,153.9,0.735,0.913,0.7078,63.9,48.4,1.85
CI-00155,observatie,21.6,9.3,Pd/C,231,22.4,58.9,6.99,49.1,157.2,0.785,0.914,0.8039,74.6,52.7,1.11
CI-00156,observatie,18.1,12.1,Pt/Al2O3,248,22.1,79.7,5.53,43.7,154.9,0.809,0.867,0.7803,69.0,52.0,1.21
CI-00157,observatie,15.7,18.9,Pd/C,281,21.2,64.4,8.81,51.4,163.1,0.764,0.94,0.7573,71.4,58.2,1.6
CI-00158,observatie,37.3,4.9,Pd/C,240,29.4,77.9,8.52,48.0,163.1,0.757,0.914,0.7685,70.6,52.3,1.64
CI-00159,observatie,16.7,12.0,Pd/C,249,21.7,58.9,6.04,53.4,157.3,0.731,0.903,0.758,67.1,56.2,1.84
CI-00160,do(roersnelheid=300),12.6,10.6,Pd/C,300,21.8,68.6,1.45,45.6,152.6,0.834,0.884,0.7036,63.0,58.3,2.52
CI-00161,observatie,27.3,6.5,Pt/Al2O3,224,26.1,75.4,8.27,47.0,161.9,0.716,0.848,0.8186,69.2,53.3,1.8
CI-00162,observatie,18.3,8.9,Pt/Al2O3,280,22.1,56.2,4.86,48.0,156.9,0.79,0.872,0.7298,64.1,55.4,1.59
CI-00163,do(druk=8),24.8,18.1,Pd/C,300,23.3,63.7,8.0,51.4,160.5,0.843,0.924,0.7386,67.4,53.8,1.62
CI-00164,observatie,27.4,8.4,Pt/Al2O3,262,26.7,71.7,3.15,45.8,151.8,0.826,0.816,0.72,60.8,55.3,1.88
CI-00165,observatie,22.7,7.9,Ni/SiO2,214,24.2,71.8,7.96,60.8,159.7,0.784,0.842,0.7533,63.3,53.0,1.22
CI-00166,observatie,16.2,17.2,Pd/C,293,22.1,61.7,2.98,45.6,153.9,0.837,0.926,0.7088,64.7,53.7,1.68
CI-00167,observatie,24.9,3.4,Pt/Al2O3,206,23.3,68.6,7.03,43.4,162.3,0.785,0.871,0.7815,69.1,50.8,1.81
CI-00168,observatie,24.0,18.5,Pt/Al2O3,295,24.7,70.8,6.96,45.1,159.7,0.751,0.877,0.7681,67.7,57.0,2.32
CI-00169,observatie,27.5,13.2,Pt/Al2O3,265,26.9,71.8,3.7,40.4,157.7,0.778,0.836,0.7216,60.5,53.9,1.73
CI-00170,observatie,13.9,20.0,Pd/C,304,20.0,53.4,9.85,48.4,159.4,0.856,0.91,0.8064,70.5,58.6,1.51
CI-00171,observatie,19.3,3.9,Pt/Al2O3,181,22.8,71.9,1.86,43.4,147.5,0.706,0.841,0.6729,54.6,50.3,1.88
CI-00172,observatie,8.0,7.0,Pd/C,241,19.0,57.1,7.42,48.5,155.8,0.791,0.905,0.7676,68.5,50.2,1.73
CI-00173,observatie,26.0,2.8,Ni/SiO2,263,27.0,66.3,7.51,57.6,157.6,0.795,0.76,0.7542,58.7,55.6,1.42
CI-00174,observatie,9.4,15.5,Ni/SiO2,280,18.3,62.3,4.79,60.0,149.2,0.769,0.823,0.701,58.9,51.4,1.41
CI-00175,observatie,29.0,14.9,Ni/SiO2,279,27.3,73.9,8.12,62.2,160.1,0.777,0.812,0.7471,58.8,56.2,1.6
CI-00176,observatie,8.8,18.0,Pd/C,279,19.4,64.1,4.5,50.4,149.4,0.814,0.905,0.7212,64.2,52.9,1.98
CI-00177,observatie,22.2,16.4,Pt/Al2O3,256,24.2,69.8,5.4,47.2,157.0,0.755,0.888,0.7731,69.4,52.0,1.71
CI-00178,observatie,9.7,5.5,Pd/C,188,18.6,50.9,6.13,44.4,157.2,0.741,0.896,0.7771,69.4,53.0,1.1
CI-00179,observatie,18.5,0.2,Pt/Al2O3,177,22.8,69.0,9.6,47.5,166.6,0.775,0.865,0.8308,71.1,54.1,2.28
CI-00180,observatie,22.7,16.3,Pt/Al2O3,301,25.9,57.1,6.99,44.7,163.4,0.775,0.865,0.7577,66.1,57.8,1.79
CI-00181,observatie,26.4,15.6,Pd/C,259,26.5,69.6,3.35,49.7,151.4,0.748,0.917,0.6952,64.1,56.1,2.53
CI-00182,observatie,32.5,5.9,Ni/SiO2,248,27.5,78.8,1.12,57.8,144.6,0.795,0.784,0.6474,53.7,48.7,1.64
CI-00183,observatie,24.5,9.2,Pd/C,246,25.3,71.3,7.83,50.5,160.0,0.815,0.909,0.8025,74.8,56.4,1.69
CI-00184,observatie,29.7,3.1,Pd/C,248,26.9,73.8,2.39,48.4,149.0,0.794,0.893,0.6831,61.4,52.5,1.39
CI-00185,observatie,10.1,19.0,Ni/SiO2,302,18.4,62.1,5.34,61.5,149.4,0.85,0.796,0.72,57.0,54.1,1.87
