datum,dag_sinds_reiniging,hot_inlet_C,hot_outlet_C,hot_flow_m3h,cold_inlet_C,cold_outlet_C,cold_flow_m3h,drukval_hot_bar,drukval_cold_bar,U_actueel_Wm2K,effectiviteit,fouling_factor,onderhoudsstatus
2025-01-04 02:00,3,147.8,85.1,55.2,19.7,71.3,53.7,0.575,0.413,229.0,0.49,0.00237,waarschuwing
2025-01-04 03:00,3,151.9,91.5,55.4,21.2,70.9,63.8,0.591,0.471,192.8,0.462,0.00319,gepland
2025-01-04 04:00,3,150.7,78.3,50.0,19.4,81.4,61.4,0.572,0.412,359.9,0.551,0.00078,ok
2025-01-04 05:00,3,151.6,81.8,51.0,19.5,76.8,60.2,0.553,0.389,296.7,0.529,0.00137,ok
2025-01-04 06:00,3,149.2,89.1,48.5,20.6,70.8,51.8,0.584,0.457,206.3,0.467,0.00285,waarschuwing
2025-01-04 07:00,3,150.4,71.6,46.9,18.9,85.5,60.2,0.51,0.381,500.0,0.6,0.0,ok
2025-01-04 08:00,3,147.0,84.2,46.2,19.4,70.9,56.5,0.584,0.475,237.8,0.492,0.00221,waarschuwing
2025-01-04 09:00,3,151.2,80.7,51.3,19.1,78.4,64.4,0.544,0.435,306.0,0.534,0.00127,ok
2025-01-04 10:00,3,154.0,94.8,47.0,21.1,71.4,56.1,0.576,0.439,185.4,0.445,0.00339,gepland
2025-01-04 11:00,3,148.2,80.9,51.1,21.6,77.5,58.2,0.526,0.438,298.0,0.531,0.00136,ok
2025-01-04 12:00,3,152.1,72.9,47.5,20.3,86.7,62.5,0.511,0.386,500.0,0.601,0.0,ok
2025-01-04 13:00,3,151.4,92.0,46.6,18.8,67.4,69.9,0.611,0.466,175.8,0.447,0.00369,gepland
2025-01-04 14:00,3,150.2,73.7,48.6,19.5,82.9,62.2,0.531,0.412,441.4,0.586,0.00027,ok
2025-01-04 15:00,3,149.5,74.9,53.2,19.4,81.4,62.0,0.503,0.406,425.3,0.573,0.00035,ok
2025-01-04 16:00,3,151.5,72.9,51.3,19.4,84.8,55.8,0.473,0.363,500.0,0.595,0.0,ok
2025-01-04 17:00,3,148.6,96.2,46.3,21.3,65.6,64.6,0.655,0.472,151.4,0.411,0.00461,gepland
2025-01-04 18:00,3,150.5,91.1,41.7,18.0,68.3,66.6,0.652,0.44,186.7,0.448,0.00336,gepland
2025-01-04 19:00,3,148.5,81.4,48.3,18.0,74.4,63.8,0.52,0.434,271.6,0.514,0.00168,ok
2025-01-04 20:00,3,148.3,71.3,51.5,19.4,83.4,59.0,0.5,0.394,500.0,0.597,0.0,ok
2025-01-04 21:00,3,152.8,74.1,46.7,22.0,87.7,61.7,0.478,0.426,500.0,0.602,0.0,ok
2025-01-04 22:00,3,151.3,94.3,53.3,20.4,67.9,59.6,0.645,0.51,171.9,0.436,0.00382,gepland
2025-01-04 23:00,3,150.7,96.8,55.1,19.9,64.0,63.5,0.624,0.445,152.3,0.412,0.00457,gepland
2025-01-05 00:00,4,148.3,92.8,51.0,18.7,64.8,57.4,0.635,0.472,173.2,0.428,0.00377,gepland
2025-01-05 01:00,4,148.1,84.5,49.5,20.8,73.8,61.3,0.568,0.428,244.1,0.499,0.0021,waarschuwing
2025-01-05 02:00,4,151.9,73.2,55.0,20.1,86.3,54.5,0.501,0.381,500.0,0.597,0.0,ok
2025-01-05 03:00,4,150.9,85.1,53.7,21.2,76.4,55.5,0.562,0.432,258.7,0.507,0.00186,ok
2025-01-05 04:00,4,152.1,89.7,49.3,21.7,74.2,59.6,0.558,0.468,232.5,0.479,0.0023,waarschuwing
2025-01-05 05:00,4,151.0,80.3,49.0,23.4,81.8,63.6,0.51,0.41,347.5,0.554,0.00088,ok
2025-01-05 06:00,4,151.2,77.9,50.5,20.0,81.2,60.5,0.504,0.395,358.7,0.559,0.00079,ok
2025-01-05 07:00,4,151.8,93.1,51.0,20.9,70.0,61.2,0.609,0.463,187.6,0.449,0.00333,gepland
2025-01-05 08:00,4,150.3,105.3,51.3,20.6,58.5,53.4,0.707,0.488,108.5,0.347,0.00721,gepland
2025-01-05 09:00,4,150.5,95.6,49.1,20.4,66.1,62.6,0.644,0.483,158.3,0.422,0.00432,gepland
2025-01-05 10:00,4,151.1,89.2,52.1,21.0,73.7,54.1,0.584,0.481,215.6,0.476,0.00264,waarschuwing
2025-01-05 11:00,4,149.3,86.7,45.8,22.4,73.8,59.4,0.557,0.433,239.2,0.494,0.00218,waarschuwing
2025-01-05 12:00,4,151.4,76.5,51.0,19.7,82.5,57.7,0.53,0.415,382.6,0.569,0.00061,ok
2025-01-05 13:00,4,149.9,92.9,50.1,20.2,68.0,64.4,0.598,0.481,179.5,0.44,0.00357,gepland
2025-01-05 14:00,4,148.2,85.2,47.8,21.6,73.8,61.9,0.567,0.43,241.8,0.498,0.00214,waarschuwing
2025-01-05 15:00,4,151.6,87.1,42.1,21.5,75.4,56.7,0.548,0.442,241.3,0.496,0.00214,waarschuwing
2025-01-05 16:00,4,152.7,86.6,51.9,18.2,73.8,54.9,0.588,0.444,250.6,0.491,0.00199,ok
2025-01-05 17:00,4,149.4,80.8,49.3,18.5,76.2,55.3,0.547,0.436,293.3,0.524,0.00141,ok
2025-01-05 18:00,4,151.3,92.6,50.2,20.6,69.2,66.3,0.604,0.446,185.6,0.449,0.00339,gepland
2025-01-05 19:00,4,150.9,95.4,47.5,21.5,68.0,54.3,0.605,0.483,168.0,0.429,0.00395,gepland
2025-01-05 20:00,4,152.2,97.3,49.9,21.5,68.1,63.2,0.642,0.485,163.2,0.42,0.00413,gepland
2025-01-05 21:00,4,150.1,94.0,52.2,22.0,68.4,62.3,0.611,0.483,170.1,0.438,0.00388,gepland
2025-01-05 22:00,4,148.4,91.9,52.7,20.3,67.8,56.4,0.573,0.494,183.7,0.441,0.00344,gepland
2025-01-05 23:00,4,148.9,93.9,45.1,21.4,67.7,59.1,0.645,0.466,169.3,0.431,0.00391,gepland
2025-01-06 00:00,5,150.7,90.3,54.5,20.4,69.7,61.9,0.597,0.432,202.9,0.464,0.00293,waarschuwing
2025-01-06 01:00,5,151.9,98.1,47.8,20.0,66.0,59.3,0.624,0.493,149.9,0.408,0.00467,gepland
2025-01-06 02:00,5,150.8,97.2,45.0,23.4,67.9,68.6,0.608,0.447,156.2,0.421,0.0044,gepland
2025-01-06 03:00,5,150.4,97.9,50.4,20.6,64.6,56.4,0.657,0.541,145.2,0.405,0.00489,gepland
2025-01-06 04:00,5,150.4,98.8,49.9,21.2,64.5,62.4,0.628,0.515,142.7,0.399,0.00501,gepland
2025-01-06 05:00,5,153.7,99.0,52.6,22.0,67.2,55.8,0.631,0.496,155.1,0.416,0.00445,gepland
2025-01-06 06:00,5,153.4,73.5,52.7,19.9,87.1,62.9,0.492,0.409,500.0,0.598,0.0,ok
2025-01-06 07:00,5,149.0,107.8,49.3,20.5,56.3,58.8,0.766,0.562,95.6,0.32,0.00846,gepland
2025-01-06 08:00,5,151.6,94.8,51.8,21.0,67.4,59.3,0.595,0.474,174.5,0.435,0.00373,gepland
2025-01-06 09:00,5,154.2,105.6,55.3,21.0,61.9,55.9,0.741,0.595,118.6,0.365,0.00643,gepland
2025-01-06 10:00,5,150.1,95.1,49.1,21.0,66.8,64.0,0.629,0.501,166.6,0.426,0.004,gepland
2025-01-06 11:00,5,151.3,79.7,51.7,19.1,79.4,58.9,0.53,0.433,327.5,0.542,0.00105,ok
2025-01-06 12:00,5,152.5,72.7,48.5,19.9,86.3,58.6,0.523,0.383,500.0,0.602,0.0,ok
2025-01-06 13:00,5,151.8,92.8,48.1,19.0,69.6,61.6,0.598,0.47,187.1,0.445,0.00334,gepland
2025-01-06 14:00,5,148.1,94.9,49.0,21.5,66.7,58.6,0.598,0.505,161.0,0.42,0.00421,gepland
2025-01-06 15:00,5,152.7,96.9,50.4,20.4,66.4,53.6,0.659,0.478,156.2,0.422,0.0044,gepland
2025-01-06 16:00,5,153.0,102.0,48.1,21.0,63.6,60.8,0.679,0.527,136.9,0.386,0.0053,gepland
2025-01-06 17:00,5,153.8,99.3,50.2,19.4,66.3,58.1,0.658,0.511,151.6,0.405,0.0046,gepland
2025-01-06 18:00,5,151.0,95.3,49.7,19.6,65.7,68.2,0.602,0.491,160.3,0.424,0.00424,gepland
2025-01-06 19:00,5,150.1,96.9,48.3,20.3,64.7,54.0,0.655,0.521,150.6,0.41,0.00464,gepland
2025-01-06 20:00,5,147.3,102.6,50.2,19.8,57.9,58.3,0.673,0.55,112.3,0.351,0.0069,gepland
2025-01-06 21:00,5,154.6,98.3,46.1,21.3,67.6,55.3,0.632,0.54,160.3,0.422,0.00424,gepland
2025-01-06 22:00,5,147.7,101.1,45.2,23.0,60.8,60.8,0.68,0.494,125.2,0.373,0.00599,gepland
2025-01-06 23:00,5,152.2,105.1,49.9,21.5,60.5,62.6,0.706,0.525,115.0,0.36,0.0067,gepland
2025-01-07 00:00,6,150.6,97.2,49.6,19.3,63.4,63.5,0.678,0.52,149.1,0.407,0.00471,gepland
2025-01-07 01:00,6,151.2,101.9,52.4,20.7,60.9,60.2,0.672,0.496,125.5,0.378,0.00597,gepland
2025-01-07 02:00,6,151.0,102.9,54.8,19.7,59.3,57.5,0.639,0.512,121.6,0.367,0.00622,gepland
2025-01-07 03:00,6,150.1,86.6,52.2,22.1,76.0,53.7,0.573,0.412,250.5,0.496,0.00199,ok
2025-01-07 04:00,6,147.4,101.2,46.0,20.4,58.4,65.7,0.709,0.548,117.1,0.363,0.00654,gepland
2025-01-07 05:00,6,152.3,98.2,48.6,20.5,65.2,61.2,0.653,0.485,149.0,0.41,0.00471,gepland
2025-01-07 06:00,6,152.9,100.5,51.2,19.7,63.0,65.4,0.648,0.513,137.2,0.393,0.00529,gepland
2025-01-07 07:00,6,149.6,106.5,48.3,21.9,58.2,63.4,0.763,0.593,100.8,0.337,0.00792,gepland
2025-01-07 08:00,6,149.3,90.7,47.0,21.4,69.8,61.8,0.581,0.454,196.6,0.458,0.00309,gepland
2025-01-07 09:00,6,150.9,101.7,50.9,21.6,62.9,59.0,0.635,0.519,129.7,0.381,0.00571,gepland
2025-01-07 10:00,6,153.7,109.4,52.9,20.9,58.0,62.1,0.766,0.57,102.2,0.333,0.00779,gepland
2025-01-07 11:00,6,147.0,81.2,51.5,21.0,75.7,67.2,0.55,0.419,285.2,0.522,0.00151,ok
2025-01-07 12:00,6,153.0,98.9,52.0,20.5,65.6,59.1,0.592,0.502,150.3,0.408,0.00465,gepland
2025-01-07 13:00,6,148.2,92.6,49.1,21.4,67.3,62.0,0.595,0.48,168.7,0.439,0.00393,gepland
2025-01-07 14:00,6,150.2,82.5,51.8,22.4,79.4,63.9,0.539,0.423,311.4,0.529,0.00121,ok
2025-01-07 15:00,6,152.9,94.9,51.4,23.2,72.2,56.2,0.618,0.501,186.7,0.448,0.00336,gepland
2025-01-07 16:00,6,151.1,91.3,43.4,19.6,69.8,56.8,0.593,0.465,193.4,0.455,0.00317,gepland
2025-01-07 17:00,6,151.9,106.3,48.8,21.2,59.1,59.3,0.69,0.527,107.8,0.349,0.00728,gepland
2025-01-07 18:00,6,149.5,85.9,48.7,21.5,74.6,67.4,0.534,0.426,248.1,0.497,0.00203,waarschuwing
2025-01-07 19:00,6,152.5,96.5,50.3,22.0,68.8,56.7,0.655,0.505,165.8,0.429,0.00403,gepland
2025-01-07 20:00,6,150.5,102.0,50.9,20.1,60.5,62.0,0.694,0.545,121.0,0.372,0.00626,gepland
2025-01-07 21:00,6,154.8,78.4,50.0,20.3,84.2,56.2,0.498,0.377,399.9,0.568,0.0005,ok
2025-01-07 22:00,6,154.0,89.0,46.0,21.3,74.0,56.2,0.597,0.459,228.2,0.489,0.00238,waarschuwing
2025-01-07 23:00,6,152.3,95.0,52.6,19.9,67.5,53.7,0.621,0.489,164.7,0.433,0.00407,gepland
2025-01-08 00:00,7,149.4,92.7,48.1,21.7,68.4,57.9,0.574,0.445,178.4,0.445,0.00361,gepland
2025-01-08 01:00,7,149.6,109.8,47.9,21.3,54.3,59.0,0.759,0.587,88.8,0.31,0.00926,gepland
2025-01-08 02:00,7,150.3,111.5,45.2,20.3,54.0,60.8,0.747,0.591,86.2,0.298,0.0096,gepland
2025-01-08 03:00,7,148.6,94.6,48.8,22.2,67.2,58.2,0.63,0.499,159.4,0.427,0.00427,gepland
2025-01-08 04:00,7,152.8,111.0,46.9,20.5,56.0,65.9,0.791,0.615,91.1,0.315,0.00898,gepland
2025-01-08 05:00,7,152.3,102.2,45.9,20.5,61.5,66.4,0.659,0.523,125.9,0.38,0.00594,gepland
2025-01-08 06:00,7,148.5,105.4,52.0,20.6,56.6,55.5,0.752,0.581,100.5,0.337,0.00795,gepland
2025-01-08 07:00,7,152.5,98.3,53.8,21.4,66.2,61.4,0.629,0.516,150.6,0.414,0.00464,gepland
2025-01-08 08:00,7,148.0,102.4,52.7,19.6,56.3,52.8,0.692,0.504,109.1,0.355,0.00716,gepland
2025-01-08 09:00,7,153.5,112.9,57.9,21.3,54.9,62.7,0.828,0.591,85.6,0.307,0.00968,gepland
2025-01-08 10:00,7,151.3,103.3,52.9,19.9,61.1,60.1,0.686,0.497,122.8,0.366,0.00614,gepland
2025-01-08 11:00,7,152.6,104.2,48.6,22.5,62.2,64.1,0.721,0.522,123.5,0.372,0.0061,gepland
2025-01-08 12:00,7,150.2,101.1,50.0,20.8,62.9,54.1,0.678,0.482,128.2,0.379,0.0058,gepland
2025-01-08 13:00,7,155.7,104.7,51.1,21.0,62.6,57.9,0.681,0.542,124.0,0.378,0.00606,gepland
2025-01-08 14:00,7,152.1,98.1,53.1,20.6,64.3,65.7,0.694,0.518,146.5,0.41,0.00483,gepland
2025-01-08 15:00,7,150.1,104.1,47.6,20.9,58.2,66.3,0.683,0.489,110.0,0.356,0.00709,gepland
2025-01-08 16:00,7,147.7,101.1,45.5,22.7,60.5,57.0,0.68,0.493,121.4,0.373,0.00624,gepland
2025-01-08 17:00,7,153.6,93.7,46.6,21.4,71.4,59.2,0.606,0.498,191.8,0.453,0.00321,gepland
2025-01-08 18:00,7,155.0,111.3,44.5,20.8,56.6,64.1,0.784,0.583,95.7,0.325,0.00845,gepland
2025-01-08 19:00,7,148.3,94.1,55.2,20.4,64.5,61.8,0.651,0.493,159.2,0.424,0.00428,gepland
2025-01-08 20:00,7,148.4,93.8,45.3,22.7,68.5,57.9,0.602,0.475,176.7,0.434,0.00366,gepland
2025-01-08 21:00,7,151.4,92.9,52.2,19.2,68.3,65.9,0.621,0.516,177.8,0.442,0.00363,gepland
2025-01-08 22:00,7,148.4,94.6,48.1,21.9,67.8,63.7,0.608,0.485,168.4,0.425,0.00394,gepland
2025-01-08 23:00,7,153.2,105.3,54.8,20.0,60.5,61.9,0.693,0.533,117.1,0.359,0.00654,gepland
2025-01-09 00:00,8,153.0,113.4,54.8,21.9,55.5,58.7,0.824,0.608,83.4,0.302,0.00999,gepland
2025-01-09 01:00,8,150.2,111.9,47.2,21.1,52.8,57.1,0.809,0.621,81.2,0.297,0.01032,gepland
2025-01-09 02:00,8,152.3,105.9,52.4,20.7,58.5,62.9,0.684,0.525,108.8,0.352,0.00719,gepland
2025-01-09 03:00,8,152.3,108.0,52.1,20.7,56.6,54.4,0.74,0.557,97.0,0.337,0.00831,gepland
2025-01-09 04:00,8,152.8,100.8,50.0,20.4,63.8,61.4,0.676,0.521,136.1,0.392,0.00535,gepland
2025-01-09 05:00,8,151.7,109.8,54.8,22.7,57.2,61.8,0.725,0.604,97.6,0.325,0.00824,gepland
2025-01-09 06:00,8,152.4,103.1,50.0,22.3,63.7,64.7,0.688,0.53,126.2,0.379,0.00593,gepland
2025-01-09 07:00,8,151.2,103.2,45.5,19.6,58.8,59.0,0.692,0.51,116.9,0.365,0.00656,gepland
2025-01-09 08:00,8,153.1,109.7,47.8,18.6,54.3,69.5,0.766,0.574,92.2,0.323,0.00885,gepland
2025-01-09 09:00,8,147.9,106.1,44.2,20.0,54.0,56.7,0.704,0.514,96.5,0.327,0.00836,gepland
2025-01-09 10:00,8,149.2,109.9,46.8,22.3,54.5,55.2,0.775,0.595,87.2,0.31,0.00946,gepland
2025-01-09 11:00,8,149.3,101.4,51.3,21.8,61.2,54.0,0.653,0.529,121.1,0.375,0.00626,gepland
2025-01-09 12:00,8,151.8,100.1,45.5,22.2,65.6,63.2,0.637,0.494,145.3,0.399,0.00488,gepland
2025-01-09 13:00,8,152.6,105.1,51.1,20.7,60.6,53.3,0.744,0.535,115.6,0.36,0.00665,gepland
2025-01-09 14:00,8,152.5,112.4,52.5,19.2,52.6,59.8,0.774,0.635,82.7,0.301,0.01009,gepland
2025-01-09 15:00,8,152.5,111.4,49.9,21.3,54.7,62.7,0.788,0.606,84.8,0.313,0.0098,gepland
2025-01-09 16:00,8,151.5,101.3,47.9,19.9,62.1,64.7,0.628,0.534,132.0,0.382,0.00557,gepland
2025-01-09 17:00,8,151.0,97.9,48.4,20.6,64.4,52.1,0.654,0.472,143.9,0.407,0.00495,gepland
2025-01-09 18:00,8,147.7,106.6,53.8,20.3,55.1,64.2,0.768,0.544,97.5,0.323,0.00826,gepland
2025-01-09 19:00,8,152.1,106.5,47.2,21.5,60.2,58.7,0.714,0.582,111.6,0.349,0.00696,gepland
2025-01-09 20:00,8,149.9,109.9,52.4,22.0,54.4,60.1,0.787,0.554,88.3,0.313,0.00933,gepland
2025-01-09 21:00,8,150.9,112.3,46.2,21.9,54.6,56.5,0.827,0.603,86.0,0.299,0.00963,gepland
2025-01-09 22:00,8,151.3,103.9,54.1,22.3,61.5,53.7,0.67,0.495,122.3,0.368,0.00618,gepland
2025-01-09 23:00,8,151.9,106.8,53.7,21.4,58.7,53.1,0.72,0.504,107.2,0.346,0.00733,gepland
2025-01-10 00:00,9,150.8,105.8,57.3,21.0,59.0,55.0,0.727,0.564,110.1,0.347,0.00709,gepland
2025-01-10 01:00,9,153.6,112.6,51.6,19.3,54.0,59.5,0.785,0.603,88.8,0.305,0.00926,gepland
2025-01-10 02:00,9,150.5,103.2,55.9,22.2,60.3,59.8,0.678,0.531,119.0,0.369,0.00641,gepland
2025-01-10 03:00,9,152.2,111.4,47.6,20.3,53.4,61.8,0.79,0.57,83.3,0.309,0.01,gepland
2025-01-10 04:00,9,151.3,109.0,44.3,21.0,57.0,59.8,0.72,0.576,97.4,0.325,0.00827,gepland
2025-01-10 05:00,9,154.3,115.5,48.8,19.5,52.1,50.6,0.804,0.596,77.8,0.288,0.01085,gepland
