timestamp,R_voeding_flow_kgh,R_voeding_temp_C,R_voeding_zuiverheid,R_temp_sp_C,R_temp_actueel_C,R_druk_bar,R_niveau_pct,R_conversie,S_temp_C,S_druk_bar,S_niveau_pct,S_damp_flow_kgh,S_vloeistof_flow_kgh,S_vloeistof_zuiverheid,K_reflux_ratio,K_reboiler_duty_kW,K_top_temp_C,K_bodem_temp_C,K_drukval_bar,product_zuiverheid,product_flow_kgh,totaal_energie_kW,on_spec,event
2025-04-01 00:50:00,101.3,24.3,0.94,150.2,149.82,5.0,62.1,0.835,119.9,1.99,50.9,29.7,71.3,0.9356,2.55,80.4,78.2,120.1,0.3035,0.99666,66.9,111.3,1,normaal
2025-04-01 00:55:00,101.2,25.3,0.936,150.2,149.85,4.96,59.9,0.845,120.1,2.01,50.6,30.9,69.9,0.9311,2.37,79.7,77.9,120.0,0.3122,0.9895,64.9,111.7,0,normaal
2025-04-01 01:00:00,101.5,25.8,0.951,150.2,149.93,4.92,60.6,0.846,119.7,2.06,48.0,30.5,70.8,0.9312,2.62,80.9,78.0,119.6,0.3172,0.99675,66.2,112.1,1,normaal
2025-04-01 01:05:00,101.1,25.4,0.953,150.2,149.98,5.04,60.7,0.844,119.9,1.97,51.7,30.1,71.6,0.9342,2.52,85.2,79.1,120.1,0.3028,0.99401,66.9,115.3,1,normaal
2025-04-01 01:10:00,100.5,24.6,0.936,150.2,149.93,4.96,61.0,0.84,119.4,1.98,51.4,29.9,71.3,0.9361,2.54,82.6,77.7,120.2,0.3066,0.99584,66.6,111.8,1,normaal
2025-04-01 01:15:00,101.3,24.6,0.934,150.2,150.12,4.98,60.9,0.864,119.3,1.97,54.1,30.9,71.2,0.9405,2.49,83.7,78.5,119.8,0.3113,0.99279,67.0,112.8,1,normaal
2025-04-01 01:20:00,102.9,24.9,0.951,150.2,150.14,5.08,61.3,0.831,120.0,2.04,54.5,31.8,72.1,0.9321,2.4,79.3,78.2,119.8,0.3131,0.99052,67.4,108.6,1,normaal
2025-04-01 01:25:00,102.0,25.7,0.943,150.3,150.02,5.05,60.9,0.836,119.8,2.0,50.6,30.0,72.1,0.9342,2.51,79.7,78.4,120.7,0.3162,0.99329,67.3,110.3,1,normaal
2025-04-01 01:30:00,101.7,24.6,0.959,150.3,150.04,4.97,63.4,0.858,120.5,1.97,47.0,30.9,71.1,0.9377,2.47,81.7,78.6,120.4,0.3067,0.99319,66.6,111.2,1,normaal
2025-04-01 01:35:00,102.6,25.7,0.96,150.3,149.9,4.93,60.2,0.843,119.4,2.03,50.0,30.7,71.1,0.9411,2.36,78.6,77.5,119.8,0.3105,0.99,66.9,108.7,0,normaal
2025-04-01 01:40:00,101.1,24.5,0.944,150.3,149.87,5.03,62.7,0.833,120.1,1.96,49.4,30.3,71.3,0.9412,2.43,86.2,78.5,120.6,0.3081,0.99267,67.1,115.8,1,normaal
2025-04-01 01:45:00,102.1,24.8,0.942,150.3,149.77,4.97,64.2,0.84,120.1,2.08,51.8,30.0,71.2,0.9328,2.55,80.6,78.1,119.5,0.3091,0.99431,66.2,112.9,1,normaal
2025-04-01 01:50:00,105.2,24.2,0.95,150.3,149.72,4.98,62.2,0.837,120.6,1.96,50.5,31.9,72.5,0.9403,2.57,78.9,77.1,120.0,0.3089,0.99357,68.0,109.9,1,normaal
2025-04-01 01:55:00,101.3,25.1,0.958,150.4,149.71,4.99,62.5,0.854,120.6,1.97,49.3,30.3,70.9,0.9491,2.51,79.6,78.1,120.1,0.3045,0.99461,67.2,107.9,1,normaal
2025-04-01 02:00:00,104.2,25.3,0.957,150.4,149.75,5.01,62.3,0.852,119.8,2.0,57.6,31.7,72.2,0.9379,2.46,79.7,78.2,119.5,0.3097,0.99331,67.7,110.6,1,normaal
2025-04-01 02:05:00,102.2,25.3,0.957,150.4,149.88,5.03,61.5,0.83,120.0,2.01,54.4,31.0,71.9,0.9341,2.46,83.4,78.2,120.1,0.3067,0.99227,67.1,115.6,1,normaal
2025-04-01 02:10:00,102.2,25.4,0.958,150.4,149.71,4.94,62.6,0.842,119.2,1.98,48.5,30.0,71.3,0.9336,2.5,77.8,77.7,119.7,0.3202,0.99309,66.7,107.8,1,normaal
2025-04-01 02:15:00,102.2,25.6,0.947,150.4,149.71,5.0,61.9,0.834,120.3,1.99,51.7,31.0,71.5,0.9246,2.57,79.6,77.8,120.5,0.3084,0.99483,66.3,110.2,1,normaal
2025-04-01 02:20:00,102.7,25.3,0.965,150.4,149.76,5.07,63.0,0.854,119.6,2.06,50.9,30.7,71.7,0.936,2.47,83.7,78.6,120.1,0.3062,0.99277,67.2,114.1,1,normaal
2025-04-01 02:25:00,102.0,24.9,0.968,150.5,149.85,5.07,61.8,0.849,120.2,2.0,50.5,30.8,70.9,0.9351,2.47,80.6,78.2,120.0,0.3077,0.99252,66.2,110.2,1,normaal
2025-04-01 02:30:00,102.0,25.3,0.942,150.5,149.92,5.03,63.2,0.857,120.5,1.98,49.5,30.2,71.1,0.9342,2.54,78.1,78.0,119.4,0.3151,0.99319,66.4,106.3,1,normaal
2025-04-01 02:35:00,103.6,24.2,0.954,150.5,150.03,5.07,64.8,0.843,119.6,2.01,54.0,30.9,73.5,0.9348,2.54,80.0,78.3,119.5,0.314,0.99589,68.8,109.8,1,normaal
2025-04-01 02:40:00,102.9,25.9,0.958,150.5,150.03,5.08,61.2,0.85,120.0,1.97,55.5,30.6,72.9,0.9398,2.48,81.7,78.0,120.0,0.3131,0.9936,68.3,111.7,1,normaal
2025-04-01 02:45:00,100.8,25.3,0.966,150.5,150.08,4.92,63.5,0.854,119.6,2.01,48.5,30.4,71.0,0.9422,2.42,82.4,78.1,120.3,0.3135,0.99347,66.9,111.5,1,normaal
2025-04-01 02:50:00,103.0,24.3,0.941,150.5,149.9,5.02,62.8,0.846,119.8,2.05,51.9,30.8,72.1,0.9435,2.46,79.0,78.0,120.1,0.3065,0.99339,68.1,110.1,1,normaal
2025-04-01 02:55:00,101.6,25.3,0.951,150.5,149.86,4.95,63.4,0.836,119.3,1.97,52.2,30.4,71.6,0.9363,2.4,80.7,78.3,120.3,0.306,0.99304,66.9,109.8,1,normaal
2025-04-01 03:00:00,103.2,25.1,0.943,150.6,149.95,5.06,61.8,0.861,119.8,1.95,50.4,30.7,72.1,0.9411,2.53,78.8,77.8,119.6,0.3043,0.99348,68.1,110.7,1,normaal
2025-04-01 03:05:00,103.4,25.1,0.952,150.6,149.97,5.01,62.4,0.855,120.2,1.95,52.9,30.7,73.5,0.9408,2.55,78.0,77.3,120.4,0.3142,0.99589,69.4,106.8,1,normaal
2025-04-01 03:10:00,104.8,24.2,0.945,150.6,149.84,4.99,64.6,0.857,120.5,1.99,51.1,31.3,73.4,0.9269,2.45,82.4,78.5,120.2,0.3106,0.9907,68.1,113.2,1,normaal
2025-04-01 03:15:00,105.2,25.7,0.95,150.6,149.83,5.0,62.9,0.849,119.5,1.99,50.9,31.8,72.1,0.9386,2.48,80.0,77.9,120.8,0.3096,0.99327,67.8,110.7,1,normaal
2025-04-01 03:20:00,105.3,24.4,0.955,150.6,149.79,4.97,63.4,0.844,120.1,1.99,56.0,31.8,73.1,0.9451,2.46,82.7,78.3,119.7,0.3136,0.99421,69.1,112.5,1,normaal
2025-04-01 03:25:00,104.1,26.3,0.95,150.6,149.57,4.99,64.9,0.856,120.2,1.98,51.1,30.2,73.5,0.9273,2.48,84.4,77.8,120.4,0.3098,0.99426,68.3,114.7,1,normaal
2025-04-01 03:30:00,104.0,25.5,0.957,150.7,149.46,4.95,64.4,0.846,119.6,2.01,51.2,30.6,73.8,0.9395,2.51,81.3,78.0,119.6,0.3089,0.99569,69.1,111.1,1,normaal
2025-04-01 03:35:00,103.4,24.7,0.952,150.7,149.66,5.02,64.3,0.853,119.2,1.98,50.6,30.8,73.3,0.9403,2.46,81.4,78.2,119.9,0.3068,0.99379,69.0,112.1,1,normaal
2025-04-01 03:40:00,104.6,24.0,0.934,150.7,149.58,5.0,63.0,0.841,119.6,1.98,55.2,32.0,73.2,0.9461,2.57,79.8,78.4,120.4,0.308,0.99439,69.3,112.3,1,normaal
2025-04-01 03:45:00,105.0,24.9,0.936,150.7,149.5,4.97,63.2,0.855,119.6,2.0,51.1,31.0,73.7,0.9356,2.48,80.3,78.0,119.9,0.3092,0.99484,69.0,110.8,1,normaal
2025-04-01 03:50:00,105.2,24.2,0.946,150.7,149.41,5.01,64.2,0.845,119.7,1.97,54.5,31.7,73.9,0.9392,2.46,79.4,77.7,119.7,0.3124,0.99319,69.2,110.3,1,normaal
2025-04-01 03:55:00,105.7,24.7,0.942,150.7,149.36,4.99,64.4,0.837,118.5,1.95,53.5,31.3,75.0,0.9552,2.45,84.0,78.7,120.4,0.321,0.99379,71.8,115.5,1,normaal
2025-04-01 04:00:00,104.7,24.5,0.943,150.7,149.4,5.0,63.5,0.842,119.1,2.03,51.9,30.9,74.2,0.9323,2.36,79.9,78.0,119.6,0.3078,0.99005,68.8,108.7,1,normaal
2025-04-01 04:05:00,104.3,24.9,0.946,150.8,149.43,5.05,64.9,0.857,119.6,2.02,54.9,31.0,73.3,0.9354,2.45,79.0,77.7,119.5,0.3016,0.99324,68.4,109.6,1,normaal
2025-04-01 04:10:00,103.7,24.3,0.949,150.8,149.64,5.04,64.8,0.837,120.0,2.02,55.5,31.3,71.9,0.9332,2.55,81.8,78.1,120.1,0.3084,0.99669,67.4,111.2,1,normaal
2025-04-01 04:15:00,106.6,25.0,0.939,150.8,149.42,4.98,64.4,0.846,120.4,1.97,52.4,31.6,74.7,0.9371,2.57,78.1,78.0,119.7,0.3077,0.99413,69.9,109.0,1,normaal
2025-04-01 04:20:00,102.6,25.4,0.928,150.8,149.46,4.98,64.6,0.859,119.5,1.95,53.1,30.7,72.3,0.9333,2.54,81.3,78.0,120.0,0.311,0.99545,67.4,112.6,1,normaal
2025-04-01 04:25:00,104.7,24.6,0.955,150.8,149.6,5.04,63.9,0.849,119.5,1.97,51.0,31.7,73.1,0.9375,2.5,82.6,77.9,120.6,0.3092,0.99548,68.5,111.8,1,normaal
2025-04-01 04:30:00,103.5,25.8,0.963,150.8,149.76,5.03,63.7,0.832,119.5,2.06,46.6,31.2,72.2,0.9381,2.44,81.2,77.7,120.8,0.3126,0.9928,67.8,110.4,1,normaal
2025-04-01 04:35:00,105.1,25.2,0.961,150.9,149.63,5.02,65.4,0.834,119.2,2.01,53.2,31.4,72.6,0.9435,2.48,83.0,78.4,119.9,0.319,0.99328,68.6,111.3,1,normaal
2025-04-01 04:40:00,104.5,24.9,0.947,150.9,149.63,5.02,65.5,0.846,118.8,1.99,55.1,31.4,74.5,0.9397,2.52,81.2,78.5,120.2,0.3078,0.99332,70.0,111.8,1,normaal
2025-04-01 04:45:00,105.3,24.4,0.954,150.9,149.7,4.94,65.7,0.83,119.4,2.03,51.6,31.4,73.2,0.9331,2.49,79.4,78.2,120.2,0.312,0.99229,68.7,110.8,1,normaal
2025-04-01 04:50:00,104.0,24.3,0.942,150.9,149.73,4.99,65.7,0.834,119.3,2.05,47.6,30.5,73.0,0.936,2.5,82.8,78.2,120.1,0.3068,0.99136,68.4,113.1,1,normaal
2025-04-01 04:55:00,106.2,24.9,0.959,150.9,149.85,5.0,64.7,0.852,119.6,2.0,57.6,30.5,75.9,0.9375,2.44,88.2,78.9,120.5,0.305,0.992,71.2,116.6,1,normaal
2025-04-01 05:00:00,106.4,25.4,0.949,150.9,149.84,5.05,64.3,0.843,120.0,1.99,58.0,30.9,75.2,0.9446,2.58,82.1,78.2,120.0,0.3085,0.99519,71.0,112.5,1,normaal
2025-04-01 05:05:00,104.7,24.6,0.949,150.9,149.79,5.09,65.6,0.847,120.1,1.99,52.9,31.4,73.6,0.9337,2.54,82.4,78.4,120.1,0.3088,0.99423,68.7,113.5,1,normaal
2025-04-01 05:10:00,104.5,24.8,0.931,151.0,149.57,4.9,64.5,0.843,119.6,2.01,52.2,30.9,72.6,0.9377,2.55,79.2,77.9,119.8,0.3026,0.99444,68.1,112.1,1,normaal
2025-04-01 05:15:00,105.4,25.5,0.952,151.0,149.62,4.99,64.8,0.836,120.7,2.05,52.5,31.4,74.0,0.9366,2.43,80.1,78.1,119.9,0.3093,0.99166,69.2,111.3,1,normaal
2025-04-01 05:20:00,105.8,25.1,0.945,151.0,149.68,4.98,63.9,0.839,119.9,2.02,52.2,32.7,72.9,0.9353,2.46,81.7,78.0,119.4,0.3114,0.9939,68.4,112.6,1,normaal
2025-04-01 05:25:00,104.1,25.5,0.944,151.0,149.56,5.11,65.5,0.82,119.5,2.0,48.6,30.8,72.4,0.9259,2.51,80.0,78.4,119.5,0.3138,0.99464,67.2,110.4,1,normaal
2025-04-01 05:30:00,105.8,25.2,0.97,151.0,149.64,4.9,64.0,0.839,119.9,1.99,51.8,32.3,73.2,0.9389,2.44,83.8,77.9,119.9,0.3134,0.99269,68.9,113.7,1,normaal
2025-04-01 05:35:00,106.4,25.2,0.963,151.0,149.71,4.99,64.6,0.842,120.2,2.05,55.2,31.0,75.5,0.9313,2.55,83.1,78.1,120.2,0.3171,0.99432,70.3,113.4,1,normaal
2025-04-01 05:40:00,106.0,25.3,0.949,151.1,149.8,4.96,65.6,0.85,119.9,1.98,55.1,31.9,74.0,0.9337,2.52,84.0,78.2,119.9,0.2991,0.99449,69.2,115.0,1,normaal
2025-04-01 05:45:00,106.2,24.3,0.942,151.1,149.81,4.85,63.8,0.833,120.6,2.03,53.1,32.3,74.3,0.9416,2.52,83.1,78.4,120.6,0.3067,0.99595,69.8,112.7,1,normaal
2025-04-01 05:50:00,104.1,25.5,0.95,151.1,149.83,5.02,64.0,0.851,119.5,2.04,52.1,31.7,72.7,0.9378,2.48,82.8,77.9,120.5,0.3078,0.9933,68.7,112.3,1,normaal
2025-04-01 05:55:00,106.0,24.7,0.961,151.1,149.88,4.99,65.5,0.837,119.5,1.96,56.4,30.4,75.6,0.9403,2.47,85.9,78.8,120.2,0.3057,0.99347,71.3,114.8,1,normaal
2025-04-01 06:00:00,104.0,24.7,0.95,151.1,149.95,5.08,65.2,0.869,120.7,2.02,50.5,31.9,72.3,0.9363,2.47,80.9,78.1,119.9,0.3154,0.99196,67.4,112.0,1,normaal
2025-04-01 06:05:00,105.4,25.8,0.946,151.1,150.15,5.08,65.2,0.863,119.4,2.01,52.9,31.6,73.5,0.9261,2.49,80.4,78.5,119.9,0.3137,0.99311,68.1,110.1,1,normaal
2025-04-01 06:10:00,105.5,24.6,0.947,151.1,150.29,5.06,64.9,0.861,121.3,2.04,55.5,32.3,74.0,0.9367,2.44,82.4,78.8,120.3,0.3148,0.99273,69.4,113.1,1,normaal
2025-04-01 06:15:00,106.4,25.8,0.942,151.2,150.16,5.02,66.4,0.838,121.0,2.02,54.7,31.8,74.2,0.9312,2.5,80.4,77.7,120.4,0.3088,0.99339,69.1,110.5,1,normaal
2025-04-01 06:20:00,104.9,25.2,0.939,151.2,150.14,5.02,64.3,0.851,119.6,2.0,54.8,31.4,72.4,0.947,2.37,83.1,78.4,120.5,0.3193,0.99048,68.6,112.7,1,normaal
2025-04-01 06:25:00,104.4,24.1,0.942,151.2,150.19,4.9,65.1,0.857,120.6,2.03,50.5,31.6,72.8,0.9408,2.56,80.3,78.1,119.0,0.317,0.99622,68.5,111.2,1,normaal
2025-04-01 06:30:00,105.6,25.4,0.967,151.2,150.16,4.95,64.3,0.844,121.5,2.03,49.4,31.2,74.0,0.9292,2.52,83.1,78.6,120.4,0.3031,0.99408,68.8,115.1,1,normaal
2025-04-01 06:35:00,105.6,25.2,0.944,151.2,150.22,5.03,64.9,0.863,120.4,1.94,56.1,31.9,74.3,0.9352,2.52,83.9,78.1,120.4,0.3161,0.99389,69.2,112.8,1,normaal
2025-04-01 06:40:00,104.4,24.9,0.966,151.2,150.21,4.93,63.9,0.867,121.1,2.0,51.1,31.0,73.6,0.9504,2.52,79.2,78.6,120.4,0.3037,0.99531,69.8,110.8,1,normaal
2025-04-01 06:45:00,104.6,24.7,0.961,151.2,150.34,5.0,65.4,0.848,120.3,2.05,52.4,31.0,72.8,0.9433,2.48,80.5,77.9,120.1,0.3084,0.99396,68.5,110.7,1,normaal
2025-04-01 06:50:00,105.5,24.7,0.951,151.3,150.27,4.94,65.3,0.833,119.5,2.03,55.4,31.4,74.5,0.9368,2.48,79.8,77.7,120.4,0.3067,0.99286,69.8,110.0,1,normaal
2025-04-01 06:55:00,104.7,25.0,0.96,151.3,150.41,5.08,66.6,0.84,120.5,2.05,52.0,31.4,72.8,0.9365,2.55,83.0,78.1,120.0,0.31,0.99387,68.0,113.7,1,normaal
2025-04-01 07:00:00,105.2,25.8,0.942,151.3,150.41,4.98,63.1,0.846,120.4,2.01,56.1,32.6,73.1,0.9325,2.47,82.8,77.9,120.4,0.319,0.99233,68.4,113.6,1,normaal
2025-04-01 07:05:00,105.1,24.3,0.966,151.3,150.52,4.96,66.1,0.857,120.5,1.97,55.7,31.9,71.7,0.932,2.52,79.9,78.0,120.8,0.3131,0.99402,66.7,110.7,1,normaal
2025-04-01 07:10:00,103.6,24.9,0.954,151.3,150.57,5.09,64.5,0.862,121.3,1.98,51.7,30.7,71.5,0.9409,2.47,83.0,78.4,120.2,0.3047,0.99225,67.6,114.5,1,normaal
2025-04-01 07:15:00,103.9,25.2,0.949,151.3,150.46,5.03,68.1,0.83,120.7,1.99,54.2,31.5,72.3,0.9351,2.46,84.1,78.9,120.1,0.3217,0.9948,67.7,112.5,1,normaal
2025-04-01 07:20:00,104.3,25.4,0.945,151.4,150.53,5.03,64.5,0.848,120.8,1.99,47.6,30.6,74.1,0.9399,2.47,84.5,78.9,119.9,0.3117,0.99241,69.5,115.3,1,normaal
2025-04-01 07:25:00,104.8,24.4,0.949,151.4,150.64,5.14,64.2,0.837,120.5,2.0,51.7,32.5,72.4,0.9315,2.46,78.7,78.2,119.6,0.3099,0.99305,67.4,109.2,1,normaal
2025-04-01 07:30:00,104.6,25.6,0.948,151.4,150.47,5.1,65.2,0.847,121.1,2.03,48.0,31.9,73.4,0.9344,2.49,80.9,77.5,120.1,0.3085,0.99461,68.6,111.7,1,normaal
2025-04-01 07:35:00,105.4,25.5,0.946,151.4,150.4,5.04,64.8,0.843,120.2,2.01,52.3,31.4,74.4,0.9401,2.51,81.5,78.8,120.2,0.3159,0.99272,69.6,112.5,1,normaal
2025-04-01 07:40:00,105.4,24.8,0.937,151.4,150.48,5.01,64.7,0.829,121.1,1.98,50.4,31.7,73.5,0.9337,2.46,80.3,78.4,120.1,0.3051,0.99142,68.5,110.5,1,normaal
2025-04-01 07:45:00,102.9,25.5,0.939,151.4,150.5,4.91,65.0,0.84,120.7,1.99,50.7,31.2,71.6,0.9264,2.54,81.0,78.1,120.1,0.3043,0.99367,66.5,110.1,1,normaal
2025-04-01 07:50:00,104.3,24.8,0.943,151.4,150.57,4.97,63.6,0.848,120.9,2.03,50.5,32.7,72.6,0.9371,2.54,80.6,78.0,120.3,0.3091,0.99622,67.9,111.2,1,normaal
2025-04-01 07:55:00,102.5,25.5,0.946,151.5,150.62,5.05,64.9,0.842,120.7,1.99,53.5,31.1,71.7,0.9402,2.52,79.9,78.0,120.4,0.3085,0.99479,67.0,110.5,1,normaal
2025-04-01 08:00:00,103.7,24.3,0.962,151.5,150.69,4.96,65.9,0.845,120.7,1.96,54.9,31.3,71.7,0.9424,2.49,77.5,77.9,119.8,0.3079,0.99531,67.6,106.7,1,normaal
2025-04-01 08:05:00,104.7,24.5,0.955,151.5,150.71,5.04,65.3,0.853,120.4,2.02,53.7,31.5,72.8,0.9332,2.57,80.7,77.4,120.3,0.3156,0.99678,68.0,111.5,1,normaal
2025-04-01 08:10:00,104.3,25.1,0.953,151.5,150.75,4.99,63.4,0.846,120.6,2.06,51.8,31.3,72.1,0.9365,2.59,79.7,77.8,119.7,0.3096,0.99565,67.6,110.2,1,normaal
2025-04-01 08:15:00,103.6,26.0,0.947,151.5,150.62,5.02,65.2,0.843,120.7,1.99,51.0,30.7,73.1,0.945,2.53,81.6,78.1,120.0,0.3176,0.99525,68.9,113.4,1,normaal
2025-04-01 08:20:00,103.5,24.9,0.952,151.5,150.65,5.0,66.5,0.846,120.4,2.02,49.6,31.3,72.3,0.9363,2.51,80.4,77.9,119.8,0.3149,0.99502,67.8,109.6,1,normaal
2025-04-01 08:25:00,103.7,24.5,0.957,151.5,150.62,4.94,63.1,0.855,120.2,2.02,54.9,31.5,72.6,0.9447,2.41,81.0,77.7,120.1,0.3119,0.99286,68.3,110.9,1,normaal
2025-04-01 08:30:00,103.3,25.5,0.949,151.6,150.63,4.98,63.9,0.866,120.6,1.97,55.9,31.3,73.0,0.9374,2.5,83.0,78.4,120.1,0.3197,0.99397,68.1,112.3,1,normaal
2025-04-01 08:35:00,104.0,24.5,0.942,151.6,150.66,5.02,65.6,0.868,120.4,2.02,53.3,31.5,72.4,0.9431,2.45,80.8,78.2,120.3,0.3059,0.99214,68.4,111.9,1,normaal
2025-04-01 08:40:00,105.5,24.7,0.949,151.6,150.67,5.04,63.0,0.853,120.1,1.99,57.1,32.7,73.2,0.9448,2.52,82.4,77.8,119.6,0.3096,0.99476,69.4,112.2,1,normaal
2025-04-01 08:45:00,103.0,25.5,0.929,151.6,150.52,4.98,63.2,0.846,119.9,1.99,48.1,30.5,73.0,0.9386,2.45,87.5,78.3,120.4,0.3189,0.9939,68.7,115.1,1,normaal
2025-04-01 08:50:00,104.5,24.3,0.967,151.6,150.61,4.98,63.5,0.837,121.8,1.98,50.5,32.4,72.5,0.9375,2.55,83.8,78.6,120.1,0.321,0.99674,67.4,116.1,1,normaal
2025-04-01 08:55:00,105.1,25.4,0.948,151.6,150.61,5.06,64.6,0.839,120.6,2.01,52.8,31.8,73.1,0.9359,2.51,81.1,78.0,120.3,0.3134,0.99455,68.3,112.1,1,normaal
2025-04-01 09:00:00,105.2,24.0,0.935,151.7,150.81,5.03,63.1,0.846,121.0,2.04,56.1,32.0,72.7,0.9356,2.47,76.3,77.3,119.8,0.3058,0.99506,67.9,106.1,1,normaal
2025-04-01 09:05:00,104.5,26.0,0.95,151.7,150.91,5.01,62.6,0.843,121.0,2.0,51.4,32.4,72.1,0.9445,2.5,82.1,77.9,119.9,0.315,0.99191,68.5,114.1,1,normaal
2025-04-01 09:10:00,103.7,25.6,0.924,151.7,151.02,5.04,63.1,0.845,121.2,1.98,50.1,31.4,71.6,0.9364,2.48,84.4,78.4,120.3,0.3062,0.99299,67.1,116.3,1,normaal
2025-04-01 09:15:00,103.4,24.4,0.945,151.7,151.12,5.04,63.9,0.843,121.6,1.98,48.8,31.8,70.7,0.9412,2.54,79.2,77.4,120.2,0.3178,0.99417,66.2,110.3,1,normaal
2025-04-01 09:20:00,103.9,24.8,0.957,151.7,151.3,5.01,64.2,0.841,121.9,1.97,53.9,32.0,71.2,0.9354,2.48,80.6,78.4,120.6,0.3101,0.99388,66.3,111.1,1,normaal
2025-04-01 09:25:00,102.0,25.2,0.938,151.7,151.26,5.01,64.4,0.863,121.6,2.04,52.6,31.4,71.3,0.9283,2.47,78.9,77.8,119.4,0.3092,0.99141,66.3,108.6,1,normaal
2025-04-01 09:30:00,104.1,24.8,0.952,151.7,151.15,4.92,61.9,0.858,121.2,2.06,51.9,31.9,72.2,0.9367,2.51,81.6,78.4,119.9,0.3018,0.99632,67.7,113.1,1,normaal
2025-04-01 09:35:00,101.7,24.5,0.964,151.8,151.43,4.96,62.4,0.85,121.7,1.97,48.4,31.4,70.2,0.9332,2.52,83.3,78.1,119.6,0.303,0.99491,65.2,113.0,1,normaal
2025-04-01 09:40:00,102.8,25.9,0.939,151.8,151.36,5.0,63.1,0.854,121.1,1.99,52.8,31.0,72.4,0.943,2.49,75.9,77.3,120.3,0.3109,0.99241,68.4,106.2,1,normaal
2025-04-01 09:45:00,103.3,24.0,0.937,151.8,151.34,4.98,62.1,0.867,121.0,2.01,51.3,30.3,73.4,0.938,2.48,80.4,78.2,119.6,0.3056,0.99376,69.0,111.3,1,normaal
2025-04-01 09:50:00,102.6,24.8,0.955,151.8,151.16,4.97,62.5,0.833,122.0,2.05,53.4,31.7,71.2,0.9369,2.51,84.0,78.5,120.4,0.3065,0.99404,66.9,115.1,1,normaal
2025-04-01 09:55:00,102.2,24.9,0.956,151.8,151.28,5.01,63.6,0.874,120.9,2.02,49.0,31.6,69.7,0.9393,2.56,77.7,77.6,119.7,0.3121,0.99424,65.1,108.6,1,normaal
2025-04-01 10:00:00,100.2,24.1,0.95,151.8,151.29,5.09,64.6,0.858,120.8,1.98,47.8,30.5,69.0,0.9362,2.42,79.9,78.1,120.3,0.3219,0.99116,64.4,109.4,1,normaal
2025-04-01 10:05:00,103.1,25.2,0.958,151.8,151.45,4.95,63.1,0.862,121.1,2.06,49.3,30.9,72.0,0.9425,2.46,83.1,78.5,120.4,0.3071,0.99324,68.0,113.9,1,normaal
2025-04-01 10:10:00,102.5,24.5,0.946,151.9,151.34,5.03,64.6,0.846,121.0,2.0,52.4,30.8,71.9,0.9359,2.58,80.6,78.3,119.8,0.3075,0.99411,67.4,109.8,1,normaal
