klep_id,test_nr,leeftijd_maanden,klep_type,diameter_inch,actuator_type,cycli_totaal,procestemperatuur_C,pakkingwrijving_N,slagafwijking_pct,staptijd_sec,dodeband_pct,hysterese_pct,luchtverbruik_Lmin,zittinglek_Lmin,overshoot_pct,undershoot_pct,settling_time_sec,voedingsdruk_bar,dp_ratio,faalmodus
CV-001,15,84,butterfly,6,elektrisch,48216,146.0,215.9,0.62,3.17,0.86,0.91,0.0,0.032,2.3,2.4,4.55,6.0,0.23,gezond
CV-001,16,90,butterfly,6,elektrisch,96480,25.0,222.1,0.79,2.93,0.81,0.77,0.0,0.012,4.2,2.0,3.63,5.9,0.22,gezond
CV-001,17,96,butterfly,6,elektrisch,71808,86.0,201.2,0.22,2.72,0.82,2.1,0.0,0.016,4.0,1.0,3.44,6.1,0.38,gezond
CV-001,18,102,butterfly,6,elektrisch,154020,170.0,187.7,0.16,3.21,1.21,1.49,0.0,0.01,2.1,2.2,4.4,6.0,0.47,gezond
CV-001,19,108,butterfly,6,elektrisch,121824,28.0,186.2,0.76,2.74,0.54,1.6,0.0,0.01,2.1,1.4,4.16,5.9,0.37,gezond
CV-001,20,114,butterfly,6,elektrisch,68286,181.0,217.4,0.37,2.89,0.87,1.36,0.0,0.012,2.9,2.8,3.96,5.9,0.53,gezond
CV-002,1,0,ball,6,pneumatisch,0,26.0,215.1,-0.11,1.89,1.54,2.15,5.4,0.014,3.9,1.9,2.87,5.9,0.36,positioner_drift
CV-002,2,6,ball,6,pneumatisch,7842,44.0,227.8,-0.87,2.06,1.08,1.36,5.7,0.012,2.5,2.0,2.82,5.9,0.31,positioner_drift
CV-002,3,12,ball,6,pneumatisch,15876,114.0,188.1,0.25,1.63,1.2,1.89,4.6,0.038,3.2,2.0,1.54,6.1,0.58,positioner_drift
CV-002,4,18,ball,6,pneumatisch,10008,80.0,231.4,1.23,2.05,1.22,1.43,5.7,0.031,3.3,1.6,2.99,6.2,0.59,positioner_drift
CV-002,5,24,ball,6,pneumatisch,44952,130.0,175.3,0.59,2.27,1.18,1.3,6.4,0.016,3.4,2.0,3.79,6.1,0.5,positioner_drift
CV-002,6,30,ball,6,pneumatisch,53730,97.0,193.4,1.14,1.49,1.51,1.5,5.4,0.012,2.9,1.7,2.0,6.0,0.29,positioner_drift
CV-002,7,36,ball,6,pneumatisch,31788,111.0,184.0,1.33,1.88,1.84,1.77,5.0,0.024,3.4,1.2,2.48,5.9,0.54,positioner_drift
CV-002,8,42,ball,6,pneumatisch,71988,77.0,194.3,0.88,1.77,2.09,1.57,3.7,0.01,3.2,1.9,2.29,6.1,0.45,positioner_drift
CV-002,9,48,ball,6,pneumatisch,66960,135.0,196.3,2.47,2.15,1.81,1.08,5.8,0.011,3.2,2.0,3.4,6.1,0.32,positioner_drift
CV-002,10,54,ball,6,pneumatisch,34830,109.0,201.0,1.48,2.03,2.2,1.5,5.4,0.01,3.9,1.7,2.46,5.8,0.6,positioner_drift
CV-002,11,60,ball,6,pneumatisch,61080,142.0,185.0,2.17,1.93,2.13,1.67,4.7,0.013,2.5,2.4,2.94,6.0,0.44,positioner_drift
CV-002,12,66,ball,6,pneumatisch,94314,66.0,184.6,2.54,1.84,2.4,2.07,6.1,0.011,3.7,1.4,3.25,6.0,0.26,positioner_drift
CV-002,13,72,ball,6,pneumatisch,120528,110.0,190.1,2.45,1.76,2.5,1.73,5.9,0.01,3.6,2.2,2.68,5.9,0.44,positioner_drift
CV-002,14,78,ball,6,pneumatisch,65988,21.0,179.7,2.41,2.26,2.77,1.73,4.1,0.013,1.6,1.4,3.45,6.2,0.48,positioner_drift
CV-002,15,84,ball,6,pneumatisch,59304,20.0,160.1,2.8,1.65,2.97,1.59,4.5,0.014,4.2,2.2,1.76,6.0,0.29,positioner_drift
CV-002,16,90,ball,6,pneumatisch,90360,108.0,210.6,2.57,1.78,2.65,1.1,5.2,0.012,4.0,1.3,3.06,6.0,0.4,positioner_drift
CV-002,17,96,ball,6,pneumatisch,49824,117.0,205.6,3.11,1.96,2.96,1.87,5.3,0.024,2.5,1.9,3.21,6.0,0.52,positioner_drift
CV-002,18,102,ball,6,pneumatisch,154836,158.0,201.1,2.72,1.89,3.09,1.32,5.4,0.011,5.6,1.4,3.37,6.0,0.49,positioner_drift
CV-002,19,108,ball,6,pneumatisch,76572,46.0,209.8,2.85,1.81,3.09,1.55,5.0,0.012,1.7,1.1,2.32,6.1,0.38,positioner_drift
CV-002,20,114,ball,6,pneumatisch,175788,126.0,224.2,2.81,1.68,2.93,1.46,4.8,0.011,2.9,2.3,2.14,6.0,0.39,positioner_drift
CV-003,1,0,ball,2,elektrisch,0,22.0,186.0,-0.91,1.87,1.23,2.16,0.0,0.013,2.0,2.0,3.05,5.8,0.29,gezond
CV-003,2,6,ball,2,elektrisch,9486,40.0,194.5,-0.94,2.25,1.09,1.77,0.0,0.011,4.5,2.3,4.15,5.9,0.49,gezond
CV-003,3,12,ball,2,elektrisch,20652,162.0,190.1,0.07,2.23,0.75,1.45,0.0,0.011,2.0,1.8,3.19,6.2,0.41,gezond
CV-003,4,18,ball,2,elektrisch,17190,120.0,209.2,0.77,1.38,0.68,1.59,0.0,0.012,3.9,1.8,1.78,5.9,0.25,gezond
CV-003,5,24,ball,2,elektrisch,17712,169.0,208.2,-0.3,2.33,1.34,1.45,0.0,0.011,2.0,2.2,3.45,6.0,0.36,gezond
CV-003,6,30,ball,2,elektrisch,31470,169.0,212.1,0.34,1.78,1.21,1.52,0.0,0.012,3.6,2.7,3.21,6.0,0.44,gezond
CV-003,7,36,ball,2,elektrisch,31032,190.0,228.9,-0.72,2.42,0.81,1.4,0.0,0.011,4.3,2.0,3.2,6.0,0.52,gezond
CV-003,8,42,ball,2,elektrisch,75306,134.0,211.0,-0.03,2.17,1.0,0.96,0.0,0.013,2.4,2.1,2.47,6.1,0.53,gezond
CV-003,9,48,ball,2,elektrisch,79536,76.0,195.2,-0.07,2.37,0.9,1.78,0.0,0.011,2.7,2.4,3.2,6.3,0.39,gezond
CV-003,10,54,ball,2,elektrisch,69660,110.0,191.6,0.52,2.04,1.3,1.5,0.0,0.014,2.0,2.2,3.29,6.0,0.32,gezond
CV-003,11,60,ball,2,elektrisch,108180,28.0,193.6,0.02,1.83,0.8,1.42,0.0,0.011,3.3,1.9,3.03,6.2,0.52,gezond
CV-003,12,66,ball,2,elektrisch,54120,125.0,176.1,-0.1,2.31,1.25,1.37,0.0,0.02,4.5,1.8,3.6,5.9,0.52,gezond
CV-003,13,72,ball,2,elektrisch,119664,154.0,227.0,-0.0,2.41,0.87,1.57,0.0,0.018,3.1,2.4,4.39,5.9,0.47,gezond
CV-003,14,78,ball,2,elektrisch,94770,139.0,227.0,0.51,1.82,0.67,1.28,0.0,0.03,3.8,1.9,1.85,6.1,0.38,gezond
CV-003,15,84,ball,2,elektrisch,81396,118.0,218.1,0.19,2.47,0.95,1.86,0.0,0.017,2.2,2.2,3.34,6.0,0.46,gezond
CV-003,16,90,ball,2,elektrisch,155880,166.0,187.3,-0.06,1.94,1.43,1.66,0.0,0.011,3.4,1.9,1.46,6.1,0.22,gezond
CV-003,17,96,ball,2,elektrisch,94752,60.0,208.5,0.26,2.93,0.94,1.13,0.0,0.011,3.3,2.6,4.24,6.1,0.22,gezond
CV-003,18,102,ball,2,elektrisch,161976,36.0,228.3,-0.5,1.89,1.19,1.23,0.0,0.014,2.4,2.1,2.29,6.0,0.4,gezond
CV-003,19,108,ball,2,elektrisch,207792,93.0,196.9,-0.29,2.52,1.02,1.71,0.0,0.01,3.2,1.9,3.91,6.1,0.55,gezond
CV-003,20,114,ball,2,elektrisch,103626,161.0,203.1,-1.09,1.9,1.16,1.78,0.0,0.014,3.5,2.4,2.61,5.8,0.55,gezond
CV-004,1,0,ball,4,pneumatisch,0,150.0,195.2,-0.16,2.16,1.18,1.66,5.0,0.014,5.1,1.7,3.15,6.1,0.31,gezond
CV-004,2,6,ball,4,pneumatisch,10800,110.0,237.4,0.36,2.3,0.78,1.21,5.4,0.025,5.0,1.1,3.7,6.1,0.57,gezond
CV-004,3,12,ball,4,pneumatisch,9540,103.0,201.3,0.56,2.53,0.8,1.27,4.5,0.011,3.3,1.2,4.01,6.0,0.58,gezond
CV-004,4,18,ball,4,pneumatisch,34020,21.0,155.7,-0.52,1.21,0.77,1.66,4.8,0.011,1.9,1.5,2.25,5.8,0.32,gezond
CV-004,5,24,ball,4,pneumatisch,35712,112.0,232.9,-0.43,2.01,1.14,1.42,4.9,0.01,4.1,1.9,2.28,6.0,0.47,gezond
CV-004,6,30,ball,4,pneumatisch,52980,40.0,215.6,-1.19,2.24,1.0,1.22,5.7,0.012,3.8,1.6,3.41,6.0,0.46,gezond
CV-004,7,36,ball,4,pneumatisch,18288,136.0,184.7,0.17,3.04,1.16,1.6,5.8,0.016,4.7,2.2,4.61,5.9,0.26,gezond
CV-004,8,42,ball,4,pneumatisch,29484,130.0,204.3,0.11,2.23,1.31,2.4,5.7,0.018,0.6,1.7,3.57,6.0,0.35,gezond
CV-004,9,48,ball,4,pneumatisch,50592,120.0,191.8,0.54,1.92,1.34,1.27,5.8,0.014,3.5,2.0,3.32,5.9,0.22,gezond
CV-004,10,54,ball,4,pneumatisch,42444,135.0,189.1,0.15,2.12,1.13,1.89,4.9,0.018,2.3,2.1,3.01,6.0,0.46,gezond
CV-004,11,60,ball,4,pneumatisch,100740,124.0,184.0,0.14,1.83,1.32,1.83,5.2,0.017,4.4,1.8,2.49,5.9,0.47,gezond
CV-004,12,66,ball,4,pneumatisch,120252,51.0,208.2,-0.22,1.83,1.25,0.81,4.8,0.013,2.6,1.9,3.02,5.9,0.29,gezond
CV-004,13,72,ball,4,pneumatisch,42912,144.0,207.5,-0.28,2.14,0.92,1.25,6.0,0.014,2.0,2.9,3.14,6.1,0.34,gezond
CV-004,14,78,ball,4,pneumatisch,41808,178.0,189.9,0.17,1.76,1.24,1.39,4.9,0.01,2.2,2.3,1.79,6.1,0.25,gezond
CV-004,15,84,ball,4,pneumatisch,82404,149.0,170.1,-0.26,1.96,0.7,1.64,4.7,0.017,2.6,1.7,3.44,5.9,0.33,gezond
CV-004,16,90,ball,4,pneumatisch,113130,184.0,177.5,-0.41,2.04,1.38,1.05,3.9,0.024,2.1,2.1,2.48,6.0,0.54,gezond
CV-004,17,96,ball,4,pneumatisch,48864,46.0,184.3,0.72,1.94,0.98,1.34,4.8,0.025,3.5,1.5,2.85,6.0,0.23,gezond
CV-004,18,102,ball,4,pneumatisch,197268,156.0,234.4,-0.18,1.95,1.23,1.76,5.1,0.016,3.5,2.0,1.95,6.1,0.23,gezond
CV-004,19,108,ball,4,pneumatisch,141372,114.0,208.9,-0.13,1.95,0.89,1.33,4.6,0.015,3.7,2.9,2.76,6.1,0.48,gezond
CV-004,20,114,ball,4,pneumatisch,67602,79.0,198.5,-0.07,1.99,0.63,1.43,5.2,0.013,1.7,1.1,3.01,6.0,0.34,gezond
CV-005,1,0,globe,2,pneumatisch,0,66.0,227.1,-0.1,5.28,1.18,2.0,4.7,0.016,6.1,2.0,8.61,6.0,0.52,sticking
CV-005,2,6,globe,2,pneumatisch,3132,74.0,187.9,0.61,4.92,1.55,2.39,4.1,0.011,3.1,1.9,6.43,6.1,0.24,sticking
CV-005,3,12,globe,2,pneumatisch,6108,192.0,229.0,-0.49,6.15,1.85,2.69,5.4,0.017,2.8,1.0,9.33,6.0,0.3,sticking
CV-005,4,18,globe,2,pneumatisch,22104,173.0,187.2,-0.29,5.31,1.42,3.09,4.0,0.01,2.6,1.5,8.14,5.9,0.53,sticking
CV-005,5,24,globe,2,pneumatisch,13848,96.0,239.5,-0.04,4.95,2.11,3.19,4.8,0.019,4.9,1.6,8.65,6.1,0.29,sticking
CV-005,6,30,globe,2,pneumatisch,35580,158.0,234.2,-0.03,6.18,2.63,4.0,5.1,0.011,3.8,1.3,9.99,6.1,0.21,sticking
CV-005,7,36,globe,2,pneumatisch,53064,47.0,278.6,1.21,5.61,2.56,4.35,5.4,0.012,4.1,1.5,8.86,6.1,0.53,sticking
CV-005,8,42,globe,2,pneumatisch,40194,148.0,282.8,0.74,5.89,3.1,5.1,5.2,0.014,3.3,2.1,9.02,6.1,0.35,sticking
CV-005,9,48,globe,2,pneumatisch,42576,188.0,286.0,-0.15,6.63,3.39,5.04,4.3,0.016,3.8,2.3,10.51,6.0,0.23,sticking
CV-005,10,54,globe,2,pneumatisch,88614,147.0,289.9,0.59,6.74,3.68,6.21,4.8,0.012,3.7,2.2,9.85,6.0,0.33,sticking
CV-005,11,60,globe,2,pneumatisch,109140,156.0,314.7,0.7,6.57,3.92,6.67,4.2,0.011,1.5,3.6,9.96,6.0,0.45,sticking
CV-005,12,66,globe,2,pneumatisch,66132,184.0,292.4,-0.72,6.32,4.51,6.6,4.7,0.012,2.6,1.5,9.71,6.0,0.34,sticking
CV-005,13,72,globe,2,pneumatisch,138960,167.0,304.0,0.31,7.56,4.38,6.65,5.4,0.015,1.7,2.2,12.09,6.0,0.32,sticking
CV-005,14,78,globe,2,pneumatisch,136812,76.0,329.4,0.54,7.38,5.21,7.33,5.7,0.022,2.3,1.8,10.78,6.1,0.34,sticking
CV-005,15,84,globe,2,pneumatisch,72744,140.0,352.6,0.62,7.82,5.04,8.5,5.5,0.032,3.3,1.9,11.8,5.9,0.45,sticking
CV-005,16,90,globe,2,pneumatisch,81630,59.0,338.2,0.33,8.0,5.66,8.53,4.3,0.013,1.9,2.2,11.95,6.0,0.5,sticking
CV-005,17,96,globe,2,pneumatisch,167904,60.0,357.3,0.51,7.71,6.19,8.83,5.4,0.016,3.5,2.3,11.69,5.9,0.22,sticking
CV-005,18,102,globe,2,pneumatisch,136578,137.0,350.6,0.04,8.03,6.17,9.64,5.0,0.015,2.5,3.7,12.38,5.9,0.21,sticking
CV-005,19,108,globe,2,pneumatisch,170208,140.0,365.6,-0.14,8.29,6.1,9.66,4.9,0.01,4.9,1.7,11.94,6.1,0.58,sticking
CV-005,20,114,globe,2,pneumatisch,177840,84.0,344.8,0.02,8.4,6.08,9.88,5.5,0.017,3.0,1.4,12.41,6.0,0.24,sticking
CV-006,1,0,globe,4,pneumatisch,0,74.0,169.4,0.07,4.8,0.94,1.8,4.4,0.014,4.1,2.1,7.8,6.2,0.27,gezond
CV-006,2,6,globe,4,pneumatisch,8262,181.0,212.5,0.15,4.88,1.07,1.46,4.7,0.01,3.2,1.4,7.41,6.1,0.58,gezond
CV-006,3,12,globe,4,pneumatisch,13296,176.0,180.7,-0.32,5.38,1.24,1.54,4.5,0.011,2.2,1.7,8.23,6.0,0.2,gezond
CV-006,4,18,globe,4,pneumatisch,33192,63.0,203.6,-0.22,4.88,0.94,1.71,5.2,0.018,2.1,2.4,7.54,6.0,0.56,gezond
CV-006,5,24,globe,4,pneumatisch,26496,130.0,219.2,0.62,5.24,0.9,1.09,3.8,0.015,3.8,2.3,7.81,5.8,0.53,gezond
CV-006,6,30,globe,4,pneumatisch,21840,184.0,214.5,-0.54,4.8,0.92,1.55,5.4,0.018,2.1,1.5,7.61,6.0,0.51,gezond
CV-006,7,36,globe,4,pneumatisch,57456,94.0,205.1,0.62,4.77,0.79,1.51,5.3,0.018,3.6,1.5,6.64,6.1,0.31,gezond
CV-006,8,42,globe,4,pneumatisch,42882,93.0,230.9,0.3,5.03,0.92,1.57,4.9,0.016,3.1,1.6,8.17,6.0,0.25,gezond
CV-006,9,48,globe,4,pneumatisch,84432,182.0,218.0,-0.08,4.87,0.84,1.39,5.5,0.021,2.8,2.1,7.6,6.0,0.49,gezond
CV-006,10,54,globe,4,pneumatisch,30672,185.0,241.1,0.25,5.42,1.17,1.36,4.4,0.012,2.1,2.7,8.26,5.9,0.56,gezond
CV-006,11,60,globe,4,pneumatisch,58260,54.0,219.2,0.8,5.01,0.79,1.47,4.6,0.011,1.8,2.2,8.14,5.9,0.21,gezond
CV-006,12,66,globe,4,pneumatisch,110880,88.0,224.9,0.5,4.86,1.13,1.37,4.8,0.016,2.3,1.6,8.23,6.0,0.39,gezond
CV-006,13,72,globe,4,pneumatisch,41760,174.0,202.8,-0.07,5.23,0.88,1.3,5.0,0.02,3.8,1.9,6.9,6.0,0.53,gezond
CV-006,14,78,globe,4,pneumatisch,108966,168.0,200.9,0.07,5.07,0.76,1.4,5.5,0.01,2.9,2.0,7.76,6.1,0.55,gezond
CV-006,15,84,globe,4,pneumatisch,142212,184.0,189.8,1.16,4.85,1.25,1.63,5.4,0.012,3.5,0.4,7.95,6.1,0.58,gezond
CV-006,16,90,globe,4,pneumatisch,52380,124.0,212.7,-0.09,5.77,1.17,1.69,4.9,0.017,3.9,2.1,8.88,5.9,0.35,gezond
CV-006,17,96,globe,4,pneumatisch,141792,127.0,216.2,0.37,4.74,0.67,1.24,4.9,0.014,1.1,1.5,6.69,6.0,0.28,gezond
CV-006,18,102,globe,4,pneumatisch,74970,71.0,189.1,-0.77,5.26,0.48,1.26,4.9,0.012,1.9,3.4,7.57,6.0,0.22,gezond
CV-006,19,108,globe,4,pneumatisch,99468,62.0,175.4,-0.54,5.22,0.95,1.74,4.8,0.011,4.0,2.3,9.15,6.0,0.29,gezond
CV-006,20,114,globe,4,pneumatisch,200412,122.0,205.7,0.31,5.48,1.07,1.51,5.0,0.012,4.0,1.8,8.61,5.9,0.26,gezond
CV-007,1,0,globe,4,elektrisch,0,105.0,177.5,-0.45,4.92,1.04,1.46,0.0,0.012,2.7,1.8,7.68,6.0,0.45,pakkinglek
CV-007,2,6,globe,4,elektrisch,8022,87.0,191.1,0.31,5.34,0.79,1.21,0.0,0.019,1.9,2.0,7.88,6.0,0.2,pakkinglek
CV-007,3,12,globe,4,elektrisch,12576,23.0,166.0,0.92,4.71,1.22,1.28,0.0,0.029,3.1,2.4,6.84,5.8,0.53,pakkinglek
CV-007,4,18,globe,4,elektrisch,23112,30.0,200.4,-0.64,4.44,0.72,0.98,0.0,0.031,3.2,2.7,6.17,6.0,0.3,pakkinglek
CV-007,5,24,globe,4,elektrisch,21336,110.0,204.7,0.35,4.91,1.13,0.73,0.0,0.014,2.9,1.8,7.38,6.0,0.26,pakkinglek
CV-007,6,30,globe,4,elektrisch,39030,62.0,188.1,0.65,4.62,1.25,1.98,0.0,0.01,3.6,2.1,7.81,5.8,0.22,pakkinglek
CV-007,7,36,globe,4,elektrisch,61812,183.0,170.7,0.1,5.31,1.06,1.39,0.0,0.01,3.5,1.9,8.02,5.9,0.51,pakkinglek
CV-007,8,42,globe,4,elektrisch,75054,82.0,185.4,0.35,4.82,1.32,1.25,0.0,0.016,3.4,2.0,7.58,5.9,0.32,pakkinglek
CV-007,9,48,globe,4,elektrisch,91200,175.0,145.8,-0.24,5.17,0.89,0.91,0.0,0.015,3.4,2.8,8.22,6.1,0.34,pakkinglek
CV-007,10,54,globe,4,elektrisch,106542,197.0,146.1,-0.22,5.12,1.08,1.72,0.0,0.011,3.1,2.2,7.64,5.8,0.45,pakkinglek
CV-007,11,60,globe,4,elektrisch,42540,29.0,166.7,-0.26,4.71,1.17,1.51,0.0,0.011,3.6,2.1,6.43,5.9,0.56,pakkinglek
CV-007,12,66,globe,4,elektrisch,120648,59.0,184.7,-0.12,4.88,0.85,1.34,0.0,0.01,3.7,2.1,6.75,6.1,0.37,pakkinglek
CV-007,13,72,globe,4,elektrisch,85536,74.0,163.5,0.13,4.83,1.09,1.29,0.0,0.014,2.8,1.9,7.77,6.1,0.42,pakkinglek
CV-007,14,78,globe,4,elektrisch,49452,127.0,150.6,0.13,4.9,0.88,1.25,0.0,0.016,3.6,2.1,7.24,6.1,0.23,pakkinglek
CV-007,15,84,globe,4,elektrisch,121548,188.0,114.0,0.28,5.06,0.76,1.23,0.0,0.012,2.9,2.1,7.61,5.9,0.45,pakkinglek
CV-007,16,90,globe,4,elektrisch,57330,54.0,115.8,0.78,4.66,0.93,1.44,0.0,0.01,3.6,2.0,6.9,5.9,0.23,pakkinglek
CV-007,17,96,globe,4,elektrisch,77760,28.0,154.4,-0.04,4.98,1.0,1.38,0.0,0.014,3.0,2.4,8.23,6.1,0.56,pakkinglek
CV-007,18,102,globe,4,elektrisch,72012,140.0,132.4,-0.34,4.96,1.38,1.74,0.0,0.01,2.4,2.3,7.41,6.0,0.22,pakkinglek
CV-007,19,108,globe,4,elektrisch,165024,87.0,166.4,-0.34,5.02,1.13,1.16,0.0,0.021,2.3,2.0,7.63,6.2,0.36,pakkinglek
CV-007,20,114,globe,4,elektrisch,124830,130.0,158.0,0.29,4.87,0.99,1.48,0.0,0.011,3.2,2.0,7.59,6.0,0.42,pakkinglek
CV-008,1,0,ball,6,pneumatisch,0,115.0,213.9,0.53,2.01,1.15,1.76,5.5,0.03,2.6,2.0,3.45,6.0,0.2,gezond
CV-008,2,6,ball,6,pneumatisch,6750,26.0,166.7,0.52,1.97,1.02,1.2,4.8,0.03,1.9,2.7,3.56,6.1,0.22,gezond
CV-008,3,12,ball,6,pneumatisch,7320,159.0,175.8,1.15,2.63,0.57,0.92,4.9,0.012,2.6,1.9,3.43,5.9,0.51,gezond
CV-008,4,18,ball,6,pneumatisch,10476,99.0,205.7,0.32,1.92,1.13,1.7,5.4,0.025,3.6,2.0,2.77,5.9,0.31,gezond
CV-008,5,24,ball,6,pneumatisch,16728,198.0,188.5,0.0,1.97,1.14,1.51,4.8,0.014,2.0,1.7,2.62,6.1,0.29,gezond
CV-008,6,30,ball,6,pneumatisch,52860,199.0,210.1,0.71,2.14,1.1,1.75,5.2,0.014,3.1,2.1,2.82,6.0,0.34,gezond
CV-008,7,36,ball,6,pneumatisch,33948,49.0,200.2,0.18,1.5,0.92,1.79,3.6,0.01,3.2,2.4,2.12,6.1,0.21,gezond
CV-008,8,42,ball,6,pneumatisch,46578,113.0,205.2,-0.07,1.95,1.21,1.38,5.7,0.011,2.0,1.9,4.04,6.1,0.42,gezond
