batch_id,tijdstip_uur,temp_setpoint_C,temp_actueel_C,pH_setpoint,pH_actueel,biomassa_gL,glucose_gL,voedingssnelheid_gLh,voedingsstrategie,opgeloste_O2_pct,product_gL
FERM-000,56,37,36.9,6.8,6.83,10.19,18.57,2.0,constant,64.9,0.5
FERM-000,58,37,36.8,6.8,6.8,10.15,17.73,2.0,constant,59.5,0.502
FERM-000,60,37,37.1,6.8,6.98,11.37,17.97,2.0,constant,61.2,0.564
FERM-000,62,37,37.1,6.8,6.8,12.6,17.14,2.0,constant,53.5,0.684
FERM-000,64,37,37.2,6.8,6.86,12.72,17.14,2.0,constant,57.0,0.705
FERM-000,66,37,37.2,6.8,6.71,13.38,17.58,2.0,constant,53.7,0.726
FERM-000,68,37,37.1,6.8,6.77,13.67,16.48,2.0,constant,54.5,0.821
FERM-000,70,37,37.1,6.8,6.68,15.07,16.24,2.0,constant,44.4,0.942
FERM-000,72,37,36.9,6.8,6.77,15.66,15.92,2.0,constant,49.0,1.036
FERM-000,74,37,37.2,6.8,6.8,16.43,15.5,2.0,constant,46.3,1.085
FERM-000,76,37,37.2,6.8,6.75,17.55,14.3,2.0,constant,45.4,1.204
FERM-000,78,37,36.8,6.8,6.7,17.94,15.25,2.0,constant,43.3,1.259
FERM-000,80,37,36.8,6.8,6.75,19.1,14.95,2.0,constant,42.8,1.375
FERM-000,82,37,36.7,6.8,6.65,19.65,14.61,2.0,constant,39.4,1.465
FERM-000,84,37,37.0,6.8,6.64,21.17,13.83,2.0,constant,41.2,1.578
FERM-000,86,37,37.0,6.8,6.7,22.3,13.16,2.0,constant,40.0,1.742
FERM-000,88,37,36.8,6.8,6.7,22.94,13.2,2.0,constant,31.8,1.811
FERM-000,90,37,36.9,6.8,6.69,24.13,12.14,2.0,constant,38.0,1.946
FERM-000,92,37,37.3,6.8,6.66,24.88,12.51,2.0,constant,31.4,2.048
FERM-000,94,37,37.0,6.8,6.67,26.35,10.96,2.0,constant,27.4,2.233
FERM-000,96,37,37.0,6.8,6.71,26.54,11.29,2.0,constant,24.1,2.324
FERM-000,98,37,36.8,6.8,6.7,27.53,11.41,2.0,constant,22.0,2.45
FERM-000,100,37,36.8,6.8,6.69,28.17,11.47,2.0,constant,25.7,2.592
FERM-000,102,37,36.9,6.8,6.73,29.89,10.67,2.0,constant,22.4,2.779
FERM-000,104,37,37.1,6.8,6.72,30.07,9.82,2.0,constant,20.3,2.865
FERM-000,106,37,37.0,6.8,6.7,31.18,10.21,2.0,constant,24.9,3.025
FERM-000,108,37,36.9,6.8,6.78,32.25,8.63,2.0,constant,10.9,3.223
FERM-000,110,37,36.9,6.8,6.65,33.0,9.86,2.0,constant,17.8,3.321
FERM-000,112,37,37.1,6.8,6.75,33.63,8.6,2.0,constant,10.0,3.474
FERM-000,114,37,37.3,6.8,6.74,35.3,7.92,2.0,constant,11.7,3.643
FERM-000,116,37,37.1,6.8,6.81,35.03,8.86,2.0,constant,10.8,3.714
FERM-000,118,37,36.9,6.8,6.77,36.02,8.1,2.0,constant,8.7,3.925
FERM-000,120,37,37.2,6.8,6.76,36.68,8.13,2.0,constant,5.0,4.051
FERM-000,122,37,37.1,6.8,6.8,37.39,6.74,2.0,constant,5.3,4.218
FERM-000,124,37,37.2,6.8,6.79,38.24,6.97,2.0,constant,5.0,4.391
FERM-000,126,37,37.1,6.8,6.75,39.16,7.54,2.0,constant,5.0,4.567
FERM-000,128,37,36.8,6.8,6.77,39.76,5.4,2.0,constant,5.0,4.733
FERM-000,130,37,36.9,6.8,6.81,39.99,6.92,2.0,constant,5.0,4.824
FERM-000,132,37,36.7,6.8,6.87,40.48,6.33,2.0,constant,5.0,5.005
FERM-000,134,37,37.2,6.8,6.9,41.54,4.94,2.0,constant,5.0,5.175
FERM-000,136,37,36.7,6.8,6.91,41.55,5.45,2.0,constant,5.0,5.234
FERM-000,138,37,36.7,6.8,6.82,42.52,5.24,2.0,constant,5.0,5.455
FERM-000,140,37,36.9,6.8,6.87,43.16,4.59,2.0,constant,5.0,5.574
FERM-000,142,37,37.1,6.8,6.88,43.43,3.86,2.0,constant,5.0,5.729
FERM-000,144,37,36.6,6.8,6.85,43.89,5.04,2.0,constant,5.0,5.91
FERM-000,146,37,37.2,6.8,6.97,44.33,4.64,2.0,constant,5.0,6.038
FERM-000,148,37,36.6,6.8,6.85,44.89,4.46,2.0,constant,5.0,6.244
FERM-000,150,37,36.9,6.8,6.91,44.89,3.93,2.0,constant,5.0,6.27
FERM-000,152,37,37.0,6.8,6.84,45.15,4.34,2.0,constant,5.0,6.43
FERM-000,154,37,37.2,6.8,6.85,45.17,4.34,2.0,constant,5.0,6.515
FERM-000,156,37,37.0,6.8,6.94,45.65,4.65,2.0,constant,5.0,6.667
FERM-000,158,37,37.0,6.8,6.9,46.3,3.35,2.0,constant,5.0,6.867
FERM-000,160,37,37.2,6.8,6.81,45.84,3.71,2.0,constant,5.0,6.901
FERM-000,162,37,37.0,6.8,6.9,46.87,3.49,2.0,constant,5.0,7.137
FERM-000,164,37,37.1,6.8,6.89,47.11,4.14,2.0,constant,5.0,7.219
FERM-000,166,37,37.1,6.8,6.99,47.55,2.65,2.0,constant,5.0,7.402
FERM-000,168,37,36.9,6.8,6.9,47.4,3.73,2.0,constant,5.0,7.456
FERM-000,170,37,36.8,6.8,6.84,47.02,3.81,2.0,constant,5.0,7.544
FERM-000,172,37,37.1,6.8,6.85,47.71,2.63,2.0,constant,5.0,7.708
FERM-000,174,37,37.4,6.8,6.85,47.69,2.92,2.0,constant,5.0,7.815
FERM-000,176,37,37.4,6.8,6.77,48.55,2.94,2.0,constant,5.0,8.034
FERM-000,178,37,37.2,6.8,6.84,47.86,3.09,2.0,constant,5.0,8.038
FERM-000,180,37,37.3,6.8,6.84,47.84,2.52,2.0,constant,5.0,8.157
FERM-000,182,37,36.9,6.8,6.83,48.71,2.53,2.0,constant,5.0,8.374
FERM-000,184,37,37.0,6.8,6.85,49.13,2.34,2.0,constant,5.0,8.521
FERM-000,186,37,37.0,6.8,6.77,48.91,2.31,2.0,constant,5.0,8.58
FERM-000,188,37,37.0,6.8,6.77,48.97,2.3,2.0,constant,5.0,8.684
FERM-000,190,37,37.2,6.8,6.72,49.13,2.65,2.0,constant,5.0,8.806
FERM-000,192,37,37.2,6.8,6.84,48.93,2.27,2.0,constant,5.0,8.87
FERM-000,194,37,36.5,6.8,6.76,49.19,2.32,2.0,constant,5.0,9.025
FERM-000,196,37,37.0,6.8,6.79,49.57,2.72,2.0,constant,5.0,9.172
FERM-000,198,37,37.0,6.8,6.74,49.11,1.75,2.0,constant,5.0,9.212
FERM-001,0,37,36.7,7.0,6.98,0.27,22.45,0.0,exponentieel,79.8,0.0
FERM-001,2,37,37.1,7.0,7.06,0.69,22.13,0.0,exponentieel,83.5,0.0
FERM-001,4,37,37.1,7.0,7.11,0.54,23.11,0.0,exponentieel,80.0,0.015
FERM-001,6,37,37.0,7.0,7.02,0.59,22.62,0.0,exponentieel,82.7,0.0
FERM-001,8,37,37.2,7.0,6.98,1.19,22.77,0.0,exponentieel,85.0,0.0
FERM-001,10,37,36.9,7.0,7.04,0.99,22.67,0.0,exponentieel,83.6,0.0
FERM-001,12,37,37.0,7.0,7.08,0.65,22.43,0.0,exponentieel,85.9,0.0
FERM-001,14,37,36.7,7.0,7.05,1.53,22.92,0.0,exponentieel,82.5,0.032
FERM-001,16,37,37.0,7.0,7.03,0.76,22.65,0.0,exponentieel,79.5,0.042
FERM-001,18,37,36.9,7.0,7.08,1.36,21.69,0.0,exponentieel,80.2,0.022
FERM-001,20,37,37.2,7.0,7.03,1.64,21.74,0.0,exponentieel,80.6,0.063
FERM-001,22,37,36.6,7.0,7.05,1.4,21.87,0.53,exponentieel,77.5,0.044
FERM-001,24,37,37.0,7.0,7.06,2.16,21.72,0.56,exponentieel,72.0,0.052
FERM-001,26,37,37.4,7.0,7.09,1.63,21.96,0.6,exponentieel,73.5,0.019
FERM-001,28,37,37.2,7.0,7.18,2.09,21.93,0.64,exponentieel,75.3,0.024
FERM-001,30,37,36.9,7.0,7.12,2.5,22.22,0.67,exponentieel,78.8,0.078
FERM-001,32,37,37.0,7.0,7.03,2.5,22.77,0.72,exponentieel,80.0,0.056
FERM-001,34,37,36.9,7.0,7.17,2.37,22.01,0.76,exponentieel,74.3,0.064
FERM-001,36,37,37.2,7.0,7.09,2.74,21.09,0.81,exponentieel,81.8,0.061
FERM-001,38,37,36.7,7.0,7.13,2.67,21.83,0.86,exponentieel,79.3,0.093
FERM-001,40,37,37.0,7.0,7.15,3.29,22.84,0.91,exponentieel,77.5,0.151
FERM-001,42,37,37.2,7.0,7.06,2.97,21.23,0.97,exponentieel,73.8,0.13
FERM-001,44,37,36.9,7.0,7.04,3.63,21.59,1.03,exponentieel,74.4,0.129
FERM-001,46,37,37.4,7.0,7.07,3.83,21.33,1.09,exponentieel,72.7,0.175
FERM-001,48,37,37.2,7.0,7.01,3.85,21.49,1.16,exponentieel,77.7,0.16
FERM-001,50,37,37.1,7.0,7.04,4.78,20.51,1.23,exponentieel,71.4,0.252
FERM-001,52,37,37.1,7.0,6.95,5.06,21.43,1.31,exponentieel,69.8,0.207
FERM-001,54,37,37.2,7.0,7.11,5.23,21.55,1.39,exponentieel,69.3,0.255
FERM-001,56,37,37.0,7.0,7.12,5.38,19.96,1.47,exponentieel,70.4,0.319
FERM-001,58,37,37.0,7.0,6.94,6.07,20.45,1.56,exponentieel,70.5,0.355
FERM-001,60,37,37.1,7.0,7.05,5.77,20.93,1.66,exponentieel,68.5,0.34
FERM-001,62,37,36.9,7.0,6.95,6.76,20.92,1.76,exponentieel,66.2,0.415
FERM-001,64,37,37.1,7.0,7.0,7.56,19.43,1.87,exponentieel,67.2,0.491
FERM-001,66,37,36.7,7.0,7.01,7.13,20.61,1.99,exponentieel,64.0,0.465
FERM-001,68,37,37.0,7.0,7.0,7.99,19.38,2.11,exponentieel,64.3,0.549
FERM-001,70,37,37.3,7.0,6.85,8.71,19.04,2.24,exponentieel,64.9,0.588
FERM-001,72,37,36.8,7.0,6.89,9.02,19.02,2.38,exponentieel,68.4,0.636
FERM-001,74,37,36.9,7.0,7.0,9.66,19.79,2.53,exponentieel,60.1,0.702
FERM-001,76,37,37.2,7.0,6.98,10.2,19.01,2.68,exponentieel,57.6,0.739
FERM-001,78,37,36.6,7.0,6.9,10.82,18.57,2.85,exponentieel,57.8,0.814
FERM-001,80,37,37.0,7.0,6.93,10.98,19.05,3.02,exponentieel,62.8,0.834
FERM-001,82,37,37.1,7.0,6.94,12.09,18.0,3.21,exponentieel,57.6,0.996
FERM-001,84,37,36.9,7.0,6.94,12.88,18.28,3.41,exponentieel,56.8,1.044
FERM-001,86,37,37.1,7.0,6.94,13.56,16.93,3.62,exponentieel,60.3,1.19
FERM-001,88,37,36.9,7.0,6.95,14.36,16.72,3.85,exponentieel,49.3,1.241
FERM-001,90,37,37.2,7.0,7.01,15.41,16.39,4.08,exponentieel,50.0,1.366
FERM-001,92,37,36.9,7.0,6.9,15.73,16.63,4.34,exponentieel,45.3,1.431
FERM-001,94,37,37.4,7.0,6.9,16.57,15.89,4.6,exponentieel,44.8,1.553
FERM-001,96,37,37.0,7.0,6.95,17.43,16.61,4.89,exponentieel,42.6,1.66
FERM-001,98,37,37.1,7.0,6.96,18.03,16.09,5.19,exponentieel,44.4,1.709
FERM-001,100,37,37.2,7.0,6.9,19.39,15.2,5.51,exponentieel,38.7,1.899
FERM-001,102,37,37.0,7.0,6.92,19.99,15.3,5.85,exponentieel,37.4,1.992
FERM-001,104,37,37.3,7.0,6.88,21.41,14.29,6.21,exponentieel,39.0,2.177
FERM-001,106,37,37.1,7.0,6.91,22.48,14.06,6.6,exponentieel,32.4,2.329
FERM-001,108,37,37.0,7.0,6.97,23.45,14.46,7.01,exponentieel,31.9,2.492
FERM-001,110,37,36.8,7.0,6.97,24.01,14.01,7.44,exponentieel,30.2,2.596
FERM-001,112,37,37.0,7.0,6.92,24.37,13.41,7.9,exponentieel,36.5,2.682
FERM-001,114,37,37.2,7.0,7.02,25.77,13.4,8.39,exponentieel,29.8,2.91
FERM-001,116,37,36.9,7.0,6.94,26.21,12.9,8.91,exponentieel,27.4,2.966
FERM-001,118,37,36.8,7.0,7.0,27.92,11.26,9.46,exponentieel,20.3,3.219
FERM-001,120,37,37.1,7.0,7.01,27.97,11.54,10.0,exponentieel,22.4,3.301
FERM-001,122,37,36.7,7.0,6.95,29.79,11.26,10.0,exponentieel,20.8,3.541
FERM-001,124,37,36.7,7.0,7.1,30.03,11.12,10.0,exponentieel,17.6,3.679
FERM-001,126,37,37.0,7.0,6.91,31.7,10.4,10.0,exponentieel,16.9,3.897
FERM-001,128,37,37.1,7.0,7.06,32.48,9.86,10.0,exponentieel,11.7,4.083
FERM-001,130,37,36.9,7.0,7.03,32.95,10.08,10.0,exponentieel,13.9,4.24
FERM-001,132,37,36.8,7.0,6.99,34.09,8.1,10.0,exponentieel,12.9,4.414
FERM-001,134,37,36.8,7.0,7.04,34.37,8.93,10.0,exponentieel,8.7,4.523
FERM-001,136,37,37.1,7.0,6.99,35.09,8.77,10.0,exponentieel,11.3,4.667
FERM-001,138,37,37.2,7.0,7.01,36.07,8.1,10.0,exponentieel,5.4,4.881
FERM-001,140,37,37.0,7.0,7.14,36.68,7.99,10.0,exponentieel,9.2,5.036
FERM-001,142,37,36.9,7.0,7.09,37.99,7.71,10.0,exponentieel,7.1,5.339
FERM-001,144,37,37.0,7.0,7.14,38.07,7.95,10.0,exponentieel,5.0,5.382
FERM-001,146,37,36.7,7.0,6.95,38.49,7.51,10.0,exponentieel,5.0,5.544
FERM-001,148,37,36.9,7.0,7.04,40.03,6.92,10.0,exponentieel,5.0,5.845
FERM-001,150,37,36.8,7.0,7.16,40.17,6.31,10.0,exponentieel,5.0,5.9
FERM-001,152,37,37.0,7.0,7.08,40.53,7.33,10.0,exponentieel,5.0,6.067
FERM-001,154,37,37.3,7.0,7.03,40.92,7.47,10.0,exponentieel,5.0,6.205
FERM-001,156,37,37.0,7.0,7.01,41.45,5.92,10.0,exponentieel,5.0,6.367
FERM-001,158,37,37.4,7.0,7.13,42.53,5.88,10.0,exponentieel,5.0,6.617
FERM-001,160,37,36.9,7.0,7.15,42.7,5.81,10.0,exponentieel,5.0,6.749
FERM-001,162,37,36.6,7.0,7.1,43.08,5.3,10.0,exponentieel,5.0,6.878
FERM-001,164,37,37.1,7.0,7.08,43.69,5.02,10.0,exponentieel,5.0,7.077
FERM-001,166,37,36.9,7.0,7.07,43.8,5.46,10.0,exponentieel,5.0,7.187
FERM-001,168,37,36.8,7.0,7.07,44.19,6.19,10.0,exponentieel,5.0,7.319
FERM-001,170,37,36.7,7.0,7.09,44.39,4.9,10.0,exponentieel,5.0,7.464
FERM-001,172,37,36.9,7.0,7.04,45.08,5.91,10.0,exponentieel,5.0,7.631
FERM-001,174,37,36.8,7.0,7.08,45.68,4.38,10.0,exponentieel,5.0,7.838
FERM-001,176,37,37.0,7.0,7.02,46.05,4.65,10.0,exponentieel,5.0,8.001
FERM-001,178,37,36.8,7.0,7.07,45.86,5.27,10.0,exponentieel,5.0,8.066
FERM-001,180,37,37.4,7.0,6.99,46.64,4.64,10.0,exponentieel,5.0,8.252
FERM-001,182,37,37.1,7.0,7.01,46.56,5.03,10.0,exponentieel,5.0,8.35
FERM-001,184,37,37.0,7.0,7.0,47.1,3.86,10.0,exponentieel,5.0,8.571
FERM-001,186,37,36.9,7.0,7.0,46.99,4.16,10.0,exponentieel,5.0,8.627
FERM-001,188,37,37.0,7.0,6.99,47.27,4.22,10.0,exponentieel,5.0,8.789
FERM-001,190,37,37.6,7.0,6.95,46.97,3.82,10.0,exponentieel,5.0,8.81
FERM-001,192,37,36.9,7.0,6.93,47.8,4.15,10.0,exponentieel,5.0,9.064
FERM-001,194,37,36.9,7.0,6.95,47.79,4.01,10.0,exponentieel,5.0,9.161
FERM-001,196,37,36.7,7.0,6.96,47.91,3.88,10.0,exponentieel,5.0,9.275
FERM-001,198,37,36.9,7.0,6.95,47.89,4.38,10.0,exponentieel,5.0,9.374
FERM-002,0,33,33.0,7.0,6.98,1.8,15.68,0.0,exponentieel,84.1,0.0
FERM-002,2,33,32.9,7.0,6.99,1.69,14.47,0.0,exponentieel,84.2,0.0
FERM-002,4,33,32.7,7.0,6.95,1.97,15.47,0.0,exponentieel,83.4,0.0
FERM-002,6,33,32.6,7.0,7.03,2.1,15.88,0.0,exponentieel,75.9,0.002
FERM-002,8,33,33.1,7.0,7.12,1.85,16.03,0.0,exponentieel,83.4,0.049
FERM-002,10,33,32.9,7.0,7.08,2.55,15.52,0.0,exponentieel,81.5,0.009
FERM-002,12,33,33.3,7.0,6.96,2.73,16.62,0.0,exponentieel,81.5,0.029
FERM-002,14,33,32.8,7.0,7.0,2.9,14.75,0.0,exponentieel,77.6,0.038
FERM-002,16,33,32.7,7.0,7.05,3.36,15.82,0.0,exponentieel,83.1,0.053
FERM-002,18,33,33.2,7.0,7.06,3.21,15.11,0.0,exponentieel,77.3,0.052
FERM-002,20,33,33.1,7.0,7.16,3.1,15.06,0.0,exponentieel,80.6,0.026
FERM-002,22,33,33.2,7.0,7.13,3.55,15.11,0.53,exponentieel,73.5,0.072
FERM-002,24,33,32.9,7.0,7.1,3.69,15.28,0.56,exponentieel,68.5,0.101
FERM-002,26,33,33.0,7.0,7.23,4.11,15.72,0.6,exponentieel,70.9,0.06
FERM-002,28,33,32.8,7.0,7.04,4.38,14.62,0.64,exponentieel,74.5,0.124
FERM-002,30,33,32.8,7.0,7.13,4.26,14.82,0.67,exponentieel,74.6,0.118
FERM-002,32,33,32.7,7.0,7.08,5.48,14.34,0.72,exponentieel,74.9,0.156
FERM-002,34,33,32.9,7.0,7.11,5.34,14.34,0.76,exponentieel,65.7,0.173
FERM-002,36,33,32.7,7.0,7.1,5.79,14.37,0.81,exponentieel,68.1,0.147
FERM-002,38,33,32.9,7.0,7.14,6.46,14.61,0.86,exponentieel,72.3,0.234
FERM-002,40,33,32.9,7.0,7.07,6.27,14.09,0.91,exponentieel,67.4,0.196
FERM-002,42,33,32.6,7.0,7.07,7.41,14.52,0.97,exponentieel,60.3,0.308
FERM-002,44,33,32.9,7.0,7.12,7.44,13.63,1.03,exponentieel,63.5,0.331
FERM-002,46,33,32.7,7.0,7.16,7.57,13.16,1.09,exponentieel,69.9,0.323
FERM-002,48,33,32.9,7.0,7.03,8.25,13.31,1.16,exponentieel,54.4,0.358
FERM-002,50,33,32.6,7.0,7.07,9.09,12.66,1.23,exponentieel,62.9,0.439
FERM-002,52,33,33.1,7.0,7.05,9.42,12.72,1.31,exponentieel,60.2,0.431
FERM-002,54,33,33.1,7.0,6.98,9.91,12.33,1.39,exponentieel,53.4,0.525
FERM-002,56,33,32.7,7.0,7.08,10.71,11.88,1.47,exponentieel,56.3,0.602
FERM-002,58,33,33.3,7.0,7.03,11.31,12.47,1.56,exponentieel,56.9,0.628
FERM-002,60,33,33.0,7.0,7.09,11.66,11.43,1.66,exponentieel,58.8,0.659
FERM-002,62,33,32.8,7.0,7.0,12.8,10.31,1.76,exponentieel,48.3,0.756
FERM-002,64,33,33.0,7.0,6.97,13.32,11.04,1.87,exponentieel,49.3,0.857
FERM-002,66,33,32.9,7.0,7.07,13.9,11.15,1.99,exponentieel,51.0,0.873
FERM-002,68,33,32.8,7.0,6.96,14.37,10.81,2.11,exponentieel,46.4,0.93
FERM-002,70,33,32.7,7.0,6.96,15.74,10.42,2.24,exponentieel,54.6,1.084
FERM-002,72,33,33.0,7.0,7.03,16.28,9.77,2.38,exponentieel,49.8,1.138
FERM-002,74,33,32.7,7.0,6.99,16.62,9.34,2.53,exponentieel,40.4,1.197
FERM-002,76,33,33.0,7.0,6.89,18.35,9.14,2.68,exponentieel,39.2,1.347
FERM-002,78,33,33.2,7.0,6.9,18.7,9.78,2.85,exponentieel,45.4,1.412
FERM-002,80,33,33.2,7.0,7.03,19.81,9.0,3.02,exponentieel,41.8,1.532
FERM-002,82,33,33.1,7.0,6.97,20.1,8.49,3.21,exponentieel,39.4,1.623
FERM-002,84,33,33.0,7.0,6.89,21.28,8.35,3.41,exponentieel,33.7,1.73
FERM-002,86,33,32.9,7.0,6.89,22.4,7.8,3.62,exponentieel,37.9,1.854
FERM-002,88,33,33.2,7.0,6.83,23.4,7.06,3.85,exponentieel,31.2,2.003
FERM-002,90,33,33.1,7.0,6.98,24.93,6.59,4.08,exponentieel,32.6,2.174
FERM-002,92,33,33.0,7.0,6.89,25.07,6.73,4.34,exponentieel,30.5,2.253
FERM-002,94,33,32.7,7.0,6.87,26.44,5.95,4.6,exponentieel,26.6,2.392
FERM-002,96,33,33.1,7.0,6.86,27.41,5.74,4.89,exponentieel,30.3,2.57
FERM-002,98,33,32.8,7.0,6.99,28.04,5.08,5.19,exponentieel,27.7,2.678
FERM-002,100,33,33.0,7.0,6.87,28.58,4.79,5.51,exponentieel,23.3,2.777
FERM-002,102,33,33.0,7.0,6.99,29.91,4.78,5.85,exponentieel,19.5,2.962
FERM-002,104,33,33.0,7.0,6.91,30.47,4.67,6.21,exponentieel,21.3,3.078
FERM-002,106,33,33.0,7.0,6.92,31.24,2.98,6.6,exponentieel,19.6,3.207
FERM-002,108,33,33.0,7.0,6.9,32.14,3.74,7.01,exponentieel,19.3,3.407
FERM-002,110,33,33.0,7.0,6.94,32.89,3.33,7.44,exponentieel,12.5,3.499
FERM-002,112,33,33.0,7.0,6.93,34.47,2.89,7.9,exponentieel,12.8,3.746
FERM-002,114,33,32.7,7.0,6.83,34.75,2.55,8.39,exponentieel,8.2,3.839
FERM-002,116,33,33.0,7.0,6.93,35.58,2.08,8.91,exponentieel,11.9,4.003
FERM-002,118,33,33.0,7.0,7.01,36.32,1.49,9.46,exponentieel,9.2,4.175
FERM-002,120,33,33.2,7.0,6.89,36.68,1.46,10.0,exponentieel,9.9,4.257
FERM-002,122,33,33.0,7.0,6.93,37.29,0.89,10.0,exponentieel,7.3,4.45
FERM-002,124,33,33.1,7.0,7.02,38.74,1.26,10.0,exponentieel,5.0,4.689
FERM-002,126,33,32.8,7.0,7.07,39.31,0.9,10.0,exponentieel,5.0,4.842
FERM-002,128,33,32.7,7.0,7.02,39.7,0.32,10.0,exponentieel,5.0,4.944
FERM-002,130,33,32.9,7.0,7.04,40.38,0.43,10.0,exponentieel,5.0,5.156
FERM-002,132,33,32.9,7.0,7.11,40.93,0.0,10.0,exponentieel,5.0,5.285
FERM-002,134,33,32.8,7.0,7.15,41.6,0.0,10.0,exponentieel,5.0,5.446
FERM-002,136,33,33.3,7.0,7.05,41.77,0.17,10.0,exponentieel,5.0,5.559
FERM-002,138,33,33.1,7.0,7.05,41.9,0.0,10.0,exponentieel,5.0,5.648
FERM-002,140,33,32.8,7.0,7.07,43.22,0.0,10.0,exponentieel,5.0,5.912
FERM-002,142,33,33.0,7.0,7.1,42.83,0.7,10.0,exponentieel,5.0,5.968
FERM-002,144,33,32.9,7.0,7.01,43.41,0.0,10.0,exponentieel,5.0,6.14
FERM-002,146,33,32.9,7.0,7.19,43.9,0.0,10.0,exponentieel,5.0,6.279
FERM-002,148,33,32.9,7.0,7.11,44.48,0.0,10.0,exponentieel,5.0,6.435
FERM-002,150,33,32.9,7.0,7.06,44.89,0.0,10.0,exponentieel,5.0,6.591
FERM-002,152,33,32.7,7.0,7.03,44.47,0.0,10.0,exponentieel,5.0,6.606
FERM-002,154,33,33.3,7.0,7.14,45.63,0.0,10.0,exponentieel,5.0,6.906
FERM-002,156,33,32.8,7.0,7.08,45.75,0.0,10.0,exponentieel,5.0,7.013
FERM-002,158,33,33.0,7.0,7.0,46.23,0.0,10.0,exponentieel,5.0,7.15
FERM-002,160,33,33.4,7.0,7.11,45.94,0.0,10.0,exponentieel,5.0,7.213
FERM-002,162,33,33.4,7.0,7.06,46.58,0.0,10.0,exponentieel,5.0,7.396
FERM-002,164,33,32.8,7.0,7.09,46.09,0.0,10.0,exponentieel,5.0,7.431
FERM-002,166,33,33.1,7.0,7.06,46.65,0.0,10.0,exponentieel,5.0,7.588
FERM-002,168,33,33.0,7.0,7.07,47.02,0.0,10.0,exponentieel,5.0,7.726
FERM-002,170,33,33.1,7.0,7.1,47.41,0.0,10.0,exponentieel,5.0,7.908
FERM-002,172,33,33.0,7.0,7.1,47.0,0.0,10.0,exponentieel,5.0,7.924
FERM-002,174,33,32.9,7.0,7.05,47.85,0.0,10.0,exponentieel,5.0,8.151
FERM-002,176,33,32.9,7.0,7.05,47.47,0.0,10.0,exponentieel,5.0,8.208
FERM-002,178,33,32.9,7.0,7.08,47.46,0.0,10.0,exponentieel,5.0,8.306
FERM-002,180,33,33.1,7.0,7.01,48.46,0.0,10.0,exponentieel,5.0,8.568
FERM-002,182,33,33.2,7.0,6.95,47.79,0.0,10.0,exponentieel,5.0,8.54
FERM-002,184,33,33.3,7.0,7.06,48.38,0.0,10.0,exponentieel,5.0,8.759
